[00:01.100] 你告诉我一下。
[00:06.200] 哥。
[00:15.180] 谢女士。
[00:26.870] 的
[00:32.190] 看
[00:33.780] 点。
[00:59.590] 稍等我拿手套。
[01:15.440] 车里贵重物品收一下。
[01:29.790] 小本用吗？
[01:31.260] 不用，您收好了行吗？
[01:50.200] 27,000
[01:57.760] 三百三四。
[02:00.910] 三
[02:14.640] 我
[02:16.030] 您说。
[02:18.970] 来。
[02:20.410] 我这后边让我给我。
[02:31.120] 这儿有一块刮伤。
[02:58.480] 没有要拿的。
[03:00.040] 来里边行。
[03:01.280] 行。
[03:09.120] 首先咱们讲说人家下次会上回来
[03:15.360] 看一下。
[03:16.870] 好了，就说今天放了。
[03:21.850] 家人朋友你们在待着到这里了。
[03:26.250] 这边登了一个穆怀兰女士。
[03:28.490] 世界。
[03:30.810] 对最早的您把您的。
[03:36.500] 您电话告诉我一下。
[03:37.650] 1590
[03:38.800] 10618478. 
[03:44.110] 这叫
[03:45.400] 谢谢迪的吗先生。
[03:47.010] 那不知道没带。
[03:49.510] 改一下。
[04:01.360] 您车是17年7月18号的车。
[04:04.810] 等于到20年7月17号出质保了。
[04:08.690] 如果想继续在用这个车可以购买，厂家现在提供原厂质保就延保，
[04:15.560] 可以延1~2年都可以。
[04:20.860] 场
[04:24.620] 的。
[04:27.400] 话
[04:31.120] 对。
[04:35.120] 这个是如果您外观上您一大坑。
[04:38.770] 或者是前杠有点小划伤。
[04:41.340] 你可以用这个什么意思？就是他在您的。
[04:45.370] 行业。
[04:46.550] 本身您上的商业保险之外。
[04:48.690] 给您一个又叫代步车险，又叫补偿险，代步车险什么意思？您不是车载我们修吗？
[04:54.480] 然后肯定得搁一段时间，搁两天或者三天。
[04:57.510] 然后这些在这个车在我们这期间，您的交通费。
[05:03.110] 给您补过来，
[05:04.370] 给您2500块钱，
[05:06.900] 修一次2000块钱，您打车怎么用？然后为什么叫补偿险？因为您
[05:13.250] 走您园，走您只本车的商业险。
[05:17.540] 第二年会有一个涨幅，
[05:19.070] 涨幅也是在这里边能给您把整幅过来。
[05:22.760] 是这么一个东西，等于其实你还能挣点钱。
[05:29.550] 千。
[05:32.860] 然后明年保险还有影响。
[05:38.220] 明年房价肯定会涨，但是涨不到那么多涨几百块钱的事儿，
[05:41.150] 涨不到1000块钱。
[05:42.490] 然后这个不是你还能挣点钱吗？
[05:44.830] 他是修两块，你修一块2500。
[05:48.090] 如果你像您前杠和左后
[05:51.670] 两块。
[05:52.620] 只能还5000。
[05:53.910] 而且他这是比如说你假如说您今天买，
[05:57.090] 然后15天以后生效才可以休。
[05:59.920] 这没东西，如果您想show上是最合适的，如果你不修就不用上。
[06:11.200] 的。
[06:16.320] 等于这又给你把明年的背过来了就能。
[06:20.020] 你还能挣可能就能挣个1000多块钱得留点。
[06:24.400] 然后你这还休。
[06:26.440] 您好，拿来说你们照片好的过程，谁知
[06:32.750] 为了因为他要创业这东西它是什么？尽快。
[06:38.890] 一般
[06:40.160] 来。
[06:44.570] 可以了是吧？好谢谢。
[06:49.380] 对你好点吗？
[06:51.870] 根据你的
[06:53.400] 有哪些这边来了一个下午。
[07:18.480] Sb是谁的？
[07:20.920] 不用手机这一块都已经写了。
[07:25.100] 没事可以吗？
[07:26.500] 上来就说
[07:36.190] 就给您这打承担。
[07:37.780] 找我了。
[07:40.570] 原三明市我电话您
[07:42.770] 如果考虑上的话，就到时会找我带您过去商业保险那边。
[07:50.690] 你俩单子
[07:55.920] 弄完了已经当时拿过去。
[08:04.040] 行了。
[08:05.480] 大概两个半小时到三小时之间，
[08:08.410] 因为出保前检查比较的。
[08:10.250] 繁琐
[08:11.660] 谁知。
[08:13.520] 这个板后边那边有水是干饮料什么的，然后这上边有
[08:19.090] 楼上楼下按摩。
[08:20.110] 以什么的？
[08:22.880] 好，你
[08:25.410] 要求他的他没反应。
[08:28.750] 不能说出了代步车前也没反应，跟他说，
[08:32.400] 这个延保也没法了，
[08:35.320] 也不问燕报多少钱，也没反应，没办法。
[08:38.410] 刚开始
[08:59.480] 打电话前面都说了，
[09:02.130] 然后医生好之前
[09:06.040] 在后面。
[09:07.970] 12点
[09:10.040] 场
[09:21.550] 场
[09:22.890] 数据
[09:29.200] 场
[09:32.350] 花、
[09:37.130] 陈
[09:40.030] 标。
[09:41.490] 场
[09:45.940] 场
[09:47.050] 场
[09:50.090] 数据
[09:55.480] 数据、
[10:06.770] 你好陈先生吗？
[10:08.920] 王打扰了百利奔驰服务顾问，您约了一个今天下午2点的简单去召回。
[10:14.690] 好看。
[10:16.430] 忘了。
[10:18.600] 没事，您看您什么时候过来。
[10:22.480] 安全。
[10:24.510] 下周或者是我们这边现在免费取送车服务，就能把您车给您取过来。
[10:30.910] 谁知。
[10:33.020] 车没带那行，那就改约。
[10:37.240] 好了，拜拜。
[10:41.690] 来。
[10:45.550] 来的是我最想留住的心了，我们和请的。
