[00:31.500] 您那时候做保养。
[00:33.190] 完了。
[00:34.440] 废话完了，
[00:36.220] 电气
[00:39.600] 不是喝酒，星期天给你吧。
[00:41.420] 又干嘛了？
[00:42.360] 我这还我还给你没呢。
[00:44.650] 我这还拿一套是什么来着？
[00:47.360] 要在他要是你拿来给我，
[00:52.870] 你帮我看，
[00:54.750] 让
[00:58.240] 我的1500
[00:59.920] 发动机有点洗了，防护罩一些，
[01:03.410] 大家都报警。
[01:07.330] 给你一份。
[01:10.120] 不要这玩意我直接拿。
[01:16.030] 128512
[01:18.670] 由表1/2，
[01:24.100] 一。
[01:33.800] 可以。
[01:35.040] 没事，那个是换保险。
[01:37.190] 插的那东西在的吗？
[01:39.250] 电器那头。
[01:41.400] 这有。
[01:43.870] 这不是原车的。
[01:46.160] 黑色的。
[01:48.910] 我就先给您还保险您先试试，就这没电是吧？
[01:58.350] 没事找不着甭找了。
[02:07.320] 电器拆箱
[02:14.150] 换
[02:15.110] OK。
[02:16.880] 不走保险4号键是吧？
[02:21.210] 不快。
[02:23.840] 后悔都
[02:27.570] 外侧
[02:28.360] 换壳就行是吧？整个灯
[02:32.400] 整个都换这多少钱，整个等等我到时已经报价了。
[02:36.760] 报价如果太贵的话就先不换了，
[02:40.930] 到时候就走保险。
[02:42.930] 二还能
[02:44.560] 走保险，您得说您这车最近的这一两年出总没走过保险，
[02:49.710] 如果最近一两年没走保险，每年它是打折的状态，您走了一次保险了就变换一插，
[02:55.700] 也还不如没准还不得自个儿花钱饭。
[03:00.260] 您今年不出这
[03:02.300] 可能他明年还得打折，您提前出了险了。
[03:06.540] 主要就是您确定一下您最近这一两年有没有走过保险？
[03:12.270] 刘看着多少钱？
[03:16.850] 刹车片还行，
[03:21.670] 这小商我都不记了，这都一一小点了。
[03:25.710] 多了。
[03:27.760] 片还凑合，沙盘魔术沟有点深了。
[03:33.790] 但是没有
[03:35.620] 发型水箱也遭了，
[03:37.920] 像一个清洗水箱，
[03:46.930] 这两个轮胎你看一下我这两个都行。
[03:49.760] 既然我知道轮胎都新。
[03:55.080] 行行，外观就这么着，没什么大毛病，小衫。
[03:59.040] 咱们
[04:03.320] 看下面
[04:05.520] 张朝阳开着里边有看看底盘，
[04:10.640] 反正跟
[04:12.220] 这牛
[04:18.890] 发动机还是有问题，
[04:22.930] 着车友岩石着以后嘎啦嘎啦响。
[06:32.630] 你问一下，
[06:33.560] 羟基的
[06:36.540] 是不是？
[10:18.060] 里边都年轻。
[10:23.980] 对。
[10:26.130] 发动机，
[10:27.390] 近期初春
[10:29.770] 传感器的故障，所以导致着车不好着车巴拉巴拉小，
[10:34.790] 要。
[10:43.350] 别的暂时没事。
[10:47.310] 故障
[10:49.320] 听了
[10:50.350] 换成了
[10:52.130] 换正时链条的轮。
[10:56.700] 不得拆开了以后才能知道他有没有磨损。
[10:59.640] 这里昨天可严重。
[11:01.480] 要是连刚才那声一块的时候就得搁这三四天了。
[11:06.420] 管理
[11:12.470] 今天明天就天光了，
[11:18.440] 因为这个车还要用手。
[11:21.880] 数据
[11:27.150] 的
[11:28.820] 数据
[11:32.470] 场、
[11:40.840] 数据
[11:43.930] 坏
[11:46.610] 场
[11:50.510] 场
[11:53.220] 的
[11:59.190] 场。
[12:00.320] 场
[12:02.730] 坏
[12:07.720] 数据
[12:11.770] 场。
[12:19.040] 坏
[12:27.220] 场
[12:35.810] 场
[12:36.880] 的。
[12:38.200] 场。
[12:40.030] 花
[12:44.270] 坏
[12:47.440] 场。
[12:50.560] 数据
[12:53.310] 数据
[12:55.480] 场。
[13:01.740] 坏。
[13:03.260] 工号是0df。
[13:06.910] 数据、
[13:08.890] 场。
[13:11.120] 场
[13:14.950] 场。
[13:20.700] 更换工厂。
[13:23.590] 数据。
[13:29.100] 靠外侧。
[13:44.620] 的
[13:50.790] 的
[13:52.990] 坏
[13:59.720] 发票。
[14:04.200] 你们三个人这个人是吧？这样都他上述问题。
[14:08.240] 您14号就算了，咱们。
[14:12.320] 了。
[14:13.490] 好的。就是然后。
[14:18.130] 等着你说我说的。
[14:20.050] 是我先把这车接完了，这不正正接着吗？
[14:22.820] 这车
[14:24.100] 汽车D来我给你看看
[14:27.440] 一点。
[14:28.760] 你们弄的人家等一下。
[14:32.480] 我会给您看一下
[14:37.020] 的。
[14:45.430] 其他
[14:47.150] 没有什么。
[14:52.770] 三
[14:53.920] 坏数据。
[14:55.390] 数据
[15:02.200] 的。
[15:07.840] 场。
[15:15.050] 配件是2800多加工。
[15:19.370] 现在没货。
[15:24.340] 广场
[15:27.890] 的。
[15:31.750] 完了。
[15:38.190] 时间暂时先
[15:45.330] 让他们。
[15:51.130] 我就光给您报保险的价格了。
[15:54.970] 一共是6180。
[15:59.290] 结账。
[16:13.260] 的
[16:19.010] 三
[16:23.160] 的。
[16:31.470] 三
[16:37.750] 坏。
[16:44.960] 场。
[16:46.120] 第三排。
[16:47.920] 场
[16:49.840] 五
[16:52.600] 坏
[16:58.110] 场
[17:02.260] 场
[17:03.800] 场
[17:08.880] 数据
[17:11.640] 场。
[17:13.630] 刹车油、
[17:20.330] 看一下。
[17:27.280] 挽机油和机滤空气滤芯空调滤芯，
[17:30.150] 换一个火花塞，换一个刹车油，
[17:32.820] 清洗水箱和天窗的排水管。
[17:35.860] 刹车油他都有着他上次做了一次导演，就不是在这坐着。
[17:42.000] 也是在
[17:44.010] 在三四川网上参考这边的，他上次做警察的吗查不到，最近的一次是2018年，2019年的记录查不到。
[17:53.610] 2009年你们系统查不到你做的吗？
[17:59.200] 问问还没换2019年能查到后轮胎，
[18:05.190] 然后能查到修漏油。
[18:08.350] 而是是在哪？是在这做的吗？
[18:11.650] 不是吧，是在北四环。
[18:13.110] 北五环了都快。
[18:14.340] 等于19年是吧？一半。
[18:17.750] 对，119年的1月份是维修修的漏油，
[18:21.710] 然后19年的这几月份，
[18:24.680] 12月份换的轮胎。
[18:29.130] 办了一条轮胎。
[18:32.350] 吗。
[18:33.340] 要保养的记录能查到的最近的
[18:36.360] 18年的10月份公里数是104,000，
[18:52.160] 五
[18:54.150] 写
[18:57.360] 坏。
[18:59.090] 花
[19:00.110] 的
[19:01.910] 哗哗哗哗哗。
[19:13.440] 其他的。
[19:20.760] 坏
[19:25.590] 场。
[19:33.360] 就这样了，完了你把给我看一下，您拍个照，这个不对，我能拿到咱发动机里边的故事。
[19:50.830] Cs装的4个是这公里数在。
[19:56.240] 的。
[19:58.980] 就是这事准的是吧？行勒好没准行，你不公里数我等半个叫出来，我看看他那边也行。
[20:06.630] 他单子上面会打架用并不。
[20:11.320] CRS定了牵挂，但是还有两个得换气囊，不是安全带不
[20:17.410] 那一块并对好像是两个车还去卖，回到车间来吊定不了了。
[20:28.480] 您签个字。
[20:30.790] 还有个保险的钱。
[20:32.320] 点烟器。
[20:34.290] 不保险丝您签左对左下。
[20:39.370] 然后您尾灯
[20:41.060] 有一个走保险的活动，您回去看一下。
[20:44.100] 如果说走保险修的话，建议您先存一个1500，等于修完车返您2500。
[21:00.970] 走保险的话，您先存一个一千百块钱，正常的报保险，报保险第二年保费上调了，
[21:06.810] 然后这个返给您2500，等于修完车，
[21:09.760] 你还能赚千块钱。
[21:13.510] 等于是先交1000 1500，对15天以后您在修北京。
[21:19.120] 东北对走保险修了。
[21:22.520] 完了走保险了，对修完了以后完了给再拖一年2500。
[21:27.210] 对。
[21:28.120] 当时我们的房子
[21:32.880] 一年之内您能休两次，比如您旁边在花坛喷漆什么的，您再修一次还给2500，就是总共就交1500，
[21:39.530] 就除去成本您能挣3500，
[21:41.840] 这3500就可以用于您第二年保费上浮了或者什么的，就等于是
[21:46.470] 培训2500，我上头了有些老人也都是差不多了，差不差不多完了，上来比如不够不够的自个再添点就完事了。
[21:55.150] 你不放当场给出一个典章，不是不花钱我先进是吧？最后的心愿你不说不吗？这款保险保险这一块如果
[22:05.270] 没有这两年没了保险才行，要走了多少就上调幅度一高，不是
[22:10.740] 没走保险，
[22:12.280] 这两年没走保险就自个花钱修，要这两年走过保险还是走保险修。
[22:17.780] 对。
[22:18.890] 因为您不走保险情况下它是打折，您走过眼了就无所谓了。
[22:22.270] 别人了。
[22:25.200] 等一下对，有什么您给我打电话就行。
[22:28.690] 待会您是在店里等吗？
[22:30.730] 我等着。
[22:31.960] 来。
[22:32.830] 您拿手机的微信找一下百得利集团的公众号，我先把中午吃饭的餐券给您发了。
[22:38.150] 等一会那边的话我这边也行行，那11:30 11:30吃午饭。
[22:45.630] 回头行没问题，回头您再上找来就行，没事。
[22:49.520] 对我这没事吧。
[22:51.560] 最好看到了。
[22:56.090] 大概就几点，10:30现在能睡着点。
[23:01.410] 点半。
[23:02.360] 两两点来诌，
[23:03.920] 是吧？
[23:05.960] 能早点可能晚点了，反正就两三点钟左右。
[23:27.980] 又打
[23:37.320] 好
[23:48.620] 了
[23:54.920] 场
[23:57.120] 手。
[24:00.390] 的。
[24:05.430] 坏
[24:10.560] 坏。
[24:13.090] 万
