[00:06.080] 其实还有你姐姐。
[00:07.680] 空间其实还可以。
[00:09.030] 对，没有。
[00:11.470] 已经可以调节好了。
[00:40.710] 基本没答什么都有。
[00:42.020] 对，没啥说的。
[00:44.570] 然后的什么视角，上帝是
[00:47.560] 360还应对，他只有顶配车型才对。
[00:52.270] 到
[00:53.160] 的。
[00:53.940] 掉牙的60元上下这边您边上传下来的话，现在应该是站在
[01:00.150] 不到35。
[01:02.990] 觉得不去保养，还喜欢新闻，咱们说基本都是成功。
[01:07.120] 12不用半年花了，一年一回1万公里，年
[01:11.080] 一年或1万公里，
[01:12.730] 而且我也没有什么烧机油的，
[01:15.040] 保养基本都是。
[01:17.130] 您要中一般就是高端，所谓的豪华绿差不多，但是你现在说实话你大众的管理工具的也是吧？
[01:24.910] 的百多块8毛底下的的了解一下，
[01:32.320] 这叫牛仔蓝。
[01:33.830] 下来了，这款下来的话大概是在30
[01:37.810] 33万多，觉得是这款。
[01:40.240] 灰色这么快来人看了吗？
[01:42.240] 动力是一样的，硬件都是标配，这个车都下来的话大概不到200。
[01:47.430] 为啥这比这低一个配置？
[01:51.490] 我刚拿本地量吃这个吃货我合适，因为我的主动安全系数非常高，就是说自动安全是哪辆车反正磕磕碰碰难免的，你要买便宜的羊肉了就不够真多，
[02:04.280] 而且它的车的就种电子的安全方面特别高，
[02:09.050] 你别说我不分高低配全系标配，就是咱们cc那种城市安全系统那个是多少这个作用，这是2.0T的。
[02:17.850] 对这条平时怎么调理？
[02:20.780] 您这行脚没。
[02:22.580] 对行行，我奶奶不行，那就对。
[02:31.390] 往下凹点。
[02:33.640] 欧典。
[02:34.890] 然后整个
[02:36.360] 最快。
[02:37.380] 现在我看一眼。
[02:39.390] 您再说一下。
[02:42.230] 行对OK。
[02:44.390] 再往下1.8就行。
[02:46.960] OK了，OK。
[02:49.870] 这方男的也没有专门下来对长，
[02:53.540] 他这个名字就是3万多钱，这不到18。
[02:59.580] 医院30不到32。
[03:01.360] 他们这三个点一样，2.0 790 100，
[03:07.570] 他的月
[03:09.770] 没有用。
[03:10.900] 一样都一样，就是舒适配置有点提升。举个例子，
[03:14.580] 液晶显示屏这是12.3，液体是8.8，比如待遇去捕捉没有退缩。
[03:21.510] 对，就这种舒适配置会有一些提升，但是硬件是标配。
[03:27.370] 的。
[03:28.410] 所以这28最低的东西，我说的是购置税，保险都算齐了，不到18。
[03:34.680] 你像在握的系列位置终端还是低端，
[03:40.830] 他们专对专心光芒，
[03:44.430] 这样就相当于C差不多超过对。
[04:05.120] 而且咱们的车内
[04:06.780] 是非常环保的，没有甲醛，说那是零甲醛，因为咱们没有沥青阻尼这个东西。
[04:13.360] 对。
[04:30.070] 而且您夏天
[04:31.100] 您说刚学本事，这说安全系数高一点比较好，而且沃尔沃它本身主打的就是安全方面，
[04:40.260] 位置就比较简单一点。
[04:41.820] 对Volvo他还是比较北欧风格，咱们过那一家家具都是简单实用，没有那么花了不少。
[04:48.510] 这个是哪个国家产的？瑞典。
[04:54.760] 思虑没错。
[04:57.350] 就这个小车年轻人还真的非常
[05:00.030] 无论动力配置好，基本上您现在能买到的就是牛仔蓝，这是一个。
[05:05.750] 外面是灰，还有一个是
[05:08.560] 对。
[05:09.340] 最常卖的颜色就是这三个，剩下什么红色成的那都没怎么明白。
[05:13.910] 34
[05:15.100] 这个是高配都办齐了，应该不到32。
[05:17.440] 不到二就说小二
[05:19.490] 外形什么的都一样一模一样，它比它低在哪？舒适性提高了一些，比如举个例子，比如咱们
[05:28.020] 前排的座椅加热，
[05:31.030] 前排的座椅带腿搓可以延长，
[05:35.090] 轮毂比大一圈。
[05:37.760] 对，比如说
[05:42.290] 我想想还有什么，还有液晶仪表台，液晶仪表比这大一点，那是8.8寸就是12.3。
[05:50.230] 像他出配合奔驰的装配和奔驰的充沛比起来
[05:55.920] 是最大的区别是吧？
[05:58.750] 其实说对车我觉得最致命的区别也
[06:02.120] 宝马对车的基础的东西，
[06:05.760] 奔驰现在您买我不知道你买的是什么型号，比如看似他是1.5T发动机加上48轻毁了对吧？
[06:12.580] 看到了吧2020了，那是前驱，奔驰车真的是太一般了，真的太远，说实话我都不见，我建议您要买最次也得买C粉，实话实说，并不是说因为新手什么的无所谓什么车，
[06:24.070] 而且对于品控来说，您花三二十多万销售，这买那时候真的没什么
[06:29.080] 太多和水利了。
[06:30.920] 刚才您讲他把那标签能多少钱，10万块钱给凑又出来了，他用的那些东西来说，
[06:37.070] 别看别玩了，
[06:38.390] 对票据得10万，这就是
[06:40.380] 同样都是2.0。
[06:42.010] 被截掉，他还应该不是2078，也是2.5，然后他是
[06:47.580] 1220
[06:49.330] 20他
[06:51.240] 哪怕说实话反而信用生活真是比较低。
[06:54.990] 对，我觉得你要买一个这种初初学者。
[07:00.300] 电信对吧？
[07:01.420] 我觉得首先安全系数高，反正后面空间挺小的，因为现在您所看到所有的豪华品牌，
[07:09.250] 只有沃尔沃的车比价超高，
[07:11.640] 全系都比较大，为什么？是因为沃尔沃现在做出口卖到国外，因为国外的咱们车的版本都没有加成，只有中国你才能买加上买进口的吗？
[07:21.190] 这个车不是进口的，国内服装对，但是它的生产线还都是进口的，
[07:26.980] 这个是家庭。
[07:28.600] 全部都是标准，全都是标准，没有加长版的。
[07:32.270] 那个车自己本身就差，
[07:34.450] 但是没有加成。
[07:36.100] 对，最低的30万多少。
[07:39.660] 这拿不了。
[07:40.780] 您看他现在这款车的指导价402,900，现在优惠10万不错，
[07:48.230] 他就是5米长车5083，除去3061这个车这种风险非常大，
[07:53.510] 但是他现在仍然是一个标准版本。
[07:56.070] 对，所以你们宿舍你要跟60以来肯定给他超过，对扣掉C
[08:00.830] 对，但是你要说30万1米3就裸车30万的话，我觉得差不多。
[08:07.940] 我车30差不多。
[08:10.040] 小这也长了，这里面除了3000真实觉得奔驰、沃尔沃、
[08:17.910] 保温奥迪，
[08:19.260] 老头上午。
[08:22.950] 您可以看看了解了解是吧？
[08:25.770] 对，刚开始的，反正我给您名下了，我们您不能对比一下，再对比一下。
[08:31.870] 都看一下小孩快乐，没事慢点您。
[08:37.390] 什么问题？
[08:39.870] 想走吗？
