[00:00.000] 20年7月6号7月9号轿车录音，
[00:03.940] 哀悼家人。
[00:10.930] 里边人
[00:16.800] 穿红衣服是吗？
[00:19.240] 好了。
[00:30.450] 场
[00:32.220] 远
[00:35.230] 数据
[00:37.420] 数据。
[00:48.560] 一三百是吗？
[00:55.680] 左边右边。
[00:57.200] 左边的是吧？
[00:59.670] 好好勒好勒，再加上
[01:04.270] 再商量。
[01:12.400] 先生您好，您是基本型客户，
[01:17.360] 我来接车。
[01:18.730] 有人接待了。
[01:20.100] 待会儿。
[01:21.480] Bye bye。
[01:23.490] 咱先生您坐。
[01:25.890] 不好意思让您久等，没事。
[01:28.000] 做自我介绍，交车专员田震给您办理咱这车交车手续，大概流程给您讲一下车辆的一个使用功能，
[01:35.260] 开通车上的一个互联系统，还有一个客服的面访，
[01:38.510] 多问咱车之前我开过奔驰车年，
[01:41.490] 买第三辆两个灯，平时这车不是您开吧？
[01:46.600] 不是，那功能咱先去讲个功能使用，你讲完之后回头给您开通智能互联。
[01:56.490] 来
[01:58.080] 的。
[02:00.280] 车都看过了是吧？
[02:15.990] 咱现在开的是奔驰，哪个S
[02:19.550] S是吧？还有一个苦配这样的是吧？对。
[02:25.370] 一酷派吗？
[02:26.650] 忘了，从外观开始，你想要是一共两把开头都会给您车开锁锁车跟您那S4是在玩记录的。
[02:35.010] 对，然后油箱盖车里面没有单独的按键，这跟原来都是一样的，
[02:39.830] 然后后备箱跟他住在里边东西。
[02:43.230] 你刚才开头一天怎么开的？
[02:45.770] 还不行，这有一个对拿手开开不了首开不了对。
[02:51.240] 车里边有一个单独的硬件，
[03:01.020] 然后车跟原来车一样，一年或者1万心脏包养同胞也是一样，
[03:05.880] 然后反光背心什么都在这里，还有两根数据线，
[03:12.330] 这是不是电动的，对。
[03:17.840] 来您做暑假。
[03:21.870] 也做好了。
[03:25.510] 客户来了吗？
[03:28.870] 来您提供一下。
[03:34.480] 您现在开的M是哪年的？
[03:36.670] 新的最最新款是吧？他不理头怎么跟您那都一样知道吗？然后注意记忆怎么着好东西了解这些没什么区别。
[03:45.920] 您是不是也这样？我知道这些都没问题是吧？其实最后一个跟小偷
[03:54.690] 周什么？
[03:56.700] 都4个工人的。
[03:58.420] 最后一天。
[03:59.950] 以前咱现在不在这我知道。
[04:04.380] 您看看您平时是车和功能哪方面呢？
[04:07.390] 因为功能其实都差不多，跟您
[04:09.760] 基本上一样。
[04:12.930] 空调我在这边告诉您，
[04:21.600] 刚才怎么有。
[04:22.630] 一个家。
[04:23.720] 出差的压力形势对咱有参加显示。
[04:27.030] 对，他是跑一会儿之后这就显示出来数字了。
[04:30.840] 然后是几分钟对，然后你也可以调到
[04:34.920] 行程里边看，对一般都是调到这块，然后空调跟您的S区别比较大，
[04:41.430] 这就是左边控制左边温度，
[04:43.180] 控制右边温度，
[04:44.830] 出锋的位置风速大小，对自动升级，您那得挑调成平之后再一个个条，这方面我知道了，但是您能靠后边，这没有这边，对知道其他当时我调后的时候很费劲，后来我学会了，
[05:01.350] 然后再无线充电，您那不也带吗？您也在这儿吗？这在这其他的其实跟您那都没什么太大区别，这个倒其实直观一点，对直观一点。
[05:12.730] 邮箱现在有多少有，现在能跑133公里，
[05:17.410] 还有一个包括S红亮一个红色，
[05:23.510] 手工三角吗？就是亮了以后能好多少工龄？
[05:27.120] 两能50吗？能跑50，我告诉您，比如说它不是量了吗？显示着让您加油了吗？
[05:34.720] 按一下确定，
[05:35.980] 然后您再看就能看到了，
[05:38.810] 他能最后显示到一一公里都能显示，他只要是不是这就没有了，他这显示说让你加油去了吗？他应该确定她就变回来了，就能限制公里数了，
[05:50.250] 能显示到最后一公里东西我就跑，因为为什么？我就跑过一次，咱亮灯我就跑不了，
[05:58.220] 因为我买的就是这样的，当时儿子开，当时他说亮灯不爱吃，
[06:06.210] 没想到那么快就叫游乐。
[06:08.870] 按E键，反正
[06:11.520] 30公里肯定应该就不打了，他说我没想到，
[06:15.200] 所以我就不敢不让他量，但是有一次忘了突然亮了，其实我跟您说只要亮灯的最好是赶紧去家，因为她油泵郊游的话容易油泵坏。
[06:25.930] 我知道。
[06:28.160] 功能要没问题，咱就回复给您把智能互联开了，行。
[06:34.660] 行。
[06:37.980] 不能拍的不是要手机干嘛。
[06:40.040] 对，开您的就行，那不行，要别人谁开车我开谁的，不是，您主要是用
[06:49.440] 用您的开，然后把您的账户跟密码告诉他，他也能用来，您把车锁一下，对，这样来您要我搜一下今天车不开走吧。
[07:01.010] 行，那一会车有装饰吗您？
[07:03.310] 没有，那一会我就给您开回库去了，哪天您再来开的时候直接您就开始走就行
[07:09.010] 了。
[07:10.990] 您是不是之前也开过这个me互联？
[07:14.390] 可以过来了，我就直接在绑上接您名下，再绑一辆车就行了，对，然后完了
[07:20.720] 我怎么能给
[07:22.140] 他用的时候就用您的手机号登陆就行了。
[07:25.610] 就我的手机号我的手机。
[07:28.440] 不是，比如说现在您的账户跟密码，您告诉我我用我手机号也能登，是这意思。
[07:37.970] 没必要。
[07:39.380] 再去再开一个。
[07:40.250] 知道明白。
[07:41.990] 反正都是家里人用是吧？
[07:45.090] 就跟您分一个车过去就行。
[07:49.390] 能分一个车，
[07:50.570] 把这台新车给您弄得账号里头，
[07:56.180] 别丰富钱就行了，部分运费您放心吗？我车分了6分，
[08:02.790] 钱给分了。
[08:12.320] 说一下您手机号。
[08:14.340] 1391391088108867806780。
[08:23.480] 你今天叫个车你开走了，
[08:25.810] 两个钥匙你留一把我拿一把我。
[08:28.350] 钥匙都直接放在库房了，就。
[08:31.170] 这俩都
[08:32.060] 都不答，对都不拿那。
[08:33.520] 儿子他自己来开车，怎么能让他他来之后直接找销售，然后两把钥匙都给了。
[08:39.660] 了，他找销售认识的，身份证临时用完了，别拿我给那谁了，已经没在你这吗？这在我这等我先给他明后天安排您车过户，好好。
[08:49.530] 好。
[08:50.650] 辛苦没什么了。
[08:55.080] 我就是开命运。
[09:04.150] 您这给您家孩子提
[09:06.640] 360酷派，
[09:08.320] 男孩女孩儿媳妇都管，
[09:13.120] 反正后期不管他失败了没办法。
[09:16.240] 不是您知道吗？它是分男士用车，女士用车会有一些注意的地方，我就先跟您
[09:22.570] 好不好？然后
[09:24.570] 女士。
[09:25.470] 行您都是。
[09:27.220] 咱家奔驰车也简单，我把这不一样的地方跟您说一下就行了。
[09:32.570] 先生开的是最新款的，
[09:35.120] 最新款的S
[09:51.820] 您拆开了。
[09:53.640] 女士开车说实话你是车感，他可能没有那么好，跟他着重的强调一下转向机，
[10:02.490] 转向机，然后咱们车内的那些模块就行，其他的太机械的东西不用在那说那么多，
[10:10.790] 短消息就是不能说太死得时间太长了，对。
[10:14.940] 尽可能的避免。
[10:17.120] 因为现在不是电子转向了，跟以前也不太一样，
[10:21.760] 其他东西就是些电子元器件。
[10:24.200] 按过程。
[10:25.360] 比较简单，
[10:33.360] 这个车的转向
[10:35.560] 有那一次好吗？我那车很大，但是转向
[10:39.000] 他都是随动转向，都是随动转向一样的。
[10:42.850] 您那车的转向是转弯半径是12.3，转弯半径是11.8，
[10:49.790] 比您还要小，因为您这车短吗？因为奔驰都是随动转向，您车速越慢，它转弯半径越小，
[10:57.850] 他这轱辘是咱正常不是这么转吗？奔驰不是斜的。
[11:03.540] 这个好厉害。
[11:04.700] 都一样，原来不知道是车的，它是随动转向。
[11:10.530] 这样您拿身份证，然后口罩摘一下您这张照片还得。
[11:20.040] 好。
[11:20.990] 身份证您给我到他去弄，二手车中。
[11:36.200] 您S的车是咱们这提的是吧？
[11:40.120] 之前是周和以前给您讲的车。
[11:44.250] 好。
[11:49.750] 每天回打电话。
[11:51.450] 我有家了没微信，
[11:53.950] 完了我说买这个了网上就不再了。
[11:59.180] 卖国产车的，希望你支持国产车。
[12:02.500] 没敢说
[12:05.030] 他的什么玩意。
[12:08.740] 我们看一眼您手机发一个激活码，
[12:12.440] 我想中介的要
[12:16.570] 你好说。
[12:20.680] 292536，谁知
[12:23.640] 我们再把我抓住，
[12:26.800] 他是卖叫极力打击能力，
[12:30.850] 你快点沃尔沃就买吉利，
[12:34.360] 你压根也不弱是吧？也不是除了沃尔沃，你所有的车都买了，
[12:40.760] 是吧？咱们家买了三辆，那个都买了
[12:44.400] 保时捷、
[12:45.940] 奥迪
[12:49.620] 要考虑
[12:52.720] 的。
[12:53.670] 沃尔沃一国产化之后确实
[12:58.100] 国产化之后却什么？原来
[13:05.800] 您之前
