[00:00.500] 7月12号总是客户评估阶段，
[00:06.720] 你好，评估是陆王，这是我名片。
[00:09.090] 还有吗？
[00:10.370] 只有这几个M你看一下。
[00:15.100] 没有让。
[00:18.190] 第一次开车。
[00:20.410] SA4
[00:46.200] 数据
[00:47.290] 数据、
[00:49.340] 数据。
[00:50.800] 二
[00:51.870] 给你。
[00:54.140] 我们没电话。
[00:59.830] 您做一下您的车钥匙行驶本。
[01:02.670] 行驶本您
[01:22.230] 蓝色。
[01:42.910] 这
[01:45.850] 这里没有贵重物品。
[01:53.680] 一般
[01:57.290] 从那边进。
[01:58.390] 这边单上门三个。
[02:00.400] 这两字这边
[02:02.190] 后面裙子完善。
[02:05.030] 你们
[02:06.480] 进去上面接下来。
[02:08.140] 这上面，因为现在您给他那进门得那什么，先站到这儿来看，对。
[02:15.070] 还有
[02:21.850] 现在汽车维修保养都算算。
[04:22.350] 用天平。
[04:23.280] 估计没有我为什么吗？
[04:25.770] 很难进去外面偷了，关键是我哥我这穿着一直几乎再少一点，
[04:48.590] 拿今天一点
[04:50.190] 老公过来
[05:59.070] 6万块。
[06:08.050] 那块。
[06:08.960] 好，两边这边空着的。
[06:11.580] 出来了。
[08:01.640] 行，我这边完事了，到一会有结果告诉你。
[08:04.540] 好，我们继续上课。
[08:06.800] 新车得看什么车？
[08:08.450] 135。
[08:10.290] 黑色红那边。
[08:12.700] 楼上
[08:13.680] 从而挺进就从北京
[08:16.110] 走吧咱们
[08:19.640] 没有看到。
[08:31.190] 风水。
[08:46.140] 你好，曾先生，评估师卢。
[08:48.460] 您好，出示一下您车的行驶本车钥匙。
[08:53.830] 跟您介绍一下咱。
[08:55.130] 边的评估流程，咱这边还有一个静态评估和动态评估。
[08:59.330] 今天消云做一个静态评估，时间大概20分钟左右，
[09:04.240] 到时候会给您一个报价。
[09:05.930] 咱报价三个工作日有效，我觉得抬腿
[09:10.290] 到时如果说您觉得价格没问题，过来交车的时候，这边还有对行车进行一下试驾。
[09:15.540] 您告诉您车试驾的时候有什么需要注意的吗？
[09:19.890] 有个问题跟您验证一下，您车维修保养都是在4S店，
[09:26.060] 您车有没有贵重物品？
[09:31.730] 董志客户评估接待完毕。
