[00:03.370] 车号京A78938。
[00:18.160] 先生您电话多少？
[00:19.840] 180. 
[00:21.030] 180012012. 
[00:25.130] 2360. 
[00:26.430] 136。
[00:28.570] 8363是吧？
[00:36.080] 李某介绍他。
[00:44.280] 的
[00:55.390] 用
[01:08.030] 场。
[01:13.010] 证件您说好了，不用
[01:15.120] 给您开始说。
[01:17.640] 车里有贵重品需要拿走了。
[01:37.720] 装的是挣钱是吧？
[01:41.540] 呵呵。
[01:44.230] 就脸上有点要钱是吧？
[01:58.090] 碰什么你
[01:59.480] 碰到什么样？
[02:02.080] 车撞什么？撞车上
[02:16.100] 修得几天？
[02:18.760] 这人不好说，具体得拆开检查一下，完了看一下备件的情况。
[02:24.530] 如果说国内有货的话，
[02:27.600] 会快点，如果国内没货的话时间就长了。
[02:31.710] 杠了好了干什么还好，就里边得拆开检查。
[02:36.160] 我估计
[02:37.990] 预计8如果有货的情况下，这些有可能也照一礼拜到
[02:42.110] 10天左右。
[02:43.940] 如果说
[02:45.560] 没货的话，订货不玩期货，订货时间就得照了。
[02:50.220] 一个月
[02:51.280] 拆开，如果在卡里边晃动东西多了，有可能时间还能开车了，维修时间
[02:56.740] 天天在看，
[02:59.490] 别的没什么事了。
[03:59.240] 人休息。
[04:28.050] 车子开过来的吗？
[04:30.170] 都在这能找车吗？
[04:32.570] 可以找。
[05:39.360] 行车本在车里头
[05:48.200] 拍个照片
[05:50.700] 放给你了。
[07:08.550] 行，好像进去登记，我给你打张单子完事儿了。
[08:35.280] 隧道时修什么
[08:36.240] 程度联系了。
[08:37.600] 对，到时候修，您修说有什么问题？
[08:41.160] 维修进度直接跟我联系一下，一会把我电话给你。
[08:45.240] 电脑这个行不行？这个是我。
[08:49.420] 行。
[08:50.960] 为
[09:02.360] 行。
[09:15.760] 开始
[09:17.400] 点
[09:19.750] 的
[09:22.920] 开场。
[09:43.190] 我的电话也给你取单上。
[09:55.930] 这张单子给您，当您拿着汽车，咱现在。
