[00:00.000] 您致电百得利奔驰客户专员赵霜很高兴。
[00:02.610] 妈您服务，请问什么可以帮您
[00:10.200] SE叫泡。
[00:14.170] GRC轿跑是吗？260是吗先生？
[00:19.310] 您好，这照片说一下。
[00:21.840] G-C260，咱们这边没有现车的话，现在只有。
[00:27.920] 也行，您这车买了。
[00:29.370] 咱们。
[00:30.600] 300完了是吧？
[00:35.450] 没车我们
[00:38.780] 这边
[00:40.420] 上外地牌照是给不了优惠的，而且我们没车没有定价怎么样？
[00:46.870] 好的，
[00:50.840] 拜拜。
[00:51.670] 一三百交房有车。
[01:25.360] 您好，我这边是把一分成4S店
[01:28.360] 之间还会有关注我们第三买的轿跑车，
[01:32.050] 然后飞机接方便过来看车，咱们这车好看有照片了，去吃饭去了。
[01:39.520] Bye bye。
[01:40.960] 你不吃完泡面了吗？联系了。
[01:44.200] 是吧？好行，我给您发个我的电话，我没问。
[01:47.670] 跟你沟通好吧？您拿到合同有啥让您了客气了。
[01:51.470] 了。
[01:52.780] 有跟我还没吃过来了。
[01:59.120] 没有吃葡萄不？
[02:01.260] 为啥不？
[02:34.910] 你这第二张纸的吗？
[02:39.970] 我姐姐患了又我那栋楼的照片，
[02:42.960] 看完完了。
[02:46.930] 你姐上班吗？
[02:48.470] 我得上班在休息。
[02:51.000] 双休。
[02:53.330] 下午
[02:56.490] 你要有时间陪孩子找事是吧？
[03:06.350] 以后你就知道孩子大一点，
[03:08.330] 要有周六日真的非常重要。
[04:25.950] 今天在吃水果的时候吃到几条虫最可怕，
[04:33.190] 吃水果的时候看见几条中你觉得最可怕？
[04:38.790] 不用说医生的害怕，
[04:41.120] 吃饭鸟中最可怕，因为另外半仓在嘴里吗？
[04:44.330] 新号吗？
[05:02.990] 就去了这家今天爆发了这是。
[05:24.600] 你说过。
[05:25.520] 要53。
[05:37.550] 说就跟你。
[05:38.620] 你好好说话，你别跟我说。
[05:41.270] 咱俩得安排没关系。
