[00:00.490] 接待二次客户李先生试驾，
[00:05.160] 建成开通，
[00:23.730] 没一的钥匙，我刚才拿水泡着。
[00:30.960] 走吧，咱们。
[00:32.790] 千
[00:36.020] 的。
[00:41.850] 我去前台开一张卡，
[00:48.460] 放开卡稍等一下找一下量。
[00:52.970] 聊聊。
[00:59.850] 明儿给这拍像头后面
[01:10.870] 要不你打一电话他肯定在。
[01:13.670] 你说你1338120，
[01:16.880] 1338120381202898，
[01:21.280] 288李先生。
[01:23.390] 有。
[01:26.150] 走吧咱们
[01:56.210] 您直接开李先生。
[01:59.630] 女士那您坐后边。
[02:07.280] 然后接下来
[02:12.870] 这20栋里面没有300号是吧？
[02:15.660] 三百二零T发动机发动机也不一样，
[02:24.100] 雨刷器我那边我是您的这么往上在上行，对6了。
[02:29.200] 估计在2023年能达成10。
[02:32.720] 所以新专辑可能在网上看，咱们右转，
[02:41.850] 折上非常参加的是你是想刚刚为什么说的经常微博
[02:47.160] 还比较的把蜥蜴、F王子下面要听到yy里有的mm跟白，接下来回收电子要有专利为大家，你只要用这种字眼阶段的好音乐，有的C菌的，
[02:59.950] 我们明天晚上A plus节目再见
[03:09.640] 就抽了
[03:11.550] 原上这个位置看左下角或者右下角，然后现在好了，然后再上下左右调，
[03:18.500] 这也是要让您调整去试试。
[03:26.110] 1.5。
[03:27.480] 1.5，大道的电信的动力没有卖号。
[03:31.540] 对好的，没有电机300没有392.0K
[03:36.310] 咱们又准。
[03:37.600] 没有。
[03:48.020] 他说刹车异响，
[03:51.570] 一没有这SE
[03:54.000] 这不也是怎么样，
[03:55.970] 因为有GLC倒车的时候有意向，那也都是后18年的事了。
[04:00.670] 这个召回之后是因为那个问题，他不是质量问题，他是见那刹车里面那个店是进口的，这车多少公里
[04:09.820] 一样。
[04:10.510] 但是对一样的。
[04:12.040] 他刹车那件进口的跟国产的它这一匹配，它就会有个品牌的匹配度的问题，
[04:18.220] 后来换成国产的就没事了。
[04:21.050] 这个不说9折出新款吗？对。
[04:23.440] 他新款的老款有什么区别？我们也不知道没到那情况，我就没出之前不会工作，不是网上有的客户都看到了，说变成满天星的声音比较丑，
[04:33.760] 但是比如用到比如门的钢板，
[04:36.830] 这有啥变化不能不说诟病，因为我们的以前是
[04:42.010] 到现在进口版这里的破产，就刚才
[04:45.090] 国产一直都是gang的，一直都是这样，对。
[04:47.980] 但是我不是说这个搞不好，
[04:51.000] 您铝的就好。
[04:53.500] 女的多轻，对，那清完之后那女的你成本用车成本也很高，如果这一蹭的话，那女的是修复不了。
[05:01.320] 你只能是换，你觉得是宦门那成本不就更高了。
[05:05.020] 咱水多少轿车基本都是脏的，对都是高，没有全铝车身的没有。
[05:11.250] 您说一级标准都是铝的，我们都不知道。
[05:16.350] 不是铝的都是刚的，对，所以说您说E级标轴的是铝的，300也。
[05:21.720] 李娇不是也刚的，我没听说过是铝的，所以说你要说是与时与的，我还真得给你确认一下，我还真不知道都够用。
[05:28.930] 我还真不知道那是铝的，我系奔驰是没有车身的。
[05:32.480] 温存管理，对，可是我觉得这的东西还可以。
[05:36.840] 没有他们说。
[05:38.860] 所以这东西还是自己是自己开，因为奔驰里边卖的好的车型全都是国产的一支SC
[05:46.480] 而且是所有品牌里边都是销量领先的，所以这东西没法说。
[05:51.480] 您刚才的
[05:54.000] 理解有人说是太好，比如说是刚才特别好，当时就说好修好。
[05:58.540] 管一下，
[05:59.600] 行了，你就得贴吕就得切，您到时候您这个车咱们难免有可能会有一些剐蹭蹭，这谁也不希望发生这种事儿，但一旦您铝的车身你一旦切了之后，知道你这个车你在卖的时候，
[06:12.270] 您开个5年6年，只要你切完了你再卖，你这车就属于大事故车，
[06:17.350] 折价会很低的，一般的车都是高的，我们真没听说过。
[06:24.130] 但我真没听说过是哪个是女的，本身肯定不是旅客就是了，对他现在说为什么说E300这边好多
[06:33.140] 问题。
[06:35.350] 您在网上看的是吗？
[06:36.920] 您朋友开这车他觉着有什么问题吗？网上的东西咱就别信了，就像争平者，
[06:42.850] 包括这对自媒体都是花钱的，你要是给他点钱才能给你说得很好，
[06:49.200] 这东西就没法信，真的只能是说您要身边朋友开这车，
[06:53.400] 他真的是开这车，然后他就觉得这问题真的很多，我觉得这个是实打实的。
[06:59.920] 你看我那个客户他
[07:02.630] A宝980，低保的话1200，
[07:05.320] 低保是多少？2万公里。
[07:07.640] 1万公里一保财包括你低保，
[07:12.340] 刚才我上午定一的客户，他订了一三百十三百了，他就怕他10月份指标才能下来了。
[07:19.110] 我说给你留不了那么长时间，他说我现在把钱全都交了，因为他就不想让新款。
[07:23.990] 等于现在也在清库存是吧？
[07:28.690] 多少钱不存，现在还在生产。
[07:30.630] 9月份应该不生产了，但如果我要是9月份出的新款之后还能买到楼盘应该买不到，
[07:36.170] 咱们前面掉头就出来。
[07:38.740] 就是说新款车老板就车库存的有卖，对，而且一般的情况下，新款的衣车
[07:49.680] 首先价格优惠肯定比，然后老款的车就开始所有客户该涨了就犯这个毛病，一直都是去年这S也是中期改款，
[07:58.020] 觉得老款的好看，老婆的好，对就开始你还没有老款那什么。
[08:03.890] 对，你们说的就是新车了。
[08:08.300] 这款价格还会讲。
[08:10.260] 哪一款？
