[00:00.000] 我想看MB
[00:02.250] 来证明。
[00:03.290] 你可以
[00:04.740] 我要借这个。
[00:06.650] 忘记了，我等的是驾校C260吗？谢谢。
[00:11.040] 为什么？
[00:12.960] 我打电话给你，明天谢谢。
[00:16.480] 不管什么了之后
[00:19.380] 好像
[00:21.370] 你就站那里关系吗？
[00:28.280] 110
[00:33.630] 357。
[00:35.700] 你好。
[00:38.880] 我没说要美团，我知道了。
[00:42.280] 我说在哪？
[00:43.370] 过来你看。
[00:49.200] 王经理你说的一属于小团队，您早日把红圈给我，跟我这来就行了。
[00:55.610] 您好，车先生您在什么位置？
[00:58.720] 走二楼，我上去接着身上了。
[01:03.230] 接待好。
[01:11.080] 就问他更换一回事。
[01:14.280] 上午我前天开一卡又来刘帅，
[01:18.210] 我这跟客户谈下来，我说
[01:20.720] 我说试驾流水单独完了到那就几句话，但是您激活怎么做，您那也这么着了，用
[01:27.450] 了。
[01:28.710] 这个颜色它没有谁说的牙膏和
[01:33.530] 装的有
[01:35.800] 有好几个月以后，
[01:52.840] 给我带一个录音笔，
[01:56.030] 哪是吴先生哪些车先生？
[01:58.400] 吴先生从那边。
[02:01.240] 您是车先生。
[02:04.990] 你先接是吧？
[02:07.250] 就在重庆那边。
[02:08.610] 先生你好，我是咱们店的AMD销售主管董志，你好好先给你宣读一下咱们这服务公约，客户为尊以礼相待，诚信经营合法得体，
[02:17.610] 明码标价，公开透明，pet促销信息公示在销售环节就不回报销售，
[02:22.170] 绝对不捆绑销售全是消费，
[02:24.090] 售后不使用检验一次通航。
[02:25.900] 监督电话4008181188，
[02:28.340] 然后
[02:30.910] 有他们拿
[02:32.240] 前面那块一块白色的看板，那个是我们的公示板，上面有公式的价格，还有
[02:37.560] 还有服务类的，然后前台还有精品类的，
[02:40.610] 然后出来卖mg的授权以外，还有卖半个的数据，
[02:44.860] 然后店里还有特价的拍卖车，
[02:47.510] 现在店里这车几辆两？
[02:50.800] 就俩对。
[02:52.920] 我看楼下好像有云，还楼下那台是车架车吵架特价车选了6万多装饰，
[02:59.670] 就是6万多的配置。
[03:01.380] 有什么主动驾驶？
[03:03.380] 抬头显示器，
[03:05.360] 然后柏林之声，然后放盘旋钮内。
[03:09.250] 对，没有了。
[03:11.270] 没有朋友对。
[03:15.510] 但是黑龙我现在
[03:17.210] 对那段时间。
[03:18.600] 您报实价。
[03:21.290] 42万多。
[03:22.650] 12，所以在这
[03:26.440] 你说指导价选完了装东西知道价就46万多，咱就坐着，你要是看车
[03:33.370] 来看看我看一下，好，开始看车之前
[03:36.740] 没看过这两天了，
[03:38.570] 这两箱不是能选。
[03:41.410] 但是这都不大。
[03:42.770] 得定。
[03:43.890] 这本身就是同意，对肯定是有的。
[03:48.280] 你说
[03:49.880] 给定下来，你说我说的是比这还有一版的满分极端，但那个不说我没法用。
[03:57.060] 那里头是不是？
[03:58.900] 不是。
[04:01.160] 谁知
[04:03.970] 你别人看到了，
[04:05.670] 刚刚
[04:11.920] 没钥匙。
[04:12.880] 这既不是吗？那机器不是。
[04:20.770] 那一个是
[04:23.050] 实际上我说的这
[04:28.540] 您现在看看什么，我现在是开的太大，那一刻我是准备自己造一个，我有经常
[04:36.650] 可以把那个车指标
[04:38.440] 摩托车怎么什么时候买？
[04:40.680] 不懂，反正我想问就想看一眼8月9月份，
[04:44.080] 你看8月份不是要上C rs波CA然后9月份的话听说这个是有改款吗？
[04:50.350] 没有没听说这个过程。
[04:54.770] 我想知道能不能到时换个头。
[04:58.270] 我基本上就最近
[05:03.120] 哪能坐会儿。
[05:07.880] 我给你拿给你看一下。
[05:09.550] 第二个，
[05:13.880] 你只有两个选择，一个是重了我一个从
[05:21.060] 你看看那桌椅，
[05:37.610] 这意思就是硬点。
[05:40.880] 这块
[05:42.920] 这里的
[05:46.580] 调节调
[05:48.950] 包裹性，
[05:54.160] 1。
[05:57.920] 你说的硬就是网面这块。
[06:00.340] 我说这个座椅比那坐一薄，
[06:14.400] 这是不是选装之后就没有调整的调整，对没有了。
[06:41.440] 这是标配。
[06:42.410] 这车是限行特别版。
[06:49.070] 对，没有那种。
[06:54.420] 你的预算多少钱？
[06:56.070] 我预算就40左右。
[07:00.640] 差不多肯定够。
[07:06.140] 咱接着聊。
[07:07.260] 在找这。
[07:09.410] 一下了。
[07:11.190] 大家这里边算了，
[07:38.230] 大概得8月份9月份。
[07:41.550] 那都不着急。
[07:43.020] 你骗两厢三厢呢？
[07:44.830] 3800。
[07:47.710] 3000确实没听说要改款。
[07:52.010] 你现在
[07:53.270] 报一个价，比如说你现在时间，
[07:56.570] 我现在想的配置有柏林之声、红内室，然后龙骨还有小鸟，
[08:03.830] 就大概这样。
[08:05.680] 要什么茶？
