[00:05.760] 场、场、
[00:10.130] 车牌号是京MQ1519。
[00:12.750] 场
[00:15.030] 的。
[00:18.050] C 260. 
[00:25.440] 导航软件升级。
[00:31.000] 规定
[00:34.880] 三。
[00:36.980] 吗？您是张女士。
[00:41.040] 隐患跟您核对一下，18600271298，身份证号是320684
[00:46.010] 19900619544X。
[00:49.420] 没问题好。
[00:51.590] 数据
[00:53.370] 场、
[00:54.440] 场
[00:58.000] 数据
[01:09.810] 坏
[01:16.650] 数据
[01:18.800] 七
[01:21.320] 的
[01:23.330] 数据
[01:24.710] 数据
[01:26.900] 的
[01:28.350] 数据
[01:31.920] 场
[01:38.830] 坏
[01:40.040] 坏
[01:46.390] 数据。
[01:52.260] 远场
[01:55.360] 场
[02:00.430] 场
[02:01.590] 了。
[02:03.930] 数据。
[02:05.970] 场。
[02:07.340] 场。
[02:13.390] 检测怎么了？
[02:15.370] 那个里头我给你打电话，没有，我刚才跟他说了一下，他说他找一下车间，
[02:21.230] 车间告诉我没个两三天这车出不来，
[02:24.430] 车间都不跟我说的，然后我就跟你叔说了，我说你说我车间跟我说了没两三天出不来，
[02:30.080] 他说行，我跟车间联系一下啥毛病，
[02:33.680] 他得拆前杠，
[02:35.110] 把大灯拆下来才能看见漏不。
[02:38.390] 是哪漏是裂了还是？
[02:40.740] 拿着一原来你们碰过这种情况吗？
[02:43.860] 碰见过有大豆的，
[02:47.000] 但是很少，
[02:49.500] 一般都是受过外力几的裂了，他们没受过外力，所以说他得拆迁放茶。
[02:56.870] 然后他看完以后，
[03:00.050] 他得做一个大灯测试，还得拿就一个真空泵一样的东西接到大灯口，然后看看他漏不漏气泵能测出来。
[03:11.260] 然后
[03:13.640] 就看看外边有没有裂裂纹，但是如果要是拆下来明显有裂纹，不用动不动
[03:19.370] 很明显的裂了，他就不用那么错了，你一个大能多少钱？
[03:24.500] 没事。
[03:25.680] 怎么着也得11万多块钱。
[03:28.570] 但是你露不露的，
[03:30.860] 你那车已经拖了三年保修期了，他也没有
[03:34.040] 能不能给你？
[03:35.910] 有什么办法？
[03:38.090] 联系你问问。
[03:42.420] 就是这么个情况。
[03:50.870] 数据
[03:53.360] 行。
[03:57.900] 这个点
[04:05.560] 从SD卡安装兼容的导航软件，
[04:13.680] 或咨询梅赛德斯奔驰授权经销商进行系统软件升级。
[04:22.400] 打。
[04:23.600] 了
[04:34.620] 一
[04:38.920] 坏数据
[04:44.880] 坏
[04:46.550] 数据
[05:16.360] 三
[05:40.440] 咱们现在功能数是
[05:42.200] 22,791。
[05:44.090] 一两千七百九。
[05:51.400] 的。
[05:54.400] 出
[06:01.320] 三
[06:03.280] 车里没有贵重物品。
[06:18.450] 的
[06:21.020] 三
[06:23.680] 花，
[06:27.550] 谁知
[06:33.100] 话
[06:39.190] 的
[06:40.080] 的
[06:42.620] 远
[06:45.330] 数据
[07:08.900] 刚才说那车停哪了？
[07:10.210] 洗车房怎么会堵着呢？
[07:20.000] 不着觉关键。
[07:22.270] 那车不走，
[07:24.620] 你知道明天才去。
[07:25.910] 明天就今晚上，下雨倒不说。
[07:28.570] 您能帮我查一下我车上次
[07:31.440] 多少万公里保电了？
[07:33.230] 万公里这样稍等。
[07:36.510] 你看距离下次管。
[07:38.330] 多长时间了？
[07:41.000] 的。
[07:47.790] 远场
[07:49.850] 数据
[07:55.710] 场
[07:56.900] 77
[08:05.380] 数据
[08:11.030] 数据。
[08:12.510] 五
[08:17.240] 数据
[08:21.920] 五
[08:23.900] 坏数据。
[08:30.740] 的
[08:32.150] 数据。
[08:35.020] 坏数据。
[08:36.920] 数据。
[08:40.530] 场。
[08:43.810] 场
[08:47.080] 数据、
[08:52.550] 场
[08:57.220] 数据
[09:00.090] 场
[09:02.600] 的。
[09:11.760] 五
[09:15.940] 的。
[09:21.920] 看一下。
[09:28.770] 你买回去后面了。
[09:30.740] 一块。
[09:33.430] 快点过来。
