[00:01.290] 开始接车。
[00:06.070] 京N
[00:07.120] H 00P
[00:27.100] 车里边有没有什么贵重手头需要用的，一会儿？
[00:30.760] 我那什么时候
[00:33.300] 一会刚办完事，我经常
[00:35.300] 你现在就叫现在就掉，
[00:37.470] 一会就能完事了。
[01:04.840] 高发现
[01:05.680] 速度文化了，
[01:08.430] 包括高调侃车身上稍微有点摇晃的，
[01:12.170] 我就感觉车底下有点哥哥。
[01:17.240] 你是感觉是这次撞的了还是原来就有，原来没有？
[01:21.350] 可能没有。
[01:22.380] 你得到机修那边去登个记，
[01:26.810] 让他们给你是出问题来，然后之后刚才在四环刚刚出路刚出来的都是
[01:33.590] 漏，因为这东西像你这样说，让人想生的话没法这定损没法定这项，
[01:40.170] 只有他们这边确诊完了之后才能染什么，
[01:43.320] 然后再汇总各类人保险公司跟保险公司，比如说你说是减震坏了或者什么坏了是吧？
[01:50.110] 再汇总人保公司办公司认可，这就搁在保险里边，如果办公司不认可再协商，
[01:57.730] 这么一个过程。
[01:59.600] 比如他认为你这响声他撞不出来，这是我就跟孙宝君说句。
[02:04.170] 对。
[02:19.880] 我把这两行当管理
[02:22.520] 基本上差不多都得换，
[02:24.830] 因为玻璃没法修。
[02:27.070] 所以我没有
[02:30.210] 还得跟他谈磨这事儿。
[02:33.480] 我就在那
[02:35.570] 完了就买。
[02:37.720] 别地儿也不是在三线。
[02:40.070] 帮我。
[02:41.000] 我有保险跟我没关系，
[02:44.530] 也说要说有关系也有关系，双方没关系也没关系，因为
[02:49.620] 他保险公司他得承担您这个费用，
[02:53.190] 但是比如说要是什么，他说在4S店贴柜，
[02:57.110] 然后您模不是在4S店贴的，
[03:00.770] 但是价差有差价到时候
[03:07.470] 如果我就说4S店，
[03:10.090] 后来出去正常
[03:13.110] 那边查不到您没记录。
[03:20.730] 然后他说回头
[03:24.530] 保险公司还会出来人。
[03:27.570] 一会你把他联系电话告诉你，
[03:31.570] 他们是一个小公司，
[03:34.120] 保险公司再小，他也不差钱，
[03:37.760] 其实为什么跟他弄一下午？
[03:40.200] 他说保险公司人说他之前
[03:43.610] 他们物流公司车已经有两三台车都在押着到现在，
[03:49.850] 车主出车了，会起来对他们说不是保险公司的事儿，是他们物流公司的事儿。
[03:57.800] 对。
[04:00.000] 所以我现在就怕
[04:01.620] 我就跟他协商一下，最后都栋10也来了。
[04:10.120] 这个事。
[04:23.250] 不能接车还是？
[04:24.490] 和保险理赔这一块，保险理赔这块，
[04:28.350] 像正常这种
[04:30.060] 这像我这种备课算了，来了之后也是
[04:34.950] 明天
[04:35.960] 先到保险部登个记，因为保险部的人都5:30下班了，徐某说让我等会您。
[04:42.020] 然后今天是转到保洁中间去，
[04:47.380] 这个不是说转到孙宝君安部门。
[04:51.610] 其实都一样是吗？
[04:52.960] 不是不一样，各干各的活。
[04:58.190] 说你们都是对售后车间对我们但是就是说他们是正常停车，你们是保险理赔。
[05:04.220] 这一块对。
[05:05.360] 是这样的，明白。
[05:11.970] 他们负责维修这块，我们的负责保险理赔这一块，
[05:17.710] 口不一样。
[05:20.350] 所以为什么说就响声咱们这边的师傅弄不了，
[05:29.560] 然后我还跟那谁说，
[05:31.810] 我说
[05:33.240] 因为孙宝军他也把寻访电话给我，
[05:35.730] 我说
[05:37.160] 我跟徐某说，我说他能不能把我放下了和迪卡呢？
[05:41.670] 到楼里头，然后后来我发现了人后保险杠这一块也都关
[05:46.860] 了，也不用走了。
[05:48.540] 然后我唯一想到原来要换变速箱油，
[05:52.600] 变速箱油和什么？
[05:55.360] 电流，然后回头你看看能不能帮我留一下。
[05:59.920] 这个明天您还是跟徐某说。
[06:02.810] 这种说是对咱们这边还真正不了干不了这个。
[06:08.220] 因为
[06:09.620] 后来原来这是我让电动车给撞，把这个撞不了，
[06:13.750] 然后后来我看这不也被刮了一下吗？
[06:17.120] 所以也不用跟他说
[06:19.950] 了，然后这儿原来这底下是我花，但是这是今天下午新装。
[06:31.400] 这个东西
[06:32.500] 我在想，
[06:33.320] 如果
[06:34.360] 面积的钣金喷漆和化脓的话，将来对于卖车的话受影响大吗？
[06:40.240] 肯定会有一定的影响。
[06:42.840] 这个钱的金额是不是也差不了太多？
[06:46.760] 能差点登录吗？
[06:48.290] 按照我现在
[06:50.010] 设置吗？
[06:52.270] 因为就是说我觉得现在也不是
[06:54.890] 我们46万。
[06:57.030] 哪年的？
[06:58.510] 一年。
[06:59.610] 14年到现在6
[07:02.220] 438,000。
[07:03.930] 我刚才看您的车厢号码，LE4的应该是合资国产的对不对？
[07:09.430] 国产这批应该40个来，843马云还是
[07:15.830] 超长。
[07:17.530] 不是你卖二手，将来就这个东西厂子
[07:21.080] 可能采购常常慢慢他也就那样，也估计目前为止到您这种程度，这6年六七年的车友就这样，
[07:29.010] 也不会像修车一样都要两三万，对，你比如说什么到新车的时候，那边1月一开始就两三年的时候贬得特别乱，
[07:38.490] 像这种一辈僮放松
[07:41.150] 人就更大
[07:42.040] 了，对新车没有也无所谓了那种，这时候敢年代长了，他要说有影响吗？肯定会有影响。
[07:48.900] 影响就非常
[07:49.660] 不对，不会特别大。
[08:45.080] 你看叔叔在帮咱们检测车吗？
[08:51.060] 说说行。
[08:55.330] 有点害羞。
[08:57.640] 没睡醒。
[08:58.750] 我一下我装得了装。
[09:04.590] 咱们一会就回家。
[09:08.110] 142,320。
[09:15.270] 您进来
[09:16.970] 该怎么样进行？
[09:18.170] 我在删除。
[09:19.400] 我在奔驰这边，
[09:23.600] 1342329，
[10:01.630] 现在是142,329公里，
[10:13.020] 玻璃上面蹦乐大典在那。
[10:15.770] 您说行动的。
[10:19.060] 在香港有个大表，
[10:21.040] 怎么称呼正好是还好。
[10:25.640] 中间旁边
[10:28.950] 134三个6 72921。
[10:50.120] 你们没有代步车。
[10:55.530] 因为好多4S店不都有开车吗？
[10:58.490] 百利这么大集团没有，也不知道说哥们说实在的，
[11:02.890] 我这在这行干了将近20年了，你要说真是有代步车的店，
[11:08.480] 据我所知不是噱头的，
[11:11.420] 没有三家或两家的，
[11:13.790] 有这
[11:15.030] 还有个4S店都是这种图都属于机动机吗？
[11:20.060] 不是他怎么说的，
[11:22.070] 你要真要是弄得打S你弄个四五十万，
[11:25.980] 修车花了四五十万，你想怎么想办法也给你对利润，但是他也有一个时间段，
[11:32.670] 因为你比如说大S位置，他俩配件从比如说从德国，
[11:37.760] 中国没有从德国订弄个两三月，他也不接这个意思。
[11:41.210] 我明白了好几天了，对，给您个三五天一星期。
[11:46.900] 也冬天还没上好
[11:49.860] 他们了，您说您开大S给你I说说是不是怎么
[11:55.050] 等到咱上屋里玩是吧？需要给你什么东西吗？
[12:01.880] 他驾驶证行驶证他保险公司那边都照了是吗？
[12:06.150] 我这都有照片。
[12:08.840] 他保公司去了之后都照着都照过了。
[12:13.040] 你说他的信行驶证您这边的
[12:16.520] 我这头的行政兜里都照顾行驶证驾驶证，然后交强险，包括我的身份证，还有我的银行卡，我都给他微信，我发给他。
[12:24.650] 行，我这边就不要了，就要一个他那边保险公司的定损员的电话就行了。
[12:31.090] 然后行驶证和驾照你也需要对她要交货了，我们就需要
[13:07.480] 30多
[13:09.360] 给交警报案先沟通，从远程
[13:20.560] 好像是
[13:24.710] 王寅刚才他说有个想，你到你那边登个记，
[13:30.850] 什么还说跑起来响，
[13:40.990] 的
[13:47.280] 话
[13:54.350] 谁知
[13:56.590] 这就告诉再告诉你，
[14:00.350] 谁知
[14:02.050] 谁知
[14:05.390] 不过
[14:07.040] 共同
[14:09.130] 的
[14:10.600] 听讲，
[14:12.130] 相反的，
[14:14.040] 还有
[14:15.790] 看对方有没有关系？
[14:20.640] 先是
[14:21.990] 你这边是得试试
[14:26.140] 观点这一块
[14:28.360] 花
[14:30.270] 远远
[14:41.520] 场
[14:42.700] 花
[14:44.110] 的
[14:45.570] 句
[14:47.960] 数据
[14:50.370] 数据、
[14:54.610] 数据
[14:55.390] 花
[14:58.320] 远场
[15:05.790] 不了还是得需要你这边介入。
[15:12.400] 检查你刚开始跟徐徐了快什么？
[15:20.930] 现在目前还是他是车到了，我平常也跟他电话联系，就目前为止它这种状况如果说有显示，原来不想撞完了之后，想目前为止保险那边估计有点悬。
[15:34.090] 选先查，所以说你那边先接触能查出什么问题，
[15:38.620] 你开单的是怎么开发，我这边只能是右侧报价，可以没问题，你这边咱先
[15:45.530] 先插哪儿行，你想跟跟着有关系肯定跟着一块的，没事，我那还换变天油，对你那边先差小。
[15:52.920] 我这边车站什么1:30会儿它动态。
[15:56.100] 我这也动不了现在。
[15:58.300] 里边排着队的，你也知道什么情况，
[16:01.300] 你那边至少先登记上头。
[16:03.740] 是吧？因为咱们说这包工，现在你跟保险公司说想他怎么定，
[16:11.180] 是吧？这是后轮了，除了后轮了是
[16:15.150] 什么沾点土也算小。
[16:18.620] 我是不是没事到时再说。
[16:22.360] 我也说吗？
[16:23.840] 王永红说你没收到吗？
[16:26.920] 就是他什么？
[16:28.950] 怎么看了？
[16:29.860] 中国怎么办？英大合作大，英大对保险公司不是差不了，行应大事从他公司是中国
[16:38.890] 终端店，然后是他们那边付款，这才能
[16:42.620] 最后扣完，不管什么东西，我电话最后当时就跑路了，不问题了，他说不行还代为追偿跑不了。
[16:51.080] 为什么啥？你说我抱你吗？对，他们走了他们不认识你，这保险公司
[16:56.750] 找他们的
[16:57.840] 交警都出单子了，那就不可能没事。
[17:00.290] 都受不了了。
[17:03.000] 什么都行都不到，但是有限公司都那交警都不耽误了，最后110我都动了，我要扣他那里的驾照什么
[17:11.010] 可能受不了，交警他都没这权利，后来派出所协商把驾照还给了，把身份证和行驶本，
[17:24.940] 工作。
[17:26.520] 上班是我的电话。
[17:29.480] 你也好好谢谢你，没事，我收拾完了之后什么收了你就走保险，
[17:35.320] 定损材料能出来。
[17:37.870] 现在今天他们公司盖章就没盖出来，
[17:43.500] 因为之前跟我说什么，之前理赔员说他们公司现在之前还有两三台车，现在车主
[17:51.070] 在4S店押着10多天都提不出来，车就给，
[17:54.340] 因为定损这块估计1:30会也出不来。
[17:57.770] 其实我这边保险他先报价，
[18:01.650] 我这台车得多长时间？
