[00:07.410] 保养
[00:11.140] 一下。
[00:20.400] 刚才介绍留了一下，
[00:26.590] 把
[00:27.800] 性平台，
[00:30.300] 家庭
[00:34.560] 相当于
[00:37.280] 最后谈的时候，
[00:38.920] 我就尽量帮我把酒钱
[00:42.470] 拨到我们头上，
[00:45.100] 练车，
[00:48.150] 我买了他已经来了。
[00:52.440] 您好，我小张。
[00:54.930] 玩完完了对完活了您过来了，可以没问题，你现在来找我的时候，
[01:02.630] 然后在问问我，问问您，
[01:06.470] 这样我不会占着，您到前台您别过来了。
[01:11.390] 好吧，我过一下账他们都做。
[01:15.020] 先了解情况。
[01:25.220] 五
[01:26.660] 冬天
[01:30.300] 4
[01:33.000] 五
[01:34.530] 一。
[01:35.320] 对好吧，好谢谢。
[01:37.920] 我给做高校。
[01:42.160] 没事你先
[01:47.160] 你可以参照走访我这个系统您好，是保养是吧？学长你先把第一件是记下来，
[01:56.030] 这不有召回吗？一直没接到电话，然后那天你们有回是吧？同事
[02:02.090] 打电话问我告诉她我一直没接到电话，我看一下这里就这一台车是吧？
[02:09.820] 这款车到你
[02:12.160] 有你查一下。
[02:15.880] 因为那个还有要安全气囊了。
[02:19.970] 起皮了是吗？你没看到吗？
[02:25.920] 行，你订货话没得走个流程吗？
[02:32.340] 你还用这单子还有兰子能了吧？
[02:38.790] 然后我再给你讲一下了，
[02:45.600] 的
[02:58.970] 回看一下
[03:02.630] 数据
[03:06.950] 坏
[03:09.410] 的。
[03:11.790] 的
[03:14.100] 谁知
[03:17.320] 没有您车要在您这还得到了，那是做预检去了。
[03:22.360] 给您先检查一下大概的出点状况。
[03:26.820] 如果你把这几件事我都跟你说了，等会我看一下，
[03:32.020] 他说有电相等，
[03:33.780] 您比较简单加一个垫片。
[03:41.030] 是气囊的是吧？
[03:42.560] 是不是气短？
[03:43.900] 高田气囊还没开始，
[03:46.220] 反正是通知召回他这事了，他就是转向柱那块有一个垫片，
[03:53.430] 加个垫片。
[03:54.780] 不是不管了，对，简单你们再给弄一下。
[04:00.480] 我说我这个事两伙经常打不着，
[04:05.290] 什么反应？当然就是一点反应没有，后来晃晃的方向盘。
[04:11.040] 好了明白，好，是数了吗？比如说10次能出现几次？
[04:16.650] 原来是偶尔10天8天能出一次，
[04:20.930] 不是10天8天，
[04:22.380] 一个月半个月处理完就比较低了，后来逐渐频繁了，
[04:26.800] 可能一个星期出一次，一星期一次，
[04:31.070] 有时启动没反应，是这意思吧？明天不在对吧？这一点反应并没有说没法保证。
[04:39.290] 就走了行。
[04:44.540] 没法。
[04:45.670] 这车呢
[04:47.390] 去哪儿，谁知
[04:49.270] 别的还有啥问题需要传吗？然后就要保养。
[04:53.560] 然后还有一个问题比较重要，
[04:57.280] 在路上跑的时候方向盘总往一边跑偏，
[05:01.280] 这是思路定位，还是另外共性的定位，都没有两码事，都明示斗
[05:08.470] 定位是跑偏好的。
[05:11.230] 遇到
[05:13.190] 不平等的罐头，两个的话找多少人？
[05:16.820] 是吧？反正肯定把都放一个老哥的，换个轮胎啥的吗？
[05:21.970] I3
[05:24.780] 因为您那年头应该还放
[05:28.280] 待会等会师傅查完之后看一下看看。
[05:34.040] 但是这个问题不是一直有最近有一个地方的严重，因为这种您反映这个现象就跑偏之类的现象，他肯定就是无时无刻的
[05:45.640] 什么路况都会出现，
[05:47.380] 对吧？就正常比如说四环上跑，特别也有录的时候也得跑，
[05:55.830] 有一天录音
[06:00.000] 左右
[06:08.480] 检查完了。
[06:14.000] 检查右后轮胎装满的刹车盘磨损比较厉害。
[06:22.170] 张
[06:28.500] 保养提醒，谢谢。
[06:42.690] 介绍我先去看一眼轮胎什么情况。
[06:48.220] 我看一眼。
[06:55.160] 话
[06:57.130] 数据
[06:59.890] 花
[07:02.320] 数据。
[07:04.190] 数据
[07:05.670] 可以。
[07:07.590] 艾磊不再挺难了。
[07:11.670] 也没看到
[07:51.680] 怎么骗。
[07:52.520] 他不要了。
[07:55.760] 这没什么，要是
[08:00.800] 我给他打电话了。
[08:02.380] 开了。
[08:05.040] 没，我这正接车。
[08:07.890] 等会走流程走你的流程。
[09:31.160] 分数。
[09:32.660] 我看了一下轮胎还行，
[09:35.910] 那就做定位。
[09:38.040] 做定位，然后看看定位数据，然后要数据比如说偏差特别大，
[09:44.780] 就有可能有硬件形状有问题，要不会偏差特别大，咱调整到标准数据时范围就OK了。
[09:52.430] 但如果老车相对来说
[09:55.000] 轻微的有点
[09:57.020] 表面现象，或者您说的抖动现象就比较轻微，
[10:01.200] 可能会有您要说觉得很严重，
[10:06.070] 你必须强制对就特别强制了，那就不是标准的，正常来说就是以新车或者
[10:14.350] 过多年车也好，标准的跑偏的情况是这样。
[10:17.560] 手轻轻带着对，稍微给点力，对，不可能完全不给力，明白，像比方说有人觉得
[10:26.510] 就相当于三码，
[10:28.700] 扫码人都能正常走路，会有轻微的条款挺长，时间稍微有一点，跑一段跑一段会有一点，这不行你
[10:38.530] 忘了明白对。
[10:42.900] 问了一下，
[10:44.250] 然后我先用一下您的驾驶本或者身份证做一个登记。
[10:48.760] 这车最近的保养都在哪做？我看三天纪录目前
[10:52.880] 在有一个会员那边也都是您推动的是吧？
[11:09.000] 我看一表显示咱是该B宝了，
[11:14.520] 待会给你打一个三绿一些。
[11:18.810] 原来好像是刘女士的媳妇
[11:27.700] 改一下。
[11:35.810] 电话尾号8919这个是吗？好。
[11:39.120] 等等。
[11:41.010] 我说
[11:42.590] 来您说ALH112，其他百官有一些小的剐蹭，
[11:49.030] 这个还用吗？不用了，我登记完了扫完了。
