[00:42.280] 为
[00:44.500] 孙陈小姐
[00:45.980] 帮我开张卡。
[00:50.380] 1760024。
[00:53.320] 22446。
[00:59.570] 524是吧？
[01:00.980] 对，二次，谢谢，看完了拜拜。
[01:09.810] 那人车那边要是一星期给您过户是吧？
[01:12.660] 对，那处比较快，一个月够用。
[01:17.110] 二小时多开几天，林长跟我说。
[01:33.050] 现在这车价钱便宜点。
[01:37.080] 比以前便宜点。
[01:38.530] 第
[01:53.070] 这个是我的还是我爸的？
[01:55.180] 您那手机号的。
[01:57.080] 给他发回来了。
[01:59.600] 那就是输入。
[02:01.800] 应该是一个对。
[02:57.100] 点开这个活动。
[03:00.030] 这就是我刚才给您打印的。
[03:08.970] 3月份
[03:09.900] 的。
[03:10.760] 而且
[03:13.560] 在前面签字，对点确认签署，
[03:16.860] 然后电子签名，然后让输往上写字就行了。
[03:21.350] 写一个字，对，不是就一个字一个字写一样的。
[03:25.290] 这不是你写也不让书写。
[03:29.690] 写着。
[03:31.090] 不用描他。
[03:31.950] 您正常写就行，他就感觉要写这样字。
[03:36.500] 的
[03:37.690] 小。
[03:52.430] 好勒，然后您应该也收了一短信。
[03:55.150] 没给我，我同时发的两个人。
[03:59.870] 您这不是在微信里边找，就在短信里面。
[04:05.950] 应该屏蔽了吗？
[04:08.070] 您点的更多。
[04:10.390] 骚扰拦截对，第一个应该就是
[05:00.680] 的。
[05:05.880] 这要不这要是组合人家指标，人家要不不愿意给弄了。
[05:10.340] 就不行，对这样种地就好多人不配合就不行。
[05:17.520] 现在都是电子控制。
[05:19.610] 对。
[05:21.170] 但是您打印出来一块您留存了。
[05:25.210] 明白了。
[05:31.770] 您这就是两块存在，第一个合同下边还有号卡，
[05:35.340] 这个也保证保证人。
[05:54.710] 这是前一个还是前两？
[05:56.610] 第二个对。
[05:58.240] 这就是授权从您建行那卡里边自动扣月供的，然后健康之后可能还要做一个授权，
[06:04.340] 给您发个信息，或者通知您什么帮您
[06:08.800] 再配合一下就行。
[06:11.370] 然后点确认清楚。
[06:31.240] 好了可以了。
[06:32.280] 然后待会
[06:34.490] 那就是10
[06:35.830] 15号这天我上午下午还多心。
[06:39.160] 不是，她一般扣款都是15号早上。
[06:42.920] 15号早上对。
[06:45.740] 您。
[06:47.110] 二要把车开走吗？您要今把车开走的话，那就只能是今天激活。
[06:51.870] 行没事。
[06:53.580] 今天订货再往前扣。
[06:55.390] 对，然后又早上扣。
[06:57.440] 没事今天试试，今天是15号。
[07:08.690] 今天15。
[07:16.950] 这购置税啥的试试金石交还是到时候再
[07:19.960] 我们这指标车咱才能交着。
[07:23.000] 等于指标。
[07:24.810] 说这个单子需要您帮我签个字。
[07:28.650] 您郑恺在这
[07:43.290] 好了也谢谢。
[07:44.570] 没了，对就好了，然后写你待会二嫂一发票就行了，行。
[07:59.460] 外观啥的不用。
[08:01.170] 看过了。
[08:02.490] 完了。
[08:03.430] 您看过看完展厅还要拍照，咱也得看得太好了。
[08:10.560] 待会再给您讲说。
[08:22.370] 说跟我一块回去，
[08:27.210] 他昨天回家今天又上来了，
[08:29.900] 这夜班上着夜班这边的
[08:33.010] 说说上了，
[08:34.800] 学习不出来了。
[08:36.360] 4:30。
[08:39.690] 我那拿点。
[08:41.200] 我们做您是喝茶，爸爸什么也不喝。
[08:47.640] 都
[09:00.530] 用户系统。
[09:30.520] 没吃饭的，
[09:31.760] 你指导员
[09:33.280] 照样喝的牛奶没吃到，
[09:35.670] 不是哪位早晨
[09:38.580] 早晨都吃
[09:39.760] 吃面包喝牛奶，
[09:43.110] 外国人
[09:45.010] 天天送的做饭做饭还得跟麻烦。
[09:51.270] 我妈妈要来的。
[09:53.120] 他昨天讲我上来，昨天家里面的冰箱的全是菜，
[09:58.430] 上来的全都坏了。
[10:07.600] 在回奶两个人。
[10:09.590] 上俩礼拜。
[10:10.880] 上下礼拜。
[10:20.560] 上到9点，
[10:23.430] 昨天都上了9点。
[10:26.760] 我倒也
[10:27.560] 都是咋接了？
[10:29.230] 就是说早晨从起点站你弟弟那了，
[10:32.940] 努力在平凡
[10:34.510] 把这帮去
[10:38.430] 品种太累了，
[10:40.670] 累了没上去了。
[10:53.640] 昨天拿400 400多块钱，
[10:59.380] 没过道上到9:00 9:00，
[11:02.140] 1:00~10:00以后都没活了。
[11:07.030] 我说你待会我退保险，
[11:08.950] 买保险说老板都给
[11:17.190] 车放放
[11:19.580] 那车那脚哪了？
[11:22.550] 人人了吧。
[11:24.560] 组织在哪？
[11:26.110] 他也
[11:29.990] 对吗？没有。
[11:31.280] 代表因为你车开哪了？
[11:35.430] 排着还把车放着开着了。
[11:38.650] 开始然后他们就拿着手机在那把车子开到马路，
[11:48.100] 在评估。
[11:57.830] 拍的都
[12:02.510] 作废了吗？
[12:04.550] 车上卸下来了。
[12:07.520] 直接开口，
[12:09.030] 没有过户去。
[12:10.970] 而且那得准备着
[12:12.720] 过户不过户拍代谢。
[12:15.590] 不是给您心动，孩子您新车就算是保单号，然后还得重新做一做，就算了，旧车牌子
[12:24.060] 就得掉。
[12:25.320] 谢谢下来吗？没谢没有。
[12:27.820] 卸掉了，卸不了您到车管所过户，人家把这直接就销毁了。
[12:33.040] 您新车还可以保留原号牌，当时就给孩子挂着车上都
[12:36.790] 放在车上开走了。
[12:38.500] 他以后也都死不了。
[12:42.790] 我以为把你拍的都给卸下来
[12:45.070] 了。
[12:47.900] 谢了他快步走。
[13:10.850] 这院里头本质是不是都是来维修的？
