[00:00.790] 20分钟是吧？
[00:19.150] 你到了是吗？
[00:20.840] 你这先开眼，我这在一块交过钱，稍微等一下。
[00:25.820] 这边溜达干吗完事？
[01:07.200] 行我激动。
[01:24.990] 换电话了。
[01:26.120] 干嘛？电话被屏蔽了。
[01:29.520] 了。
[01:38.370] 身份证。
[01:39.930] 身份证号。
[01:43.480] 号
[01:46.080] 180。
[01:47.120] 108。
[01:48.960] 197613
[01:50.940] 09
[01:52.580] 4
[01:53.910] 32。
[02:48.050] 谁知
[02:49.540] 双眼
[02:51.650] 我拿下来拿。
[02:55.240] 这不行了。
[02:59.090] 的。
[03:00.390] 这好像那边点了吗？
[04:02.070] 然后看下566540有时候挂着吗？
[04:23.450] 但是怎么模拟也搜不着这个
[04:43.660] 模拟能正常化吗？
[04:48.430] 的
[04:51.470] 有了。
[04:51.880] 后来。
[05:46.040] 线头
[05:47.700] 吓到了。
[05:49.590] 下头。
[05:57.630] 坐车。
[05:59.010] 往后推。
[06:03.180] 有点长了，时间都车都买了一个月。
[06:10.590] 好。
[06:14.690] 什么照片领导上能开吗？跟谁？
[06:17.860] 没空唱歌。
[07:51.160] 先生
[07:52.000] 打了。
[08:17.250] 行。
[08:18.510] 行我
[08:19.680] 我现在订车，然后我那有一个客户等我，
[08:23.700] 我先弄完了这个型号了。
[08:31.840] 我先打电话。
[08:34.270] 他来了再说，因为我现在把这个车定完了之后，我看sq也在那等着我。
[08:39.200] 我得先去干接。
[08:46.440] 行行，你可以让他先联系一下我。
[08:49.270] 知道我这没那都没事，因为主要客户还等着我。
[08:52.510] 好了。
[09:00.320] 开始我
[09:01.040] 钱你先忙别的。
[09:02.600] 我上午也介绍。
[09:05.490] 我给你弄完了得了。
[09:06.980] 头部上街我知道你着急。
[09:09.280] 不着急。
[09:10.800] 没有电视。
[09:14.400] 真不着急。
[09:34.190] 手机没电了。
[10:36.760] 听我的话。
[10:38.170] 185。
[10:39.830] 1978. 
[10:41.470] 9686。
[12:14.620] 185，
[12:15.800] 1978
[12:17.270] 9686。
[12:20.920] 0. 
[14:46.280] 66. 
[14:47.640] 6
[15:20.000] 447118. 
[15:48.720] 5
[16:11.710] A. 
[16:16.380] 微创应该行。
[16:18.090] 他们没跟我说了应该就行了。
[16:22.650] 这个对吧？
[16:49.280] 有亢奋。
[16:50.750] 我多少年。
[16:52.110] 其他
[16:54.130] 反正布点布点。
[16:57.810] 只有4级。
[16:59.360] 4级。
[17:01.160] 现在给4个。
[17:02.980] 刚刚出来三万三千三零八多少钱？
[17:06.730] 后来不能
[17:11.940] 这送来。
[17:13.100] 然后再加起来主要
[17:14.720] 不让多少谈，不能谈了变成送给拿一出于考虑一个贴，
