[00:06.160] 打了，
[00:09.800] 坏
[00:13.990] 吗？
[00:19.500] 你再看一眼。
[00:22.220] 你再看一眼。
[00:28.670] hello，前天去的，谁知
[00:36.800] 最晚是明天上午给拿过去，我忘了，我就把车子留了，就一个前台单独一个前排气囊没拿到。
[00:43.730] 205什么8608701是吗？
[00:45.880] 行了，我让明天下午出来产品差不多好了。
[00:53.370] 花、
[01:30.370] 一
[01:32.160] 一
[01:34.060] 五
[01:39.210] 的
[01:40.830] 的。
[01:44.720] 五
[01:48.510] 场
[01:50.170] 场
[01:53.900] 场
[01:57.720] 坏数据
[02:00.200] 的
[02:03.640] 数据、
[02:05.900] 数据、
[02:10.680] 数据
[02:13.400] 数据
[02:20.730] 数据
[02:23.380] 场、
[02:26.320] 数据
[02:30.020] 场
[02:32.640] 的
[02:39.630] 数据。
[02:45.810] 远场
[02:49.790] 场
[02:52.490] 数据
[02:55.000] 场
[02:58.300] 数据
[03:01.680] 坏数据、
[03:04.180] 数据
[03:08.060] 场
[03:09.380] 花、
[03:24.930] 马
[03:36.110] 远。
[03:37.440] 咱们前边坐前座前面是吧？
[03:48.010] 还是哪来着是吧？
[03:52.880] 就被蹭了对吧？
[03:54.680] 您现在等于也是没找着人是吧？
[04:03.500] 对。
[04:05.960] 没事，然后你这样保险上你看一下上面叫什么情况，无法找到第三方的显着的。
[04:14.250] 上面就行了，上之前你那个车到认识是这样，
[04:19.780] 现在
[04:21.900] 现在这个就是店里边有逮捕车险的
[04:26.100] 那个东西就是您现在这种情况，
[04:29.060] 咱们到时候到店里边修车的时候，来到咱们店里面报一个在贴膜里做一个保险报销自己保险公司的保险，
[04:36.910] 无法就是停放着，不知道被谁蹭，这时候保险公司就可以陪你，可能委托
[04:42.370] 我们的保险给您修好了就完了这事。
[04:45.360] 然后现在的孩子您说的意思是还有什么？还有这里边还有一个
[04:49.500] 有一个补偿点，就是您过来先不要着急报保险公司检查安康电影来饭店里
[04:56.130] 给这边上一个单独车主场景，什么意思？交一个1498块钱，
[05:01.470] 然后
[05:02.940] 等15天之后你过来修车，再报保险修车，修完车之后给你2500块钱的现金，
[05:09.110] 有这么一个活动，
[05:10.460] 如果你不需要这个活动，你随时过来报案修车就可以，就这意思。
[05:16.710] 号。
[05:18.840] 不是这样，你等于来了之后之后，
[05:26.030] 会咱们后边不是到保险公司了，就直接上办公室那定损就行，按用水完了保险公司不给人家修车单子，
