[00:00.700] 2020年7月19号，张国良客户下小陈教授录音。
[00:05.430] 您好，我姓郭，郭进负责咱们这个车的功能介绍，OK前面的话国良给身份证还在您这边，对咱一口快完事后面了。
[00:15.390] 你先讲车一会还得用什么样，好勒好勒，来咱们这车前面国良给您订车出合同，那车保险我主要是负责功能讲解，
[00:24.280] 直接咱们差不多40分钟的一个时长，
[00:27.050] 之前有开过奔驰车辆，
[00:29.620] 有开车哪一块？
[00:32.070] 对，正好没法进。
[00:34.970] 教授一CS一是吧？老干新的也好，
[00:40.430] 老子峰P过那个是吧？
[00:42.200] 行没事，您要知道可能就是岗位这块没问题了，其他呢
[00:46.900] 这个功能多了点，风控系统会正在进行介绍，这次咱们买的是介绍费的300，
[00:53.510] 白车棕内
[00:55.040] 车厢号在这儿您再核对一下。
[00:58.100] 556218跟您签的初始合同都是完全一致的，车新增的功能有煤炭的分泌互联，
[01:05.880] 以前您车上两个文件现在升级了，
[01:09.340] 叫me互联，到时候我会一会给您身份证激活，
[01:13.000] 最后咱们完事儿会不会有一个镜面。
[01:16.330] 后外观电视您检查一下，没问题，咱们就讲过了。
[01:35.750] 这三个东西
[01:37.860] 待会我给您做，没什么感觉。第二科技大学车贷这是特殊中手册，然后荧光竞争一急救包，
[01:45.930] 网友契机这些东西。
[01:48.480] 救生衣，还有救生衣。
[01:50.550] 荧光那些东西就跟江宁可能内心那是对，您要是晚上有师傅穿着不是起来简单吗？
[01:56.230] 对。
[01:57.920] 行，您哪位主要该做度假要求后边我们就讲了，
[02:03.420] 跟前面有的什么，
[02:06.200] 你别把我
[02:09.280] 跟您那个车比多了一些功能。
[02:15.970] 首先无钥匙启动还是标配？
[02:18.680] 踩刹车，按一下启动键就可以了。
[02:22.250] 座椅的调节咱们是在门市还是一致的？
[02:27.930] 做了一个座椅的延长，前后推小钮，主驾座椅可以放长，
[02:33.120] 靠背头枕都是电控，
[02:36.240] 条纹位置做也是有记忆的。
[02:39.910] 调整环境位置，首先M对应的数字，
[02:43.780] 第一声以后当前位置会被锁定，
[02:46.130] 这位置如果您变化了，
[02:48.040] 咱们自己存的位置它会自动素颜。
[02:50.640] 涉三种不用您来回老叫座椅。
[02:53.020] 行，M再按一张数字对咱设三个位置。
[02:59.070] 谁开按自己位置就行。
[03:01.700] 前排都是有加热的，这是一致的，手动点赞关闭。
[03:06.020] 多了一个附加调节按键点亮，我在动作以视频的方便，司机帮助落后很多，
[03:14.050] 这些常识完全一致所致，开锁
[03:16.980] 受镜子
[03:18.160] 恩量左侧调节总量对吧？衡量右侧调节右边也一致了。
[03:23.730] 4门玻璃一键升窗，
[03:25.860] 下面按键点亮，后排乘客玻璃措施完全一样，
[03:29.710] 后备箱最下面金属件，
[03:32.480] 往后再一下，咱们是打开，
[03:35.110] 往前长按是关闭，本身就是垫尾，您就不用下车了，来送直接就关。
[03:40.660] 直接就过来了。
[03:42.740] 还真好。
[03:45.520] 大灯的位置还是左手圆圈区域，
[03:48.330] 小受限制，像IOTO自动挡，光线不够自动开启，平常不做控制。
[03:53.380] 左侧雾灯雨雪天摁一下开的同时以表达
[03:57.680] 橙色小灯对应提示音，
[04:00.630] 右侧小旋钮上下旋转，仪表盘的亮度选择，
[04:04.390] 手刹有点变化，以前老E是角鲨，
[04:07.630] 脚踩是上锁，然后提起来是解锁，这回就变成这一个案件了。
[04:12.580] 往下按是上所提起来是解锁仪表盘对应的标识后CDP
[04:18.270] 平常您就不用管了，因为变成电子的了。
[04:21.580] 上锁的状态咱们挂档
[04:24.160] 给油门手刹自动就解除了。
[04:26.560] 停车回P
[04:28.340] 您灭车或是主驾开门手刹，
[04:31.380] 自动上，
[04:32.560] 所以以后大头啥都不用管。
[04:35.560] 对，以前是脚刹车就不用管了，现在都变成电子的了。
[04:39.920] 方向盘左侧两个胆敢尝。
[04:42.820] 稍等一下P红灯出现了。
[04:48.970] 上诉状上。
[04:50.350] 的手刹。
[04:52.810] 要解锁实际上就是划转给划转了，对，内容都在街头了。
[04:59.640] 不用愁不用操纵，没错。
[05:04.510] 开门自己就上或者灭车自己就上了。
[05:10.970] 没问题，这个胆敢想想您以前可能都一样左右，对雨刷也是一样的，虚线是感应实现是机械。
[05:20.440] 前风挡玻璃边还是
[05:22.460] 多了一个后雨刷。
[05:24.180] 这小横线是后
[05:26.170] 指向零时关闭上，推到横线或许抓开，
[05:30.800] 推到最下两个小子水标志后，部长玻璃水独立出现，多了一个沙河玻璃水，
[05:38.020] 其他的一样黄人龙回来
[05:40.490] 眼光推出去，这都是一致的。
[05:42.590] 方向盘我不知道您那个车之前是电调吗？这个是方向盘前后。
[05:48.990] 那是一样是吧？
[05:50.920] 没问题。
[05:54.540] ge的时候，我方向盘的位置它也会寂寞。
[05:59.220] 您调座椅方向盘两面镜子都调好了一块手机。
[06:05.920] 这个没有这本身就是手动他不存在记忆。
[06:10.720] 中控着有点小变化。
[06:13.800] 以前您这是上下左右4个箭头，中间也OK键。
[06:17.880] 首先看小房子是主界面，按一下出现列表。
[06:22.820] 黑色这个案件变成处停了，直接滑动就可以去选，
[06:26.630] 上下也可以，就相当于以前的OK确定。
[06:30.280] 保养里面。
[06:31.540] 基础信息提示，首先行驶一段时间会有4个轮胎的压力。
[06:35.790] 包括您快到保养趋势。
[06:38.770] 冷却液机油确实都会有这种提示。
[06:41.440] 左边这是返回。
[06:43.280] 行程里是车辆基础信息里程26.6，上下滑动。
[06:49.530] 剩余油量续航115公里，
[06:52.410] 平常驾驶习惯记录。
[06:54.870] 百公里油耗平均速度驾驶公里数总里程油耗驾驶公里数，当前速度这跟以前的一样。
[07:02.140] 再有就是导航、收音机、媒体电话这4项和右边这3件控制右侧
[07:08.630] 内容是一致的。
[07:10.000] 待会又怎么介绍多。
[07:12.310] 了什么仪表盘的风格选择。
[07:14.480] 现在这个是印洞风格，黄色的不喜欢可以换成运动经典，
[07:20.260] 或者是前卫，喜欢什么区别呢？
[07:22.890] 看您个人喜好个性化一点内容其实差不多，对。
[07:27.760] 对把腿被推得更狠一点，可能运动的可能是不是不，他只是仪表盘的风格，跟您说那是驾驶模式，您这老的是E跟S两种，
[07:38.990] 这块变成5种了，待会我介绍
[07:41.300] 巡航定速和限速说一下变成在这儿了，以前您那车下面含异常胆敢
[07:47.300] 一个量能一个不亮灯，是巡航和限速。
[07:50.140] 这个上推。
[07:51.980] 小婊的标识是消耗定做。
[07:54.420] 下推
[07:55.570] 是限速。
[07:57.280] 间都是上下去设定功率数，
[07:59.930] 左侧案件上推确定下跌取消。
[08:03.920] 其他的没区别，以前的时候在底下操作。
[08:06.420] 亮灯上退货下推对吧？就会变成这儿直接选择了。
[08:11.150] 岗位完全一样。
[08:13.100] 雷达不一样，您老E是不是雷达在这儿？
[08:16.690] 2个小红格，7个小点，
[08:19.820] 我现在老车我是开过。
[08:25.350] 刚才说的，
[08:27.560] 现在我们卖的车是Q5还有一辆车是宝马，没事，咱就说这个车的雷达。
[08:39.250] 以挂档踩刹车往下。
[08:41.610] 党委跳转手刹给油解除，看见雷达会在右边屏幕弹屏，离近了它自动就弹出来了。
[08:48.660] 颜色黄橙红您离得他越近，颜色会越深，红格亮警报下现在30公分，
[08:57.250] 红色量能就不动车了。
[08:59.650] 倒档您往上推到底，
[09:01.880] 倒影出现
[09:03.400] 白色的。
[09:04.620] 是您车辆的后保险杠这条小红线是车辆停车的临界点。
[09:08.950] 内侧这大宽限是轮胎的行走位置。
[09:12.310] 您纵放他就告诉你怎么拐弯了。
[09:14.600] 左右两个小细黄线是咱车辆的宽度，然后后边现在是不是墙，咱们什么时候就不能到了，咱们看一下。
[09:23.760] 就是这条红线上食物。
[09:27.240] 雷达也预警，
[09:30.940] 红线上食物这种情况，
[09:33.980] 后杠离墙就这么样，您再到就蹭了。
[09:37.700] 记住这个车不一样的是左右4个门，
