[00:01.820] 哥咱们这次就一个星期就走边门了，别的没事吗？下边大阪没事就磕了一下。
[00:08.110] 行，您旁边去完事。
[00:09.880] 时间大概就在
[00:11.720] 4000左右三四天。
[00:15.140] 没办法分期喷漆。
[00:17.160] 有过程的主要是。
[00:19.160] 排队。
[00:20.170] 我尽量我知道每年
[00:22.910] 再说明天早上饭晚上拿走了。
[00:31.120] 完了他中间没风干就考完了，直接抛了。
[00:36.120] 差点意思咱们还得给您估计得搁一九归，我第二天才能抛光。
[00:41.190] 咱说了不算了。
[00:43.440] 排队还是主要
[00:45.770] 按人家师傅来的说的算，人家说需要等咱就等等。
[00:50.020] 我经常给您看着点，哪天给您关注一下，今天周日大概就是周三周四，
[00:56.130] 感觉您稍微的有点应该2~3天不合理合理应该是三天左右，但是这两天排的太多，可能稍高一点，但是尽量能快点好吧？
[01:07.470] 谁知。
[01:17.130] 然后咱大夫说想是这样，他是
[01:20.610] 那家站着对咱们自己说叫大夫说险实际上是一个补偿险，我认为是个补偿。
[01:27.340] 他最主要优势就是说咱出险之后，他给你一个补偿，
[01:32.050] 2500。
[01:34.610] 这个险可以用两次，
[01:36.460] 就是2500×25，
[01:38.540] 一年有效期，然后咱们上险需要交1498，
[01:43.190] 大概就是这样，然后她在比较
[01:46.170] 捆绑式的就必须得在
[01:49.380] 修车的车只能在这修。
[01:52.410] 然后还有就是动用您车辆的商业险，或者对方车辆的商业险，这个险才用的你。
[01:57.980] 你要说什么停车场那种财产险应该是不行的。
[02:01.200] 大概就这样，就想没有那个门，我想跟右边的门就是他就走，
[02:06.680] 我没有这花生显得low了。
[02:10.900] 车损车损险车损。
[02:14.510] 也行吗？对，您那伤得稍微大点，太小了也不行。
[02:20.360] 这个就是后边外不让他们跟你说。
[02:22.420] 娃的。
[02:24.080] 可以，但是不建议您毕竟自个下车心疼点，
[02:28.320] 而且您右边这个伤说实话没到，那种必须针对你要那个程度。
[02:33.540] 玻璃险也可以用，你先剥离说岁了不对这个
[02:39.830] 自己走保险什么掌权，对他牵扯的对。
[02:44.510] 但是这个怎么说，
[02:46.170] 毕竟他买的不是这种保险，不是说您买了就用了，后期的是一个
[02:52.330] 关怀是一个保障。
[02:53.720] 现在很多人就买它看什么车，现在有伤，
[02:58.020] 他买险或15天再出，
[03:00.440] 好多心态，但我觉得
[03:02.830] 不太可取。
[03:04.480] 因为毕竟有着15天等待期，自己心里也着急，
[03:08.000] 而且我觉得最好的一个什么事，就是说当人家碰咱们的时候，咱们叙说得对咱们来说给2000块钱可能是一个安慰。
[03:16.650] 就这一点我觉得
[03:18.100] 比较符合我心里。
[03:24.340] 换句话说，如果说走自己保险风挡玻璃这种如果真碎了，
[03:29.190] 不可避免的肯定得换，
[03:30.960] 有这保险咱们得换。
[03:32.490] 那是既意味着明年他要赚钱，
[03:35.550] 有显得他给你缓冲一点，缓冲能担一点，明白就直接把上那块
[03:42.150] 就当1点，但是就1点多睡觉。
[03:56.700] 中午吃饭不靠不
[03:58.130] 不那了。
[04:00.740] 号。
[04:01.480] 给您开个单子，完事儿了再考虑考虑反正你做好一点，对。
[04:09.250] 我能拿到。
[04:10.510] 对您拿走。
[04:16.650] 咱俩加个微信没问题，谢谢。
[04:23.730] 过来。
[04:32.190] 找着了。
[04:33.140] 看不清楚脸怎么会没车什么。
[04:36.810] 有后边的就行了。
[04:38.300] 后边。
[04:41.670] 我加您微信。
[05:54.790] 哥
[05:55.580] 帮忙签个字基本完事了。
[05:58.720] 看看问题主要就是这几块，有伤前-2门，
[06:03.260] 然后咱们这车没备胎，应该是13 3 0 13年还没有开始封档车身有伤，别的没啥事基本上都齐的，
[06:10.810] 没有贵重物品，
[06:12.130] 这儿是车人都有伤，没有贵重物品，然后咱就是昨天飞机修理各自上班，
[06:17.840] 他那个镜子
[06:22.960] 没办法是吧？性子早，不论
[06:25.660] 这首尔的时候
[06:28.210] 放风筝，
[06:30.640] 送优势是了，
[06:32.840] 刚才说了要还行。
[06:34.400] 左边是吧？
[06:36.640] 一毛病。
[06:38.390] 两边一样，
[06:39.600] 右边又是。
