[00:00.870] 掌声可以帮您。
[00:06.820] 一口配敞篷稍等帮您看一下。
[00:24.290] 有一台260白色的。
[00:31.830] 色的没有。
[00:35.830] 三
[00:40.280] 上海查。
[00:45.320] 咱们这边的话优惠政策我们电话没法给您报的先生，您要是方便的话，您到展厅由我们销售主管来给你出这个报价单。
[00:55.120] 您在哪？我们是西四环，
[01:02.750] 广袤。
[01:04.100] 就想要红色的时候。
[01:06.810] 好行，我穿点儿。
[01:10.780] 我这是白的价格什么的话，您也不太考虑颜色。
[01:15.030] 押上了是吧？有这么个事儿。
[01:16.970] 间四五条，咱们下周不是要名菜。
[01:20.050] 他跟颜色没有关系，不是说白色的就比红色便宜的多，本身它红色他电话跟石宏他室友一个
[01:29.200] 金属漆。
[01:30.100] 七
[01:34.680] 你下午就去，因为争取早点能出来，要不然咱们不再招。
[01:39.340] 在好像是都没有车，您了解到的价格是多少，我给你做个对比。
[01:46.480] 这种咱们车的保险
[01:50.120] 估计得上岸，俄罗斯、Russia。
[01:52.870] 您看一下您的心理价位什么？
[01:54.840] 然后协商一下。
[02:02.610] 对下午也成今天。
[02:04.540] 3万多4万。
[02:05.880] 万上回是徐猛，就是说徐某不是判定这个大概。
[02:10.070] 您留个电话，我给你申请一下给您回过去好吧？确实是我这座机没法给你。
[02:14.660] 一下完事儿给办了。
[02:17.110] 拜拜。
[02:20.880] 送过去这样我1点多来电话，咱们抽空先把这件事给办了，好勒拜拜。
[02:31.220] 135110
[02:33.140] 35
[02:34.240] 793您贵姓先生？
[02:38.430] 为。
[02:39.740] 唐先生您的电话是135。
[02:43.490] 可以，我跟您确认一下，因为这是转接过来的，信号不太好，13511035793对吗？您的联系方式。
[02:54.640] 好的，我们是海淀5路居这块百得利展厅的，稍后我这边给您申请一个价格，由我们销售主管给您回电话，您注意接听，手机给您回好吧？
[03:06.420] 没问题。
[03:08.370] 拜拜。
[03:23.400] 刚才是说C厂房还有一场朋友，一场。
[03:29.790] 这客户是说的一厂拍的。
[03:31.690] 看哪个有车愿意跟你说。
[03:35.440] 白色意外。
[03:36.930] 所以没有厂房是吧？
[03:42.570] 大脑不记事现在。
[03:44.820] 这个记忆力不好。
[04:25.920] 你好，百姓直接买到一根池客户端拿电击
[04:29.130] 负责，你们欢迎吗？您好。
[04:37.600] 上市的单车还没有到店。
[04:42.090] 对是的先生。
[04:46.890] 行，现在没上市，没法给您报价格。
[04:52.410] 上市价格现在倒车没到店没法给你报坏了，估计得下个月到店。
[05:02.350] 对，3月中旬走吧。
[05:09.560] 您是想看SUV。
[05:14.700] 家家
[05:25.400] 继而被家规，因为我不知道你想看哪款车，咱们奔驰车型相对来说我们电视在那个车型是最全的，
[05:43.630] 相对20人300多。
[05:50.440] 上北京牌是吧？
[05:53.890] 这车的话是有优惠，但是如果政策咱们电话报表也需要营销圈。
[06:01.580] 对是的。
[06:05.540] 官方指导价格。
