[00:02.560] 对，就1:30那边还没到期，我这边先开单子，你开完单子你给我得了。
[00:09.010] 我这边先开始报价，你先自己玩下。
[00:19.480] 他给您办，我这手机简单没有开个单子给。
[00:22.280] 我的号也发了，反正你给他就行了。
[00:25.220] 对吧？对。
[00:30.500] 保险法都不强。
[01:08.320] 平安的保险。
[01:26.360] 10。
[01:33.520] 场、场、
[01:36.880] 场
[01:39.320] 场
[01:42.670] 五
[01:45.260] 五
[01:46.540] 句。
[01:49.890] 句
[01:58.940] 数据
[02:01.450] 场
[02:04.360] 选。
[02:06.380] 是刘硕画那个。
[02:08.240] 是平安的。
[02:10.610] 要是人保的。
[02:12.500] 人保。
[02:24.610] 场
[02:32.390] 的
[02:37.290] 场
[02:38.060] 车
[02:42.690] 场
[02:58.720] 您跟着数据。
[03:01.160] 数据、
[03:13.380] 坏。
[03:21.840] 数据。
[04:10.480] 好，咱这就奇了，这个是我的姓名跟联系方式，然后这是咱车辆基本信息，然后由大概几时半箱左右。
[04:21.010] 其他的咱这就完事了，回头好了我会给您打电话，把玉壶在家办公司什么定损核损之类的，
[04:27.740] 我觉得可能得一星期差不多。
[04:30.270] 是吧？
[04:31.490] 行，有什么问题我会及时跟您沟通的，在了这话就是我show，
[04:37.500] 不然的话超过1万多她挺麻烦的你知道吧？反正就是像您因为这保险公布，您就得需要什么盖公章，然后什么法人身份证正反面复印件，就这复印件
[04:49.940] 要
[04:51.720] 您要是说这车老，您看您来年保险，您可以改成您的个人的
[04:58.560] 旧车还是公司的车，但是被保险人可以改善您或者什么掐死了。
[05:03.780] 该坐车。
[05:05.880] 但是说实话您那gang真是太严重，休克肯定是保护，
[05:09.930] 机械肯定修不出来，没准过几天有可能还会西游列国。
[05:18.590] 东西。
[05:23.550] 数据
[05:27.000] 的
[06:23.480] 分不超过1万块钱。
