[00:03.110] 您上次在
[00:05.810] 您。
[00:07.130] 您好是白先生是吧？
[00:09.500] 我是北京百得利奔驰4S店的客服专员，我姓侯，您是从网站关注我们这边奔驰车是吧？
[00:15.640] 我还要他。
[00:17.220] 看的是奔驰的GLS这款车吗？
[00:21.430] 行吗？
[00:22.250] 海淀五路居百得利之星，明天见那位置。
[00:27.860] 目前这个车有两款，一款动感，一款豪华，现在是比较关注哪款车呢？
[00:33.290] 动感是吧？我帮您查一下库存，北京牌照够车是吧？车吧？
[00:36.880] 把市场环境其实不差。
[00:39.200] 裸车价1,038,000，殿下有现车，一台黑车黑内饰，一台黑车是棕内饰。
[00:43.960] 二。
[00:44.470] 黑车米那是一个黑车棕，没事。
[00:46.550] 您大概的购车时间是安排几月份有时间过来看看车吗？
[00:50.030] 可以，您报81,000左右到殿下。
[00:52.890] 您本次的需求是。
[00:54.120] 没意思。
[00:54.930] 比如说您还得操作例假对吧？
[01:01.580] 您北京牌照做置换。
[01:03.680] 对。
[01:04.960] 稍等帮您查。
[01:07.280] 您这也算重复客户，
[01:11.980] 目前不是评价价格上浮先生。
[01:14.730] 您先待会记者任先1万左右，现在开始还有氛围，我们确认一下，应该没有吧。
[01:22.910] 之前你都接走了对吧？
[01:25.860] 车架目前是对差不多1048左右。
[01:32.740] 这样我去问一下，然后我还让他给你回答。
[01:36.080] 对，这个可以谈先生。
[01:38.460] 具体是1万还是几万，这个是有可谈空间的，主要是看您的购车意向，如果您就是说我最近就着急买，我现在就现车现提，那有可能还有可谈的空间。
[01:48.050] 我发给。
[01:49.560] 这个价格上浮的空间。
[01:51.740] 但是老客户回购，然后我们这边的话会有一些相应的政策，
[01:56.620] 肯定会和。
[01:59.460] 先。
[02:04.630] 指标是
[02:05.700] 有方法，但是现在。
[02:07.960] 我这样电话里边可能都给您出不了底价，因为不太确定您什么时候买车，而且店里边的话库存也不多，我能给您报的就是咱们价格大概的区间，如果您觉得这个价格可谈，你可以随时来展厅这边，因为价格随时在变。
[02:21.410] 这车之前加2万。
[02:22.490] 53. 
[02:23.320] 上午的时候也有慢慢降下来了，但是前段时间评价过，评价之后现在又。
[02:27.400] 了。
[02:27.890] 这个趋势是我们不可控的，所以我们这边没有办法给您保证我今天给您谈的价格，您过两天来我还能给您。
[02:34.340] 因为我们电话里边都有录音管控的，所有的都只能给您报一个价格区间，要说成交价我电话里边就给您算了，这不踏实。
