[00:00.000] 您带着的吗？
[00:01.200] 没有驾照丢了别人了是吧？
[00:04.550] 是的。
[00:05.450] 吃饭后去还是这条包装。
[00:08.480] 这对最近135
[00:14.920] 保养开始。
[00:20.880] 选择的。
[00:22.530] 我有个问题，我刹车片都是
[00:26.120] 的声音变小，
[00:28.930] 完了窗就价值坐车总是有问题，衣服给你看一下。
[00:34.400] 然后后面想说一下砂片偏硬，尤其是凉车的时候，冬天声音更大，
[00:43.520] 有点重，是因为我没看到一晃晃完事，但是一般也解决不了，每个学生都会这样拍的。
[00:53.100] 只有GLC和E级车最常见应该看到没问题，您的驾照还有吗？没错，驾照没有身份证您带着的吗？这就是可以吗？
[01:05.200] 现在大部分商店最近半年的要用驾照可以看你平时开出租车了，你要停车看看点评可以给你
[01:14.470] 电子功率的凭感觉了。
[01:19.040] 我是外地的驾照，是在外地不买。
[01:22.310] 好吧，这个就得问一下。
[01:24.670] 好谢谢。
[01:26.520] 交通
[01:28.370] 号码不是这样，卫生拖他和我家要能有用吗？
[01:33.440] 这说是没用抽。
[01:36.860] 这电话1370112151235，对你要帮我
[01:41.860] 信息改一下好吗？一定要改成草坪了，OK我这个车是不是是您的？
[01:47.860] 我这原来有一个曹先生的信息把它删了一下，
[01:52.440] 然后我说改行图，然后说我觉得做的没有的照片上的
[02:01.640] 刹车没事一样没问题了，长别的都白搭，就应该说的那样慢慢
[02:07.610] 200
[02:14.090] 其他没有了。
[02:17.730] 你保养他的。
[02:23.710] 就单独一个三个。
[02:32.110] 两三百万。
[02:35.160] 要
[02:41.150] 那就出现这种
[02:42.870] 你有
[02:44.280] 自由的市场的一个金融的
[02:46.460] 最重要的
[02:48.640] 完成作业。
[02:50.680] 要说让您非得让他睡觉，颐和园你让他
[02:58.470] 正常都在用。
[03:00.530] 妈妈330、
[03:02.920] 198706030。
[03:05.510] 138中间有没有？
[03:08.440] 这里边就
[03:10.930] 这是之刚才打的这里边空调滤芯，东桥这方面是1300多。
[03:18.600] 然后您这车是在浙江金华还有一个高雅套餐，
[03:22.790] 是什么？咱清华三小区里边，您可以让他支撑，咱基本上都在北京用吗？
[03:31.750] 如果要在北京用的话，您可以跟他们那边联系，
[03:34.960] 也是让它释放成全国的。
[03:37.560] 这边也就能用，他说用了
[03:40.310] 更好。
[03:42.110] 也是一个保养套餐，我看里边是有一个样子加油叶1B和一次空调滤芯。
[03:49.370] 您这车买是在那边买的是吗？
[03:51.780] 对，应该是买车他送的。
[03:54.570] 就跟您在这办的套餐是一样的，我现在示范一下。
[03:58.810] 对，您给他跟他那边联系，让他转成全国通用的，可以让他
[04:04.980] 张
[04:08.150] 应该是这种的应该是可以给转
[04:11.120] 等等。
[04:13.290] 就按他们那边给不来床了。
[04:15.920] 我现在我记得我以前跟他们了。
[04:19.330] 你跟他们那边联系过是吗？
[04:22.230] 这样话那就只能他实在是不给转，只能上她那边做着榜样。
[04:27.900] 可能我5:30下班这个车是在这儿
[04:31.640] 办过一个保险套餐，1AB和一个空调滤芯，
[04:35.030] 用过一个密码和一个空调滤芯，这次是做一个A保钓，
[04:40.770] 用
[04:42.150] 我再跟您过去开车。
[04:43.870] 车上有没有关系？
[04:46.360] 对，我明天过去看看。
[04:48.880] 刹车，谁知
[04:51.320] 刹车片的刚才给您破车里不
[04:55.400] 这车是17年8月份买的车，8月1号。
[04:59.550] 17年
[05:01.350] 8月1号马上就出放油漆了，还有几天？
[05:07.600] 能。
[05:09.490] 刹车已经走不了网。
[05:13.040] 其他的像如果要是有质量问题可以想法。
[05:17.260] 没错，说你放哪了？
[05:26.000] 车上有没有回收你能收下。
[05:30.690] 我在网上。
[05:31.790] 班车窗户里了。
[05:36.840] 在这块。
[05:37.670] 好。
[05:44.200] 您这车的
[05:47.920] 这个也可以。
[05:49.420] 这边师傅给我检查了，检查出来发现
[05:53.660] 看一下您这车检测出来的问题，
[05:57.410] 它包括检查镀铬条，
[05:59.650] 保险到期咱们这次做的
[06:01.700] 还有机舱底下冷器脏了，
[06:04.500] 别的车上有点小伤，对镀铬条。
[06:08.040] 现在刚起皮儿时间长了，他起得再厉害，有可能会要交钱吗？
[06:13.600] 不用交钱。
[06:14.880] 但是这车得放这放几天。
[06:17.690] 我估计得明后天。
[06:20.960] 我下礼拜周末来去行吗？
[06:23.400] 因为我上班女士是这样没关系，
[06:28.480] 这样的话
[06:30.660] 到时候可以我休完之后可以给您送过去。
[06:33.440] 不收费的。
[06:34.600] 不收费用。
[06:36.710] 然后E代驾等直接合一的，您是想把车今天还开走吗？
[06:42.840] 最好别开走了。
[06:44.800] 因为还有我看今儿个下周
[06:48.380] 到8月1号就出保修期了，您
[06:53.400] 最好是一块停，那不开走了你给我一个。
[06:56.410] 对，到时候给您联系方式。
[06:58.660] 我给你个联系方式送到哪里去了，可以，因为我不送回家。
[07:02.620] 到您空手下去，
[07:05.230] 大小良久，这车现在是没有注意到哪里有价值。
[07:11.380] 庭上的话
[07:47.220] 或者我先去补一下，
[07:48.300] 先去补驾照。
[07:50.080] 对，先去补驾照也可以。
[07:52.080] 那就是加上搜索真正不能赌对不对？
[07:55.480] 还有吗？您咨询一下我问
[08:07.550] 112112123或者是交警，您可以在那上面北京交警或者因为
[08:13.480] 那就是说今天有方式给他成功了。
[08:16.990] 主要是
[08:18.150] 这个条线画不完。
[08:20.410] 对，这条一个是得订货，有货的话走保修流程也不是特别太
[08:30.020] 这条不便宜，还是能修一块修了就能出了保修期，拿在幻境计费的。
[08:36.590] 你觉得怎么样比较合理？
[08:40.610] 这样把车放这是最合适的。
[08:42.940] 我放下了。
[08:45.550] 我们给我一个联系方式或微信吗？行，您记一下。
[08:49.550] 我的手机号189。
[08:51.910] 也可以。
[08:53.360] 18910080
[08:55.160] 二
[08:56.440] 二
[08:58.420] 二
[09:00.740] 18910086。
[09:02.780] 10016，对162162。
[09:08.570] 搜索申报监队。
[09:12.130] 张行你添加的。
[09:14.550] 增加一下。
[09:16.090] 行，一会通过我先给您看看车牌。
[09:26.790] 上班的挺厚的。
[09:44.360] 后边这有个。
[10:13.110] 这车有划痕险吗？您上去的吗？
[10:20.480] 我说您那车有没有划痕险？有上。
[10:24.600] 这有几个小商，到时候您看
[10:27.240] 想不想修它？
[10:28.990] 要是想修他现在还有一个活动，
[10:32.380] 就一个代步车险，
[10:35.370] 我有保险就不需要这所了。
[10:38.750] 参加那个是反潜的，
[10:43.710] 你可以帮我查查有没有？
[10:45.440] 差不多。
[10:46.180] 我这查不到，喂。
[10:49.160] 你好，请问一下我这个车有划痕险吗？先生？
[11:07.980] 老家看一下吗？
[11:09.440] 说的话
[11:12.270] 也要
[11:13.290] 高速上毛比较多。
[11:17.800] 的
[11:21.040] 给打电话。
[11:22.080] 您看一下。
[11:24.030] 谁知
[11:29.910] 对他跟你的宝贝
[11:36.030] 而且他不管
[11:44.490] 然后我这边
[11:48.410] 能
[11:50.220] 报名个人。
[11:55.170] 谁
[11:55.880] 了？
[11:57.910] 现在我报了三
[12:07.290] 发现中央
[12:13.360] 远。
[12:19.010] 提拔
[12:32.320] 了。
[12:38.350] 那个东西那就是一个电镀条。
[12:44.660] 建筑电镀，对就是镀铬的。
[12:48.400] 以前什么我的车了。
[12:52.040] 检查中央水杯架是版启平
[13:01.160] 报名的。
[13:03.800] 12号
[13:04.600] 长是30个4块钱7分左右，提高8米工期，还有2
[13:09.540] 你把两年的话他可能的
[13:13.110] 电板
[13:14.360] 谁知
[13:17.810] 怎么可能有问题？
[13:24.600] 保养。
[13:32.350] 再有您这车您一般会用多少时间用几年？
[13:36.640] 怎么办？
[13:37.790] 如果要打算常用，
[13:40.170] 在保修期就是在
[13:42.560] 等于在7月底之前还有这几天，
[13:46.430] 您可以延长保修期，再延长2年或者是延长4年。
[13:52.610] 多少钱？
[13:53.550] 延长两年的话，我给您看一下，
