[00:00.000] 坏数据、
[00:02.080] 数据、
[00:10.310] 您的身份证或者家具用灯具。
[00:14.920] 场
[00:24.720] 数据、
[00:27.460] 数据
[00:28.880] 场
[00:34.570] 花。
[00:40.330] 的。
[00:41.630] 的
[00:50.830] 坏
[00:57.170] 差不多。
[00:59.240] 然后你看
[01:06.730] 数据。
[01:09.020] 数据、
[01:10.850] 数据、
[01:12.700] 场、
[01:13.620] 场
[01:15.120] 剧场、
[01:23.370] 场、
[01:30.730] 电话尾号9188点的
[01:35.400] 句。
[01:44.390] 花
[01:45.890] 场。
[01:48.880] 二
[01:55.080] 来您好。
[01:56.560] 登记车就OK了。
[02:10.240] 大约多长时间？两三小时差不多两个半。
[02:19.900] 好好马上登记完。
[02:45.840] 号
[02:47.610] 正常这种直接通过
[02:51.310] 要说下的特别大的雨，他一般他就直接。
[02:57.190] 对。
[02:57.940] 就是说小雨他就会通了，对。
[03:00.970] 他只要看当时情况，
[03:22.310] 保的不多，刚2万多公里，您对。
[03:29.040] 没有贵重物品带了，没有？
[03:42.630] 其他咱的车马上就下个月应该就到保修期了，你买车的时候没延长过保修。
[03:50.410] 有买过延保吗？
[03:52.310] 知道了。
[03:53.280] 没显示吗？对，我在显示里没有，对，然后你要有兴趣可以往后延长，因为做检测的车能有一个
[04:02.860] 额外的优惠，就是怎么延长。
[04:05.770] 就类似于买保险，
[04:07.830] 可以买一年或者两年的延长保修，万一出问题了就才能免费性。
[04:14.160] 这款车的话应该
[04:16.360] 核心部件的话，发动机变速箱和传动机构
[04:19.600] 应该三四千块钱一年就够。
[04:22.130] 行。
[04:23.230] 行，我就直接给您安排，您到时候还是我那个里边找我起车就行。
[04:28.530] 好了，我给你打电话，对我给你打电话您先忙去。
[04:35.040] 坏
[04:36.150] 场。
[04:47.720] 的
[04:52.540] 保养。
[04:58.850] 对。
[04:59.760] 行。
[05:04.300] 的
[05:12.670] 没事我打一单子马上
[05:17.800] 两把
[05:23.240] 数据。
[05:27.680] 对。
