[00:02.360] 走？
[00:36.240] 谁？
[00:36.850] 拍二次。
[00:38.650] 我还差一个。
[00:40.250] 来。
[00:41.120] 你不要我昨天发上。
[00:44.290] 8点。
[00:47.560] 我要让他给我发。
[00:49.040] 我今天发了一个
[00:52.320] 你把我昨天加进去，
[01:06.790] 你把妓女是帮我加进去，
[01:11.870] 就一个进去是吧？
[01:13.380] 还有刚才我发的信里面一公里。
[01:19.440] 远。
[01:24.520] 搞错。
[01:26.110] 了。
[01:27.060] 没事。
[01:28.060] 加起来的这么干嘛？
[01:31.840] 张嘴找找发生你的感觉，慢慢的
[01:37.920] 是吧？
[01:39.420] 咱们谁知
[01:42.200] 活动
[01:43.720] 蓄谋已久，咱们这个活动反而涨价，医疗等重点。
[01:48.730] 集团不考虑你这地方肯定有遇到，这里不是我找你的，万一千四。
[01:56.410] 你一共就仨俩仨仨。
[01:59.370] 等等
[02:03.570] 下面马上来到
[02:05.280] 这边走了一个。
[02:07.580] 挨着的都是挨着。
[02:10.460] 上下
[02:11.530] 上下关系，
[02:13.590] 结果
[02:15.870] 你要发到群里边，你可以拿。
[02:17.750] 给你跟阳阳说，确实是。
[02:19.260] 们好多都是发了。
[02:20.410] 家有楼房。
[02:21.650] 哪些？
[02:23.260] 真的的东西？
[02:26.670] 连续6波。
[02:28.450] 没事我听他说能加。
[02:30.170] 这口气意外东西，
[02:31.880] 那得明天可能就过来了。
[02:35.330] 别这样说。
[02:37.020] 大爷我不敢让他不来了。
[02:39.070] 那不是
[02:40.990] 什么就是01介绍给张桥的，教教咱们就做经理部说的掉不以后结果笑纳，客户来了以后，
[02:50.820] 他妈一早上了我的电话都给客户来了以后说修建加个微信，回头我要定，我已经给你打拼接，结果没出门party就到了，
[03:01.110] 我等你订车你把开票信息给我，拍完一会儿给我了，
[03:04.500] 我说什么时候要就完了，他做完了合同行我不太好，反正礼拜五那天
[03:10.980] 我交了车，我说你下午来我可能有空E51点左右，4点我打电话我要过去提车去回去办手续，我说你别来了，我忙着，我说没空，我说你回头我说咱们来这边饭馆，
[03:20.960] 结果就打电话第二就过期了合同。
[03:24.420] 我说你什么时候来，我说礼拜四找你去，你没时间。
[03:28.160] 我说那不是改成了吗？我说你看什么来我车队你准备好了，他说明天看看，
[03:33.480] 这种熟人你又没法逼着他就得把弄得我只能是什么？你900你没发24，
[03:40.460] 哪放了是吧？
[03:45.790] 李先生。
[03:48.480] 你现在打卡了，我每天上班，他抓到什么明天给我聊价格吗？
[03:55.120] 抓在火车上面。
[03:57.450] 如果说今天又忘
[04:08.540] 对时间。
[04:09.750] 能什么用？
[04:11.950] 我主要
[04:14.000] 直接到了没电了。
[04:15.830] 成就下面还有上面写的时候带明天带家人来看书，下边以后明天过来时间。
[04:22.170] 不是
[04:23.190] 往下拉。
[04:24.250] 确实水平这是不是吧？这个号码注定了他的
[04:29.360] 房子你每天8点我们厂没定，就我们三北京你们大概要
[04:34.820] 明天。
[04:36.990] 对。
[04:38.150] 你这臭又赶上非典。
[04:40.170] 传统明天昨天掉了，
[04:43.370] 谁知
[04:45.780] 是吧？每天报价
[04:47.520] 先报
[04:48.790] 眼睛里。
[04:55.350] 你说。
[04:59.750] 没有尼桑的车钥匙。
[05:02.870] 等会我给你给大姐打电话，我说没有钥匙咱怎么回家？
[05:09.520] 结果那是主运呢。
[05:11.930] 39401。
[05:14.290] 红酒。
[05:15.480] 卖胡哥婚礼，
[05:17.510] 完了跟刘珊说一下，就发了4个不行，咱们今天开会了，可能进来开会了，待会等会。
[05:24.660] 你开会好吧？
[05:27.680] 笑谁在？
[05:30.380] 腰不好。
[05:33.570] 张委云一块，
[05:35.640] 你不会到路边说的话说给你加。
[05:38.480] 是今天早上跟一块了，
[05:42.630] 张伟可真tm不容易，我说我挺不容易，他们比我说话那么生气，谁知天天
[05:50.170] 警察透露着别人介绍，
[05:55.300] 真的，我握着我跑那照片，明天晚上今儿咱们反正这个数差这么多，差了就
[06:02.260] 就堕胎。
[06:03.540] 按照
[06:05.400] 世界计划，
[06:06.660] 明天报价咱就别吃亏低了，
[06:10.450] 咱这个条件不叫基准
[06:14.610] 权限。
[06:16.260] 直接这么
[06:20.890] 13,800，
[06:22.840] 最多个月送5000保险。
[06:25.280] 不用找我，直接你但是你得起来，你别跟那就直接给送了，您得出来弄。
[06:31.910] 找出出来，对。
[06:33.760] 或者说能停车，我这边给您申请这桩事，你买这方式他有
[06:39.600] 保险赠送是吧？
[06:41.340] 好聊的客户先送三，
[06:43.360] 不行的话送5000，这客户在
[06:47.100] 再不行直接138往下砍，108 9800都送5000往下谈，
[06:53.660] 原理把这车案知道吗？
[06:55.940] 咱们不能办，我看别的组员都是最低的9000送5000保险根本就没有利润，
[07:02.020] 9000-5000上4000 4000，这成本就3200，
[07:06.250] 这一套装置才挣900块钱。
[07:08.700] 除了什么
[07:09.800] 他就跟不要了，他人家为了卖车人家树上去了，
[07:13.240] 对吧？你最后看的还是住你自己创立弄20万，你卖6折，最后不到11个卡没了。
[07:20.660] 对，还有你记住了，
[07:23.350] 咱们是有淘汰的，不是没有淘汰，只是现在没有说这个月是第一个月，
[07:28.880] 还逃了还淘汰，就是它价格战争的模式就是这样的。
[07:33.580] 从总经理到这里，你看李碧他们为什么招人，三人第三人不上去，直接述职两次不行直接给刷下了，
[07:42.310] 直接都招人。
[07:43.960] 你放心为什么回来？就是为了给崭新去
[07:47.340] 准备了什么奥迪
[07:49.550] 污染在
[07:51.520] 让他现在回集团，它属于集团的什么集团储备，这个可以上场。
[07:58.670] 原来哪的
[08:00.190] 能够对
[08:02.590] 庞大，但是睁眼对包括他的
[08:05.960] 博士，包括只要我能喝，你别打什么样销售顾问，也说因为一直就不让说光不是因为咱们人少，
[08:14.390] 对吧？
[08:14.940] 稳定情绪，这个是你这车喝奶乐
[08:17.610] 都是可以跟你有考核的，包括你们现在每个人都有自己的
[08:22.910] 自己的叫什么？
[08:26.200] 三年前他发那份档案评级，
[08:29.830] 所有人都有评级，
[08:33.200] 一人打一遍，从销售经理到我们
[08:37.160] 然后包括人力跟你们做大，
[08:40.270] 你们在公司什么位置，他给我一个十字线对吧？
[08:43.680] 能力强的不强，什么
[08:45.520] 态度什么都有，每个人在什么位都因为春节之前在春节之后回来之后已经做过一次了
[08:52.630] 了，上次然后这次嘉城又做一次，
[08:55.670] 他都给你分到最后之后你
[08:59.040] 卖车也不好，态度什么能力各方面都不行的话，
[09:02.610] 你就是被发下去，
[09:06.210] 这一定是到最后就别刷下去了。
