[00:03.000] 行吧？
[00:04.730] 18610，
[00:07.020] 我操哪料童真的脑袋要疼了。
[00:10.750] 18610044189，
[00:16.800] 最近发作的挺频繁。
[00:30.200] 您好，刘先生是吗？您好，抱歉久等百得利沃尔沃销售招聘，这个是您
[00:36.390] 您是关注哪个车？
[00:38.070] 我想看S90和咖啡90这两个S90跟超级久这样。
[00:44.850] 我之前的车就是S60，
[00:47.860] 我刚卖了。
[00:50.970] 大概价格我也都知道，但是我看看比较一下，看看咱们这边
[00:55.920] 有没有什么
[00:57.990] 更大的优惠？
[01:00.050] 车型确定好了是吗？对。
[01:02.510] 对，您这边预算大概多少钱我问一下。
[01:05.630] 对，我也都看了其他店报价了，就看看你这个鼓励片
[01:11.230] 是不是都是一样的多一些。
[01:15.930] 都差不多。
[01:20.580] 因为这俩
[01:22.590] 这俩其实差挺多的，低配。
[01:25.470] 办完了能买俩那个地方，我知道这个不是优惠15万吗？对。
[01:30.850] 三
[01:35.200] 主要您开是吗？
[01:36.830] 对，家用。上下班用是吧？
[01:42.040] 您的旧车我已经卖了，
[01:45.050] 也就是说你们跟其他的沃尔沃4S店
[01:48.490] 优惠力度都是一样的，对都差不多。
[01:56.810] 它品牌的不是都是之间都有竞争的，然后有的优惠的多一些，有的会小一些。
[02:03.090] 沃尔沃厂家差不多。
[02:15.720] 这边
[02:21.850] 确定好车型了就看价了。
[02:24.940] 没事，您可以先了解车，等回头您是住咱们周围，不是，我在大兴那边。
[02:31.230] 住大庆那边是吧？
[02:33.320] 可能就是因为他每个时段的政策不一样，像这个月来说比上个月每个车型已经少优惠了一个点，
[02:41.130] 少优惠了一个点，月厂家也就小了，对。
[02:45.350] 再小也是所有店都小了，厂家收的价格
[02:52.050] 你们的优势在哪儿？如果说跟其他的店竞争，如果想想想在你这买的话，
[02:57.350] 咱们的优势
[02:59.010] 咱们园区这块地是老板自己买的，首先近几年可能不会出现什么所谓的
[03:04.410] 像拆迁或者挪D为这个情况，
[03:07.670] 对吧？
[03:08.350] 二咱们这有一克两馆的
[03:11.160] 这个业务，就是您买完新车以后，咱们给您建一个群，里面新车这块由我负责，然后里面还有专门针对您一个人的，
[03:20.520] 没有任何问题从群里可以问。
[03:22.840] 就说我在前期买的话，我肯定是考虑一试
[03:26.250] 优惠的力度，然后另外就是送东西这些东西是吧？
[03:31.080] 你现在既然每个4S店价格都是一样的，
[03:34.930] 跟谁在谁家买的，不是，他有的客户是这样的，有的客户他就考虑价格，
[03:40.870] 对吧？哪怕便宜污染，
[03:42.560] 肯定是
[03:43.860] 不是，肯定是除了便利条件以外肯定是。
[03:48.840] 其实买车无非就是这样，一是价格，二是距离对吧？三是服务。
[03:53.780] 就看这三个东西。
[03:55.510] 对，但是沃尔沃的价格不会差特别多。
[04:05.130] 你给我介绍一下你们的
[04:08.390] 优惠或者是
[04:10.170] 行。
[04:11.680] 那车还用给您讲吗？
[04:13.570] 沃尔沃主要就是安全环保这块做得特别好，像插嘴90，
[04:17.810] 他40%车身用的都是硼，
[04:20.610] 做以前中午都是纯天然的，所以说进车里的话肯定没有什么异味。
[04:25.630] 好吧，这是它环保
[04:27.160] 安全咱们全系都标配了城市安全系统，
[04:30.690] 就自动刹车，
[04:32.020] 相对时速60公里以内，如果出现车辆或者说
[04:35.660] 障碍物，您没采取制动，这种情况下它
[04:39.000] 它可以给您实现制动，甚至说刹停。
[04:41.910] 因为有时候咱们在车里可能注意力不集中接打手机这种情况对吧？对。
[04:46.620] 现在送外卖的这么多，他们也不按交通规则这么60公里以内的话，如果说没有及时制动的话，它会自动的刹车，甚至杀停
[04:55.910] 沙土。
[04:57.090] 是所有的都有，还是说只有S所有标配。
[05:00.630] Ps140都有是吗？
[05:03.700] 之前S60有吗？都有。
[05:07.750] 前面红外线雷达会给您监测吗？
[05:16.750] 这个人
[05:20.520] 他也跟反正有好多条件，
[05:23.610] 您干出这种情况下他可以上去，但是突然进来的时候他
[05:28.480] 毕竟就过来了。
[05:32.600] 你要不说我都不知道这个都有。
[05:40.700] 你这多少？
[05:42.990] 要是给您算个报价还是什么，算个报价两年要比
[05:47.700] 喝基本上
[05:49.220] 这两款肯定我来的话肯定是比较先看报价，然后就后续送个东西。
[05:56.080] 行，宣传册需要给您拿一个吗？拿一个，然后你给我把价格写一下，咱们那边有
[06:02.280] 茶水饮料还有小点心，您看您需要一点什么，我不需要什么，您稍等，我去拿个本给您算一下了，好。
[06:31.480] 这老问剑。
[06:34.270] 这外头当
[06:36.800] 听说咱们
[06:38.930] 20。
[06:59.000] 先生您是市区开的比较多，还是说郊区有没有这种爱好自驾游？
[07:04.630] 没有，在市区开的多还是？
[07:07.520] 都有，然后长途高速这种也挺多的。
[07:13.240] 都有。
[07:14.570] 您关注90是因为什么呢？
[07:17.190] 0叉C90，
[07:19.580] 这两个不同的玩不同的感觉，因为首先这两个是一个轿车一个SUV，对然后价格差距也挺大，所以您这边所以我现在还没有定下来到底是要哪个车险，所以两个都在同时
[07:31.750] 考虑同时进行，看看优惠的力度，还有这些
[07:37.810] 行，因为超90现在主打就是7度，
[07:41.360] 我看了看在后边空间
[07:44.480] 感觉还挺爽，
[07:45.910] 这个级别车都这样。
[07:47.610] 对。
[07:50.930] 你就给我报个价，算个价格，您这边还是我
[07:55.180] 考虑，但是都是
[07:57.650] 好。
[08:07.960] 我之前了解的是它只有哪个T6的。
[08:13.460] 3490对T6的T50很少抑制条
[08:18.660] 至一豪华版，还有智雅
[08:25.220] 是吧？他没有运动版的，有，但是这个级别就很少有人会选。
[08:30.550] 是吧？4S店里卖的，基本上北京也有用法治这两个款式多，对。
[08:36.550] 是吗？然后如果是要其他的都得定，
[08:40.580] 是吧？他们是这样跟我说的，对，因为运动感特别少，
[08:46.670] 然后像制雅跟
[08:49.050] 相差就把外界音响
[08:51.970] 空气悬挂。
[08:53.200] 空气悬挂，然后心想往坏健的影响，
[08:57.260] 360度影像。
[08:59.240] 对。
[09:00.430] 台独展示市场上哪个卖的多一些，现在？
[09:03.800] 低配中配，
[09:05.770] 质押根治一这两这样。
[09:08.520] 还有个至尊是吗？珍贵。
[09:11.800] 至尊多少钱？
[09:14.180] 八十四万一千九八十四，制雅是70七十七万三千九七十七，这个是
[09:21.120] 690,900
[09:22.500] 6000 90,900
[09:25.770] 是市场指导价。
[09:27.780] 市场价现在优惠多少钱？
[09:32.090] 你帮我算一下写一下。
[09:33.810] 记住。
[09:36.450] 对，算哪个配置？
[09:38.340] 算低配的。
[09:40.870] 哪个卖的多一些现在？
[09:42.620] 都挺多的，得看您的需求，有的人觉得因为那音响首先比较好，
[09:46.980] 有的人觉得我上下班在路上，我就想听我哥，
[09:49.940] 可能就会选重量，我先选低配。
[09:52.760] 因为那个东西如果您选装也得2万多块钱一个。
[09:56.530] 他这差3万是吧？
[09:58.200] 这两
[09:59.870] 这两个落地的差8万多9万块钱。
[10:03.320] 风口空气悬挂，
[10:06.130] 两这两个市场价差多少钱？就他面
[10:10.870] 差8块钱8万。
[10:14.180] 77。
[10:15.470] 69。
[10:16.330] 77 69。
[10:20.830] 您那旧车是卖哪了您？
[10:24.270] 那人车了。
[10:25.580] 这车现在如果置换还有补贴，您要这样的话就没有补贴了。
[10:30.470] 补贴怎么补贴？2C90 14,000，S90 12,000，
[10:36.730] 这么多。
[10:37.810] 补贴对。
[10:41.510] 现在没办法已经卖了。
[11:34.000] 肯定按全款算按分期算。
[11:36.430] 分期的话有两年的免息，分期付费分期，
[11:40.650] 服务费是贷款额的4个点，
[11:44.870] 4个点。
[11:55.720] 首付是50%，
[12:54.000] 您看一下，
[12:55.310] 这个是车辆的指导价，690,900，
[12:58.890] 给您优惠15万。
[13:00.460] 15万整是吗？优惠1万整。
[13:02.940] 优惠完了是540,900，
[13:05.270] 然后验车费三
[13:07.170] 税是47,000多，
[13:09.000] 保险给您预估的是15,000，
[13:11.240] 根据您上的险种都被少数
[13:13.920] 然后服务费是10,800，
[13:16.090] 然后您办贷款贷款是50 50比例，首付2%，首付50270,450%，
[13:22.730] 然后您贷款也是270,450，月还11,268，
[13:27.820] 然后总价值61万多一点。
[13:31.560] 1万多一点。
[13:46.310] 现在都是所有北京市场上查出主流的是优惠，
[13:52.030] 15万张，
[13:53.070] 我们快租。
[13:57.650] 我是什么意思，我就想让你这边
[14:00.240] 看到你这块你今天定吗？
[14:02.600] 今天定不了。
[14:04.280] 今天就是这样的，我跟你也说说，我今天的权限给您能报的可能就是这个价格，对，如果您真的说后期说考虑订车来，咱们这定之后可以跟经理给您申请，
[14:14.770] 肯定是我要比较之后哪家便宜或者合适我才会在你，你要这么说，人只能给您报，
[14:25.230] 你吸引我的地方或者是价格上的优势在哪，我怎么知道？
[14:29.880] 我怎么会在你这定，你现在有您在哪跟我这么说，先生是这样，您在哪地方是您的一个选择？
[14:36.230] 但我这次展厅接待能我的全力给您报的价就是这个价格，我是小杨你给我三个底儿，你
[14:42.990] 如果说我要真想在你这令的话，在你的权限范围之内，或者是在你申请的
[14:49.460] 这个范围之内，大概还能优惠多少？
[14:53.870] 如果找经理聊可能还会能优惠一点，但是我也不能确定具体能优惠就对我想要你，但是这次我跟您说我去问180，因为您现在不是经历你之前这么多卖了这么多车的经验，
[15:06.810] 一般会优惠多少？
[15:08.970] 我然后跟其他4S店比较一下，看看
[15:12.560] 哪个合适，我当然是在哪定了。
[15:16.630] 差不多就这样。
[15:19.130] 你意思是申请也不会有优惠。
[15:22.570] 我就这么多，因为就说您现在
[15:26.170] 您不定我去找他申请，比如不是你之前卖了这么多了，你没有一个经验，
[15:31.570] 每个人不一样，
[15:33.530] 你们经理看一下采莲的车架不是一样的，
[15:38.460] 你这个车没卖过卖过，
[15:40.850] 你们最高能优惠多少？我上个月是63,000卖的。
[15:45.520] 16优惠了663,000，对，现在您优惠不了，厂家不给您优惠了。
[15:50.720] 我给您我的意思我现在找经理给您问，就你说给您便宜5000，
[15:54.740] 对吧？你明天来了经理不给你便宜了没用。
[15:58.730] 这意思，比如说您回去考虑说行对吧？价格这方面，
[16:03.700] 不管您去假如您去别的地转完了，您跟您说想来这题您跟我说，比如10万块钱给您优惠10万块钱
[16:10.110] 来着，我争取给您优惠到105,000是这样。
[16:14.400] 你知道吧？
[16:17.210] 因为4S店现在都是这种行情，您去别的店一样。
[16:20.940] 您说
[16:21.990] 我比如说您不定车让他问经理不会跟您说，就说我最低多少钱卖的。
[16:27.340] 行，明白吧？
[16:29.090] 这都是市场价，基本上就是优惠15万，然后具体的到时候看市场行情，然后看情况再说，对。
[16:38.510] 也不会
[16:39.780] 太多，按你们之前的经验
[16:42.330] 说
[16:43.340] 就这样。
[16:44.280] 他太多无非是存在一个什么情况，
[16:47.400] 他每个月跟每个月的情况不一样，价格调整反正这个也是调整，不是他
[16:52.500] 差的多是这样。
[16:53.970] 比如这车现在可以优惠15万，我给您报的14万，
[16:57.370] 对吧？那下回来这不1万块钱
[17:00.560] 就多了，
[17:03.250] 对吧？
[17:06.360] 总的价差不了太多，其实差不多。
[17:08.680] 其实我什么意思，我不想浪费太多时间跟精力耗费在这上面，
[17:13.510] 来回的跟扯明白，就想
[17:17.370] 浪费耗费精力少一点，
[17:19.930] 对吧？
[17:21.220] 今儿那也不在，要不一会我看看，等到下午回来或者怎么着，我给你问完了给您打一电话。
[17:26.530] 行那不行，我说
[17:28.590] 或者加个微信到时候再联系，对我回去我就先了解下，首既然都是优惠15万左右，
[17:35.290] 就看具体到时候的
[17:37.030] 一个左右活动是吧？
[17:41.180] 因为咱们这边
[17:42.920] 都送什么，现在什么也没有送到，
[17:45.990] 什么都没送。
[17:48.300] 您可以这样，因为咱们这个月是百得利沃尔沃一年店庆，
[17:52.860] 可能优惠幅度是在今年最大的一次。
[17:56.480] 我的利润你们跟沃尔沃他们不是一个没有什么没关系，
[18:01.760] 他们那是重东西。
[18:03.680] 您可以网上查查郑州集团。
[18:06.850] 我之前都是在那边保养。
[18:09.890] 你们车是所有车是从那来。
[18:13.190] 他当时这边保养什么也都能做，都没修好，这就是
[18:17.950] 当时买那车那边没让您等多长时间提车吗？
[18:22.230] 那车好几好好多年了，您当时买的时候？
[18:28.400] 当时不是我买的，现在正通集团可能
[18:31.650] 反正车可能一时半会您可能提不着了。
[18:35.000] 是吗？您可以上网搜搜他们的汽车，
[18:37.730] 反正好多客户跟我们说，
[18:39.560] 因为毕竟离得近，跟客户去转以后，
[18:43.140] 说想定跟销售顾问已经跟他说了，车可能短期之间给您交不了车。
[18:54.400] 他们现在有送
[18:56.890] 好多东西你们没有。
[18:58.550] 哪给您说送东西了，就这边。
[19:01.440] 您去哪儿对刚才去的。
[19:03.780] 对。
[19:04.630] 咱们现在没有。
[19:07.760] 他送什么保养什么天玩这些
[19:12.170] 酒店，
[19:13.960] 什么都有，还有
[19:16.610] 这个没东西都现在没有。
[19:19.350] 只能看活动跟您跟经理申请了。
[19:22.750] 你要看看让客户知道了，
[19:30.390] 你现在情况就是优惠这15万，然后其他什么也都没有。
[19:34.680] 什么送的也都没有，但咱们这有装套餐，6800的双人套餐，对6800装套餐，但那个不是。
[19:42.550] 咱们这是宋的是怎么个意思，我不知道他们为什么要送你，因为沃尔沃就跟
[19:47.940] 正常人都是没有送的东西，
[19:49.760] 保养装置它基本上都送了
[19:52.160] 6800，然后还送7次的保养。
[19:55.820] 不常规保养，送您妻子保养，对。
[20:01.370] 咱们现在
[20:02.420] 没有，只能看活动的时候，
[20:04.010] 他们是不是做活动？
[20:06.250] 正常的
[20:07.990] 正常的销售给报的价格，
[20:09.960] 咱们现在没有。
[20:12.560] 没有。
[20:14.640] 而这些都是灵活可以找经理谈的东西。
[20:18.210] 你现在什么都不承诺，我怎么考虑你这
[20:21.770] 你价格也是这样，然后
[20:23.940] 这些什么的，其实跟你说买车这个东西也不是不可能很少有一次来了当时就定了。
[20:30.190] 对吧？
[20:30.740] 谁都得去赚，这比价格是，所以我就比到你这来了，所以这就看您说这缘分就是看您想到哪买。
[20:37.350] 我刚才不跟您说了吗，如果您说想上这买，我绝对不会让您比别地儿的钱多花。
[20:43.800] 因为那个地儿他跟您说的对，你这也不给我交个实底，他也说他将来也能申请，
[20:50.170] 谁知道谁怕是不是最低的最优惠的。
[20:56.260] 其实网上挺透明的。
[20:58.340] 他们汽车之家您知道吧？
[21:00.160] 我听客户说之前聊的客户他们会从汽车之家上或者是什么网站上看，
[21:06.410] 人家有上传大票这些手续的，
[21:08.700] 您就可以知道这个车在北京市场什么价，
[21:12.880] 价格是很透明的，是你们这些用户他们不一样，其他的您说的是在说你这些送的东西或者什么，你也不
[21:20.940] 你不写的大票上。
[21:24.260] 对。
[21:25.800] 对，但是这些都是钱的，只算完了是钱。
[21:29.090] 对。
[21:30.250] 看您怎么聊，她怎么答应您，怎么承诺你了。
[21:34.140] 所以说你这什么都不承诺，我怎么考虑一下吗？
[21:37.330] 我这次给您承诺不了，没准下次我可以吗？
[21:41.720] 现在你要不承诺，我跟你说我就懒得干这些事儿，谁老这么来回跑，
[21:48.920] 我跟你家产品都一样的，谁要是能给我合适的，我就考虑谁家了，你说啥也不承诺，也没说我了，您就逛一次电，您得不到最低价，
[21:58.980] 您听我的，所以您也不用问，那我来回给你拉去有什么意思？
[22:04.000] 咱们这只能说我只能说抱歉，咱们现在就首次
[22:08.290] 什么也没有送到。
[22:10.500] 保养也没有，然后装饰也没什么。
[22:12.630] 你要这么说我肯定不会考虑你了现在。
[22:17.370] 除了常规的优惠15万之外，你啥也没有承诺，还有啥也这一样，我还是下午跟经理申请完，我给您回电话告诉你。
[22:32.240] 你S60S990是吧？对S90现在的优惠力度和
[22:38.260] 什么的这些S90算哪个配置的？
[22:42.390] 他有哪个来着？
[22:45.360] 有三个配置。
[22:48.300] 中废那个。
[22:49.620] 众泰的对。
[22:52.920] 中间多少钱？439,900。
[22:55.900] 优惠完呢？
[22:57.450] 我给你算算。
[23:03.790] 的
[23:08.630] 我们离这也挺远的，我们那边附近好像没有这4S店，
[23:13.930] 反正很少去没去过。
[23:36.110] 您是工作在这边吗？
[23:38.470] 对。
[24:00.470] 这个也要分计算。
[24:11.030] 这两年免息是吗？对。
[24:12.760] 两年免期，8年。
[24:15.370] 338。
[24:17.870] 第二天。
[25:11.810] 你们这儿的
[25:12.710] 车辆的库存现在也挺充裕的是吗？体制很快。
[25:17.650] 原因就是比如
[25:19.930] 上午交钱下午就能卖车开走了，
[25:22.400] 所以不行了
[25:24.640] 了。
[25:26.150] 他们那边您指的是什么意思吗？
[25:28.560] 我没法说人家怎么着，您上网查正通集团。
[25:32.200] 网上说的很清楚，
[25:41.270] 咱们这附近哪儿怎么宝马4S店，
[25:44.360] 石景山那边有一个骏宝行，尽管石景山那边
[25:48.280] 时代花园
[25:50.070] 这个园区里边没有是吧？人群没有宝马的，
[25:52.580] 有奔驰，有奥迪、奔驰、奥迪、保时捷都有，
[25:55.340] 奔驰、奥迪、保时捷都有。
[26:07.040] 290您看一下中泰的
[26:12.470] 百。
[26:26.880] 问题是优惠10万105,000
[26:29.440] 千。
[26:34.710] 一直15万。
[26:49.360] 你刚才说的6800的
[26:52.440] 那个是怎么回事那个事？
[26:56.400] 查S是咖啡90是8800，然后这个小车是6800，
[27:01.620] 微步的全车贴膜，
[27:03.590] 脚垫、后备箱垫、
[27:05.210] 隐藏的记录仪，底盘的护板，还有一个漆面的封釉。
[27:10.600] 这个是赠送的还是什么方向？
