[00:00.500] 631、梁羽生。
[00:03.400] 轿车、
[00:06.390] 咱上班的时候都听。
[00:16.930] Hello。
[00:20.530] 车这个。
[00:21.540] 没开车。
[00:29.360] 拿钥匙。
[00:31.990] 你们车是青岛的车。
[01:04.040] 看个外观的士没问题，咱办手续。
[01:11.000] 我觉得放外面一看，我看这颜色。
[01:13.440] 像有点灰又黑，
[01:16.680] 阳光看着还tmd我今早出门下车了，这张脸也新买的，买了一个
[01:22.760] 绿对，但是有些转了一圈可能看出绿色。
[01:36.110] 这是什么时候送？
[01:43.510] 4月份多少？
[01:45.600] 6月份生产。
[01:49.790] 我没计算，应该是6月底。
[01:51.520] 应该6月20号，
[01:54.730] 但他最大功率是3 130万135千瓦。
[01:59.090] 开工奠基。
[02:01.160] 店铺不加电机135千瓦，
[02:11.170] 这是多少公里？
[02:12.570] 公里里程数还有
[02:15.030] 1900
[02:20.000] 12。
[02:23.150] 真到店就卖了就对了，到就卖了。
[02:26.630] 真是靠这种。
[02:33.030] 李老师那次让我卖楼上到店比这车晚了10天。
[02:38.750] 先到电脑，因为新到店的吗？
[02:40.800] 你挺肯定心思的店怎么办？我说不行，我说我客户。
[02:44.730] 不要这车。
[02:45.750] 你都没去，我说我说我不要，
[02:47.420] 我说我必须要来这个
[02:48.870] 我说看好了。
[02:50.290] 你看那个行吧？
[02:52.320] 了。
[02:54.020] 我看看。
[02:57.210] 型号也行，我给你挑的。
[03:00.320] 明星
[03:01.500] 669738的提升。
[03:03.810] 好我把一个换了。
[03:25.850] 你的征信这样好。
[03:27.500] 刚刚醒了没干过什么东西。
[03:38.560] 这几张信用卡。
[03:41.350] 的贷款信用卡它也增加你的征信。
[03:46.500] 然后说什么都没有，信用卡没有房贷没有，什么都没有，就没G叫小白户的话，
[03:52.820] 还不好批。
[03:58.260] 每次都为了把信用卡年费
[04:01.750] 刷出来。
[04:32.560] 我这是随便找一个电脑，
[04:35.440] 对，还是你有几个专业的没有。
[04:39.360] 整体的电脑。
[04:50.980] 非常好用。
[04:54.240] 去调一下。
[05:00.260] 大家都排满了。
[05:01.770] 我昨天来完之后，今天又看
[05:04.110] 明天上午还得
[05:05.880] 听到放心。
[05:08.050] 这谈得很紧。
[05:09.240] 如果
[05:09.990] 行了完了都是对基本上。
[05:15.100] 什么是
[05:15.940] 先不要看了今天是一个什么？
[05:19.940] 对吧？
[05:21.750] 8月份7号。
[05:29.950] 还款邮件好是吧？
[05:32.500] 我记得还有收件了。
[05:34.670] 没有4大行吗？要行我只有4大行，只有他
[05:38.510] 不要用户，
[05:45.760] 对吧？来了
[05:48.430] 你就上班，
[05:50.590] 什么生活都不加班。
[05:53.930] 工行边际
[06:03.070] 说我这张卡我就直接昨天在外面。
[06:07.310] 你早上换了一个没？
[06:10.500] 换了两茬上来一定一样，对，要银行卡号他就等着新的不要老了。
[06:15.350] 建行估计也是老，
[06:17.730] 但是能用钱。
[06:21.170] 心里还有什么G
[06:28.870] 保险里有喝水吗？
[06:32.640] 你也选可以上网，水电已经200 200多，谁知
[06:37.300] 疆场广告OK张先您好。
[06:40.050] 在您签下您的金融合同来看一个谁知
[06:45.730] 合同一份是三页，
[06:48.580] 后边两页一会您可以每条条款都仔细阅读一下，然后我再跟您说一下，您转回来一天。
[06:54.130] 好没有的，同时先交咱们公章您转核对吗？我们刚刚坐车三农的订单营造有一块
[07:02.790] 首先您的车型C包括这种行头运动轿车，
[07:07.090] 对吧？就是这样。
[07:08.920] 倒车，
[07:09.620] 车架号、包P3566
[07:13.010] 736到到继续说这边不对，因为看到高端的不会后，二是希望385到家就34公里的，
[07:22.290] 对方没有需要提高
[07:25.110] 解散方案十八七，首付50%，用户使用怎么样？
[07:28.690] 我们看看金额两一天18期之内，每个月的160 772.，
[07:35.410] 然后继续0点左右，直到最后701次性规划另外一下就37,600，
[07:41.730] 您说是您的专属价那个号没问题，
[07:45.830] 然后这块是我都给您修好了，
[07:48.570] 一会您跟他那套过程活动别搁一块，你带回家刘正浩，然后具体的取得您可以阅读一下。
[07:54.570] 还款您是用这条线。
[07:57.590] 您用微信登录一个微信公众号。
[07:59.960] 我帮您绑定一下，
[08:01.290] 以后每月的还款皮损，还有所有关于这辆车进行的活动信息，你可以通过微信
[08:06.440] 也方便。
[08:13.630] 我在找。
[08:14.740] 无力消费已经发出去了，都有自己
[08:18.440] 然后又称为加上您搜索奔驰金融服务微信公众号，
[08:31.700] 同时金融服务
[08:32.480] 是公众号，
[08:43.080] 一个电话号一个点击。
[08:44.650] 另外麻将，
[08:45.990] 谢谢大家在这上面有玻璃人家的东西，
[08:52.530] 输入后面发布。
[08:56.630] 不是让我这送货，到时候把指标给我，然后我来安排交税，然后遇上几遍之后我提前联系你。
[09:06.280] 发一个P
[09:07.890] 你在北京小客车指标网站上之前有注册过吗？
[09:15.400] 最早这个是摇号吗？还是直接买的就行了？
[09:18.720] 然后我们公司名称、小波号码、手机号后就要进行方便直接打我电话，谢谢，然后激活完成以后，就你在百度搜北京送货车指标什么货款，
[09:30.550] 然后付款已经成功与保也会通过微信比较工，主要对你只要保证每月有着114块钱的分行，
[09:38.470] 到时就可以发走了，最后一笔钱还不够还要往那跑，我今天两个谁知，
[09:44.830] 如果您有需要您看左下角有一个合同查询指标，激活完成以后进行了还款计划都是一批到最后一期，到时您注册一下，注册完以后您把优秀员工编码发给我，就做个节点就行了，也是我们给您代办，您都看见什么保养什么之类的，您真正送过来行，包括对吧都
[10:03.930] 到时然后合同看现在给您指标人也是电池，谁知手留存问您一会儿会通过微信公众号推动一下，有一个电子合同签署连接。
[10:15.860] 进去之后对您看着跟这块就完全一样，然后到时候会放大他价格这块，前期信息都是指标人，您好，您的手机
[10:23.870] 是很简单，没事，最后一步就新车验完车上完坡以后，希望您的身份证原件大概三个工作日联系车辆品牌，冬季也都没有人工费，都我们给您代办，咱就别干，要出差了，手机耽误您这边用
[10:37.910] 了，把我手机都过了，包括联系您还得
[10:41.360] 到他这边就给您安排好了，行我这边行您做，然后一会您就及时确认一下那个链接行。
[12:35.570] 第一年有什么行动显得特别想象的？
[12:38.570] 我不上，
[12:39.940] 如果没有要求就安全了。
[12:42.910] 要再加油是万一这恰恰加税。
[12:49.800] 然后看看
[12:51.960] 其他的险种都
[12:54.090] 都行。
[12:55.400] 没有什么特别。
[13:02.040] 三者保多少钱？
[13:03.330] 城堡。
[13:04.580] 50万100万200万，
[13:06.730] 然后盗抢玻璃、划痕、涉水4场，
[13:10.510] 看看有没有什么想法？
[13:12.130] 增加不减少？
[13:15.330] 估计全县G车
[13:18.490] 怎么也得
[13:20.710] 1万多。
[13:21.860] 全线
[13:27.470] 不用那么多。
[13:28.810] 因为
[13:36.280] 还是全年估算自己看。
[13:44.100] 其实我就想加个数字，它的
[13:49.310] 一一百万。
[13:54.600] 谁知
[14:00.550] 盗抢上班，
[14:03.910] 盗抢
[14:05.260] 玻璃，
[14:06.840] 都会看到
[14:11.300] 跑高速。
[14:14.720] 玻璃坏的很贵。
[14:18.030] 价格应该会在9000来的。
[14:20.480] 正好你还能再拖。
[14:23.360] 好看你自己看自己。
[14:25.380] 行你知道吗？玻璃险的话它保一保进口，
[14:28.640] 但前风挡一块6000多，我算4000多，
[14:32.880] 也就是自费。
[14:34.320] 如果说上次你这车应该会在八百八九百块钱，应该是这个样子。
[14:40.000] 到
[14:44.750] 多花很多钱，我觉得北京没考虑到，谢谢好很多。
[14:50.920] 不一样。
[14:52.570] 那就看你自己这车怎么样了，要保护的好就不上火了，因为上海
[14:58.390] 小试一下小房子我也不对，
[15:01.080] 不愿意和实际乘客这350，
[15:05.220] 保罗应该是这样，
[15:06.830] 知道吧？
[15:08.790] 保驾驶员乘客的不会发生撞击，
[15:11.540] 您受伤了，谁知
[15:13.570] 强险就够了，抢险就赔付对方2000块钱，
[15:17.160] 交通事故也保护自己目标，
[15:27.450] 熊克、
[15:35.400] 的
[15:49.750] 领导关注，
[15:58.150] 说
[16:01.200] 说
[16:02.720] 电话
[16:05.450] 应该是106万，
[16:07.810] 基本上
[16:15.940] 靠点二
[16:17.310] 万。
[16:18.160] 这样
[16:21.230] 有三分
[16:22.410] 188,000，
[16:24.750] 谁知
[16:31.110] 老师家庭的家稻米
[16:33.680] 下午3
[16:56.790] 其他的没有特别想上。
[16:57.940] 没有到了发了。
[16:59.550] 在成都区域好，
[17:01.800] 你能跑1万以上，
[17:04.680] 就是你一天抱一回，
[17:07.630] 如果
[17:09.780] 互联网的
[17:11.440] 谁知
[17:12.680] 但是他
[17:16.310] 谁知
[17:19.040] 一下，
[17:21.720] 这样
[17:22.860] 等
[17:24.330] 还是要完成给一下。
[17:31.420] 如果
[17:32.360] 这个位置
[17:36.780] 旋转
[17:38.260] 工作不是
[17:40.030] 快的。
[17:47.550] 我
[17:49.560] 小客车指标的东西他也没用。
[17:52.890] 你也没用。
[17:54.390] 直接买了车就直接照排那种，对，然后昨天我就登记一下，还得以后。
[17:59.770] 这次我得查一下这个东西。
[18:01.780] 对。
[18:03.650] 看到后一年
[18:05.440] 我买这车之前的一部车，
[18:07.620] 说开这个关联是不是首先卖的好的，让我写这车牌号，我说什么是什么，完了
[18:15.390] 对你花钱推广，我这是在签署，但是一直传是什么，是不是网上吗？
[18:20.640] 可能是网络问题又开始重新开始私信，然后我都会给您到时候放心上。
[18:26.660] 对非常。
[18:34.630] 不用谢。
[18:36.550] 到了晚上覆盖率
[18:44.310] 标准的
[18:46.070] 量比较大，
[18:47.560] 对吧？
[18:51.570] 就行了刚才对吧？行那边做。
[18:58.990] 现在
[19:00.640] 就这样。
[19:06.500] 对。
[19:08.470] 现在怎么变？借助这个平台吗？
[19:11.270] 这就是员工快来快
[19:31.710] 提供的
[19:32.760] 东西。
[19:35.630] 操作，
[19:37.120] 而且还要感应后备箱，谁知
[20:06.070] 这不大家都很清楚。
[20:07.400] 对咱不知道。
[20:09.030] 就是说到现在成功，我感觉在店里边谁知
[20:15.840] 到人生委托不能
[20:56.610] 我不知道我的朋友
[20:58.220] 客房里
[21:05.930] 比预估稍微多一点点，就是玻璃加了一个
[21:10.170] 这个是加上交强险跟制作人，
[21:13.460] 总共下来是一万零
[21:15.420] 41。
[21:16.720] 3毛9，你看看前面
[21:19.810] 再交1000。
[21:22.350] 对，稍微做。
[21:24.420] 员工应该一样。
[21:33.760] 不进谁都上了，然后
[21:36.170] 印象那个章是什么？上水
[21:39.760] 上了200多块钱，
[21:41.830] 无法对200多，谁知
[21:45.750] 无法找到第三方，也能上124。
[21:49.390] 快点。
[21:50.560] 撞了人以后就跑了，对别人撞了一下都跑了。
[21:54.690] 没有现场他可以全赔，这124相当于不尽不计免赔了。
[22:00.350] 没用。
[22:01.650] 明天我最近
[22:04.960] 如果明年你还要这么上的话，不出险
[22:08.890] 6000多块钱。
[22:11.110] 对谢谢。
[22:12.800] 也就头一年这样好好的
[22:15.120] 考虑，我确实找退伍之前谁知
[22:20.430] 喝
[22:21.570] 什么开心了？
[22:23.950] 你现在说今年是没戏，
[22:26.180] 让我把他送我的礼物退了
[22:29.850] 400多块钱，
[22:31.710] 你说我都没有用了。
[22:37.950] 不，他现在寄售服务。
[22:40.360] 他不知道好像接班人吗？
[22:41.960] 提出来。
[22:42.700] 他就说送你喝，不管洗车什么，然后我都不知道，
[22:48.120] 他说但是你可以挂掉，我那是给你卖的。
[22:51.200] 还有
[22:53.240] 刚才
[22:54.270] 也希望贷款。
[22:56.160] 哪个是备胎的？他问
[23:00.050] 高利贷。
[23:01.530] 谁知
[23:07.200] 实际上无污染，
[23:08.830] 旁边有
[23:14.330] 这个效果有没有
[23:16.490] 的？
[23:18.810] 没工时费的还是一样。
[23:20.580] 休息。
[23:27.750] 对的，
[23:28.760] 刚才
[23:29.830] 高价水平他们3000，
[23:32.830] 这说明中
[23:37.770] 使得我们
[23:39.610] 时间
[23:43.080] 老家
[23:54.990] 让他做。
[23:56.770] 刚刚回来。
[24:01.850] 现在公司的
[24:03.040] 谁知
[24:05.740] 监管
[24:09.460] 但是还是
[24:11.370] 这么讲荷兰没干嘛过来。
[24:13.380] 我们有一辆新买的卖房子拿的全是
[24:17.000] 旁边老马叔第一个呵呵的两就不差这么多，
[24:22.900] 就说这中间的优势条收费这块优势商业银行拿船上了。
[24:27.890] 就这么短吗？
[24:29.910] 中央刚才说话了三楼，我有的包括啥都弄，这不是这两左右。
[24:36.780] 咱们管管他们了，我俩都一块
[24:41.710] 来讨论
[24:42.970] 这一块了。
[24:44.540] 之前的两个地块的
[24:46.570] 21一个部分。
[24:49.700] 谁知
[24:51.360] 好，
[24:53.130] 知道电视上还是找到了。
[25:02.710] 他是什么策划的还是？
[25:04.410] 生活。
[25:05.450] 只是说
[25:06.720] 的
[25:12.110] 两次的
[25:13.340] 机关。
[25:18.040] 今天你是早起来的。
[25:19.860] 平时你们这点还休息吗？
[25:23.080] 对。
[25:25.850] 还行。
[25:28.020] 时间紧迫感没有上班就完了，我给你倒杯咖啡。
[25:33.450] 茶还得有一会。
[25:38.090] 我到
[25:44.430] 我知道。
[25:47.080] 我再商量完了。
[25:50.730] 包括掉了吗？
[25:53.250] 好的，多谢了，刚才
[26:05.230] 我以为卖车
[26:07.700] 还像过去
[26:09.060] 的时候快怎么签字把车开走对吧？
[26:14.570] 也
[26:19.730] 那时候交费的时候
[26:21.020] 都还是一样。
[26:22.560] 不是那种高。
[26:27.990] 小。
[26:29.280] 再说就是说
[26:30.980] 但他比如说反正原料中央行现在交着
[26:36.160] 下午教高迎春，
[26:39.420] 1点多了，然后
[26:41.680] 对交了，然后丽娟罗定市。
[26:46.060] 你可能周
[26:48.710] 后来
[27:01.330] 我跟他约的是周二，因为他想约的周一是多少？
[27:06.210] 他想是明天过了，但是分期还没批。
[27:10.390] 今天刚提交材料。
[27:13.610] 估计
[27:23.560] 这两点
[27:24.640] 了。
[27:31.680] 我今天要为明天如果批了的话，
[27:38.800] 我想那一定是这样交了。
[27:46.830] 第200他纪委
[27:49.280] 他那个指标，但是在外地我跟他说我把钱交了，本来约的是明天，
[27:55.960] 非常
[27:56.910] 情况。
[27:58.950] 今天我说跟举报人地方
[28:03.380] 我说你来教也是
[28:05.900] 首付定金对吧？你没法交流。
[28:12.130] 你不先把这道题我跟他说，咱晚上的，然后买资料提交了，
[28:18.500] 他就好批就得10万。
[28:20.920] 50%。
[28:22.190] 我10万秒对我说你有没有？
[28:26.280] 他有身份证，他没有配偶手机号微信。
[28:29.700] 郑浩
[28:30.740] 就差
[28:32.000] 然后他给了以后的话，这边如果批了明天交了，我说你交了款以后，等到你
[28:36.820] 你开不走车，因为没有真正，但是我们可以先帮你办什么，进入矫健这些。
[28:42.150] 可能你生活了给我
[28:44.360] 在班里跑的汽车，
[28:46.150] 我就这么跟他说的。
[28:55.710] 元气。
[30:05.820] 场
[30:16.210] 场
[30:17.760] 的
[32:22.790] 从哪呢？
[32:24.510] 不干。
[32:26.250] 都是这样。
[34:36.610] 你都不认。
[35:12.330] 人家刚刚坐上。
[35:52.000] 没有花钱了。
[35:54.200] 啥？
[36:01.830] 大兄弟。
[36:04.130] 好几还没送你这个就没有
[36:07.350] 了。
[36:09.330] 一个人几万。
[36:10.750] 万万个小时。
[36:12.860] 10万块。
[36:45.560] 就要换种。
[36:47.350] 当然
[36:56.440] 一般在附近，
[36:58.060] 谁知
[36:59.450] 5:00 5:00
[37:02.270] 8.2倍。
[37:54.600] 我们现在这个公司
[37:55.680] 如何识别还好，
[37:57.260] 也不是很多。
[38:56.920] 有所
[38:57.880] 一点点调整。
[39:03.010] 保险200块钱，对，因为商业险给你达到9001块多，因为你是一块多少？
[39:09.950] 对，刚才是8000多。
[39:12.250] 对，然后给你达到9001块7毛6，你就付1块7毛6。
[39:18.370] 加上
[39:19.400] 交强险车船税，
[39:20.940] 加一些
[39:22.580] 给了应该是4-9，
[39:26.240] 是吧？一千三四，
[39:28.170] 剩下的6月份到16个小时就到了。
[39:31.270] 现在
[39:33.340] 当时学校了。
[39:35.190] 上班了。
[39:36.750] 今天上班。
[39:38.330] 我说我好真是的。
[39:41.480] 这你们也能办公办着好好。
[39:47.080] 看到
[39:51.330] 也做了不动了。
[39:55.180] 到了。
[39:56.000] 对吧？
[39:57.410] 不是在我这边看了看，
[40:00.380] 谁知
[40:02.910] 然后了这种如果
[40:05.520] 我把
[40:13.150] 对吧？人
[40:16.070] 消费过来。
[40:17.180] 要的。
[40:20.710] 因为这句话
[40:22.510] 谁知。
[40:24.280] 需求的。
[40:25.570] 慢慢等等看了我差不多微信。
[40:29.630] 一般咱们来的感觉
[40:31.950] 很多东西
[41:00.690] 了。
[41:05.670] 差不多，你说你知道他为什么
[41:07.760] 有多少？
[41:08.580] 小妹答我上百度都有效。
[41:15.520] 大家可以
[41:17.510] 这个问题
[41:18.750] 的放下的市场。
[41:19.890] 实际上原谅你们。
[41:21.720] 手机上看你紧张。
[41:23.580] 我想就说大概就是这样的特点，你这个要求太
[41:29.430] 一般咱们怎么报车价，保险金能找到吗？多少你得不把大概需要紧紧交多少钱
[41:35.650] 说出来，然后客户是要只按照自己原来调节那个东西。
[41:40.020] 具体的。
[41:41.160] 对吧？
[41:42.030] 比如说。
[41:43.230] 如果保险不是2万，跟我说你算法3万，我看你这我也吗不是两个点。
[41:59.230] 一般车架号简单
[42:01.290] 提供一个大概看看现在。
[42:05.260] 16,850。
[42:06.970] 800的。
[42:08.080] 0.03。
[43:45.940] 算在说我们
[43:46.780] 从1200块钱
[43:48.390] 10年底发布了他是。
[43:50.360] 19年11月份的。
[43:52.350] 11月份。
[43:53.730] 月21。
[43:54.970] 然后我们对方了2012 600 760
[44:01.290] 七，
[44:12.250] 实际上
[44:13.300] 也是一样的，我觉得他们SB搜索逐渐的
[44:17.230] 只有必备的沙龙共享责任就是帮忙广告在ATM机中一样的。
[44:23.350] 跟朋友一块来，
[44:24.910] 有的情况。
[44:28.850] 等于说什么类似药，
[44:31.100] 一点时间功夫让别人了。
[44:34.170] 外观的东西
[44:40.680] 对着画面
[44:42.980] 要。
[44:48.990] 明天去过户去是吧？
[44:52.170] 今天上午
[44:54.600] 他想把这艘不少。
[44:59.050] 现在不接受。
[45:06.170] 迁出去，
[45:08.550] 新生期之后，
[45:10.620] 得三天没有更新，
[45:12.990] 出去之后告诉你，
[45:15.510] 三五天这几个下来了，
[45:18.140] 我听到我是截个图。
[45:21.410] 指关节发pdf格式的，就是注册对，我看你一点都
[45:25.300] 发给你一个月等这三个
[45:28.330] 电机上牌了，就验车去了，就直接然后再等三五天孩子就回来了，对。
[45:33.970] 那边不办点。
[45:36.070] 对吧？临牌应该一次应该就差不多，
[45:40.480] 对吧？因为什么？位置高，
[45:45.100] 照着我的车牌做了一个PPT，
[45:49.630] 基本
[45:53.400] 有可能
[46:05.140] 夸我了。
[46:09.220] 过来就讲了，
[46:11.570] 对小领导形象
[46:14.360] 你可真是把我送进去。
[46:17.420] 他也做这蓝色的是吧？对。
[46:19.600] 然后板的非得
[46:21.280] 也做得挺像，还知道上网上找不到，
[46:24.040] 他是凭感觉我做不了，我说你听错了，
[46:29.120] 我可以给我打个数就行。
[46:33.330] 的
[46:40.310] 他这里的。
[46:42.960] 他们09668
[46:47.570] 电子控制，谁知
[46:50.570] 我就有点不
[46:54.440] 在感到
[47:00.550] 谢谢账号
[47:02.230] 在启动。
[47:03.220] 我在家电机
[47:29.630] 快
[47:30.610] 远场。
[47:32.610] 用
[47:37.510] 光的
[47:39.570] 多少
[47:40.720] 政府？
[47:44.620] 谁知
[47:46.670] 要求
[47:48.040] 的
[47:49.750] 谁知
[47:51.640] 这个道理
[47:54.370] 有很多情怀的一种
[47:56.130] 上去他的
[48:06.330] 谁知
[48:07.570] 像这边。
[48:08.970] 谁知
[48:09.790] 标准不一样。
[48:11.810] 如果一个手动装的确实是大规模办学工装，谁知
[48:24.480] 可以用电脑
[48:36.780] 快。
[49:26.650] 五
[49:47.120] 的
[49:52.720] 的
[49:58.350] 的
