[00:00.000] 来了张聊聊。
[00:02.120] 初次毛女士您好，
[00:04.380] 看天吃饭了。
[00:07.080] 我没有看过。
[00:10.450] 来电通完了。
[00:14.390] 什么号码？136。
[00:17.480] 11
[00:19.050] 31
[00:20.800] 85。
[00:28.430] 四杰是吧？
[00:29.400] 还没走。
[00:35.520] 已经去了。
[00:36.930] 看到
[00:38.560] 了。
[00:41.000] 谢谢。
[01:00.990] 能不能办好？
[01:02.180] 好了，来了了，
[01:05.360] 来，
[01:08.080] 我想看看。
[01:09.000] 钱都可以上台叫牌吗？照跑的在后边库房。
[01:13.670] 这没有了。
[01:15.730] 可以。
[01:17.050] 直接因为了解北京名片，包括照片。
[01:23.150] 第一次到店吗？第一次来我是昨天练打电话约过是吧？
[01:28.300] 也没约就是快点招商，后来了吗花费了。
[01:38.320] 咱们库里边是plc的三板，
[01:42.080] 是吧？
[01:50.360] 什么颜色？
[01:52.190] 黑的。
[01:54.620] 我看了
[01:56.760] 有一个叫。
[01:58.550] 吃了会死。
[02:00.860] 没回来好像卖了。
[02:03.290] 萃取走了。
[02:05.170] 没钱咱们看一下。
[02:06.450] 帮我看看。
[02:07.850] 要想让你回来了，
[02:42.070] 咱当时
[02:43.010] 不太远了，
[02:44.390] 觉得
[02:48.230] 这还有银灰啥了。
[02:50.480] 没想跑吗？对。
[02:53.030] 这三。
[02:55.840] 这是厂家的拍卖车特价车，
[02:58.490] 厂家的拍卖车车站了。
[03:00.800] 为什么？
[03:01.650] 有假条？
[03:03.980] 有一点点，但是没有的，有的时候
[03:06.740] 就在运输过程中，
[03:08.370] 这都划一道就不能发挥。
[03:11.720] 破了，然后后来再修好了再来。
[03:15.400] 刚才看见了，人家不要看看颜色，这是黑的眉妆的效果。
[03:21.050] 看看这东西全部有，
[03:23.640] 300都有看板的。
[03:25.550] 不好意思。
[03:27.630] 然后还蹭了黑的后边。
[03:32.280] 你们在特别着相
[03:35.640] 也不是妇女的。
[03:39.630] 完那啥了，到时候会具体明细到账了。
[03:44.560] 有了车就没事。
[03:46.370] 他一看。
[03:48.740] 这能优惠4万多。
[03:51.270] 400. 
[03:52.080] 那天的吗？
[03:53.400] 现在用的方法。
[03:55.850] 这又来
[04:00.450] 这种工厂
[04:02.010] 这种什么底避免不了。
[04:07.880] 不舒服。
[04:09.000] 多少？
[04:12.950] 然后简单跟您说一下，咱奔驰有一服务公约，简单跟您说一下。
[04:17.990] 咱们所有的价格都是明码标价，公开透明，
[04:21.450] 然后配件的渠道是清晰公式，
[04:24.090] 绝不捆绑销售，强制任何
[04:27.420] 绝不使用想象旅客出口。
[04:30.600] 然后再下边有个服务监督电话，4008186188，
[04:35.310] 然后如果您要考虑分期购车，
[04:38.270] 也是不收取金融服务费的现在。
[04:41.540] 北京家吗？
[04:43.550] 北京指标吗您？
[04:45.700] 这考虑置换还是有线条的。
[04:48.310] 现成的是吧？
[05:14.550] 你们这相同。
[05:15.720] 节俭
[05:17.190] 出口的
[05:18.120] 写的很好。
[05:20.610] 正好你要都是300的话，你进口的主要
[05:24.770] 快点。
[05:25.760] 纬度
[05:29.640] 当天到
[05:30.280] 到了可能进口的肯定都是好的。
[05:35.060] 这两个就分手。
[05:39.610] 这两块了。
[05:40.870] 这两个都放到了这么特看了就叫好吗？我知道感觉。
[05:46.370] 页还是国产点的谁多少呢？
[05:50.260] 这谁还一。
[05:51.460] 对，你得看着皇上这么大，好像比他大一点。
[05:55.100] 高
[05:57.050] 高光。
[05:58.270] 底盘不一样的。
[05:59.880] 底盘都一样。
[06:02.970] 这样为
[06:14.800] 长一点长。
[06:16.170] 对着床都藏着略长一点点，然后载槽宽点窄一点。
[06:25.320] 了就完了。
[06:26.800] 这不一样出庭。
[06:30.460] 这是纯黑的纯粹
[06:33.670] 这个座椅是
[06:35.640] 是谁的？
[06:37.170] 黑车红内室的。
[06:39.070] 有什么黑色的，我看着春晖是什么的。
[06:41.960] 看灰的户型还没带。
[06:45.250] 开走了吗？人家？
[06:47.940] 炭灰，黑了思路什么，咱在门口有别的车，你可以看一下，看看那个颜色，您就看看颜色哪个
[06:55.120] 不在这关口跟这边有。
[06:58.120] 不是这个吧？
[07:18.110] 这个颜色你。
[07:25.120] 不是。
[07:31.160] 这个还行，深灰色。
[07:33.610] 对，我觉得三色。
[07:45.120] 花呢？
[07:46.380] 这不下雨没什么。
[07:48.890] 没通过
[07:50.400] 张扬
[07:52.490] 不是你要的颜色这
[07:55.080] 就散小张。
[07:56.900] 脏手印。
[07:59.380] 擦一下就好。
[08:02.790] 说
[08:04.680] 选择
[08:05.960] 炭灰就这么毁，这叫石墨灰莫悔。
[08:15.970] 石墨灰。
[08:18.120] 我已经刚刚下楼，刚从家出发出门了。
[08:22.840] 行好勒姐，您大佬陈之后告诉着我去找您。
[08:27.020] 对了。
[08:29.160] 叫不好还蓝色的蓝是吧？要跑了。
[08:32.930] 也有那个。
[08:34.720] 了吧？没有，他又红蓝我记得。
[08:39.210] 回来好快，你想生产情况
[08:43.130] 看不出来。
[08:44.570] 的
[08:47.120] 好的我。
[08:59.080] 我们会天还看不着，
[09:04.410] 或者
[09:06.090] 这蓝可没有
[09:08.230] 选择室内我觉得晚没有。
[09:11.140] 这是房子。
[09:12.500] 是吧？这是病你。
[09:16.230] 的。
[09:18.960] 轿跑有个蓝，
[09:20.650] 当然有着。
[09:23.910] 现在您这用的什么车怎么样？
[09:27.150] 看看到底
[09:37.880] 村这样的性价比先买沃尔沃。
[09:41.130] 洇。
[09:44.850] 我觉得沃尔沃挺
[09:46.200] 怎么也不能
[09:49.460] 进口的都不会产生。
[09:51.330] 是哪个？
[09:52.660] 这辆进口了，
[09:55.330] 看着好浑水，
[09:57.430] 这多少钱？
[10:01.370] 不知道。
[10:02.740] 我们风格上
[10:04.350] 你们奔驰不管不弱，你弄我这辆车5点多车，你还是大概齐有个单位不想百最低百五10多万，大概7米以下，我说这几步了，
[10:15.290] 你看雷达
[10:16.940] 感觉好像
[10:19.850] 上面可能
[10:21.880] 不用。
[10:23.510] 滚动的花，反正。
[10:26.020] 后续的还得。
[10:27.300] 包括电池。
[10:30.910] 电池。
[10:33.710] 他又跑了。
[10:35.880] 好，我们。
[10:37.200] 采用了昨天
[10:43.920] 你觉得自己到底
[10:45.560] 哪个？
[10:46.920] 放下
[10:48.670] 后来
[10:49.430] 他身上有吗？
[10:51.220] 对经营，然后那车这石墨灰的颜色这边放展厅里边了，刚来发表，
[10:57.870] 非得打了两天发慢了，
[11:00.690] 骂了之后就给挤走了。
[11:04.370] 但那颜色好看，
[11:06.450] 是吧？也晚上所以不要偏头发就是校车，
[11:12.190] 而且他的笑话晚上的时候特别漂亮，都在哪，他那尾灯跟国产一看都不一样是吧？
[11:17.830] 它的维度特别大，特别疼，
[11:21.310] 我也很难看出来。
[11:23.390] 完了咱们
[11:29.000] 我不喜欢
[11:30.250] 你完了类似点
[11:52.430] 260是亮面的。
[11:54.980] 对。
[11:56.290] 他这个是木纹的三板，
[11:58.320] 然后300在做主驾驶带座椅记忆该大胆，
[12:02.560] 然后还带柏林之行，他的然后还有
[12:08.360] 周围
[12:11.090] 还有踏板一点用都没有，然后他还有无钥匙进入。
[12:28.190] 行。
[12:29.210] 短期。
[12:30.560] 因为可能真的好。
[12:32.960] 什么辉帮您看一下，一会在电脑帮您查一下。
[12:38.380] 现在记不住。
[12:40.400] 谢谢。
[12:41.680] 25年好多。
[12:43.080] 了200比便宜400万可能。
[12:45.980] 对这款。
[12:47.160] 俺是51万多。
[12:49.400] 那款是45万多，
[12:52.400] 差几万块钱。
[12:55.320] 快看看什么亏，再看看一下。
[12:58.880] 我在想
[13:00.170] 你看那个地方下车，
[13:02.250] 你踩踏惨祸，
[13:03.540] 穿裤子就弄得特别脏，他买国产大概就毛病想起都取不了，
[13:16.650] 还是看石墨灰的颜色，您想看看。
[13:19.470] 想看看他在门口看看有没有还有测试地方吗？真没有。
[14:18.860] 没有了。
[14:20.690] 没了，有一个gl C国产的是颜色。要不你看一下。
[14:24.680] 看一下。
[15:04.960] 对国产糖。
[15:07.080] 颜色。
[15:21.880] 大眼睛
[15:23.480] 真远，但这块你全部好吗？这个也行，这颜色。
[15:32.590] 这是国产的，在北京的。
[15:36.630] 这是上班不是200斗量29点，
[15:40.290] 但颜色时候看着严重，
[15:51.140] 红黑。
[15:53.910] 他怎么给
[16:03.920] 中午吃太好了是不是？
[16:06.670] 看来碰了没我觉得感谢典范，要不然我就给丢了。
[16:14.510] 这饮料还弄一双新。
[16:50.670] 你帮我了，来。
[16:52.360] 看一看行。
[16:55.880] 坏数据。
[16:57.940] 数据。
[17:02.110] 数据。
[17:03.320] 五
[17:04.890] 的
[17:08.830] 花。
[17:17.590] 200多万。
[17:20.360] 打G
[17:24.610] 喜欢。
[17:27.990] 是一种情怀。
[17:30.570] 真是。
[17:32.250] 实际上她小孩喜欢的样子，
[17:34.880] 漂亮的远场
[17:42.010] 的
[17:50.390] 的
[17:56.590] 的
[18:00.880] 全的卖
[18:03.840] 卖。
[18:04.800] 要是啥那车在那边大库里面不在。
[18:10.930] 没网站没往那拉。
[18:16.740] 你现在大概优惠是什么？
[18:23.700] 石墨
[18:25.240] 这车指导价是517,800，然后咱们优惠3万，我这487,800，
[18:32.480] 这部分钱没有在面的，别的就没了。
[18:39.360] 保险装饰那些不强制。
[18:42.560] 不强制。
[18:45.230] 你要是在你这做啥装饰的话，我们如果它是分两场，
[18:53.420] 一个是8800的，一个13,800的，
[18:56.800] 然后8800反正就是包含贴膜，
[18:59.960] 记录仪，然后大头给脚垫后备箱垫，
[19:03.960] 然后13,800也是这4样东西，
[19:07.840] 但是它的膜更好，叫微步的美国威酷的贴膜，
[19:11.660] 然后车贴膜没有车子补贴，咱家车对车一合一的话单独选装的33,800。
[19:20.480] 美国进口的，
[19:22.880] 然后如果你要购买的话是打19折，
[19:28.270] 吃墨就是石墨灰。
[19:32.110] 没事。
[19:34.480] 然后但是柏林之声音响是咱们选装的。
[19:37.400] 灰的被删了。
[19:39.960] 灰的是这就是刚才给您说的
[19:43.660] 拍卖的那种的。
[19:45.370] 他们明天他已经装上了，对，他那个是一个mg版本的，
[19:51.730] 就配置更高的。
[19:53.400] 那车的指导价是59万多了，
[19:56.640] 59万多，然后再车
[20:01.470] 就算等会更高一级别了，那车
[20:12.130] 他那车什么事都没有，
[20:14.520] 那辆车一点矛盾没有，
[20:16.420] 为啥呢？
[20:19.080] 可能数据
[20:23.690] 喜欢
[20:46.020] 那辆车是什么都没有，一点事没有。
[20:48.980] 他那辆车
[20:50.880] 他等于是厂家
[20:55.530] 改配置了，
[20:57.030] 所以发货就骂了，那车等于是
[21:00.070] 这个车它简配了什么东西，捡了一个原厂的行车记录仪，
[21:05.450] 减了20寸的轮毂，
[21:08.240] 正常应该是20寸的这车，他这辆车开始吃酒了，
[21:12.190] 咱们正常的也是持久的。
[21:15.440] 然后但是它多了什么东西，
[21:18.370] 它多了一个抬头显示，
[21:20.370] 玻璃上能用功率数的，对，这个没有吗？
[21:24.800] 黑的没有。
[21:27.670] 然后他还多了一个
[21:29.740] 大陆的没有。
[21:30.900] 哪个车没有。
[21:32.770] 就像宝马抬头，对那个是需要单独选装的。
[21:36.880] 然后还增加了一个
[21:40.070] 车内的香芬就在那手抠副驾驶手抠里边
[21:45.650] 多了一放香水的地方，这是原厂的。
[21:48.100] 还多了一个后排的侧部气囊，
[21:53.380] 然后这车是59万
[21:56.630] 8800，然后但是他选装了之后
[22:00.950] 多了2万多块钱。
