[00:00.000] 你看出来这个情况怎么办？我觉得不方便，我这快干完了都。
[00:05.950] 现在李女士直接买车高兴，
[00:09.170] 你自己我就是这么今天怎么任何问题这边就看到我了，看到了
[00:17.870] 那不行你
[00:22.570] 来
[00:23.680] 理解完了，我当时行。
[00:28.000] 好了到哪了？
[00:30.310] 你完事了是吧？给他签完了是吧？
[00:34.470] 好了行，还有你先拿了。
[00:41.350] 了，现在我在单位上班，现在那边讲的记录记好了，再来找我
[00:47.330] 了，爸爸来。
[00:52.160] 我没想到
[00:53.650] 让他去了不要找。
[00:57.960] 如果你发了微信以后，他两个月知道我说可能我一会或者骑车他就是路上又多了，
[01:05.190] 你不是说不行，不能比这还。
[01:07.560] 他入室他跑了一圈，他自己没改顿挫感，
[01:11.540] 这句错就错了，他说不行，他已经从电脑发了，现在没招了，
[01:17.390] 说把
[01:18.580] 提出问题反映给厂家，她厂家回去怎么解决？
[01:22.570] 我说这东西也没还有自己商量怎么出现这问题了，
[01:27.570] 咱们厂家承担会怎么解决，我就不知道说，然后当时等什么，还有社保局给我打电话一说，
[01:34.990] 放假
[01:35.960] 当时我的时候，
[01:37.520] 我给你打电话吗？
[01:39.180] 这个我没打电话。
[01:42.730] 真是急死我了，这是买了个停车费4分之。
[01:46.660] 怎么办？你看看
[01:48.900] 用什么？
[01:52.210] 你俩一块去试试，没有。
[01:54.880] 对自己负责，我没事。
[01:56.740] 我刚来你坐，我刚才在
[02:01.710] 但是我不干他那个是
[02:03.840] 情况。
[02:09.410] 没有，我俩现在
[02:11.720] 可能还没放再跟厂家反馈。
[02:17.600] 啥意思怎么样等等吵架咋样？
[02:37.040] 一种的话，
[02:38.140] 普遍的这种情况，他现在的情况
[02:47.120] 对。
[02:48.650] 但是新款
[02:50.330] 就这样卖不是没收获，对，因为咱这种
[02:53.680] 没法做的店，
[02:55.510] 如果是向厂家反映你怎么做？
[03:08.290] 行。
[03:27.870] 张
[03:28.720] 三
[03:33.000] 但是他们当时
[03:36.450] 看一看谁知怎么处理这
[03:52.110] 为
[03:53.850] 为
[03:54.960] 食堂门口有个祖母绿，
[03:59.120] 食堂门口你给我叔讲辆车，一直等你，
[04:02.930] 给他讲他说好，
[04:07.160] 刚才没人领导给我打电话来的，他对厂家进入厂家给他怎么修？
[04:14.500] 点了。
[04:15.740] 调整笥
[04:19.840] 面上好像
[04:21.200] 说
[04:23.340] 咱们那个小区属于老四，他过来给您讲了，讲完就直接出来就可以了，明白这事了。
[04:29.010] 对吧？
[04:29.770] 好好，我就不用拿别的东西是吧？没什么东西，这身份证在你那放着不？
[04:35.690] 身份证给您了，说完了到时候完了以后是不是就说您会在什么时间，对等了这边就最近
[04:41.900] 过去着这两天，行行你好好谢谢。
[04:47.800] 为。
[04:55.260] 就厂家如果说没事就没事。
[04:58.600] 这种情况他们厂家跟我说没事的，人家客户觉得有事儿了，
[05:03.170] 这就很大了。
[05:06.180] 谁知
[05:15.320] 厂家恢复正常。
[05:17.800] 这只能是等等，厂家那边回信什么意思？这边那车怎么着？
[05:23.760] 之前侯德德侯淑娜有一车，
[05:28.300] 3000转，
[05:29.590] 偶尔3000转加了3000这才升档，你跟他说过说了吗？
[05:34.680] 我为这事人家的车不是他这车，我知道厂家这种情况，你跟那客户说了吗？
[05:40.570] 这种情况你跟客户说了吗？
[05:43.230] 没有，我没跟他说，厂家说是等厂家这边的回复我才能跟他说。
[05:49.470] 明白，等于现在我没有。
[05:53.670] 我这不是现在就处于一个接待，我其他的所有的都在车间那边，
[05:58.780] 让他们尽快走出。
[06:00.270] 咱们这反映的是没什么事吗？
[06:02.880] 对，咱们就正常反应，把车的技术信息都发给厂家。
[06:10.200] 只能让厂家再分析分析到底是什么情况，正常还是不正常，是怎么如果不正常是怎么修。
[06:19.250] 他那个车也是这种情况，厂家不是说正常吗？
[06:23.040] 他那是一个C级车，是不是这款车？
[06:28.020] 行。
[06:29.110] 成好勒，也没有别的办法，问题是怎么能干，这次因为
[06:35.240] 对，现在这也不是着急的事儿，现在着急只能是你把车先开走，也等信儿。
[06:42.650] 也只能是这样，他现在能开是吧？
[06:45.400] 还用正常现在都没什么问题。
[06:50.520] 好了。
[06:52.340] 反正他又过来了是吗？
[06:54.690] 上我们家我们都在一起的吗？
[06:58.150] 谁知今天下午给客户打了一电话，我说车间技术这边现在没有，
[07:04.730] 也是做平台的合作打造的，还是也是对经常会用车吗？老是这样也不是特别方便，不是常胜。
[07:12.730] 对，因为我刚才想问你这个问题，如果厂家介入厂家给人反馈，就像之前那个车一样也是没什么大事，反正这样。
[07:19.640] 那得咱们这边也怎么能辨一下能处理一下，我能调教一下升级一下怎么能给处理呢？
[07:25.860] 对，也就是调校变速箱，因为这变速箱也是自学习的，他根据驾驶习惯，但是今天咱不是调了，调了还是这样不管用，
[07:34.170] 所以还是说比以前变好点了，
[07:36.940] 对比比一点点好点，还是还有一点是吧？
[07:41.240] 对比其他的像S也是9速变速箱大，他的很明显不太一样的话，要是但凡没有
[07:48.670] 有和解也好，
[07:49.850] 杨师傅给他试了一下，确实是韩说是之前跟之前那样一样，也没什么特别大变化。
[07:55.840] 对，说好一点，但是还是有问题。
[08:01.560] 反正现在的意思。
[08:04.560] 行吧我明白了。
[08:06.730] 或者你问一下武肉或者这车应该是技术流浆弄着的，
[08:11.140] 我那有没有？
[08:12.720] 对，反正现在都应该是在刘江。
[08:18.500] 了。
[08:19.550] 行好勒拜拜。
[08:29.130] 都说问题不大，但是来说怎么解决这个问题，
[08:32.600] 我也希望这打车去调教她，一上电脑就好了，
[08:36.400] 你也不用上火，现在这放两片了都，现在这个情况他一直没有个名目。
[08:43.530] 你看杨师傅自己配钥匙，我车上拉了6个人以后记着他就感觉太明显了，
[08:50.740] 特别是做的最后肯定感觉刷的一下永远不要看不起，5时候怎么说，刘佳怎么不是我师傅没点5，师傅不是现在发报告了，对他再发报告了，我看信息不是我就怕什么，因为他这个情况之前有一个C不遇到过吗？比还很明显，
[09:08.550] 再发也擅长家纺，C跟他不是一个变更，但是也是厂家报告了，厂家里边说没事正常咱这是9的。
[09:14.900] 在这9次无级变速它不应该出现这个问题，这个事我知道宝马也做，
[09:20.660] 看报纸爷爷他没有这种情况。
[09:25.330] 他9次变速箱和其他废弃具体他不一样，
[09:29.140] 不应该出现什么，我也咨询这个情况了。
[09:32.150] 比如说我有朋友他也换了对方，这都不知道，
[09:35.640] 他开始客户飞机直接开到数量，
[09:38.050] 叫他给你调教一下了，
[09:39.540] 肯定是有问题的。
[09:41.280] 问题咱这也没法调是吧？都没法调试是吧？
[09:45.550] 行吧，咱这边我找找那50我说一下。
[09:48.810] 但是我觉得我别把我走吧别走。
[09:54.850] 咱们找着那50块钱，
[10:03.640] 要
[10:04.480] 他刚做完车看这个印象很是的空时间网上买一个最好。
[10:09.970] 我这样
[10:18.070] 咱一块找王武洲。
[10:19.780] 好吧？行行50就来了，应该来了，我也不是特别会说，您先我一人我也不太懂，
[10:28.080] 谁知
[10:34.010] 他马上过来，
[10:35.710] 大部分时间
[10:39.400] 谁知。
[11:04.370] 先把要等上完跑我给您没事。
[11:07.200] 我给您收着抓好勒。
[11:13.570] 等会我跟你孙子说我是不是
[11:16.330] 我说
[11:18.320] 了。
[11:18.860] 的。
