[00:00.350] 销售顾问董凤馨接待客户肖先生。
[00:04.270] 欢迎欢迎。
[00:05.560] 您好肖先生，嗯嗯嗯谁知。
[00:08.700] 好勒。
[00:09.610] 完了。
[00:10.300] 那个
[00:11.610] 完了刚才我们约了一个A的事情，我想让我写的是可以没问题。
[00:18.210] 那么
[00:19.640] 行嗯唉那我们试试唉行，想试一下这车的话需要先给您介绍一下吗？
[00:25.680] 最终你可以把呃你主要
[00:29.550] 你要喝茶，
[00:30.800] 知道吗？
[00:31.960] 坏坏
[00:38.040] 嗯
[00:39.710] 然后
[00:43.070] 对，咱们那个那个嗯然后咱们现在有那个可乐、咖啡、茶，
[00:50.220] 嗯考虑说点吧啊好，然后先给您读一下这个服务公约。吧
[00:55.330] 嗯就是比较主要，
[00:56.880] 呃客户为尊以礼相待，诚信经营、合法得体，明码标价、公开透明，绝不捆绑消费，强制
[01:02.610] 消费，然后也不决决不使用这个
[01:06.760] 假假以及以次冲好，这是咱们全国的一个节目电话，400818188，嗯
[01:13.160] 然后咱们奔驰品牌有一个
[01:16.610] 这个分期不收取这个金融服务费的，啊
[01:19.940] 然后咱们如果说考虑买车的话，其实分歧也比较合适。
[01:24.940] 现在我们是
[01:26.200] 告诉的全款谁知
[01:30.060] 嗯
[01:31.390] 设定的。
[01:32.670] 然后平时买这个车就是说能开是吧？嗯
[01:36.400] 上下班用。
[01:38.000] 嗯那平时有什么兴趣爱好，比如开着这车会出去玩什么的吗？
[01:41.710] 呃
[01:42.970] 自驾游啊
[01:45.150] 但是
[01:46.260] 那里还有一大点的，啊
[01:49.100] 主要就是上下班，主要就是上下班买菜。
[01:54.300] 明白明白。
[01:55.160] 然后咱们先看这个
[01:57.250] 这是咱们的一个电子水牌，
[01:59.220] 这个展车呢是a180的运动轿车，啊
[02:02.720] 然后他有
[02:03.900] 几个配置和a180还有 a200，还有a200，
[02:07.970] a220的这个四驱，啊然后同时您的一个这个驾驶习惯是
[02:13.560] 比较接近于我们国家的一个
[02:16.000] 这条是什么改革，啊它在动力的话，您这边有什么需求吗？
[02:21.020] 因为咱们这个是
