[00:00.000] 对上保险最多应该是8000多，然后给了一些邮对什么微友的咋回事一年。
[00:10.240] 它这个不是说人保馆哪家保险公司都有，你比如说你手里还有其他一台车，
[00:14.840] 上的也是人保，就其他品牌的这没有，
[00:17.660] 这个是板的利好给保险公司施压。
[00:20.850] 没车少自行车少现在比较合适现在，但你关键是你这车，你首先D你得确定好了，
[00:29.860] 这车要不要修？
[00:31.480] 你要不修你上那交那个钱就管管多严重，我也不修复它，交了1400多不是百你知道吗？
[00:37.310] 但是车你要确定要修，
[00:39.760] 你就教他现在如果想修的话就交着比较划算的，对交了这些钱，然后他给你2500，你出一个点给2500 2万，这个交的钱也到时候也已经
[00:50.130] 他说他这样你交1498，
[00:53.220] 有一个被保险人就是你自己，
[00:55.320] 这就说明你叫了一个险种，然后你修完车之后，这不是一直在咱必须在摆那里修车，
[01:01.310] 修完车就报案，修车，修完车之后给您账单，拿你个人的银行卡，
[01:05.300] 还是在那交钱的。
[01:06.800] 然后做登记登完记之后大概有个10天左右，反正差不多大概点多晚会，晚点他会往你卡里就打，你报了一次案，他
[01:15.170] 给你打2500，你报了两次还修了两次车，给你打5000
[01:18.360] 现金。
[01:19.380] 比如说要修一次的话，其实就相当于是一
[01:22.310] 多了1000 1000块钱1000 1500 1500可不是相当于得了1800，你看它的名字叫啥？他名字叫
[01:29.850] 但堵车堵长行这个名字叫的挺好听。
[01:33.600] 那种东西说白意思是什么？他的初衷是你在那修车，
[01:39.870] 你保费会上涨，我给你补上，不让你花自己花钱
[01:43.140] 涨保费了。
[01:43.990] 第二个你修车期间
[01:45.790] 没车这台车不能用，我给你打车钱，
[01:50.540] 但是你打不打车无所谓，就直接把钱现金给你了。
[01:54.190] 包括什么重点要了一个顶多是
[01:57.840] 好好几个我们
[01:59.660] 自己的当前台。
[02:01.420] 那个车像比如说我要是想修的话，我就先去交1498，然后我在正常的报案15天之后，然后等15 95天以后，然后才可以这个就退休了，这个活动到什么时候
[02:16.070] 也就我随时更新，因为这个活动不是保险公司的活动，你知道我是本着地产这保险公司不愿意，你们准备到什么时候也我估计应该也就是最多能撑到这个月
[02:29.170] 就完了，保险公司不愿意干这个事儿，因为保险公司赔钱。
[02:32.780] 但是板得利这一年要给保险公司就是几家保险公司出多少保单呢？
[02:39.790] 说现在就是困难时期，你必须得
[02:43.330] 给你压点给点压力，必须得给我点福利。
[02:48.120] 好像反正我们招揽客户，反正也不花钱，他们花钱
[02:56.430] 好挺合适。
[03:00.340] 就是说其实我主要是把这1500块钱交了就行了，对，然后直接我是一年有效期，我在一年之内，对，然后至于我是现在修还是过几个月修都没关系，关键是把这什么时候交了1498，对。
[03:15.460] 可能过两天没有就交不了这1498了，对，你就想要他没有让我去交1498，就等过一阵再说。
[03:24.470] 您那时候早晚都得时间，你不是主要是主要是右侧，你看杠那不是一个
[03:30.500] 大概有这么大圆圆的一大一大块烧吗都不重要，你知道重要哪是您的叶子板，你看叶子板带门上也不重要，门上你看挂的刚刚把那些胡写对，不不是七都疯了，
[03:44.270] 但是你要算也算下账，
[03:47.210] 反正你这次修完之后，他可能不给你2500，
