[00:10.710] 你好李先生是吗？你好，我是咱们的销售名下，给你留个名片。
[00:15.600] 上下。
[00:16.880] 你这是4S店，对咱们4S店稍后保养，像前面那天就怎么售后了？
[00:23.350] 你这情有多宽宽宽吗？
[00:25.640] 1米93你看了，我觉得你不是三点着了三点着了，
[00:30.830] 两这三点多少人双生花都在20多年，对，都是带着耳朵的不适。
[00:37.030] 觉得这个还挺的，如果像平常要通过的话，因为它都是包含这个吗？
[00:43.070] 你现在价格大概什么？这款展车是高配的，就是T6智雅的指导价是774,900，
[00:50.890] 目前的话现在这款现金优惠146,000，基本全满期应该在70左右，对主要看咱们这边预算，
[00:58.710] 因为这个车分两款开支，目前在售，
[01:01.470] 基本上差了将近几万块钱。
[01:06.450] 这多次万多钱，
[01:08.270] 1100
[01:09.560] 千元。
[01:12.230] 几千个例不1万1万公里或者一年，
[01:15.960] 如果几率也比较前。
[01:18.020] 对他保险周期比较长，然后5000公里就收1000块钱，可能11万公里千块钱也行。
[01:25.550] 因为好多车的话可能都5000，现在三
[01:28.400] 6万不吗？
[01:30.010] 我往前。
[01:34.470] 车平常谁开车，平常也不让你开着吗？对。
[01:38.480] 看着空间也可以，计划
[01:41.160] 置换的话有补贴，现金置换补贴是优惠14,000。
[01:45.600] 现在开的什么车，我现在没什么事的，三看还有车上这么多钱都算哪年了？
[01:51.890] 来的006年了，今年多少年龄？14年14年4年。
[01:58.090] 14年我前一阵我们店里好像有一个置换的，我忘哪年了，到时候可以给您看看，因为那车还挺保值的。
[02:04.590] 14年不到一也是将近15年的倍，14年腊月，
[02:09.680] 但是行驶证15年12月底，
[02:12.020] 就315跑了5年，
[02:14.100] 门口黑的好多公里数多，不是有点麻烦了，
[02:18.530] 平常他得待上一个小时了，
[02:22.730] 那得气管炎。
[02:26.350] 好多花儿。
[02:28.150] 10万20。
[02:31.360] 环保。
[02:38.640] 因为如果你要说家用的话，如果相对来说就是说可能安全系数会更高一些，
[02:43.920] 包括车里的味道你可以坐里面感受，因为它整体用的材料用的都是比较环保的，对，所以不会说像夏天车里有一些刺鼻的味道，也好多了，奥迪我还升不了。
[02:55.950] 是吧？这车是
[02:58.390] 什么这多大的2.0726。
[03:02.540] 这个是显示4米60米的料是吧？
[03:06.510] 4米64米。
[03:08.710] 2.0厘米，
[03:11.230] 动力够不够？
[03:14.520] 这是一个高四驱，最近。
[03:23.610] 玉米多久？
[03:24.380] 弟弟多少钱？
[03:25.940] 60分配是吧？基本上售价现在全办齐，落地价应该在33~37左右，
[03:31.430] 最高配的在40。
[03:33.060] 一开始不清楚，对。
[03:35.520] 就没吃住97座的。
[03:38.580] 这属于中型SUV，那款属于大型的，而且本身肯定跟刻骨的
[03:43.840] 什么
[03:45.610] 比Q5那款性价比较高一些，因为我们这款发动机是属于T5的，它这款最大马力是257，
[03:53.490] 而且像我们的主攻刹车，包括城市安全系统，这套是全系标配的，最低水位不大，
[04:00.240] 尺寸差不多。
[04:02.140] 这样他的空间都是
[04:08.440] 这锁上，你可以看隔壁那啥跟你一样的一样吗？
[04:13.590] 有的就把厉害的
[04:16.610] 的
[04:29.310] 的
[04:30.760] 远场
[04:36.030] 坏
[04:38.020] 花
[04:46.370] 坏
[04:50.280] 电动
[04:53.220] 的
[05:03.150] 后排可能稍微有点力，
[05:08.300] 不知道您注意了，因为之前有客户来我们这儿确实说过，因为我们园区就有奥迪吗？
[05:14.340] 是吗？这地方毕竟和你有什么区别这一点？
[05:18.650] 那是混动的混乱的这事由车就你这样行，我再看看别的去，行没问题，回头有什么问题到时候完了。
[05:26.270] 好了。
[05:27.570] 慢走了。
