[00:13.540] 张立平女士是吧？
[00:15.620] 看了这个数字他们去看过了，对，是您的厚片。
[00:20.930] 后边的行了，等我再去确认一下。
[00:24.600] 然后您的身份证号告诉我一下。
[00:26.640] 1000761972。
[00:31.130] 102301120。
[00:42.710] 全是晚上要吗？
[00:43.980] 不用了，这有您这车的信息了，之前来吧，没事每天。
[00:48.530] 3号。
[00:50.150] 你在这座楼。
[00:51.420] 对，上次在李昕航。
[00:55.080] 一会跑到你直接过来拿车就行。
[00:58.040] 也没有费用，这次还有剩余四保养，上周盈利了。
[01:01.560] 还剩一个A就是直接用了。
[01:04.640] 谁知。
[01:07.380] 行，楼上休息一会儿。
[01:08.650] 我给你打电话，
[01:10.320] 必须要多一点可能。
[01:12.280] 时间如果是刹车片的话，很快，比如说一个来一个半小时就能完事儿。
[01:17.260] 对差不多。
[01:19.160] 昨天打电话我就要三个小时。
[01:21.650] 不会那么慢，
[01:24.550] 因为来得早。
[01:28.550] 然后我跟您去看一下车，咱们核对一下外观。
[01:38.080] 这个东西一会过来的。
[02:09.520] 后片报的。
[02:10.580] 后面对这是后边一换，就两两一对两后轮的。
[02:15.110] 后面的贵是吧？后面便宜，后来小钱变大钱面贵。
[02:19.960] 前面好像是快点，
[02:33.390] 水箱比较脏，建议轻一点。
[02:44.370] 车里没有什么贵重物品要收了吧？
[02:55.880] 行，那完事儿要不下雨把你车给你洗了。
[02:58.450] 洗一下该洗了，我最近一直没空去，下雨也洗一下看。
[03:03.170] 下面有点焦，好像迎着工地祝你们都赶上了。
[03:08.600] 喝一个半小时是吗？差不多，我本来想要三个小时我就回去一趟，我住的不远，但是要是一个半小时。
[03:15.090] 看您要是说回去
[03:16.460] 了，
[03:17.190] 现在是9点过去11点左右差不多，所以后面很快应该
[03:37.960] 或创面1319元拧。
[03:41.000] 对连工带料原价是1700，现在是1300。
[03:45.080] 都一样的，138对全部这是。
[03:48.690] 目前应该还是全北京统一的，对，其他外省市都不知道，然后您前面水箱清洁很脏，
[03:57.130] 的时候不都是递过吗？对吧？老师这么一个8小时再说是吧？
[04:03.350] 那就是你说。
[04:06.480] 谢谢。
[04:13.140] 快保养是吧？
[04:20.720] 的。
[04:26.470] 你好。
[04:30.200] 你好
[04:35.310] 来
[04:37.430] 等等会我看一眼。
[04:43.030] 应该是到
[04:45.640] 他们说周日就到了。
[04:47.870] 对你过来肯定应该是倒不是
[04:51.470] 不坏不快拆，你们那边不会很快。
[04:56.240] 多多半天。
[05:00.370] 快快的下午。
[05:03.340] 时间
[05:07.240] 最好能跟着放一边走远远
[05:15.260] 应该
[05:17.640] 好。
[05:38.180] 的
[05:39.810] 这里。
[05:42.020] 把
[05:44.690] 钱
[06:10.110] 好清楚。
[06:11.960] 1319元在哪放心。
[06:17.470] 说。
[06:35.130] 的。
[06:36.330] 然后再给您取车单，然后拿着许昌来上这块先生构架上面有电话和姓名，
[06:42.720] 然后那边有水就是隔板，后边然后楼上按摩椅什么的。
[06:47.480] 我赶快给您安排一下究竟对。
[06:52.710] 差不多。
[06:54.550] 换下来的这些旧的零件还需要带走吗？
[06:58.180] 一定的刹车片。
[06:59.970] 谁知。
[07:02.650] 我们脏了吧唧的，您看要是不要我们又环保。
[07:08.040] 对，报警就到极限了。
[07:11.990] 对。
[07:13.040] 排队了，感觉好，看看照片我们过去了，你。
[07:18.940] 万过吗？过你
[07:20.230] 了，第一次就够了，不会不到两年。
[07:25.280] 然后去年换了一个前面的，我看了有三张都没有，
[07:34.940] 两页这个打算照片是吧？出车了走了吗？出去了，好了回来。
[07:41.350] 这是一点，619年8月份放过钱骗您这个算开得比较费的是不是？
[07:47.580] 内科不他就是费事，那堵车，你要跑高速不踩刹车他不备。
[07:54.240] 我给你送频繁了，您那算费的。
[07:56.320] 前面都犯过两次。
[07:59.000] 后来正常的。
[08:01.600] 这样正好后排后两分前面换一次，对。
[08:05.620] 正常的应该是
[08:07.760] 年我觉得也这个刹车片是不会按公里数和年限
[08:14.000] 测估定的，因为看您正常的踩刹车的频率和你
[08:18.740] 其他的车没有这么频繁，
[08:20.750] 没有这么多的。
[08:22.260] 这一块我能感觉。
[08:24.800] 刹车片比较费你
[08:26.860] 主要老开堵车的地儿可能。
[08:29.220] 可以说明白。
[08:31.650] 行，您再休息会儿，我刚刚给安排进去。
[08:35.040] 说。
