[00:00.000] 刘韩文人才13810739448对。
[00:09.850] 我们是明天就发信号。
[00:11.840] 好好，所以我想为什么不要下你好，录用了你要回去，
[00:17.290] 是吧？我就等着告诉
[00:22.870] 我是2万。
[00:24.810] 行行好勒，好单位拿进去。
[00:28.160] 513。
[00:29.950] 写上面写着导演喂。
[00:34.730] 该做保养。
[00:38.240] 说。
[00:42.600] 过来。
[00:45.140] 用。
[00:46.620] 怎么。
[00:49.140] 了
[00:54.100] 咱们上次是做了一个
[00:59.640] A宝2000多，你拍这么快1万公里了多久？
[01:05.390] 4月份。
[01:06.800] 月份3月都没到。
[01:10.020] 二两个月两个半月，
[01:12.610] 当时作为A保，咱们这次当然作为B宝寺A版，
[01:17.670] 然后您的。
[01:28.690] 您好。
[01:30.390] 火花塞是需要换的。
[01:32.780] 9。
[01:35.830] 你说这个就是说电子商务下次再说，电商上次6万换过。
[01:42.010] 等于12万再换。
[01:46.360] 您是做保养是吧？黄山市6万换的或者在每4万公里换连10万就上次应该。
[01:56.510] 咱们根据您说的。
[01:58.320] 刹车油、
[02:01.850] 这车我觉得这么用还行。
[02:04.840] 最起码没浪费的车。
[02:07.910] 刚才我去看了说
[02:10.800] 15年的
[02:13.050] 跑了27,000多本吗？
[02:16.200] 车里没有。
[02:20.480] 看到我浪费，
[02:48.430] 坏
[03:02.360] 看车。
[03:04.320] 对，我看你跟我说你感觉多少钱？
[04:19.530] 1
[04:20.240] 112,377。
[04:25.150] 三香油。
[04:30.470] 您贵重物品收一下。
[04:33.040] 要。
[04:59.860] 前杠杆顶了一下，
[05:12.800] 前杠上顶了一下这大话稻子，
[05:17.150] 看着
[05:21.510] 都顶着前面了。
[05:24.010] 撞到了应该。
[05:25.670] 钓鱼东西。
[05:28.770] 不知道什么状应该撞上，应该冻着了。
[05:35.200] 你这撞到
[05:37.520] 行里边行吗？
[05:39.190] 多了，我告诉你多少钱。
[05:48.600] 你前面打算修吗？
[05:51.010] 没工夫。
[05:52.190] 是吧？没给我修。
[06:04.960] 辅助蓄电池是吧？
[06:06.540] 在辅助蓄电池那个吗？
[06:08.400] 给您加上准备给您更换了，宝山那边已经做了。
[06:12.830] 你得先联系我，得等我准备家乡给您更换了，保修那边已经过了周五应该差不多。
[06:19.200] 舅还没修上是吧？
[06:21.470] 对保修的现在都弄完了。
[06:23.520] 换块。
[06:24.630] 我现在还没做，因为你说的是
[06:31.240] 没有，厂家系统这里边没有不是没做进去。
[06:34.530] 好的。
[06:37.400] 我等一下。
[06:42.820] 好我这等大事。
[06:44.100] 你这买。
[06:45.720] 上次来说不用了。
[06:47.400] 现在有这个月有2A2B套餐吗？
[06:50.330] 的。
[06:51.110] 上次不是一人一B买的那个吗？
[06:53.040] 用完了。
[06:56.800] 了。
[06:57.500] 套餐
[06:59.780] 稍等等行行你先拿着。
[07:03.280] 麻烦了你说没事。
[07:06.130] 这就是把这张。
[07:10.440] 人家再说。
[07:22.640] 稍等一下能不能再查？
[07:24.630] 应该是
[07:25.860] 肯定的。
[07:27.050] 有就看是怎么个做，15694
[07:32.220] 156943你。
[07:34.150] 我怎么说了，谁知到了没有完善，您得说现在4次保养，
[07:38.430] 4次3400。
[07:40.050] I在08。
[07:42.220] 4次保养。三就是咱们说的基础A基础B3408式，
[07:47.950] 两个A两个B
[07:49.540] 等于这次咱们用一个
[07:51.450] A。
[07:52.290] A然后还永章两一个A两个B
[07:54.840] 得两个。
[07:57.280] 330。
[08:00.440] 三次两次1000 1800。
[08:02.920] CL9CLQ0，
[08:05.670] cm40你放心A它所以说1000块钱，
[08:08.660] 单次1000块钱就A饱1000块钱，必堡是1400多。
[08:13.060] 你那就等我回来了。
[08:16.080] 您先。
[08:17.080] 的时候再交吗？对，但是您套餐您要告诉我您是用户买套餐，因为账户不一样的，他说你可麻烦了。
[08:25.750] 他说合适吗？
[08:27.530] 对是买1A1B还买22B。
[08:29.900] 200 200拿。
[08:31.500] 来两笔3400，
[08:32.790] 爷1:1800。
[08:34.510] 等于4次保养3400，两次包1800。
[08:37.250] 就正常保养您那边有。
[08:39.800] 我跟折扣后的。
[08:42.460] 这是折上折的。
[08:44.230] 这次您除了A保养以外，您说一下还有刹车油活三需要换，如果这两个
[08:50.050] 换的话，那么我跟你套餐差不多了，现在要几万公里的。
[08:53.960] 套餐里边本身也不包括。
[08:56.420] 他也不懂得大概是1000块钱还是不含。
[09:00.820] 不含。
[09:02.260] 您那个车的火花塞是599，刹车有370不含在这个里，咱们说的
[09:08.820] AB宝都是基础的。
[09:10.490] 对基础A技术这就跟您之前买的套餐是一样的，之前不是买过吗？之前你买过一个
[09:16.490] 1 AB。
[09:17.300] 什么叫地主？有那种有些没上销售。
[09:21.440] 因为如果说您买1A1B的话，就是您的
[09:25.090] 1800加上其余的就是刹车活塞，
[09:28.770] 如果买2A2B就是3400加上刹车活塞车。
[09:32.240] 这样我给您您选一下，谢谢，我跟您说您选择像您这车。
