[00:00.720] 2020年7月16号量与客户高新村建设路，我今天突然自己拿了，
[00:07.160] 怎么样好听行，等你那在哪儿就行，赶紧往哪转了。
[00:23.960] 来，我姓郭，郭进负责您这车的功能介绍。
[00:28.020] 咱们买的首先是A的200长轴、白车、棕黑相间的内饰，车架号，咱们自己再核对一下。
[00:35.840] 108847检查一下外观提示没有问题，咱们就讲功能。
[00:41.000] 您是委托人是吧？好勒。
[00:43.270] 这个车有一个梅赛德斯me妇联的功能，我待会给您实名认证激活，具体告诉您干嘛用呢？
[00:49.930] 首先这个车前面的话，梁雨给您订车出动大票保险，我能负责功能讲解。
[00:56.280] 时间差不多40分钟左右之。
[00:58.310] 之前有开过奔驰车辆，
[01:00.280] 开过几次，但是不是自己家的车，哪个车什么车型，
[01:05.720] 前几年开的朋友小跑车厂房，行，您做度假没问题，就开始
[01:22.040] 首先咱们这个车有无钥匙进入，无钥匙启动抱歉，
[01:25.900] 钥匙在车内的前提下踩住刹车，按一下启动键就可以了。
[01:30.660] 座椅的调节都是门市，包括大扭推是前后，
[01:37.010] 包括上下就是自己的高低，
[01:39.020] 都是可以充电空调这样靠背向后推，
[01:42.810] 就是靠背的羊角，
[01:44.450] 4门的锁止开锁、中控这是一致的。
[01:48.120] 中间这个案件受镜子洗车机坐车，您需要手动去调整一下，火车的话咱们可以单独设立，让它自动收回。
[01:55.860] 按量左侧调节是左边镜子的视角，4个小箭头上下左右咱们调这个位置，
[02:01.760] 含量右侧调节是右边的体质的，
[02:05.010] 我这一会完事对应客服会有一个面法4门玻璃都是一键升窗的控制，
[02:11.260] 最下面N减点量，坐在后排的乘客两侧玻璃是动不了的，小孩单独乘坐想一下做纸就可以。
[02:18.730] 后备箱是门侧面这个案件，
[02:21.180] 往后带一下是打开，但这个车它不是电尾门锁已关闭，咱们在外侧手动要关上才可以。
[02:28.030] 大灯的位置，
[02:29.420] 左手小圆圈这个区域，小竖线指向AUTO它代表自动挡，
[02:34.310] 现在光线不够大，灯是自动开启的，
[02:37.080] 不管您是进隧道下地库或是傍晚擦黑大灯都是感应式开启，就搁在这不动了。
[02:43.550] 左侧这个案件是手刹，仪表盘对应的是红色N+P这个标识，
[02:48.730] 手刹它是电子的，以后的话您也不用控制，
[02:52.510] 上锁的状态下咱们挂廊，
[02:55.900] 手刹会自动解除。
[02:58.040] 在您停车归为P等以后，
[03:00.580] 咱们灭车或者是主家开门，您看手刹
[03:04.370] 它是自动上，所以手刹平常也不做任何操作，
[03:08.390] 大灯手刹都不管。
[03:10.460] 右上角这个案件是雾灯，雨雪天的时候您按一下开启的同时，橙色小灯对应比是
[03:17.550] 下面黑色的按键上下旋转代表的是仪表盘的亮度调整，
[03:25.560] 然后再有就是方向盘左侧只有这一个长灯杆，
[03:29.160] 集成的功能，首先转向灯左右是一致的，
[03:32.570] 雨刷的位置是左侧小三角，指向零的位置是关闭，
[03:37.230] 上面两个曲线代表感应，打开的话，你往上拧指向曲线，
[03:41.700] 只刮一次，
[03:42.850] 下雨的话会自动刮刷，不下雨不刮刷，
[03:46.170] 通过车内的雨量传感器来识别。
[03:48.430] 第二个速度比下面要更快，
[03:50.620] 灵敏度要高一些，上面单实现双实线强制慢速度一直会。
