[00:00.000] 每一个人
[00:02.950] 接待不知道姓名的，
[00:05.280] 俩人看MB钥匙给我，
[00:14.380] 要。
[01:10.400] 您好。
[01:11.640] 先生您贵姓？
[01:15.680] 丁先生。
[01:16.960] 林先生您好。
[01:18.200] 您久等了。
[01:19.640] 看gt是吧？
[01:22.020] S
[01:25.340] 4 S md车修，
[01:27.200] 这是nb坐骑，那就是没区别再发VIP市场。
[01:31.830] 外观我说外观差不多了，
[01:34.420] 外观差多了，我感觉看可能
[01:36.300] 区别不大。
[01:38.010] 准备什么时候买？
[01:39.530] 我不知道看我爹。
[01:43.210] 我看了看了看了也没用，
[01:46.880] 您说这
[01:52.990] 他后面那个东西金牌开车什么。
[01:56.010] 这不是
[01:57.650] 北京上不再排的。
[01:59.300] 后面美的能起来，不带牌子是什么意思这块？
[02:05.060] 我们能够给您提供用几个月的金牌，
[02:08.530] 几个月没使用，然后再收回来。
[02:18.930] 你经销商
[02:20.770] 就几个月，
[02:22.220] 但是我们不收您钱。
[02:24.860] 但是可以提供方便的，对。
[02:27.240] 那有什么意义呢？
[02:29.200] 过几个月怎么办？没办法，事情不方便。
[02:40.740] 是卖点。
[02:41.760] 排不是还是能借用吗？比如说有一块您有金毛您一样也是低价卖，您
[02:49.820] 您看车过程中，我先给您宣读一下咱们服务公约，丁先生，客户为尊以礼相待，重新经营、合法得体，明码标价公开证明，
[02:58.450] 配件渠道进行公示，绝不捆绑销售，销售消费就不使用检验及称号。
[03:02.170] 接通电话40088188，
[03:04.420] 然后咱们这楼梯下面正对着有一个白色的看板上市，我们的车辆公示价格，服务类的控制价格，
[03:10.870] 前台上有精品的公示价格。
[03:12.830] 除此以外，咱们除了AMD的授权，还有迈巴赫的授权，
[03:16.660] 然后如果说您有朋友或者亲戚朋友想关注这车，可以帮我们推荐一下。
[03:21.450] 另外刚才您问的
[03:23.230] 特价车，我们这也有几台，大概还有胜过主要有C有cos。
[03:29.050] 不这东西掉了。
[03:30.790] 没事。
[03:34.130] 这客户小孩在那一块把撤掉了
[03:37.920] 了，然后给他我们已经订货了，换一块牌子他
[03:42.280] 跟cos基本上都差不太多，他跟ks的算是同一个平台，但是实际上的其他的都不一样，我知道车身外观细节东西发
[03:54.070] 设计的点，设计的亮点突出的我们的目标各方面全都不一样，这个唯一能存起来吗？这唯一可以说起来最高到这。
[04:02.570] 我知道可以生意好。
[04:04.170] 今天来演示一下
[04:28.150] OK OK看到
[04:30.130] 还有
[04:47.390] 8个公司。
[04:48.490] 66个。
[04:50.200] 对。
[04:51.000] 536389 38方。
[04:55.580] 367匹这五菱是367，
[04:59.040] 500牛米，
[05:01.490] 5秒0~170度，
[05:03.740] 16和36家电动机，
[05:05.930] 还有其他。
[05:08.000] 可以，好我先去看看，谢谢，好，不会感谢您光临，您我送您吗？
[05:14.500] 没事不用了，车辆的话，
[05:17.150] 现在有用户就那价格了。
[05:24.730] 您说的是这车。
[05:26.340] 对是。
[05:27.500] 就这价。
[05:31.880] 就这样子。
[05:35.430] 将近优惠是9万了，这车多合适。
[05:38.760] 等于您现在拿一个
[05:40.780] 千300原装进口，第2300AMD力的，
[05:45.900] 另买了一这么一车，实际花销是郊区300毫瓦，
[05:51.570] 这全有6
[05:54.040] 370 60多。
[05:56.080] 今天开会。
[05:58.350] 特价车。
[06:04.000] 待金牌早都没有了。
[06:13.630] 楼房还有？
[06:14.890] 没有。
[06:35.310] 也不那个
[06:36.120] 和
[06:40.710] 这有几个也是
[06:42.600] 这一点
[06:43.710] 黝黑的汇到您的
[06:46.100] 就这几台不多，
[06:48.510] CS也有，
[06:50.360] CS系也随着儿子的是这样来没拦的。
[06:57.170] 对，咱这边脾气差不多。
[06:59.660] 我确实没有。
[07:11.590] 好，谢谢不客气。
[07:18.050] 好像那边叫什么？
[07:21.760] 那也行。
[07:23.030] 好快。
[07:35.760] 我给您送下去。
[07:37.160] 谢谢，就是应该的。
[07:42.400] 您开车来的吗？车在这边吗？这边好车在那边，我就给您送到门口，不用我猜还要去看其他地方自己
[07:50.210] 抱着看一看。
[07:54.190] 那就感谢您。
[07:55.810] 丁先生上面刚才那电话就是您的吗？对。
[08:05.210] 好。
[08:06.440] 上来的话我
[08:08.680] 然后我一会给您发个短信，明天给您打个分吗？您旁边下午好。
[08:12.960] 您通过话好的，谢谢。
[08:16.730] 电话是150，
[08:19.070] 1500
[08:20.400] 36
[08:21.340] 8736，对，好勒，拿这么张彬先生，感谢您光临。
[08:25.970] 这是吊臂。
[08:27.630] 这点
[08:28.770] 这30多
[08:45.440] 他有兵器。
[08:46.690] 跟是老板朋友的。
[08:48.410] 任老板不管。
[08:50.660] 你看新世界了吗？新世界电视连续剧了吗？
[08:54.290] 没有，其实这件连续剧里就这车主他还演了一段是
[08:59.710] 这三
[09:00.680] 30
[09:02.420] 指导价318,800，
[09:05.070] 时尚型指导价是三，这车的指导价是32万
[09:10.950] 325,800，这是优惠完了的价格，在这基础上我们还能再给您优惠，
[09:16.310] 他不会太多。
[09:23.360] 不用。
[09:24.410] 对。
[09:29.790] 对了，分期可以。
[09:31.640] 可以说
[09:32.760] 分析的时间，
[09:33.820] 星期总做分期，首付50%贷款就行了。
[09:37.610] 初二你上去坐会儿，马上过去。
[09:40.250] 行好勒，这么着感谢您。
[09:42.980] 好勒，再见，好拜拜慢走。
[09:47.320] 您车停那边了是吧？行。
[09:50.280] 行好不好行太远了我就没事你一下，你要再回去我就给您送到车边上。
[09:57.430] 您去卧室。
[09:58.830] 好勒行拜拜。
[10:08.530] 这么运动，
[10:16.370] 浪费
[10:22.200] 与不对丁，
[10:29.690] 15000
[10:32.680] 36，
[10:36.990] 二哥刚才736
[10:42.320] 哥放完款了，它OK他正好刚到正好。
[10:48.440] 行，thank you very much。
[10:51.660] 走怕不辣，好goodbye。
[10:55.080] 我住在对吧？咱们那行教科起来行。
[10:58.860] 开盘了。
[11:05.940] 好了。
