[00:15.330] 对这车。
[00:16.290] 这车。
[00:17.410] 你掏了钱您没掏钱吗？拖车。
[00:19.660] 让你脱了。
[00:21.260] 我没给我打电话，他在他安排的发票。
[00:24.320] 晚上。
[00:25.560] 车号是
[00:29.200] 车号京P58707
[00:32.970] 到时候砸平就行。
[00:38.890] 找玩笑就是签个字就没事了。
[00:52.430] 您电话就是13701079941是吧？
[00:56.400] 行。
[00:57.320] 全部。
[00:58.900] 完了到时候修车时间可能会稍微长一点，具体先拆开看看，完了里边我看那水箱冷凝器都撞变形了。
[01:06.590] 如果说
[01:08.650] 最后修车时间主要也传媒，
[01:12.390] 看国内有没有货，如果国内要没货的话，时间会再长一点。
[01:16.680] 如果国内有货的话就会比较快，行，赶紧修。
[01:20.220] 就仔细看看，你别的时候光P外面你们有问题没修，到时候会。
[01:24.580] 会有隐患吗？放心不会拆。
[01:28.140] 检查。
[01:29.370] 你们这我信得着。
[01:30.920] 车什么开不了了，
[01:33.010] 应该我不知道能不能开，我不敢开，当时我就灭火了，我不展开了就
[01:38.450] 了。
[01:43.200] 研磨今天没上班吗？没有休息，昨天。
[01:46.100] 一天都休息。
[01:48.510] 然后。
[01:49.800] 夏宏源也知道当时不是骑在上面的吗，骑着立柱把那边差点蹭一下。
[01:56.130] 谁你们
[01:57.560] 去昨天给我说这两天我就知道。
[02:00.830] 右侧是吧？
[02:09.990] 可变形吗？
[02:13.360] 买官还都在赚钱。
[02:18.430] 这个车门是吧？
[02:20.100] 这一下
[02:21.260] 他们不起。
[02:22.840] 看来有一个密度，密度等于弹出来撞见了。
[02:33.720] 行，把这个一起说了，行行。
[02:38.520] 好了。
[02:41.920] 右后门也是这次的。
[02:44.050] 有空现场那人应该拍照了。
[02:47.350] 到时看一下。
[03:00.570] 李大哥I
[03:20.160] 好了，我在这接着车间这车马上看一眼，
[03:25.610] 我就为找了一下。
[03:43.590] 我的已经放了三节。
[03:45.400] 它是一节一节的，三节妇男那两天已经得了，还有一个就是托底，关键要拆
[03:52.920] 条。
[03:54.630] 还有像假的吗？
[03:56.010] 拆的时候在上面，对我现在不知道能不能开。
[04:05.090] 行，咱进去登签章签个字就完事了。
[04:09.120] 别上取出的。
[04:21.280] 轮休，
[04:23.530] 每个月一排班，
[04:25.270] 数据。
[04:49.430] 场
[04:52.350] 场。
[04:53.410] 场
[05:00.660] 一。
[05:16.670] 的
[05:18.960] 的
[05:23.060] 的
[05:40.000] 4
[05:46.500] 微信。
[05:50.390] 我估计这车要修怎么也得照着，
[05:53.740] 顺利的话得找个半个月。
[05:55.650] 找了那么长时间。
[05:58.050] 看里边损失情况了，
[06:00.000] 如果要是国外订货就最少就得一个多月了，
[06:03.580] 要国内有货的话就没这么长时间。
[06:06.380] 干嘛？
[06:12.440] 太麻烦了。
[06:18.890] 对您牵头。
[06:20.120] 现在都无纸化办公挺好。
[06:22.880] 一会打打。
[06:40.520] 没事。
[06:41.630] 本张单子马上
[06:43.090] 我现在不会了，这点的把这个放在车里面好了。
[06:56.990] 没事，但是还是希望
[07:01.870] 你去
[07:06.140] 手。
[07:12.420] 这电话
[07:16.160] 了没事儿。
[07:19.430] 了。
[07:20.890] 号。
