[00:00.370] 2020年7月22号量与客户刘东东教授录音。
[00:04.910] 您好，宁波附近。
[00:06.990] 来，咱们早上收工了。
[00:09.430] 您是北京吗？行。
[00:21.680] 我能负责您这个车的功能偏上，咱们买的是交易是350黑车忠烈事迹，
[00:27.890] 车架号都在这，您自己再核对一下。
[00:31.130] 224917跟您签的初始合同都是完全一样的。
[00:37.590] 眼查一下外观那些事，如果没问题咱就上车检查功能。
[00:41.410] 车上有一个梅赛德斯me互联的功能，到时候给您认证激活，
[00:48.330] 认证激活您这车里那两案件才能用，对药不认识他还对他不让你用不用。
[00:56.620] 不是开不走，是车上有两个案件，您摁的话它会接到奔驰的服务后台，比如说您这车有问题抛锚走不了了，道路救援。
[01:05.610] 过来了，救援它
[01:07.490] 还有定位。
[01:09.280] 没问题，您就坐副驾，女士二位咱们坐后面咱们讲是吧？
[01:13.710] 我现在你不能拿出来。
[01:16.800] 之前有开过奔驰车辆吗？
[01:18.780] 然后一是吧好勒。
[01:25.200] 是老的还是新的，1515款115捆，
[01:31.160] 那也是比较新的了，不要启动这都一样，我觉得对这东西没动。
[01:37.220] 对。
[01:38.080] 门市的调节都一样，对，原来我那是在那凑。
[01:42.160] 我上面
[01:43.330] 我知道。
[01:44.320] 好的。
[01:46.330] 对。
[01:47.830] 你太笨了。
[01:49.210] 您还是关上一会一着的时候，这屋里就该有尾气的了。
[01:54.790] 对，他在室内加热都是一样，他一看就没了。
[01:58.960] 把红的去掉就没有家了。
[02:01.750] 不是前加热没有后加热。
[02:04.120] 门市都是一样的，没事的，这些都一样对吧？后备箱在这儿也是一样，没错。
[02:10.530] 打灯也是。
[02:12.210] 我后备箱在侧面。
[02:17.260] 没事我没用大灯，自动小书店是一样，油栋梁日间行车灯就在岗位上，这是一样的。
[02:28.050] 手刹这车现在变成电子，您老E视角踩的手刹吗？加菜的，现在变成电子，电子是哪个？这根箭平常您就不用管了，为什么？
[02:37.810] 这个是手刹标识，红色影片片，咱们看一下挂档
[02:43.410] 给油它就自动解除了，对现在好像车都是这样停车，您查IP档灭车祸主驾一开门，这手刹自动上以后就不用手刹放不用手刹对电子的了。
[02:54.990] 自动杀队伍登右上角是一致的，开的话
[03:00.310] 橙色小朋友提示着
[03:02.270] 小鸟上下传仪表盘的亮度，一个的量，
[03:08.250] 放盘左侧这个车就这一个胆敢转向灯一样左右，
[03:12.930] 雨刷还是这个小曲线是
[03:15.520] 感应挡视线是机械的，因为是越野车，它多了一后雨刷，按一下试后雨刷，
[03:23.770] 这也有T恤，再按一下是关闭，左边在呲水表示的舰长也是他对后风挡玻璃水，
[03:33.140] 这个车的方向盘是手动的，卡扣咱在这打开，
[03:37.610] 还没跟我这个行业一样是吧？OK对。
[03:41.160] 中控这儿您看一下有点变化了，以前您那车是不是上有4个店投重点OK键是吧？
[03:48.180] 这回变成
[03:49.660] 这个是主界面，按一下出现列表就点黑色这案件变成触控键了，直接滑动选就行了。
[03:57.580] 按一下确认，对，他到中间你确认就行，对，比如说想进入行程到形成这一点就进来了。
[04:05.240] 然后的话咱们看一下不太一样的，
[04:08.780] 以前仪表盘就一种风光，现在变成多种，现在是经典蓝色，根据喜欢
[04:15.400] 喜好切换成这种运动黄色或者是前卫红色等等。
[04:21.340] 信息提示里看一下，保养里面比如说轮胎缺气会提示快到保养提示，
[04:27.460] 包括冷却对应机油，其实都会有这种方式，对左侧是返回，
[04:33.660] 一般的建议搁在行程里，
[04:36.100] 老的一的巡航定速和限速是下边还有一个厂有一个单点，
[04:40.780] 一下亮灯一下不亮灯，这回变成你讲就它了，对上推这个是定速型号，下推是限速，中间您自己设定公里数，先按事先选择功能起到一个功能，可能是上推
[04:56.630] A调节公里数条街，公里数左边亮剑上推确定下跌取消，对就变成这样了。
[05:03.550] 巡航定速的取消都是踩刹车就可以了。
[05:07.360] 岗位完全没问题，对，雷达您看一下跟以前一样吗？看咱们离近了试一下雷达。
[05:18.270] 是这样的吗？
[05:19.520] 他是想是在这儿您那小格的了，这回看那个了看他了，就不能那些隔了颜色，黄中红对当红的已经到快到那什么了，荣格亮就30公分了，对。
[05:32.220] 对再来一点。
[05:33.960] 这种款就不动了，对。
[05:36.480] 倒影是一样的，他是自个不动还是您自己我就不能动了，对。
[05:42.070] 就不能再走，其实这还有一点亮，就看您在我知道从我那是两个红灯以后就不能在您这最中间那两个
[05:49.950] 边是橙色的往里往里长后就楼上上面是吧？
