[00:00.560] 平时本驾照了，
[00:08.960] 最后恢复是恢复手怎么样？生意不行。
[00:13.670] 不是关键时候不敢对你们工地环境是吧？也不算，都是小区里的。
[00:21.150] 应该没事小姐。
[00:22.460] 天天都这么简单这么严，基本上小区内这规律觉得更没事了，手机歪了我都。
[00:29.370] 我手里万一。
[00:30.560] 占3分2分占3/4。
[00:33.520] 你还。
[00:34.820] 也兼顾了小区外边的
[00:36.900] 货没有了，它就不住这个小区。
[00:41.500] 是刚报的警吗？根本不动。
[00:45.040] 刚才说加油的，没找到这样的。
[00:48.160] 待会你要么看你往哪走，
[00:52.650] 有一个四环辅辅路上就有。
[01:04.180] 是马上
[01:05.160] 是吧？应该就是好的。
[01:07.440] 完了
[01:09.330] 都会赔出这辆车去了。
[01:13.640] 没办法，今天能扛下的，我跟你说都是我死我们刚刚任死好几个字，
[01:19.650] 但是她死了也无所谓，反正死的都是会在开，对。
[01:23.720] 对会员他们也没流失。
[01:26.290] 我这扛着的也是电话还是7387387。
[01:32.420] 症见你说。
[01:39.410] 100
[01:46.400] 看着。
[01:54.390] 报警是不是钥匙在旁边，他不报警。
[01:58.090] 要是在旁边谁知车弄报警，
[02:02.230] 你怎么给他弄报警是拉门刷干嘛不可能这车就没报警。
[02:07.120] 奔驰怎么会风寒傻，奔驰哪有报警，他说就过来旁边傻乐，
[02:13.370] 双闪闪不可能
[02:17.990] 拿药打掉的拿手，然后说
[02:21.550] 我也觉得没
[02:24.920] 这桌子迟点疯了。
[02:27.240] 咱们
[02:29.610] 在上玻璃险了吗？
[02:31.210] 不知道。
[02:39.120] 我这要不是那什么。
[02:41.040] 收养我
[02:41.920] 都我爸过来。
[02:49.070] 应该我记得好像你还有一次左脚
[02:54.760] 特别差。
[03:17.990] 缺脸。
[03:18.840] 我这不能练，我得先增点肉是吧？
[03:23.390] 最简单的每天20多火车
[03:26.670] 就行了，每天
[03:28.470] 坚持20个，每天多少人，
[03:31.020] 然后做到
[03:32.320] 直接做20个没进去的时候，
[03:34.260] 你自己就占了二三十了，
[03:36.190] 然后每天20左右做，
[03:39.460] 每天晚上我吃的用不用调整一下？
[03:42.620] 先。
[03:44.540] 行。
[03:45.600] 等下回来之后你让你看见点效果。
[03:48.990] 你还有一个A换机油，
[03:55.130] 这就做了免费就完了。
[03:56.910] 车开着也没什么问题吗？
[04:01.010] 估计应该有两两小时差不多，没有。
[04:04.990] 不用别的新的不用，但是你6万公里
[04:10.230] 卷都知道这大保养什么的没做是吧？
[04:14.230] 我也不是特别
[04:17.830] 有些油都没换，
[04:19.400] 一般反正跟说笑话，中秋就把放在砂锅。
[04:22.820] 刹车有对，然后变速箱油你这车也没换过，变速箱车架。
[04:28.990] 刹车油换吧。
[04:31.420] 就这次把机油机滤换了，换了刹车油，
[04:35.230] 刹车油多少钱？400多块钱。
[04:43.160] 场
[04:52.990] 你说。
[04:54.400] 你这么着你报完价你等着我让你客户来，待会他过来咱一块看看好吧？
[05:00.770] 了。
[05:01.580] 你不影响能看车就行，你找个地停了，待会找你一块过去看看好吧？
[05:07.950] 下来。
[05:11.650] 我知道要换的话，我跟他说了大概是在
[05:19.720] 多少800公尺左右。
[05:22.530] 三。
[05:25.930] 咱俩多少工时？标准工时5点多。
[05:28.940] 百。
[05:32.240] 收拾了。
[05:37.350] 对，你先去查查。
[05:43.190] 我知道，等他来了我得给他报价。
[05:48.150] 你要不抽空你先看看。
[05:55.920] 行行，那样。
[06:00.870] 好了我知道了好勒。
[06:07.910] 我知道了，待会找你待会然后你们接着说。
[06:20.400] 刹车油409。
[06:27.970] 三
[06:34.340] 的。
[06:39.550] 中午吃饭吗咱们这儿？
[06:41.230] 能玩吗？
[06:43.230] 应该差不多，现在9:30 10:30 11:30我估计应该差不太多了。
[06:48.680] 来这二天要走，
[06:50.620] 我天天
[06:51.980] 我们现在改了，你得关注百得利集团公众号。
[06:56.900] 你搜一下。
[07:12.280] 不找不了，你用公众号。
[07:15.430] 公众号你看有一个搜索添加
[07:18.700] 手掌，
[07:24.320] 里边
[07:26.140] 应该
[07:27.940] 百
[07:36.610] 场
[07:41.180] 的
[07:43.960] 场。
[07:48.520] 关注一下右下角的
[07:54.060] 登录。
[08:03.970] 这本吊还快创业了。
[08:08.130] 今天这一一直没有好好聊，
[08:18.170] 然后
[08:19.100] 然后我再给你发一下自己过来的。
[08:22.390] 退出去，然后再进就有
[08:28.490] 没事了还是坐后面后边，对，然后休息室在楼上。
[08:34.970] 可以给你留一段吗？
[08:37.030] 老师等我电话了，好勒。
[08:40.950] 为。
[08:44.130] 昨天我给您打电话了，您可能没接，没问题，能取先来坐吧。
[08:50.310] 随时来好勒。
[09:00.070] 的
[09:03.580] 用
[09:10.100] 听见了吗？
[09:11.300] 健身教练。
[09:12.970] 然后每天晚上做20个俯卧撑，从今天开始
[09:16.850] 坚持不了打卡，打不了卡，能坚持多长时间？
[09:23.130] 每天晚上睡觉前做。
[09:25.520] 三
[09:27.150] 20个不多，
[09:29.770] 24:00多就贵，在坚持，你每天做你试试，
[09:43.780] 每天做。
[09:47.160] 做的时候自己发个小时间，
[09:52.030] 1358175，
[09:55.090] 1336，
[10:03.340] 二
[10:09.950] 737，
[10:11.320] 747。
