[00:00.100] 将。
[00:06.440] 事情二做。
[00:11.450] 的。
[00:13.090] 的
[00:17.010] 的。
[00:22.250] 的。
[00:23.480] 的
[00:30.650] 花
[00:32.360] 的。
[00:37.490] 的
[00:43.410] 给您的，然后指标单您给我就行了，这次换机油机滤。
[00:48.800] 需要您帮我签几个字，
[00:53.840] 上
[00:56.980] 走。
[01:02.200] 1391102292. 
[01:07.470] 2600. 
[01:09.970] 下次保养一年1万公里到仪表会提示的。
[01:17.000] 到。
[01:24.910] 行，这个都给我了。
[01:28.020] 稍等，我录个出门条带你去说的。
[01:36.440] 的
[01:42.080] 了。
[01:46.510] 116
[01:48.970] 您待会在门口等我，我把车给开过来。
[02:05.660] 场
[02:10.630] 把。
[02:14.940] 我系统。
[02:23.670] 你说什么？
[02:26.180] 上一次基础一把我来找我，
[02:32.050] 协助你卖给我这一块。
[02:35.200] 肯定有人管。
[02:37.070] 对吧？对咱们销售因为这是销售那边这个问题跟我们稍后没关系，你现在我给您负责。
[02:44.370] 他A保B保，
[02:46.360] 我这次说非常是吧，到时候要是在车间等我去，
[02:52.430] 我也没说了，不好意思打扰你。
[02:57.240] 数据
[03:31.490] 场
[03:32.740] 场
[03:40.780] 数据、
[03:42.400] 数据、
[03:47.170] 数据
[03:48.690] 数据。
[03:50.080] 销售答应的是三次活动，
[03:59.000] 两个A
[04:05.040] 系统
[04:08.380] 数据
[04:12.720] 的
[04:19.840] 数据。
[04:21.300] 花
[04:23.560] 的。
[04:33.810] 的
[04:40.360] 一
[04:42.880] 远场
[04:49.870] 的
[04:56.570] 一
[05:00.140] 话
[05:01.010] 后
[05:05.020] 车上。
[05:09.270] 的
[05:22.070] OK那先放车里。
[05:28.200] 六搜查。
[05:34.370] 谁知的
[05:44.090] 你就是C的
[05:46.060] 经常减震器胶回来，然后交给停留召回去了。
[05:49.980] 所以说这拍完之后得排队排了，得提前预约，这的话我估计当天也都称为马桶盖
[05:57.530] 了，那个车子而避险就是这都得长，对要有意见肯定是不正常，
[06:04.640] 没有响声肯定是不正常，但是具体想得到。
[06:08.860] 谁知。
[06:10.530] 您听出来师傅谁知
[06:13.610] 就得搁这。
[06:16.940] 我感觉就说这一块没问题，然后
[06:22.580] 还有
[06:24.080] 这名字没？
[06:25.060] 吗。
[06:26.500] 对指标的
[06:31.720] 你就看哪天
[06:36.280] 能赶上限号，前一天来最好，后天是车，吃完车第二天马上不用了，然后
[06:43.040] 让他们听懂了，
[06:46.340] 你就得中，这都是对周六日的话，
[06:50.720] 你要能不用车最好。
[06:54.250] 首保的话咱们现在就只换一下机油和机油滤芯，然后还有现在不是磨合期过了，
[06:59.890] 需要把那里边进入到一些油泥的技术解一些杂志听一下，但是他送的送机油机滤清里面东西清理杂质这东西没
[07:08.750] 你要做孩子的闪光。
[07:10.940] 可以做可以。
[07:13.650] 那就先做，西游记里忽略。
[07:18.770] 加快
[07:27.150] 那就先换。
[07:30.690] 中午在吃午饭。
[07:33.360] 做快的话1:30坏话一点慢慢。
[07:40.430] 你现在那边
[07:42.930] 活多人少。
[07:44.850] 的微信帮助下改的地方。
[07:49.460] 花、
[07:54.410] 五
[07:55.180] 场
[07:56.210] 数据
[08:01.290] 场。
[08:07.470] 坏数据。
[08:12.540] 五。
[08:13.090] 场、
[08:17.330] 二
[08:20.400] 数据
[08:21.170] 走
[08:22.220] 场。
[08:26.960] 数据。
[08:30.040] 数据
[08:34.420] 场
[08:38.490] 数据
[08:43.070] 数据
[08:45.450] 场
[08:47.400] 场
[09:00.450] 数据。
[09:02.270] 坏。
[09:07.620] 电话13939029
[09:14.710] 的地方好你感觉。
[09:18.080] 然后往下拉一下，刷机一下。
[09:21.450] 点下去餐具你看一下，
[09:24.320] 写个频道，餐厅以后把二维码给他就行。
[09:26.970] 基本上。
[09:30.500] 1点多到11:30还有半个小时行。
[09:34.410] 我这起火了，然后
[09:36.960] 3:30。
[09:42.610] 坏
[09:47.200] 的。
[09:50.800] 场
[09:54.320] 号。
[09:58.620] 7327。
[10:00.540] 对你星期三限号你这走不了。
[10:04.810] 2478A501627行不行？你看看。
[10:11.590] 一会我估计够呛，一般送货都下午晚上吗？
[10:14.910] 这店您这电话是
[10:16.840] 1351100
[10:20.360] 6028。
[10:22.010] 6023。
[10:27.200] 五。
[10:28.020] 张。
[10:29.520] 你看明能不能13511006028。
[10:34.470] 行，我看看我估计够呛，您送货一般我看什么时候送货是您自己过来的，能让你名曲叫你名写行吗？行，最好明天
[10:44.570] 这里边给
[10:46.870] 你知道咱这去就行了。
[10:50.120] 这都有的吗？你跟告诉我说是。
[10:52.470] 我今儿个先让他们看看多少钱，我告诉你一下有没有错。
[11:04.260] 数据、
[11:06.390] 只要北京有货，明天能到。
[11:10.880] 好。
[11:11.880] 号
[11:16.610] 数据
[11:19.300] 场
[11:22.160] 的
[11:23.670] 三
[11:25.330] 场。
[11:28.260] 坏
[11:39.840] 的
[11:44.550] 的
[11:46.640] 场。
[12:34.970] 的
[12:45.080] 的
[12:50.470] 数据
[12:52.790] 号。
[12:55.250] 数据。
[12:59.340] 五
[13:06.140] 场
[13:12.450] 的。
[13:21.250] 的
[13:28.560] 了
[13:37.220] 的
[13:40.770] 我们。
