[00:00.000] 前面快到了一个出口前检查，
[00:06.000] 京勾615
[00:19.800] 当时还有个什么？
[00:22.760] 早餐包里面还有什么东西我看看。
[00:26.080] 陈智先生是吧？
[00:30.650] 3.4百分点礼包。
[00:39.860] 话。
[00:41.240] 远、
[00:43.270] 数据。
[00:56.340] 18年10月份
[00:58.530] 来了一次。
[00:59.700] 对。
[01:00.580] 没来过。
[01:08.040] 8年了。
[01:11.120] 18年10月1号。
[01:15.080] 没拍。
[01:25.460] 您这次A保您放开了，
[01:29.310] 他不是三年4万了，放开了，
[01:33.070] 什么意思？就是不用按照他三年4万的里程数了。
[01:37.690] 对，他是50万公里了，到27年。
[01:43.000] 他就不该换的也不用换，对不对？饭也不用干下来再说。
[01:47.400] 他礼包里送的东西还有一直都有一直延续到什么一直到你用完了。
[01:54.010] 你知道用完了，对，一直到您把这些东西用完，好那就不用换了。
[01:59.400] 了我还说。
[02:00.590] 我刚开1万公里，你拿
[02:04.760] 买那么多为账号。
[02:07.180] 你怎么开？
[02:13.400] AB. 
[02:15.760] 快乐是吧？
[02:17.410] 对。
[02:18.350] 170. 
[02:20.290] 然后这次
[02:22.140] 用过两次了，
[02:23.980] 还有几次还有两次，除了这次还有一次。
[02:27.870] 咱们这次是A宝，
[02:31.120] 然后给您。
[02:31.970] 看一眼吃饭。
[02:39.240] 完了。
[02:40.200] 他们盖不换1万公里看价格一点，
[02:44.340] 在后边。
[02:46.340] 对。
[02:47.280] 我还说
[02:48.740] 让非要得坏我就嫁给他，可能上回
[02:52.390] 结果什么价格名字还能给摄像，不给您我不了。
[02:57.020] 他这种保修这按保修的走，所有的酒架厂家收回。
[03:02.720] 延期还挺好的。
[03:04.280] 对，延期了。
[03:07.060] 你的那一批车已经提了，好像我们贴到了。
[03:10.440] 很少有颜色了。
[03:12.320] 你那颜了，
[03:17.200] 我说你换了浪费了。
[03:19.060] 对。
[03:26.550] 天天打牌了。
[03:37.840] 你发型挺干净的吗？
[03:40.190] 我是瓜子不是挺干净的。
[03:44.950] 不热。
[03:46.950] 你牙好像又换了，杨总对没研究你不换就给厂家了，拿不给他。
[03:54.000] 原告27年
[03:56.170] 是吧？
[03:56.920] 今年50万公里，
[04:01.680] 几套？
[04:03.470] 一套就是两钱的，
[04:05.890] 完全怨一套雨刷器，
[04:09.430] 还不错，
[04:11.370] 服务还是蛮不错。
[04:33.870] 他就作为宝马了。
[04:35.830] 对，稍微我看一下其他的。
[04:57.480] 出场了。
[05:00.030] 那得多长时间？
[05:02.460] 俩多小时。
[05:04.160] 点了2点多。
[05:06.760] 差不多2点多。
[05:07.870] 两三点钟。
[05:12.220] 应该是A榜，一个是您交邮路事件一洗的。
[05:20.540] 虽然跑的不多，
[05:22.450] 一年以来你机油变质了已经。
[05:32.350] 机油油路是711块钱，
[05:37.050] 就需要交这一个费用就行了。
[05:40.840] 吗。
[05:42.960] 然后我看您天窗稍微有一点土，但是不至于
[05:46.570] 什么时候如果说发现你的A柱上
[05:49.740] 有水印，
[05:50.780] 赶快来就漏水了，知道吗？因为你要听
[05:54.840] 建议青天窗，建议听天天438块钱，
[05:58.480] 看您需不需要了，你帮我打开是要有吐是肯定的，
[06:03.120] 但是说不至于给堵了，你自己发现就行。
[06:07.620] 工作了，没听说过，对就可以了，反正。
[06:13.000] 回来说过。
[06:18.750] 谁知
[06:20.680] 三
[06:24.140] 然后
[06:26.360] 领导
[06:31.300] 这种。
[06:34.510] 你好李先生吗？把可以接待您了，您在今天吗？
[06:42.970] 好了，门口第一桌好的。
[06:49.350] 的。
[06:50.010] 我还有一个出保前的检查。
[06:52.340] 谁知9000多公里没买过，你先上对稍等一下他就开始去。
[07:01.310] 我来说比较
[07:06.150] 谢谢你的。
[07:08.680] 你看看。
[07:12.790] 跟着它改了一下，改了电系统，
[07:16.360] 有的
[07:17.810] 带不出来。
[07:19.270] 了。
[07:21.600] 第一次往往是。
[07:23.750] 装修。
[07:24.950] 5月5000公里做的。
[07:27.020] 第一次我就三十八九12我妈来了，
[07:32.180] 但是
[07:32.940] 买的钥匙到时当我们上那边的系统给您查一下，66哎哟喂7还有书记。
[07:40.280] 看到他们。
[07:43.200] 自我过来拿到了，那怎么办？
[07:46.010] 原来用电脑操作，现在全用iPad行。
[07:49.800] 那时整个改系统它有的，谁知
[07:56.560] 在这等着您。
[07:58.460] 在这等我一翻一餐卷快吃午饭，不是了，收购了。
[08:04.200] 要是要死
[08:07.560] 6 670分钟有个人你帮我看一下我的。
[08:12.710] 上次保养的时候行，稍等。
[08:16.660] 你要找到了吗？找到了要好好。
[08:20.000] 老师。
[08:30.140] 谁知
[08:32.790] 谁知
[08:33.990] 你要起来。
[08:37.030] 他
[08:40.530] 花生一样坏了。
[08:42.660] 送。
[08:47.560] 发展
[08:49.950] 把
[08:54.150] 好消息。
[08:55.530] 说话
[09:03.040] 我有印象他应该来过一次了，就这一项到时在这两天我知道我你帮我查一下，要有的话那就不用付费了是吧？
[09:11.380] 不用干这事儿了。
[09:16.520] 然后再给
[09:19.750] 是不是意思？我说他要去年来过就不用来了。
[09:23.570] 不用了。
[09:26.070] 你要19年对我待会看一眼。
[09:27.960] 俺因为再给您1590才能出名给我电话。
[09:33.570] 看您要需要洗车洗，不需要你就不行。
[09:37.440] 我今天来过，我记得他有钱跟美国来做一次。
[09:42.630] 而现在您看我。
[09:44.640] 的
[09:49.160] 你看就截止到
[09:51.940] 8年8月份。
[09:54.430] 我肯定要改过一次，我爸来了就截止到当时换了传动轴，我这换了一个转向柱，
[10:01.490] 召回A宝，那是我来吧？
[10:05.080] 没了。
[10:06.180] 没了。
[10:10.600] 你查一下没事看能不能查
[10:15.680] 了。
[10:16.470] 那就休息一会你。
[10:20.880] 他们有的商品什么时候保养的？
[10:26.200] 找找您看一下。
[10:30.420] 话
[10:49.730] 大
[10:51.660] 月。
[10:56.640] 要
[11:00.270] 的。
[11:10.250] 了
[11:11.240] 数据
[11:15.280] 场、
[11:20.450] 的
[11:22.360] 场
[11:23.590] 数据
[11:28.350] 快
[11:30.340] 场
[11:32.850] 数据
[11:34.810] 花。
[11:39.130] 俩字。
[11:41.520] 远、
[11:43.700] 坏
[11:48.090] 的
[11:51.640] 来过是吧？肯定来过，行，那相怎么着做，这不做就能够做了下。
[11:55.830] 等一下我是按年来的，你肯定在那老系统里。
[12:00.660] 那就给你把这项删了。
[12:03.140] 我
[12:05.040] 我给你找找看。
[12:07.120] 行，那还是这么长时间吗？还是想时间一样，时间是一样的，行。
[12:11.840] 我刚才说过的了行吗？
[12:13.910] 我会给你打电话。
[12:14.660] 等等。
[12:20.720] 完了算下来好了，我把车开过来给你好了，对。
[12:27.860] 帮我把拿来。
[12:29.330] 上班。
[12:32.920] 还有
[12:33.660] 对。
[12:38.180] 要
[12:40.880] 的
[12:42.790] 数据。
[12:46.700] 数据
[12:48.720] 三。
[12:52.540] 五。
[12:55.930] 信息
[13:02.710] 谁知。
[13:04.750] 您快乐着。
[13:09.490] 五
[13:10.530] 照片要照片。
[13:14.930] 谁知
[13:18.250] 肯定是
[13:21.630] 手机上。
[13:23.000] 没有。
[13:30.120] 你了吗？里边有电池等一下我
[13:36.260] 没事了吗？
[13:39.460] 没事了，我给你查一下你的保养常识。
[13:42.140] 能不能达到保险市场的什么保险。
[13:45.790] 保险公司我这查不到，对保险公司您得保养。
[13:49.160] 对，您得自己去保险那边查一下。
[13:56.350] 三
[14:00.800] 6。
