[00:00.000] 中午学什么都没有行驶，本给我。
[00:02.700] 我看一下完了以后我先查查车，查完车以后我看看守所，
[00:08.840] 我看看票不
[00:10.750] 都有对。
[00:12.780] 03年了，他这边也找着了是吗？
[00:15.520] 对了，还有一个车主的身份证到时候拿过来，他这个车的身份证号是15位的。
[00:22.660] 老师们能告诉我吗？要。
[00:24.950] 要身份证号，不知道他已经交易了，我是原车的，后面这个没问题了，没问题。
[00:31.950] 14年的14年报这都没问题了，我也这个不是夫妻过了，
[00:37.280] 是不是不行？
[00:41.120] 行知道没问题对吧？这发票
[00:43.750] 准确方向。
[00:47.170] 03年10月
[00:48.800] 年审到
[00:50.910] 刚审过。
[00:55.830] 每半年前。
[01:05.640] 10月份提
[01:06.760] 看到人家上面10没问题。
[01:08.600] 我这样我先看所有叉车状况，查完以后我回去call小马怎么办？
[01:13.700] 他新车是
[01:15.950] 我是清楚。
[01:17.350] 下这个时候
[01:18.860] 这意思如果行为把动车登了以后就掉，因为他的车他也不关了，不二。
[01:24.570] 这拍倒是没啥问题。
[01:26.580] 进攻麻烦你不让进。
[01:28.750] 不被交警来了就没事，对。
[01:31.850] 我就先开着，完了以后我回打电话。
[01:35.090] 您先老家给我留个手机，我这是不是需要一个什么手续，我一会回去就把查完车给您确定好使程序以后，我会有一个交接清单跟合同的，好177
[01:46.550] 1774655。
[01:48.930] 46512302303，您贵姓？
[01:53.340] 田行陈先生，我一会稍等一会回来我
[02:10.950] 又来
[02:11.760] 国内来小停车场那个位置有一个灵山老养德，
[03:25.210] 他那个车
[03:26.240] 现在是他置换的车有补贴吗？
[03:30.040] 有5000补贴是吧？他现在是这样的，如果这个车你跟人直接明说，如果是国三的，因为咱们都没法给人确认他不二生活三，
[03:38.690] 但是这个符号生活咱不知道国家给补钱，但是不敢确定，就是说如果是给的话，就按正常的话学会
[03:45.650] 等我回去再说，我现在看出来了，回去以后再说。
[03:50.520] 好的。
[05:22.320] 根据我们
[05:24.990] 九峰
[05:36.840] 跳一下。
[05:38.130] 行。
[05:44.360] 有年头都没开。
[05:45.560] 了吧。
[06:24.840] 177. 
[06:29.330] 你好，我评估是张鸿这我的名片，你先把车钥匙行驶本给我，车里边跟任何贵重物品我做一个静态评估，差不多20分钟左右。
[07:15.680] 还得有。
[07:17.470] 我去过他家还没有嫁是吧？
[07:23.320] 我现在也
[07:25.260] 发现咱们
[07:26.100] 有人出价，
[07:28.630] 前面应该有。
[07:39.640] 我看看
[08:16.800] 七
[08:17.710] 24。
[08:35.440] 真牛逼。
[09:16.320] 还黑。
[09:18.850] 对。
[09:22.650] 29号。
[09:27.170] 9。
[09:29.320] 知道吧？
[09:33.440] 等
[09:35.010] 一会就报告还前面做的报告都做完了看。
[09:49.720] 11,000
[10:08.230] 是吧？
[10:09.020] 5000。
[10:11.950] 老婆婆几百几万，
[10:13.390] 有几千块钱的车，
[10:14.890] 4天回来3000
[10:16.330] 8000块钱，
[10:17.950] 我给人发钱了，跟我说一万几我操谁我都蒙了。
[10:21.940] 对，刚才又跟我说说问题，我说1万我这1万英里
[10:30.210] 竟开始评估20分钟左右，完了以后是我跟你说一下，还有一个动态检测，动态检测就是市民的
[10:39.150] 园区里
[10:40.340] 验证一下您的发动机、变速箱、车体有没有什么问题，这个时间也差不多是20分钟左右，车里别克任何贵重物品都需要您全程为主，
[10:53.790] 验证。
[10:55.800] 对过了好几步来
[10:57.450] 验证前有一个什么，有一个是假告知，这个是你需要你全程陪同的，你把行驶本手机都拿好车里边的卫生物品，
[11:05.080] 验证前有一个是假告知是价钱吗？你得告诉我开名车有什么效果，同意提前给我说一下。
[11:13.160] 完了20分钟左右回来以后会有一个。
[11:17.720] 我的合同价格。
[11:19.810] 如果您能认可就当天可以办手续的，如果有问题您可以再考虑考虑这个价格，我是有时效性。
[11:28.670] 保留。
[11:31.500] 当天有效，以前是三个工作日到一周，现在我们只是价格确认是当天有效。
