[00:00.720] 经常给
[00:01.990] 然后加快。
[00:04.260] 就行了，弄坏了，这耽误时间。
[00:13.690] 你刚刚看完。
[00:15.640] 我发个截图。
[00:16.600] 行。
[00:25.950] 这东西好。
[00:28.120] 准备。
[00:29.920] 明天
[00:31.250] 没有现场对在做手术。
[00:35.040] 没事，待会再说，谢谢了。
[00:38.410] 基本RNN。
[00:52.110] 胡先生您的电话就是13910316893，对。
[00:56.370] 好了，车里还有什么贵重物品需要拿的吗？没有。
[01:00.400] 没有，对，要是您给我，然后您在那稍坐一下，我去登个公里数根。
[01:05.750] 您跟他坐着我去看一眼。
[01:09.680] 车您大概急停哪了？
[01:11.680] 就这个位置。
[04:19.070] 我对因为后备箱盖那商有印象，好像之前我也给您接待过。
[04:25.680] 那个味道无法修复的。
[04:28.880] 空一下就行了，那不叫7。
[04:31.780] 实践中还是反映了
[04:34.410] 得先钣金，然后再重新分区。
[04:39.160] 我们没有掉漆拿掉了什么？
[04:45.360] 要多少？
[04:55.270] 咱这次从外观看就是一个门，然后脚踏板
[04:59.730] 快有点伤，然后还有一个轮眉条，500一两个模式的。
[05:04.050] 两个门都有这个行。
[05:09.240] 哪个门在脚那边还有一个轮胎，还有轮。
[05:13.630] 对，因为我没错的，因为轮胎破。
[06:03.370] 小踏板。
[06:04.880] 是整个一块瘫痪了了，对他画的画是一整根，一直到前边前阶段下边那一段是整个的
[07:00.210] 你们前面
[08:24.730] 的
[08:37.020] 号。
[08:50.010] 行给您一份取车灯，然后这个是我电话有问题，咱们电话沟通。
[08:54.550] 咱这就奇了，回头好了或者怎么修，
[08:57.750] 我会给您打电话。
[08:59.660] 一会我先看看那就知道了，我估计怎么着也得小4天左右，因为我今天还定不了货，我得明天周一才能订货，都一定估计周二将近下班之前到。
[09:11.200] 我会这两天他表哥怎么过，我可以先给您分期。
[09:16.350] 行越快越好了，行了没问题是吧？
