[00:00.000] 开始结束。
[00:06.800] 坏
[00:10.330] 场。
[00:11.100] 场
[00:17.400] 的
[00:19.090] 数据，
[00:22.240] 他以为他的话
[00:29.250] 远。
[00:42.010] 数据
[00:44.880] 坏
[00:48.610] 数据。
[00:50.680] 一
[00:52.620] 花
[00:55.580] 数据
[00:57.870] 数据、
[01:00.250] 上
[01:15.560] 三
[01:23.000] 三
[01:24.960] 你好，为什么不吃饭？您说一下您这次保养的内容。
[01:30.210] 首先您这车您刚才说了有一个保养代金券，
[01:35.650] 银券分别是1255的和809，
[01:39.510] 这两项是免费的，分别是机油机滤、空滤，还有一个空调滤设的更换是免费的，
[01:45.250] 然后收费了，咱们这边需要从轻到系统做一个清洗，是2万公里进行一次。
[01:50.580] 他是一个
[01:52.200] 固化的一个作用，一个是在清理通道，一个是清洗空调蒸发箱制冷这块的，
[01:57.480] 然后发动机舱是咱们师傅检查出来的问题。
[02:01.290] 首先您散热器
[02:04.220] 还有一个发动机，
[02:05.730] 正常咱们就2万公里进行一次，然后其他的因为您这车
[02:11.520] 我现在没到两年的刹车油不用换，
[02:16.780] 因为刚才师傅提到了刹车油的问题，
[02:19.820] 还是油脂，
[02:20.910] 但是您正好两年换一次，您这车应该是在
[02:24.850] 19年3月份买的，2021年3月份没关系，就是3月份忽略。
[02:30.840] 然后咱们底盘悬挂是正常每2万公里换一次，保养的什么东西，它是对于
[02:37.630] 悬挂下面的头球2万块钱吗？
[02:40.500] 咱们
[02:49.400] 查一下。
[02:53.530] 场
[02:57.950] 远。
[03:07.280] 12680，然后这些项目就直接电脑给删掉了，
[03:16.060] 电脑直接就给删掉了，然后你所做的实际项目就是1234，
[03:23.390] 这两个是免费的，一个是空调系统的晶体发动机舱，还有一个1万公里清理一次机油到700 190，
[03:33.230] 你补这三个差价就行。
[03:35.300] 这两个直接删掉。
[03:37.260] 你要补多少你算一下。
[03:40.010] 你相当于跑的不多。
[03:45.580] 对这样的1959。
[03:50.190] 1959号这东西推动
[03:56.260] 我来给没问题吧？
[03:59.170] 是补多少补1950点，这样没问题。
[04:04.370] 电脑里不会给你算出差价，就是我拿计算器给你算的，
[04:08.700] 到时实际销结账时候给你直接抵扣了，然后
[04:13.000] 您这一年也就50005000公里。
[04:22.640] 五
[04:26.080] 我们的销售顾问给我们的客服是不是跟您说过一个叫代步车险？
[04:34.270] 您对车辆外观有维修的需求吗？
[04:43.850] 其实很直白，字面上的意思，
[04:47.170] 数据。
[04:50.880] 数据
[04:51.920] 数据、
[04:54.000] 数据
[04:58.020] 远。
[05:00.220] 要不我给你通俗的讲一下，谁知
