[00:00.000] 什么奖励没有。
[00:01.380] 这车有12,000的置换补贴，
[00:05.590] 也就是说我评估完了，咱然后你再给我，比如您车价值1万车价给您1万，再给您额外12,000的补贴，12,000不对？
[00:13.150] 您的贵姓方便给我留一个，我登记一下行吗？
[00:19.510] 您住得远了，是在周边进行，那行您那个电话。
[00:23.990] 13683。
[00:25.320] 57
[00:26.810] 0244. 
[00:29.370] 13683572441对。
[00:33.570] 不行？一会加一个微信也可以，行，我先给您做一个登记，因为
[00:38.340] KC67 10
[00:40.000] 这个车型更适合一点，那个车比如要长期，如果您自己
[00:44.870] 或者说两个人拍，就选后牌不怎么做人，或者后备箱不怎么放东西的时候下那个行。
[00:50.360] 我后边的做就是波波，您看看这个高我看那个
[00:55.800] 看一下这边一下，刚才我看了一下，我觉得很香后错位，我实际上是应该主要是我看，但是。
[01:03.140] 比方说家里还有后座，假如您要比如。
[01:06.110] 开车出去玩。
[01:07.430] 后座可以完全放倒。
[01:09.730] 我知道对一般的车都可以放是吧？轿车好像都不行，给教授，韩国是买的是城市SUV，城市的
[01:19.170] 这个空间我觉得也还是
[01:21.580] 有点小，您可以上去是因为咱们这是短轴的车，你知道对不像说什么
[01:27.110] 像其它品牌，比如像宝马LA。
[01:30.690] 对吧？QL那些车是指针对中国人设计的。
[01:35.040] 你要去香港说我买一个这家L的车都没有，
[01:38.350] 咱们这个是全国统一的一个品质，比如你要去欧美的国家说买一个叉C60，
[01:43.570] 也是咱们这边生产完出口出去的。
[01:45.760] 包括配置也都一样。
[01:47.100] 这个车现在在哪？
[01:47.940] 生产四川成都的
[01:55.440] 谁知。
[01:56.780] 而且SUV这个车我跟您说，如果太长的话，反而就会失去它的操控性。
[02:02.230] 因为他本来离地间隙就高，因为轴距离拉大了操控
[02:06.820] 不好。
[02:07.670] 我觉得要
[02:13.580] 反正这个空间有点像我那样。
[02:17.430] 三系差不多，您那香气应该大多了。
[02:21.140] 没有大很多我觉得。
[02:24.500] 您那是加长的吗？我不是家常也是标准的。
[02:28.220] 我不知道什么叫标准，目标还是LA
[02:32.170] A
[02:33.040] 那是标准。
[02:34.260] 标准
[02:36.870] 不是。
[02:38.110] 所以我觉得我那空间有点小，这个空间太小。
[02:42.400] 我觉得这个也没有比我那大的。
[02:45.510] 你这个属于标标准。
[02:47.840] 等于就跟我一样。
[02:49.350] On的大笔年龄大。
[02:50.980] 大妈
[02:53.520] 可能会大一点，也有限。
[02:55.540] 我的感觉
[02:56.970] 大一点，
[02:58.370] 但是很好，在我也。
[03:00.200] 说。
[03:01.270] 我希望大一点，当然太大了。
[03:04.170] 因为我们。
[03:05.740] 一本就是我们的。
[03:07.130] 后备箱它后排空间其实。
[03:09.950] 谁知。
[03:11.460] 儿子有时候要拍，你觉得它很少了。
[03:19.150] 有点高，怎么就这么高SUV它本来车型又高，您看到后刚已经在这个位置，这个其实不高。
[03:26.550] 因为他车
[03:29.380] 它不像轿车，可能这个位置在。
[03:32.060] 不是我看别的SUV这好像有那么高，我感觉。
[03:36.410] 都是这样。
[03:37.790] 绝对不行。
[03:39.810] 他。
[03:43.980] 有被他。
[03:45.120] 我知道有备胎，它不是旁。
[03:47.670] 不是防爆轮胎上是
[03:50.070] 不是全尺子的时候的。
[03:52.280] 对全职做。
[03:53.960] 其实我跟您说防爆胎。
[03:55.960] 可能就在前几年它是一个噱头比较流行。
[03:59.480] 您想如果您的防爆太阳膜。
[04:01.400] 他叫低压续跑轮胎，它一样会报。
[04:07.310] 你知道吗？他不是说您怎么行使他都不报。
[04:09.880] 而且您如果报了以后，比如您要开，她是以80迈的速度可以再行驶80公里。
[04:16.450] 对，但是如果您行驶了80公里，您知道如果您拆下来已经补不了。
[04:21.480] 了，全给碾坏了。
[04:24.260] 他好像能不能。
[04:26.250] 能补。
[04:27.550] 但您不能说查一次才换一次胎。
[04:31.680] 我都没说话，您看现在那成本多高，您看现在的车现在都不用防爆胎了，
[04:38.640] 而且顶级轮胎里也看您的旧轮胎里头最顶级的他都不知道。
[04:43.630] 他就那两年奔驰宝马no的一个噱头。
[04:46.810] 其实不好。
[04:48.930] 走过一次，因为我抱着拍，
[04:51.560] 最后吓坏了，但是他们抱我你还可以拍，我就接着去找一个下一家的。
[04:57.610] 像这种他比如说你让我们搬到
[04:59.750] 让我自己不能去看她，我觉得好像是一个
[05:02.870] 很难的事情，是这种，如果比如您要查老他也能继续跑跑，但是可能没有那种防爆才跑的时间距离长，
[05:12.220] 但连早点都是。
[05:13.800] 五您说对不对？像您说这种情况可能就是高速上。
[05:18.230] 对吧？我没有出口也不太来劲，你说现在连市区里开，
[05:22.120] 几乎到处都是修车的。
[05:24.740] 对吧？或者您打一个保险公司电话，他叫出租车来给你拖走了，根本就用不着你自己。
[05:31.160] 不关键是我就是说
