[00:00.120] 还是拆开九那是吧？
[00:02.510] 是那两位。
[00:03.800] 我去过您。
[00:10.920] 先生您好。
[00:12.340] 把它递过销售过程好，现在行不行？多少钱这是？
[00:15.810] 这是高配的，这款指导价是2.07的3，
[00:19.190] 对着07的多少钱，这就是二厘米，我这2.07的东西多少钱，全系都是双增压发动机，就是机械加工轮两块增加。
[00:28.670] 这车现在是几个配角，这科现在是两个配置，一个是这款是雅的，还有一个
[00:34.490] 低配是吧？G的多少钱之一的是690,900
[00:39.320] 690,008，这刚才说是说这是774,900，
[00:44.070] 10这之前没有这么多，真得有优惠优惠146,000。
[00:49.000] 这样咱就。
[00:50.500] 个。
[00:51.190] 实为价就是比低配这款690,900。
[00:55.190] 剪一下。
[00:56.810] 优惠完您是置换还是指标置换？
[01:04.920] 减去146,000
[01:07.110] 减去14,000的置换补贴，
[01:09.510] 53。
[01:10.920] 最低就这价了。
[01:12.760] 就没有其他的。
[01:14.140] 对，裸车53。
[01:15.430] 全下来的。
[01:18.350] 驾车用不了了吗？
[01:23.890] 我都不。
[01:25.430] 他909倍不会60。
[01:28.740] 59。
[01:29.980] 59，我记得90好像咱们上次看起来是冬天，我觉得那会儿都
[01:35.810] 都要比现在好笑，
[01:37.500] 还要便宜技术。
[01:39.000] 你要说再看更便宜的是P5的发动机，这是T6发动机我对75的吗？屁股没车现在
[01:45.070] 是没车还是说是5座的没有出厂厂家是没停产，产量特别少。
[01:50.750] 特别少，这是又花40多万七6，对，我就说我当时。
[01:56.520] 没错。
[02:02.110] 我现在等会我就在群里，大哥你等会。
[02:07.000] 我发群里。
[02:09.370] 好的。
[02:16.760] 咱爸说不来这么贵，他当时就说
[02:19.940] 开两年退休。
[02:22.560] 咱爸你们直接他到北京来，在老家就不放我柜子车了，你看他又干不到10个人。
[02:30.060] 现在T5T5能不能定？
[02:32.750] 就不能定，但是娇妻娇妻不敢说，现在主打T6了，汽车就都理解是吧？
[02:39.950] 全刚才说59班旗队，59 59办齐。
[02:44.550] 行。
[02:46.000] 方便留个电话吗您？
[02:47.810] 方便您说我记一下，不好意思没事，您说1891891090109032563256，就后期有车的话跟您联系一下，您看看如果觉得合适您过来看看，行行。
[03:00.770] S90是多少钱？
[03:02.720] S90这款的话，这是它的中配439,900，现在购车的话优惠101,000，还三十三万九千九三十三万九千九，对339,900万骑着得
[03:13.030] 全办下来的话，34万的车全下来，应该是38这块，38
[03:18.320] 这车33 38就办齐。
[03:20.970] 所以这是的。
[03:25.840] 还有吗？
[03:27.160] 好好看看。
[03:29.130] 行。
[03:30.010] 就这样，您看好了，谢谢没事您别客气。
[03:34.380] 咱这里头没有宝马是吧？没有宝马，没有有奔驰，保时捷有Volvo，有奥迪，行。
[03:42.190] 您慢着报警，好再见。
[04:08.930] 车
[04:11.790] 号。
[04:15.360] 好几个24号。
[04:24.360] 对。
[04:26.660] 这个客户跟小霞给你分类完全不是一拨。
[04:31.290] 给你分开那波的客户在你接待之前已经出去了，
[04:34.840] 这个客户是进来的时候没人接。
[04:38.590] 没有，我说哪小孩说就这个客户我就过去，不是他叫你过去我叫他一声，
[04:45.140] 他以为我说别的事，其实我就告诉他不是那口。
[04:49.160] 你这个还要吗？要谁知
[04:54.200] 不过他也是大长腿，我估计就是人家大长腿露着腿穿着裤子。
[04:59.470] 我还是能记住的。
[05:02.200] 要给他打电话搁转了一圈S90。
[05:06.520] 打一个电话。
[05:09.470] 136612。
[05:13.540] 不是大窗口。
[05:19.920] 1366等号标注M1。
[05:25.770] 13661266。
[05:28.470] 947。
[05:30.390] 熊女士。
[05:33.140] 0.6. 
