[00:00.000] 开始接车。
[00:07.470] 远场
[00:09.960] 场。
[00:12.880] 的
[00:16.130] 的
[00:23.240] 句。
[00:24.590] 数据
[00:26.200] 数据
[00:30.030] 场。
[00:31.970] 坏。
[00:34.070] 来
[00:37.530] 的。
[00:38.510] 你好。
[00:43.850] 为。
[00:44.670] 我说您过来了吗？
[00:49.360] 您过来了吗？
[00:52.760] 听得见吗？
[00:57.020] 已经交过这边是吧？
[00:59.870] 行。
[01:06.190] 行好我知道。
[01:12.560] 你没找我是吧？行行好勒。
[01:21.370] 行行好勒。
[01:24.960] 好再见没事。
[01:51.000] 五
[01:52.370] 的
[01:53.680] 的。
[01:56.990] 三。
[01:58.640] 的
[01:59.600] 的
[02:07.270] 的
[02:10.160] 三
[02:12.670] 好。
[02:22.200] 三
[02:34.000] 对。
[02:35.040] 号。
[02:40.960] 看。
[02:43.500] 谁知
[02:48.360] 这是W开头的，都背靠背。
[02:52.350] 咱们开车都是所谓的分开多少时间，
[02:55.460] 谁开车谁还是自费的不给索赔。
[02:59.390] 完颜色类型
[03:04.170] 了。
[03:05.090] 没准。
[03:08.440] 没有咱们去等下去看下车祸。
[03:18.000] 联系过。
[03:20.880] 20。
[03:28.110] 都停在这边。
[03:29.810] 你来。
[03:36.400] 这边的先生
[03:59.310] 您说。
[04:01.310] 对，我就像钥匙上哪个是新车？
[04:04.760] 这都没用。
[04:06.540] 他这个部分要是哪个是循车，
[04:09.410] 你怎么能让他想您是车内的有一开关，
[04:14.840] 有一叫锁车鸣笛，
[04:16.710] 是不是？你在亚视按哪个堵车就行，关在车里面。
[04:36.490] 怎么称呼您？
[04:37.720] 沈阳的。
[05:52.360] 好热。
[05:53.140] 好
[06:00.950] 这怎么弄的？
[06:02.510] 我是粘的，我明白了。
[06:04.940] 粘了一个东西。
[06:12.480] 好，咱们进屋给您打一份单子，今天给您做一个检测。
[06:17.950] 出保前的检查，
[06:22.470] 出版以后，
[06:24.040] 出版以后的话，您可以考虑延保，也可以延保的话，有落地也是免费维修的，
[06:29.570] 没什么意义。
[07:03.870] 你
[07:05.630] 系统上电话通知联系人给我，改的话
[07:11.250] 买手机号。
[07:23.200] 三个6一个4改成
[07:29.150] 1891. 
[07:30.920] 二。
[07:32.410] 七。
[07:37.010] 三
[07:44.740] 早的时候买。
[07:47.770] 灯具
[07:49.980] 取消掉，
[07:52.200] 谁？
[07:54.330] 有吗？我看看。
[08:07.370] 没有这个那就不管了。
[08:10.740] 坏。
[08:15.360] 场
[08:18.460] 数据
[08:22.640] 有可能保险
[08:33.760] 数据。
[08:34.890] 数据。
[08:36.020] 远场
[08:44.310] 场
[08:47.590] 的
[08:50.610] 的
[09:02.010] 远远。
[09:05.150] 和。
[09:06.640] 说。
[09:12.080] 场。
[09:13.790] 数据。
[09:24.330] 咱们这车在店里有两次保养礼包。
[09:31.240] 有两次皇上里边
[09:32.940] 保养礼包您是在什么时候？
[09:36.520] 在19年的7月份用了一次，还有一个是
[09:43.370] 18年7月份用了一次，用完了已经因为您车了，马您说马上就初三年了，
[09:50.290] 初三年我们依然给您提供保养礼包的服务，
[09:53.670] 他是保养礼包，它是在文件的基础上给您做打折的优惠，
[09:59.310] 然后你可以选择性购买这种礼包，您离我们这近吗？现在不用了。
[10:05.150] 那算了不用了。
[10:07.020] 这样一个东西。
[10:08.610] 主要它便宜。
[10:10.760] 修。
[10:15.290] 用不了。
[10:20.350] 在10:00 12:00 12:00左右差不多。
[10:23.200] 怎么样车他12:00左右能完事把你洗下车的。
[10:28.500] 为
[10:31.830] 好看。
[10:37.930] 在做什么就做一个检查，对。
[10:42.600] 坏数据
[10:46.140] 的。
[10:47.960] 要
[10:57.240] 大概就是两小时给你洗车。
[11:00.280] 还得给你洗车。
[11:05.650] 了。
[11:07.470] 喜欢
[11:09.290] 今天。
[11:13.090] 我们刚才师傅给您做了一个检查单。
[11:15.570] 然后有三个问题，一个是散热器主要检查一下这个没有问题，还有一个排水孔也没问题，
[11:22.110] 您的龙骨比较脏。
[11:23.800] 龙骨建议您清洗一下龙骨，清理咱们4个龙骨是310块钱，那就不用了，OK。
[11:32.160] 对。
[11:33.190] 街道取消行吗？
[11:38.620] 我给您拿一份汽车单双号，
[11:42.830] 证人千取车单。
[11:47.740] 在哪？
[11:48.620] 在就您笔下这个位置。
[11:51.240] 然后您加一下我微信，当然好了，我通知您取车。
[11:56.220] 向上微信好了，我通知出租车。
[12:00.590] 那边。
[12:04.070] 打电话不行吗？
[12:05.400] 现在咱们都是企业微信，
[12:07.610] 企业微信。
[12:09.080] 因为他这个也不知道你隐私的问题，
[12:13.680] 联系更方便一些，然后
[12:16.610] 如果您有需要帮忙的话，比如修车都可以联系我们。
[12:24.490] 好了吧，我了休息一会帮你洗说的。
[12:46.230] 五
[12:47.000] 的
[12:59.000] 的
[13:04.830] 的
[13:05.780] 数据。
[13:11.500] 场
[13:13.440] 数据
[13:14.820] 的
[13:15.960] 场。
[13:17.910] 场
[13:20.320] 花、
[13:22.030] 花
[13:23.330] 五
[13:24.550] 的
[13:26.840] 的
[13:29.460] 数据
[13:31.050] 广场。
[13:41.410] 数据、
[13:46.870] 数据、
[13:49.930] 场
[14:00.830] 上海
[14:02.270] 数据
[14:15.740] 坏、
[14:17.510] 数据。
[14:18.470] 数据
[14:22.720] 号。
[14:25.270] 数据
[14:31.030] 数据
[14:36.710] 了。
[14:41.600] 多少人一点看一点。
[14:46.500] 感觉
[14:49.340] 快。
[14:59.480] 场
[15:00.490] 把。
[15:01.770] 数据
[15:03.530] 的。
[15:07.920] 花
[15:09.710] 数据。
[15:11.490] 数据
[15:13.240] 的。
[15:15.510] 数据、
[15:17.950] 数据。
[15:23.570] 在车上数据
[15:31.970] 数据
[15:37.430] 数据
[15:39.960] 数据、
[15:46.000] 1。
[15:55.930] 坏数据。
[15:59.460] 二。
[16:05.190] 号
[16:07.310] 号。
[16:08.380] 因为
[16:10.540] 数据。
[16:12.710] 了。
[16:19.430] 2500不是。
[16:21.180] 五。
[16:22.640] 所以说
[16:29.080] 最后
[16:37.000] 二
[16:43.120] 的
[16:48.450] 的
[16:56.290] 对。
[16:58.090] 走。
[17:02.630] 数据
[17:04.960] 坏
[17:14.240] 数据、
[17:16.130] 数据、
[17:22.920] 坏
[17:24.360] 花
[17:27.080] 的。
[17:30.560] 到
[17:33.320] 的。
[17:34.720] 数据。
[17:38.230] 没用。
[17:42.470] 操作企业不要了。
[17:44.850] 谁知。
[17:47.610] 的。
[17:51.230] 要。
[17:54.510] 来。
[17:56.290] 带
[18:00.790] 还
[18:16.870] 同行。
[18:19.770] 这样。
[18:27.210] 的
[18:36.780] 场。
[18:39.080] 五。
[18:40.880] 号。
[18:43.180] 的。
[18:47.060] 的。
[18:49.060] 远。
[18:53.330] 数据
[19:01.130] 数据、
[19:04.590] 的。
[19:24.420] 奔驰百得利之星。
[19:27.100] 保养是吧？
[19:29.360] 一会过来是吧？
[19:32.110] 网。
[19:33.820] 到了。
[19:36.970] 那行，我估计预减的没事，马上到我这了。
[19:42.830] 一会我再联系您，没事
[19:47.440] 的。
[19:52.770] 句。
[19:57.350] 这个车你们是不是预减的？
[19:59.350] 你看看066
[20:01.140] 去了，刚去不是什么意思，不是你跟我这说，
[20:07.570] 他也是客服处理，你不那说也是客户处理一个意思。
[20:10.960] 然后自己第一个抽5分钟，别人客户怎么都不好。
