[00:00.590] 今天上陈德华，但他现在没有那边的居住证，然后想找他办一下。
[00:06.350] 我草我怎么给他办？
[00:08.710] 不认识人。
[00:10.080] 我名字我觉得您
[00:13.800] 先聊聊再说。
[00:19.990] 先生您好，百得利沃尔沃销售顾问郑超，这是我名片，第一次来这儿，我上次来过一次。
[00:25.970] 之前来过是吧？是同事邀约您过来，
[00:28.900] 有个电话妈妈您交了邀约过来，我给您介绍，行，上次来你好，也没找销售给您介绍是没有，行没事，这不是给您详细了解。
[00:37.990] 然后他一架来说说
[00:42.780] 喝点什么水吗？咱这咖啡茶、矿泉水、果汁还有小点去徐小飞给您拿过来，先不用。
[00:48.280] 知道吗？我查了。
[00:49.910] 来讲没啥行吗？稍等。
[00:55.980] 你没事吧？
[01:49.060] 然后女士。
[01:51.410] 先生您喝水。
[01:55.280] 不是，我上次因为问他了，按牌照的问题挺难弄的是吗？
[02:00.000] 想上哪的话你是就是说在地摊你们销售，他说承德他说他能弄是吗？
[02:06.280] 我得给您问这个谁也不敢保证能给您弄。
[02:11.000] 这得给您问，这不能说帮我算一下查询405，因为我肯定是分期多，首付大概多少钱，然后分7段是这样，女士得确定好您上哪个牌照，如果说要是举个例子要承担，
[02:24.310] 如果说要承德那边上不了的话，您是打算上哪儿的上市了？
[02:27.720] 老家、黑龙江、东北。
[02:30.470] 黑龙江是吗？中心将对您查一下，在乎在我们的空白名单里头，如果当地您假设那边有
[02:38.990] 就算我想卖年我也卖，还得回去那边去买吗？对是肯定的，讲您举个例子，我是北京的，
[02:46.530] 我上您老家那边买车，我北京有店也不卖，我为什么？
[02:50.160] 奔驰你们这些都有区域保护都，但是丰田为什么没有品牌跟品牌不一样，你们这属于豪华品牌里面都会有是吧？
[03:00.410] 你帮我查一下行没问题，您说明泽牌照是吧？
[03:06.190] 对，刚才
[03:08.340] 打电话那个姑娘是吧？我只能是给您问一句能不能帮您弄，但是弄的话肯定也是有费用的，对，但是这个东西
[03:16.410] 我只能试试一下给您问，但是我不敢保证之前开过其他品牌的车型没有。
[03:21.160] 也没开过车到是吧？也看过其他品牌的车吗？看过。
[03:25.140] 丰田。
[03:26.100] 因为本来那样感觉，那时候看到本来是要订，但是其实我心中就是这位，我跟选一个啥车是纳兰达的一个咨询，好拿稍微小一点车，
[03:40.470] 汉兰达太大了，他们也开不了星期的太大了，
[03:44.160] 是想考虑大概几月份购车？
[03:46.500] 这个月。
[03:47.560] 就这个月
[03:48.460] 这个月预算控制多少钱？
[03:50.460] 预算我觉得首付10万以内，首付10万元的40的话，您想考虑哪个配置的？T3，T4。
[03:57.410] T3就行，T3的第三性价比其实都挺好，是家用吗？还是商务用？
[04:02.920] 自己开还是坐先生拍的她开，您看什么？
[04:07.680] 行没事的，对，后期都开着是想分期是吗？等于这方面？
[04:13.310] 要分期多一些，首付少一些，分歧越多越好吗？等于是待的时间越长越好，首付要少一点。
[04:19.870] 这样不是压力小一点，没错，其中40这款车咱说实话，如果说咱们平时什么兴趣爱好，
[04:25.780] 自己要玩会什么的，这种SUV最大好处就是它离你坚信还你要相互性非常肯定，我们买这种像茶杯40肯定都是上班族，
[04:35.340] 打不或者是你要是钱太多肯定也不考虑，肯定是60啥你上试试，原因就是经济实惠一点。
[04:42.240] 我先给您落实这两件事儿，
[04:44.570] 好吗？
[04:45.450] 一个是区域的问题，还有大概我想打听一下他那个价格，
[04:51.410] 价钱的话差不多落地多少钱哥？是这样，如果说要上金牌的话，40我们现在不尽快您报这个价格，我是按假设按金牌这么去报，
[05:02.220] 但是你要是说我身上黑龙江那边咱有可能卖不了，就不牵扯到价格的问题了，如果要金牌的话，这台车
[05:09.020] 第三咱们知道价格28 2800的车，
[05:12.010] T3的致远，但是它还有个低配的，就是一个时尚型的，咱就是拿着28 2800打比方，
[05:18.160] 现在购车的话我们是优惠6万块钱，6万我们又不玩就是222,800，应该说大数22，
[05:25.250] 这么一个情况，你要说全下来的话，这个车应该差不多在二十四五就肯定能拿下。
[05:31.170] 为什么销售跟我说他是有个二十零点，没错低配的低配对，我刚才说的我说拿打比方区别大吗？
[05:40.870] 这两个车我跟您说一下大概差什么配置，首先打开那是里边的话，
[05:46.530] 低配的车是没有木饰条的，
[05:49.740] 然后对没有收到车影像，
[05:52.850] 外观轮毂的样式也不太一样，招配的话都是那种黑色电镀的那种远古
[05:58.920] 低配的没有，然后包括座椅低配的就是全都顾的座椅，
[06:03.390] 而高配这款是真皮作业，所以说从价格来讲的话，两个车差了1万多块钱18,000，
[06:09.580] 是这么个情况，你要说性价比的话，反正客户一般选说T3，
[06:14.060] 确实刚才给您报价，
[06:16.350] 但是你要说我从经济实惠各方面的话，
[06:19.980] 时尚型其实也可以，但是您说价差差多少钱？
[06:24.230] 18,000针对于您分期来讲，其实18,000块钱就真的不多了，但是您买车的时候您会觉得
[06:30.630] 18,000多，但是真正您买完以后您过一些日子它这个次序是不是贵的？
[06:35.970] 都是四驱是吧？
[06:37.920] 四驱就贵了，四驱是P4的发动机747374短，
[06:42.460] 四驱肯定会稍微贵一些，四驱那款T4的标配
[06:46.890] 318,800，现在优惠258,800一圈下来大概得2829万多了。
[06:53.840] 对，你想里外里贵了多少钱，要是跟第三的低配比较起来的话，都得贵个4万块钱。
[07:01.310] 那要跟
[07:02.800] 就这么一个情况，油耗多少？
[07:05.710] 要是这款T3的车正常市区开，我客户跑的油耗基本上七八个油，您在新手机基本上也就这样，
[07:14.320] 没有人正常来讲建议您加95了，95建议您加9，你92零95差不多几毛钱是吧？能加，但是建议加95，您包括油箱盖小一些，
[07:25.810] 95就说白了鸡汤会少，
[07:28.000] 稍微好一点，
[07:29.770] 这么一个情况。
[07:32.000] 反正从安全上来讲，
[07:34.480] 你这样你可以先看一下黑龙江那边有没有区域保护什么，
[07:39.800] 要不然咱们谈这些没用的车还用给您再介绍一下吗？车看了以后不用看了。
[07:45.310] 行，我先把这两个是给您落实一下，我过来找您了好吗？没事稍等。
[08:08.240] 没事了。
[08:09.120] 没下。
[09:01.710] 谁有渠道的？
[09:04.590] 承德记录卡有知道的。
[09:12.080] 有得多少钱？
[09:14.080] 不到。
[09:16.290] 主动的去了，
[09:18.440] 是吧？
[09:19.750] 他就想车上床头牌，
[09:28.170] 三
[09:32.310] 我把目前人找到玩耍，
[09:36.520] 黑龙江
[09:38.720] 黑龙江我看到我家
[09:40.360] 骗子太多了。
[09:47.960] 了没有？
[09:55.120] 我们接着来。
[09:58.550] 他想上成都牌照。
[10:01.630] 还赶上火车。
[10:04.510] 这个还不是非常大，你夫妻俩去看那个孩子写0吗？
[10:10.690] 那女的我刚才给他打电话。
[10:12.720] 约的女的。姓贾，对。
[10:15.240] 你给他打电话都是这样。
[10:16.490] 我没敢跟他联系。
[10:17.570] 为什么？
[10:18.500] 怕她去转去了，他不想对比对比价格奔着27的买。
[10:22.240] 我给他。
[10:23.610] 明天给他发个微信，就那天接待完了以后我给他发微信，我说姐我说您那边
[10:27.910] 转完了以后您给我
[10:29.560] 来个电话，
[10:30.720] 然后如果您觉得合适的话，您可以再过来看看来。
[10:34.880] 他说啥？
[10:36.230] 他跟我说的是我在你们家天看着，反正觉得价格有点高，然后他说了后三项购置税什么
[10:46.430] 保险什么。
[10:47.810] 的妆。
[10:48.250] 对，他觉得说他有点告诉她心里不舒服，然后他就跟我说，我其实挺想在你店码的开你们店的规模挺大的，
[10:56.570] 这点我挺满意的，就是你那价格能不能再让我舒服点，然后他就觉得自己心里。
[11:02.580] 高职顺高。
[11:03.950] 关门对决定的你对的，你跟他说白送你要不要？
[11:08.840] 然后他就说你要是。
[11:11.990] 不了，他就能。
[11:13.350] 反正那白的还有吗？
[11:15.870] 但是好像定。
[11:16.960] 了协调对。
[11:19.370] 白车黑定了吗？
[11:21.430] 致意的S90的白黑。没有。
[11:25.800] 最近好像
[11:28.270] 照片我记着好像是订了，我妈知道我的课，
[11:33.530] 他如果要想挺便宜，就只能突破限价了。
[11:37.660] 关键是你购置税是死数，车架决定保险。
[11:41.370] 俺。
[11:41.910] 也是车架决定验车费3000，你说还有啥可讲？
[11:45.570] 我也跟他说了，我说能送保养，能送装饰，
[11:51.470] 装饰能送的全都送了。
[11:54.640] 我觉得这个姐姐应该你出马再跟他聊了周四或者周五的时候，晚上上午你家里人。
[12:02.530] 我给他发微信，待会。
[12:04.180] 待会你不用发，你就周四周五的时候你直接给他打电话。
[12:08.550] 对，周末所有周末接那男的说这周末过来评估。
[12:12.500] 男的能来吗？
[12:13.780] 你给他打个电话，我跟他发一信，他们过来不理我了。
[12:19.060] 那男的都联系好酒。
[12:21.290] 下一个月回来，4月份咱们做活动，他来的来人特多，然后玻璃哥跟我聊了几句，
[12:30.200] 然后贾姓贾的你都不知道都是。
[12:33.030] 他是奔着27万多买的，因为它在汽车家看着有着27万多的报价，后期。
[12:38.440] 还说了，他说如果要是你们价位都跟金价的价位差不多的话，我干嘛跑那么远？
[12:44.160] 然后就说你稍微再让我的价格向你舒服点，
[12:47.870] 在便宜点你感觉
[12:49.660] 他想在咱们那边，他说觉得咱们这规模好。
[12:52.600] 得多少钱？
[12:54.440] 我已经到底了。
[12:56.900] 一点。
[13:02.050] 初步。
[13:08.840] 07
[13:11.340] 一个20万补贴，
[13:13.540] 我怎么让他车夹在书柜？
[13:16.440] 花。
[13:17.600] 慢慢的。
[13:19.020] 你好你得上猴哥办公室，你跟他说你说说我突破5000现价，你看能不能吧？
[13:28.550] 关键是没车了。
[13:30.360] 别了。
[13:32.570] 能突破5000线架。
[13:34.510] 叔叔了。
[13:37.900] 再让心里稍微松一点，开车吗？
[13:41.030] 晚上你跟他回家。
[13:42.580] 女儿你你都给他回家，男的女女的。
[13:48.520] 跟白黑128天赵斌给定
[13:55.920] 的。
[14:04.440] 先生您好，我给您
[14:05.630] 问一下，我们公司这边给您打听到。
[14:08.560] 然后您如果说黑龙江，
[14:12.530] 我看有几个城市，
[14:14.980] 黑河、鸡西、佳木斯、丹东、七台河、齐齐哈尔、
[14:21.070] 绥化、
[14:22.720] 大兴安岭这些地方你能上吗？
[14:25.430] 这些地方都属于厂家的空白区域，
[14:28.120] 我们可以销售，还得把车开回去，您肯定是回那边上牌。
[14:34.390] 但是你要说承德牌照，我们这边给您问的，我其实我现在给不了你答复，他给您打听到。
[14:39.710] 对，因为现在说实话，你要说两两三年前
[14:43.570] 弄个什么廊坊这些
[14:46.840] 一旦进的这些河北的城市，
[14:49.050] 好弄，
[14:49.980] 居住卡好办。
[14:51.220] 反正钱的事现在
[14:52.790] 不是花钱的事儿，
[14:54.010] 也得托人也得花钱。
[14:56.400] 比较麻烦。
[14:57.620] 那时候我记得应该两三千块钱发行纪录卡，也不交什么事儿，行吧，你问好了你当时给我，但是黑龙江那边如果说你要是觉得开得远的话，但是反正这些城市能卖，
[15:08.810] 是咱倒是能买，这倒没问题，
[15:11.640] 因为我家还是佳木斯，
[15:14.160] 但是我属于哈尔滨。
[15:16.230] 哈尔滨那边有电。
[15:19.450] 还是佳木斯进去，佳木斯倒是方便。
[15:25.650] 还是
[15:30.520] 对。
[15:31.360] 招牌慢慢研究。
