[00:50.120] 今天B组定了13个，
[00:52.970] 我的妈
[00:57.880] 这太狠了。
[01:07.240] 太狠了。
[04:05.640] 了是吧？
[04:06.490] 了，没有。
[04:49.720] 咱们这的吗？
[05:14.720] 可能有点少吃过了。
[05:17.430] 走了。
[05:18.440] 那也不够，也还是挺羞。
[05:24.200] 我就想赶紧第二天了，你这三天班早就想20
[05:29.320] 几天没来吧。
[05:32.230] 我这不就把你先订先提那个来的吗？
[05:35.220] 没来。
[05:37.280] 想到不能耽误平时的时间交了，
[05:43.740] 张瑶给了65,000，
[05:46.870] 找到集团马家，
[06:04.240] 走的时候，
[06:06.240] 咱现在要换1260。
[06:12.830] 画E260。
[06:14.420] 四驱的。
[06:16.960] 在马家给他往上面流，往那上面聊了，我不知道为什么应该是
[06:22.310] 应该是他这个哥们
[06:24.870] 找的马氏，
[06:26.230] 这哥们不想让他妈花太多钱，
[06:29.130] 应该是传好了，我说这个话也太聊的太硬了，因为就想要这个
[06:34.480] 高的。
[06:35.570] 还有多少岁了叫他们买个人喜欢的，人家想你老太太用不上，1356死去的那么高的，
[06:43.680] 但是马人家一直往那方面带来的，我就没侦查，
[06:48.450] 谁知
[06:50.700] 老太太一直给我这么看我水慢慢看我那意思，他们说的对吗？
[06:56.520] 那老是那样，
[07:01.000] 按照自己的意愿，
[07:02.640] 老太太之前开E400，你想
[07:13.160] 这女儿都有自己的想法了，
[07:30.460] 的
[07:33.730] 场。
[07:38.310] 数据
[07:40.570] 数据
[07:52.050] 的
[07:53.680] 花
[08:03.480] 花
[08:07.850] 的
[08:09.590] 坏。
[08:23.080] 习惯二还是
[08:27.620] 也简单，还有一个
[11:47.220] 开始
[11:51.790] 的
[12:12.760] 大概。
[13:18.680] 你知道咱们那个车，比如说做完金融以后，是谁会主动联系客户吗？
[13:23.950] 对。
[13:25.040] 比如说金融还完了，
[13:26.700] 会有人联系的吗？谁会谁知？
[13:32.370] 一般都是客户找找咱们是吧？
[13:35.080] 没有人会主动联系他说你
[14:50.210] 因为车辆
[15:08.960] 谁知
[15:09.910] 谁知
[15:14.840] 什么车？
[15:17.120] 外观。
[15:18.400] 内饰。
[15:20.090] 135米色
[15:22.630] 米色确定。
[15:36.310] 咱们一块就留三
[16:11.550] 大标题。
[16:14.460] 13533。
[16:16.520] 米色。
[16:20.530] 有点心不够。
[16:22.430] 我看在
[17:29.700] 135还是145？
[17:34.080] 135。
[17:36.590] 那是吧？
[17:37.980] 现在这样乐观，
[17:41.520] 你们真是的。
[17:43.820] 我这么nb的伤害
[17:52.130] 圣珀罗佩兰瑟。
[17:54.750] 对没错。
[17:56.430] 那对吗？135。
[18:00.040] 他就有点像那游艇蓝，但是比就是蓝浅点。
[18:27.430] 增量价值，
[18:29.370] 晚上也有说
[18:49.110] 指导价格。
[18:50.080] 但是88然后咱们
[18:56.190] 不断
[20:33.880] 给多少咱们
[20:35.690] 在一个行业
[20:39.390] 还要
[20:42.200] 向往。
[20:46.630] 他这个蓝色是不是？程晨。
[20:55.000] 承担当时定制过一个
[20:59.920] 一个银色的里边是游艇蓝类似游艇揽。
[21:05.520] 米色内饰的
[21:07.980] 有点印象，没有一个大银色的一
[21:12.390] 有点
[21:13.370] 有点印象，说定了好久。
[21:16.150] 还
[21:29.800] 好那车定了得有半年多。
