[00:00.000] 左转或者U比如说等车跑起来或者转弯的时候，
[00:05.530] 或者刚才就是盯着你减减速带，就抬起来之后就听着后边有什么生，就像
[00:16.440] 咱比如就像钢桥铁条什么握在一起，
[00:20.530] 哗哗啦啦就是不香喷喷。
[00:22.840] 的，我跟您咱一块听一下车里头我就不知道那是我以为我后面将你说有什么东西。
[00:28.130] 一空有没有？
[00:30.110] 我给您看一下，本您带着家里边也得用一下先生。
[00:57.110] 场
[01:01.620] 数据
[01:04.540] 场
[01:06.610] 的
[01:09.890] 数据
[01:19.470] 场。
[01:39.360] 场
[01:45.000] 数据。
[01:56.610] 电话给你好，是1380107116那个是吧？
[02:06.330] 开始对，不要
[02:08.270] 有一个检测器的召回，还有一个升级，
[02:11.640] 升级是什么升级？有一个房间控制单元更新。
[02:15.520] 对，就拿手机版本出来有个更新工作，又软件更新，对做隔离宝，这是一个。还有
[02:21.410] 还有我上次做保养的时候好像还差了点什么东西做，因为当时
[02:28.710] 边不够，我先看一下，看这边我就把车扔，我因为里面一建平就扔了，对，因为换减震器的话，
[02:36.370] 你里边一块儿再说了。
[02:38.000] 一般
[02:45.120] 三
[02:48.150] 坏
[02:59.880] 的。
[03:00.960] 开头有一个
[03:09.990] 谁知一会我给您看一眼，看一眼上面什么话，然后咱先试一下试驾车。
[03:18.890] 你说顾客轰隆响，对。
[03:21.720] 咱试一下。
[03:25.140] 号
[03:34.240] 搁哪？
[03:36.080] 我先拿座套，拿着大家一块就不用回来。
[04:13.770] 你看我这车哪儿？
[04:15.320] 就这块漆有点。
[04:17.870] 我知道是当时但是我先吃着车。
[04:22.740] 车门您查一下。
[04:51.590] 一块块就有。
[04:53.510] 刚才我过去坎的时候就听到了，
[04:57.020] 再见，有时候咱白天有时候出来的时候，拐弯又比如说拐着急了或者什么的就能听，就像是
[05:04.150] 就像刚就
[05:07.840] 兰乔波洛在一起或者掉地上两个人碰到一起绳试一下，
[05:15.430] 把这拿去在这空想，
[05:33.670] 跑起来走起来。
[05:34.980] 4车快点走。
[05:41.920] 有没有了？
[05:42.730] 我这个已经不听那这么着，您我给你调调头了，调头了没事肯定看你。
[05:50.510] 你跑一下。
[05:52.980] 不是过客的时候不采纳是吗？
[05:55.260] 是这意思吗？
[05:56.340] 还是也采，但是就是说你要过坎不可言说不可能，但是
[06:01.910] 他也不是马上每天都有，反正就说不清楚。
[06:09.170] 不然天亮有没有
[06:20.990] 是毛病，就是欺负人，
[06:22.620] 弄身吃手就吃不出来了。
[07:10.570] 也比较好。
[07:11.280] 天天刚才有一声我听见了，后边
[07:23.680] 对吧？
[07:24.800] 就听了后来跟金属摩擦声音是吗？
[07:28.260] 他说不下降碰撞的声音，感觉我听到再给你轻松一下。
[07:35.360] 听到了。
[07:37.800] 我就不知道这个是个什么，是我原来以为是不是我后边
[07:42.080] 发的什么东西，不要就这么干了，什么东西，你不要你就往后看就行了。
[07:50.610] 分
[07:55.670] 我再试一下。
[07:59.310] 有可能。
[08:01.110] 对，有可能。
[08:03.310] 我听着像是从哪发出来的吗？
[08:05.720] 听一下。
[08:14.960] 你刚好在那挂着
[09:06.110] 郭先生您好。
[09:11.720] 对，好了，您说。
[09:19.670] 行，我一会给您发过去，我现在给客户试试，试试完队以后我把那总价给您发过去。
[09:26.490] 对。
[09:28.120] 得了这么着，拜拜。
[09:37.210] 吃喝玩乐
[09:45.800] 出现了。
[09:47.040] 是
[09:52.780] 理科他反正现在是这样。
[09:55.010] 对吧？
[09:56.090] 我以为是后备箱里头，反正后备箱什么意思吗？因为它后备箱没有，这就是像你这种小的话，
[10:03.980] 没有这种东西会，我就怕他底下底盘底下有让我怕。
[10:19.050] 型号是反正知道咋想的，就对心理就汤似的，对，我就不知道哪想着心里老觉得什么事儿。
[10:25.760] 你知道吗？
[10:26.970] 车里的贵重物品收一下我登记要不
[10:31.510] 现金钱包手机什么都收一下，
[10:54.830] 现在跑了七万一千六百六十七万一千六百六十，他离过了医保一事1000千公里，正好1000，
[11:09.690] 差了1000公里，最少1000。
[11:12.950] 然后由表的话有一半
[11:19.260] 表格，
[11:23.480] 刚才换过来。
[11:25.150] 没错。
[11:26.010] 打仗电话
[11:28.000] 一般都有办案的搭配让你放了。
[11:32.160] 你找了450，
[11:34.430] 行业里面放都换了是不是？
[11:36.560] 好就依照点击一个轮一个皮带，
[11:39.710] 还有
[11:40.620] B轮你看。
[11:44.000] 博泰是吗？补个胎，不过这查过盯了，我看看那边
[11:50.570] 后沙边防不太厚道，一表忽悠提醒听了没扎透没扎痛，一直当时我是在这跑长途，我说主
[11:57.990] 了，最后大兵一看没错，但没事没错，后商店不太混，老道是一表忽悠8:00 8:00什么来就行。
[12:06.190] 就在市里上市里跑这事儿。
[12:10.160] 春节后跑了一趟三亚，您这在跑长途的时候注意点轮胎有点老化了，
[12:20.320] 前片还行。
[12:41.670] 其实这车还行，跑起来挺稳的。
[12:45.340] 这车我生日走吗的性价比不好。
[12:49.130] 我这2.6跟咱260 200差那么10万块钱，你现在
[12:59.210] 你看我这车实际上上就这一点伤。
[13:02.280] 对伤害都不大，然后这块是不知道他们谁给我这放个东西磨了，就这一块
[13:08.470] 看不出来，但是然后以后面这也能看出来。
[13:12.290] 你看出来了，这东西无所谓，你要
[13:14.450] 要不想修
[13:15.830] 就无所谓了，你这样修整个门的事儿，你要休了整个门都得排队。
[13:23.370] 你看你车当时买的时候，其实我们注意你看这两条，
[13:42.470] 而且我觉得确实好像比以前严重了，
[13:49.510] 这边翘了。
[13:51.760] 这边翘了，
[13:53.480] 他自己出来自己
[13:58.560] 抢崩，
[14:09.010] 这样的话看着就差不多了，对吧？
[14:11.410] 等于他现在里边翘了，
[14:16.000] 掉是掉不了。
[14:17.260] 对，调调过来不好看。
[14:27.660] 他这是里边有卡的。
[14:29.410] 我把他硬塞进去了。
[14:31.370] 不是用谁的，卡的不行了。
[14:34.380] 有卡的。
[14:36.750] 把它按下去之后它还得往前，
[14:40.140] 这能这种
