[00:00.530] 没关系。
[00:02.770] 平时车开着都没什么事是吧？没事好的。
[00:05.880] 行驶本驾照在您身上吗？
[00:07.650] 对。
[00:09.370] 行。行驶证应该。
[00:10.680] 我需要核对下信息。
[00:15.230] 行驶证应该不需要了，剩下时间都。
[00:17.530] 来了。
[00:18.230] 我也没什么事，
[00:20.250] 我就需要一下假驾驶证。
[00:24.390] 怎么需要什么信息？
[00:26.090] 送修人就谢谢对。
[00:28.470] 您的驾照或者身份证都行，102。
[00:34.050] 稍早，我有点卡。
[00:46.160] 电话就是我给你打的，135的号是882718217510212的是吧？
[00:52.650] 19731119032。
[00:56.670] 行，不要？
[00:59.190] 没事，您还搁包里了。
[01:01.940] 说没事了，那对上。
[01:04.140] 上回是做的
[01:06.590] 去年7月份5万公里，换了前边的沙盘，做了一个A宝清的三元催化器，
[01:13.280] 发动机还有一个后轮的刹车片，
[01:16.490] 应该做什么？今天应该按照
[01:19.150] 记录来看是B版了，因为ABA比交替做，准备小的是B宝BA保，
[01:25.960] B宝就是简单来讲，最简单的B宝来说就是机油三滤什么的，A饱那是机油机滤，但是还有一些按照里程和年限有些附加下，
[01:36.850] 就在看车况了，多长时间做完？
[01:39.750] 大概B宝的话我得看一眼有，因为咱们车55,000了，
[01:45.610] 我看之前有一个叫卞从羊油的油有没有换过不知道。
[01:51.350] 我在看记录，您稍等我一下。
[01:53.480] 应该是没换过。
[01:58.270] 因为油也是跟机油一样，也是需要4年6万公里做一次更换，
[02:04.970] 因为咱们机油不是一年1万公里换一次，卞江油是每4年6万公里的时候换一次，然后
[02:13.830] 现在咱们车估计今年开的也少。
[02:16.500] 现在55,000是吗？55,000了，我一般都是满1万，但是时间到了
[02:22.470] 年了吗多到一年了。
[02:25.830] 因为咱们跟德系车的保养周期其实已经
[02:29.910] 并不是说半年5000公里一保还是一年1万，所以拉大拉比较长。
[02:34.770] 总体来说到时间。
[02:36.750] 了。
[02:38.560] 估计这段时间。
[02:39.990] 的比较少这点。
[02:41.460] 可是我们这掉了块漆，
[02:49.880] 因为如果今天要涉及到需要各方面上游的话，有可能就得
[02:54.350] 没可能要您到时候把
[02:57.000] 到时候把玻璃水给我加一下，后备箱里播就行了，我现在。
[03:05.960] 换电商有。
[03:07.430] 有可能就是明天了，因为我得回店所有工业给您打个电话问一下，看看车间目前。
[03:12.810] 那边的。
[03:14.760] 维修的一个情况，这名被裁掉。
[03:17.200] 对，因为要送精油那没办法，因为他们要是那边
[03:20.160] 没超级。
[03:23.360] 01后面还有我。
[04:30.520] 行，咱就进行算价去。
[04:32.630] 这估计也没啥事。
[04:36.480] 没什么要拿的了是吧？
[04:38.140] 好，等会我把车锁。
[04:43.950] 没关系，您在看了。
[04:46.220] 一会咱就手再回来了。
[04:52.690] 外观的话，就这几个门子上面都是有颗的印。
[04:57.040] 磕掉漆了。
[05:02.100] 钱那一标杆气。
[05:08.890] 这边
[05:09.840] 还不够。
[05:30.210] 有效吗？
[05:32.040] 外观那些伤害有向下修。
[05:36.960] 想走保险喷漆吗？
[05:39.470] 谁知
[05:45.630] 没有，你反正报保险了以后保费肯定会生活的，
[05:50.670] 如果就不错。
[05:53.270] 他现在能防止它
[05:56.670] 现在店里边有一个保险的附加险，您能够重新开户，然后您正常出险修车修一次车返您2500之间，
[06:08.720] 等于能对您来年保费上面有一个
[06:13.170] 有一个平能找到
[06:15.880] 比您之前。
[06:16.860] 单纯就说走。
[06:17.910] 保险修车。
[06:19.180] 合适了。
[06:20.500] 我推荐什么？
[06:22.270] 存钱，5等15天以后报案修车，或者说您直接把车开到百得利来，
[06:28.130] 开到我们店来，然后后边不就保险不能定损吗？
[06:31.530] 您上的保险估计也肯定是人保平安太平洋这一类的。
[06:36.230] 店里边有租店可以直赔，
[06:38.390] 所以您开车过来定损维修，修好了以后，
[06:41.840] 上了保险的客户可以拿到保险公司返还的2500块钱，
[06:46.560] 一年可以返还您两次，
[06:49.520] 因为这个保险也是一年的有效期，
[06:53.360] 这就针对于5万多少钱，
[06:56.310] 这个就针对。
[06:57.390] 对于就是说比如说咱现在你看上边写的比较清楚，交1490万。
[07:02.560] 一年得有基础在15天。
[07:04.480] 每次赔偿2000两年，一年可以赔偿你两次就。
[07:07.780] 这个钱是不是赔现金还是培训费吗？不是用现金打银行卡里。
[07:12.920] 这点就是您给留一卡号，它到时候往卡里给你打钱，先交给
[07:18.220] 然后到时候15天以后您正常过来，你说我要修一下，比如说好比说咱前保险杠那块叫7了，
[07:25.310] 我喷一下前杠的分期，
[07:27.150] 你正常定损出险，然后修完车他得给你往里打钱，
[07:31.440] 给他留张卡就行。
[07:33.590] 他跟保险的区别。
[07:36.620] 这有区别吗？因为您正常出了保险对吧？除了保险，那么保险公司肯定会在明年的
[07:43.680] 续险的时候给您挣钱。
[07:46.240] 当然这个就相当于把这钱给了您一部分，
[07:50.050] 然后其实咱们说白了，他长这个钱咱有人给咱出了，但是咱就和最后咱们把车修了。
[07:57.310] 却对，因为之前没有这个东西，如果说咱想修的情况下，咱出了保险，那不就
[08:02.800] 等于那钱咱都掏了，由于这样里外里头能给咱省一笔。
[08:07.500] 您能明白这事，因为他毕竟给的是您现金，并不是说给您一个什么维修基金，让您以后来保养什么呢？
[08:15.490] 它是人民币2500块钱，
[08:18.090] 是我听了几年了，但是宝贝怎么这么快了，没有增加。
[08:22.140] 不是增加了，但是增加以后他给的您的钱您可以就相当于对吧？相当于你给我涨了1000，你甭你给我涨800，你给了我1000，我再我等于我自己没亏那么多，
[08:33.340] 或者说你给我涨1000，你给我1000，等于我老姨把车修好了，我还是没多出这钱，
[08:38.820] 是这意思。
[08:40.390] 但是需要等待一个15天以后才可以帮你修车，
[08:45.250] 所以说越早上越合适。
[08:54.490] 先帮您问一下咱们叫K变成由金能取。
[09:01.700] 实在去不了就明天。
[09:04.280] 就明天了是吧？
[09:08.790] 好勒，我跟候说一下，明天大概中午能回吗？
[09:13.830] 差不多是吧？行行。
[09:17.520] 大概得明天。
[09:19.660] 中午不是取。
[09:20.540] 车取车明天
[09:21.870] 过去。
[09:24.500] 最快差不多完活应该明天中午能交车就是打电话，到时候给你打电话。
[09:30.470] 到时候你等我电话再过来就行，这不用着急。
[09:35.910] 打车能还跟之前一样，
[09:39.060] 拿出租车的发票过来可以报30块钱。
[09:42.590] 对，还是跟之前一样。
[09:44.440] 就到时候你拿几个31一个，
[09:49.920] 就算最多就30万，
[09:52.200] 你就甭管往返多少钱，他因为公司就给我报30块钱，
[09:56.900] 所以我也没办法，我只能给您报30块钱。
[10:01.240] 我这边现在给您列一个报价单，然后餐卷的话您现在可以先拿手机操作的。
[10:11.450] 需要您这边先是微信搜索一个叫做百得利集团的公众号，
[10:31.220] 是不是北京百得利之星奔驰了，叫百得利集团了，
[10:36.450] 因为公众号已经被废除了，
[10:39.740] 了
[10:43.490] 的。
[10:45.560] 的。
[10:46.870] 您点一下我看看是吗？我是给这我都点了我做就行了。
[10:53.190] 了，然后上边有一个请您登陆，应该是
[10:55.860] 需要您这边再手动登录一下。
[11:05.730] 对，就点登陆就头像那个位置点击它，然后输一下手机号就行。
[11:12.870] 点书架手机号就能登陆上了。
[11:15.300] 登录好了您告诉我，然后我就把这个餐券直接发到您手机上了。
[11:29.400] 咱们的数据
[11:41.630] 了。
[11:42.370] 要。
[11:45.350] 可以了，好没问题，我把三卷直接发到您手机上，
[11:49.160] 中午吃午餐的时候您就直接带手机过去就行。
[11:52.560] 他别人的地方对还在上保险。
[11:56.070] 您刚才注册手机号就是我打的那个电话是吧？
[12:00.710] 停车明天再去是吧？停车证明天取车的时候我帮您弄好，这个您不用担心，明天到时候完事了，取车交费直接走就行
[12:09.440] 了，今天是您一位过来的是吗？
[12:12.300] 我发放过去了，然后您把它往下拉，就是往下滑一下，让他刷新一下。
[12:16.820] 钱不是往下
[12:20.080] 网下餐券那是不是多了一
[12:25.640] 对，没错。
[12:27.500] 扫描那个二维码就可以了。
[12:29.390] 您到时候后边吃午饭的时候，
[12:34.240] 给她扫一下那码就行。
[12:38.180] 的。
[12:39.680] 1:30对11:30。
[12:45.210] 提起完了，后边11:30~1:30，基本上我是接待完了就差不多了这时间。
[12:51.650] 数据。
[12:53.990] 二
[12:56.400] 二
[12:58.580] 要
[13:01.800] 一
[13:04.080] 相当于
[13:09.180] 每年赔两次，总共就5000块钱现金，但实际上你每次修车的钱就不用出车的时候，本来咱们也不花钱，因为保险公司给咱掏钱修车吗，不然上保险没意义，就是
[13:21.420] 上保险的时候只是说对增加的这这笔钱可能有人给您把这抹了，咱最后把车修了。
[13:28.450] 并不是说像之前如果没这保险，您想修车那就真是咱自己亏，因为明年又给咱涨钱了，
[13:35.680] 这样的话等于咱们没亏那么多，你合适而不是说不合适的一个项目。
[13:42.010] 按照比较不错，这其实就是鼓励您销售证保险公司的钱，因为正保险公司比因为毕竟修车您不会自己花钱，甭管您自费。
[13:52.650] 第4000。
[13:53.470] 你肯定不会自己花钱喷。
[13:55.450] 您交保险对吧？您不走保险了，OK，反正保险公司了，你不走保险你每年也得给我交保险。
[14:01.910] 完了
[14:02.640] 你分期多少钱，我7的话
[14:07.680] 修期你走你正常报您的保险他不花钱，
[14:11.640] 您明年涨也不可能涨4000块钱出去了，
[14:14.990] 对吧？您保险一共才能上个多少钱？六六七千块钱。
[14:19.830] 钱是吧？6000块钱，您不能说一块钱，我这一话一个奔走万七，我上4000块钱保险。
[14:25.550] 我觉得不可能。
[14:31.910] 还等15天，因为就跟所有基本上这种保险类的东西，它都需要有一个等待期。
[14:40.450] 我觉得
[14:41.000] 因为他要过一个审完生活，然后再来听您就到时候正常开着车过来修就行了。
[14:49.160] 他给我出一次险，对您就得正常出自己的保险，因为上这个险并不是为了给您修车用道儿，上这个险是为了让您出险，修车能给您找能给您实惠吗？
[15:00.420] 是这意思，并不是说这个钱管给您修车就冲突了，划痕险车损眼以后我就出去。
[15:07.110] 好。
[15:08.740] 这个。
[15:09.860] 只是说没这个险，您之前show这就等于自己亏，有这个险有人给您找着钱。
[15:17.160] 你们选这张
[15:20.180] 疫情期间不好干，
[15:23.130] 挣点保险公司的钱，谁知
[15:25.680] 证券保险公司的钱，因为我要让您掏钱修，您肯定咱姑了。
[15:30.250] 谁都不乐意。
[15:31.380] 我交保险什么都不用，
[15:34.680] 不交这钱，
[15:36.180] 对不对？
[15:37.080] 保险是什么保的，后续的想这种保障，
[15:41.600] 谁知形势所迫，
[15:47.310] 前去年他们说今年上个月新搞的，而且售价已降1500块钱，对于咱们奔驰车来说真不错。
[15:55.710] 你随便哪个险他1500以上，
[15:59.130] 您说大显什么划痕，车损三者5个，险部在1500以上，
[16:04.610] 这显关键就相当于您可以把它理解成我存的1500过来修车，你给我返钱，
[16:11.630] 就这个意思，当然前提当然是一您想修到咱车上边有修的地方才合适。
[16:19.790] 4881帮我包一下皮带后划清，
[16:26.280] 三个变成油，
[16:31.280] 等会一下大脑4881。
[16:33.340] 对，然后还有化心系。
[16:40.410] 对。
[16:42.390] 所以说这个因为为什么我说有一个15天等待期，所以早办早完事。
[16:51.510] 早办早结束，慢慢就
[16:53.660] 就多等会儿。
[16:59.490] 别的一块，因为现在换句话说，您那车还得看看有没有划痕险，因为划痕险是修喷漆，
[17:11.610] 可以就是说一块修
[17:15.480] 车损险，
[17:17.190] 是要求必须有贯通伤才能一块。
[17:20.770] 简单举个例子，如果有房安险，我的前杠和后杠同时受损，那么点可以同时修，
[17:27.550] 不可以。
[17:29.040] 因为车辆本身的功能相不相同，又装很好高高风险。
[17:32.730] 谁知
[17:36.080] 而且如果你一旦这么报案，她会跟你要现场照片，
[17:39.490] 为什么你会出现这种状况？
[17:41.380] 他也需要申请照片，你行险直接过来修一下，划痕险，就是专门修车辆划伤的。
[17:47.270] 车损险说白了其实就是为了修一些
[17:51.160] 大大。
[17:52.010] 商比如说状。
[17:54.320] 门道都凹了这些是不是？
[17:55.790] 要按照我们的谁知俺公司就得上5年左右，
[18:03.010] 一般就给5年，您到第6年第7年我想上办公司也不给您上，因为他就不给您上了。
[18:09.530] 谁知
[18:13.550] 或部分不是说针对咱们所有人都这样，
[18:16.680] 所以说当有一些小的剐蹭的时候，我想修怎么办？比如说6年7年的车，我想。
[18:22.920] 午休怎么办？那就只能走这个车损了。
[18:25.320] 只能。
[18:26.470] 走那个车水了，也不是说就show没有还钱，我就休不了，外观划伤了，这个不会。
[18:31.730] 车损险也可以修划伤，
[18:33.620] 因为外观有伤，也算是车辆的一种损伤，比如说车损，简单来讲。
[18:41.250] 反正我也不。
[18:43.100] 特别保险那一块，基本上我们家车啥怎么弄，
[18:46.950] 大概跟您说说。
[18:50.650] 所以说不会说
[18:52.960] 反正要搁我来说不吃亏的一个东西。
[18:57.650] 我一般也分车，如果说这客户这车来了，连连伤都没有，我绝对不会跟您
[19:03.710] 因为我不可能说让您先存着1500块钱，你说一年有效期就跟撞大运似的，那都就别赌这事儿。
[19:11.140] 虽然有一年的时间咱别赌，
[19:13.810] 你这一年我真没事，那我
[19:17.130] 钱脉中就实话实说钱买证，但是如果说go这车上班野生没您
[19:22.560] 就是说对您得过来修才赔，您说我刚把钱交这了，最后我等着咱不是办基金，
[19:30.420] 咱不是跟银行是办理基金，我存个1500，你给我到时候给我年底给我返5000，那不是。
[19:36.000] 您得来修，你得让我们挣这房子热钱了，我们才能痛快等于那钱知道吗？
[19:42.300] 要解决好。
[19:43.020] 对，不是说您跟我这存个1500，完了年底我给您分红，分个5000块钱不行，那不现实。
[19:51.180] 那个号了，稍等他给报个价，因为有一个化经济化面汤又必须的，但是我这带不出来，他给报进去，然后我给您列一单子，然后大概根据社会项目，因为
[20:01.540] 就这么跟您说4600万公里就是咱们俗称大保养，
[20:05.970] 就大保养，
[20:07.500] 所有车都会有这么一个周期，
[20:10.050] 基本上奔驰车每4年6万公里需要做一个全面的养护，
[20:14.500] 就不像您什么1万2万3万4万，那会什么A保B保
[20:20.450] 比那项目要多，但是
[20:23.400] 基本6万亿循环，
[20:24.990] 或者4年一循环不
[20:26.510] 不到一年这不是55,000，但时间15年到今年5年了，
[20:32.430] 时间超了，所以说公里数也差不太多了，差个四五千公里了就
[20:38.430] 就到6万公里了。
[20:40.400] 这个没办法，所有车都一样，
[20:43.750] 奔驰所有车都养了4600公里左右到位。
[20:47.220] NASA极S极还是什么的都一样，都是4年6万4年货。
[20:52.240] 恶6万对，然后大房子对换句话说就跟您今儿过来做保养是的，您其实车才跑了几千公里，没到1万公里了，但是时间到了
[21:01.750] 一年了都。
[21:03.590] 对吧？一年了他上
[21:05.840] 了就提示该让您做保养了，
[21:08.650] 因为它那个表是以365天和1万公里往下做，倒计时，就跟漏斗一样往下倒记得。
[21:16.710] 哪个先到按你来。
[21:18.670] 不断。
[21:20.180] 所以说。
[21:20.940] 有的。
[21:21.710] 故事从车开的时候，一年我才跑个1000公里，有的时候比如跑多，我俩月我跑1万公里，
[21:27.950] 我就得先放起来了。
[21:32.240] 这个就看实际咱们怎么开了。
[21:36.650] 稍微等一下还没报完。
[21:41.850] 报完了我这。
[21:43.500] 看点
[21:48.510] 的跳水。
[22:00.870] 一。
[22:09.560] 第一次险的话保费会增加多少钱？
[22:14.420] 它是按折扣率都往上涨。
[22:17.330] 都按折扣率。
[22:18.890] 比如说第一次，比如我一年不出险，8周2000不是7折3500减6条，因为这是保险公司给客户的一个
[22:28.550] 不让你出险的一个手段。
[22:30.670] 你别用我修车，我给你明天我给你便宜点，
[22:33.720] 但是你用我修车我就给你跪下，当然一般来说出一次险
[22:38.940] 不会有太大的涨幅，
[22:41.160] 也就是1000块钱一里拿不太多，1000块钱涨1000块钱。
[22:45.950] 对，也就顶别天涨1000块钱，然后出两次险
[22:50.030] 就得涨到2000块钱，等于说这个险基本上
[22:54.420] 石老师说可能您并不能靠这个东西挣到多少钱，但是确实不亏钱。
[23:00.110] 确实咱们不用死亏那些钱了，因为不然。
[23:03.300] 以前就怎么里外里都是您自己。
[23:06.690] 咱只是不亏那么多钱了。
[23:08.860] 换句话说。
[23:11.360] 能把客户亏损这方面给
[23:15.350] 给赵平了一下，
[23:17.050] 找个平衡。
[23:19.040] 不让您亏损。
[23:22.150] 太多。
[23:24.820] 行，我这边把套餐重新再编辑一下，然后给您列。
[23:30.400] 一个单子，然后咱们详细给您报。
[23:32.900] 报个价。
[23:35.160] 就可以了
[23:41.720] 这车平时都是您开吗？
[23:43.420] 基本上看基本都是您在开是吧？所以车况方面肯定
[23:48.440] 都特别好。
[23:49.710] 一般
[23:51.840] 一般GLK这款车也。
[23:55.080] 也行。
[23:56.090] 虽然没怎么出险，就有一次。
[23:59.080] 出过一次。
[24:00.740] 的你们应该记录有印象中有看到过出险记录。
[24:06.450] 次。
[24:07.480] 的
[24:13.320] 没什么问题，就是我的责任有一次，另外别人责任
[24:19.410] 正好后边还有一小行字，不知道您刚才瞅没瞅，
[24:23.820] 现在上最好不是您的责任。
[24:27.100] 来修车的。
[24:29.000] 责任，对，不是我说最好，不是您的责任来修车。
[24:32.240] 也拿着这架子，
[24:33.990] 只要就是归根结底一句话，您来这修就行。
[24:37.410] 比如说不用出您自己的保险，然后交警一判后车选择，然后你就拉着他来把它利修车来，
[24:45.620] 你就来百利我就去把那修车，完了我也可以获得赔偿款。
[24:50.010] 不是我的责任就行，对，甭管出谁保险，只要出保险我们就能挣保险公司电话，
[24:55.140] 爱谁的责任谁的责任我不管，对
[24:59.550] 别的别人的别人全责那就了，您就自己过来修车又。
[25:05.070] 对，然后我还痛快把车给您修了，完了我还把钱给您。
[25:09.500] 不是，我通关就把车给您修了，完这2500您还拿着，
[25:14.260] 然后咱们明年还不涨保费。
[25:18.500] 的。
[25:23.840] 所以说这个险其实我。
[25:27.540] 是我觉得他弄完了以后还真挺
[25:30.320] 停留一下停留两下子。
[25:37.310] 反正能给客户实惠就行，因为要真是不实惠就没意义。
[25:44.650] 这东西。
[25:50.180] 谁知。
[25:53.760] 来一点儿，行，好，您看看咱这报价。
[25:59.160] 要跟您说一下，
[26:00.850] 又想咱先在聊正事。
