[00:00.000] 呃怎么称呼您先生？
[00:02.190] 心理唉您好，我是本店的销售顾问，我姓陈陈景，这是我名片，您是想看一下叉c90是吧？
[00:08.010] 呃具体配置什么您了解过吗？还是第一次看车？
[00:10.680] 呀
[00:11.440] 之一。
[00:12.680] Ce那个版本是吧，t6的那个版本是吧？
[00:15.600] 行啊对了，现在我们这边水、果汁、茶饮料、小点心什么都有，你看需要喝点什么？
[00:21.600] 行，那咱先看一下车。
[00:24.990] 呃颜色的话这车一般就是黑的跟白的，
[00:29.700] 一般就是黑的跟白的。
[00:34.630] 是没有电了吗？
[00:41.400] 然后嗯嗯
[00:44.880] 一般就是黑的跟白的嘛这车好像黑色多一点。
[00:48.590] 然后30天上北京拍照是吧？老师有车辆车票，
[00:52.080] 这个鼠标2+1。
[00:53.170] 嗯10万您听话是吧？咱什么车型计划呀72818是吧？每年两。
[00:58.890] 一期的。
[00:59.840] 呃大概跑了有多少公里？
[01:04.230] 21,000多吧噢2万多年，你想换换个车了，就是我那个我可以换也可以不换。
[01:10.320] 因为我觉得现在换的话感觉还是
[01:12.870] 啊亏你知道吗？
[01:15.370] 行，那大概那个这车主要是上下班开的多一些是吧？
[01:20.320] 其实之前我买那个这样的话主要想着公司用，然后先对，但是现在
[01:25.660] 公司转型了我觉得。
[01:27.450] 那么就是说那个站起来要核实的话，就把另一个概念，然后通过
[01:32.050] 了解了解噢那您那个新车的话，主要也是您开是吧？
[01:37.230] 呃也是上下班多一点。
[01:39.440] 给他公司用车还是说
[01:41.430] 一半吧一半一半都了解，那大概的一个购车时间，您要考虑到什么时候？
[01:46.480] 啊
[01:47.240] 我再看看各个方面，如果合适的话，我就想进去近期。
[01:51.050] 哈
[01:51.150] 行，大概的一个购车预算呢可能是在。
[01:54.560] 65 70之间，吧65~70之间是吧？
[01:58.080] 行差不多。
[01:59.920] 噢那那个您平常的话兴趣爱好就是出去自驾游会更多一些是吧？
[02:05.240] 嗯都这么多，就是平常还是市里开多，哈市里一般的可能周末就
[02:11.120] 了解了，啊你像沃尔沃的车型的话，做的比较好的就是安全环保这方面。
[02:16.170] 嗯像安全的话，沃尔沃全系标配一个停车系统，可以给您实现一个自动刹车，
[02:21.610] 可以识别人，
[02:22.690] 车不行，车你不带不动，你直接不用下车。
[02:26.200] 另外在环保的话就说经费的它的一个供应是新的，用的都是特殊的大的消费。
[02:33.080] 嗯然后您有对比说其他政策包括品牌啊什么的，
[02:38.360] 啊
[02:39.960] 嗯
[02:41.500] 他们那里都没有。
[02:43.150] 行，呃看到那个就签。
[02:46.240] 啊交易都会。
[02:53.000] 行，你主要那个7顿算是刚需吗？同学们来讲。
[02:57.030] 主要是有的时候，
[02:58.730] 可能有时候公司客户或者是有的时候
[03:01.930] 比较能处理，应该是能合作的能处理。
[03:07.680] 嗯
[03:09.290] 行了解了解。
[03:12.350] 因为他这样
[03:14.250] 哪一块属于
[03:16.160] 就小黄沟是吧？
[03:17.860] 嗯直接挂钩，吗对，重点是网上投的就挂钩。
[03:22.890] 我这看着看着我就看着他就是小包那个路上
[03:28.640] 嗯
[03:30.110] 您可以做一个感受一下，就是说刚才在这等你
[03:34.210] 嗯
[03:36.320] 就是那种，然后咱家那边有私家车，
[03:39.060] 但是今年现行如果那个
[03:41.930] 那也下次我做咱园区也可以再去试一下，反射一下就行了。
[03:46.510] 嗯
[03:47.220] 我觉得这个人可能没办法拍进去了。
[03:49.750] 我们感觉怎么样？
[03:51.350] 他就百100公里，不能市里的话可能得碰着差不多11 12。嗯
[03:57.510] 对39995号。
[04:02.650] 这个这个东西要注意了。
[04:04.310] 不是，这也是治牙就是给他包了一个配的那块。
[04:07.480] 这款是卖下来价格的话在70万左右。
[04:10.320] 他比刚才那个您说的那个智力还多了，广告里面一箱，
[04:14.640] 然后啤酒包裹中控台，然后还有点事嗯那好这里
[04:20.850] 然后做一匹拖360度全景影像，
[04:24.180] 然后变道辅助，还有一个
[04:26.850] 说句实话，您看这个
[04:29.530] 小时候呢
[04:31.260] 这个承办下来也就在60左右，这个承办下来大概在70左右。
[04:36.910] 感感谢。
[04:39.240] 你用的时候不是很大，
[04:40.860] 就是看你的画你觉得有没有道理。
[04:43.120] 你像宝华里面的一个音箱，
[04:45.150] 嗯
[04:47.530] 如本的话那个资料我觉得是用的一种支持。
[04:51.560] 对，啊我觉得一个信号就是什么呢？
[04:53.920] 我觉得这事儿清单时间会很紧，
[04:57.490] 这个反正你们都会弄。
[05:00.290] 嗯
[05:01.120] 这个后期保养的话，
