[00:00.190] 7月14皇子其客户评估接待员
[00:05.160] 你好，平牧师陆王，这是我名片。
[00:52.590] 您好。
[00:55.650] 我是
[00:59.290] 您好，我是百得利奔驰的，您好。
[01:03.590] 你好，我是这边是吗？
[01:06.120] 咱们。
[01:07.000] 刚刚说明天过来。
[01:09.330] 我听说
[01:11.420] 然后一个称交换那边的。
[01:22.840] 你们是卖茶。
[01:29.190] 学霸他脑子。
[01:40.440] 反正。
[01:41.200] 我衷心的说，如果说您别这边价格有问题的大白，
[01:44.770] 谁知通过
[01:54.690] 行不行？我说那天你们。
[01:56.210] 岸哥哥没有好吧？
[01:57.730] 好了。
[01:58.560] 好，那这么着好我就没
[02:01.810] 对。
[02:03.040] 好勒好先这样，好再见。
[03:01.760] 我打
[03:02.560] 我说了你们后面的钱我在哪，谁知。
[03:19.070] 度假大伙交流。
[03:21.760] 好了，那这么着。
[03:48.450] 您好，出示一下您车的行驶本车钥匙。
[03:52.170] 您车里没有贵重物品的。
[03:55.450] 这边跟您介绍一下咱这边的评估流程，咱这边会有一个静态评估和动态评估。
[04:01.270] 今天先给您做一个静态评估，时间大概20分钟左右，
[04:06.260] 到时候给您一个报价，
[04:08.100] 咱这个报价三个工作日有效，
[04:11.000] 到时候如果说您觉得价格合适过来交车的时候，
[04:14.460] 咱这边核对您车子进行试驾，
[04:17.880] 您看北京市进行试驾的时候都有什么需要注意的吗？
[04:23.490] 有个问题跟您验证一下，您的车维修保养都在4S店做的。
[04:48.750] 大楼没人。
[04:55.870] 2010年。
[04:57.870] 好厉害。
[05:28.800] 谁知
[05:47.800] 对。
[05:49.040] 记得说了吗？
[05:52.000] 打乱。
[05:55.230] 应该还是做什么？
[05:56.410] 你要是您
[05:58.020] 你要是不回去，你要是不开你不开的那个地方了，可能
[06:11.130] 到底给他24。
[06:14.380] 谁知
[06:16.520] 是吧？
[06:17.930] 经常看到有人加是吧？
[06:24.630] 你给他22找出
[06:26.480] 1:18，他想卖20左右的是吧？给他22分钟我想还是
[06:43.190] 完了。
[06:44.230] 对，不是生活。
[06:46.730] 你搁脚什么？
[07:01.170] 听清了。
[07:05.510] 只要记住了吗？
[07:08.440] 你说是了。
[07:14.050] 你要
[07:15.290] 我没有我就问问关心一下。
[07:20.210] 意思还在。
[07:23.160] 不说话，我说话我老给你添一炮，不用车，
[07:26.580] 万一就走了都录歌。
[07:29.120] 你告诉
[07:31.080] 撞着大车一块两车两边全收了吗？这是这没事不着急。
[07:37.140] 要到下周。
[08:37.190] 了
[13:54.360] 我着车了。
[14:04.040] 积累
[14:14.430] 谢谢。
[14:18.990] 差不多。
[14:21.230] 两分钟时间。
[14:25.100] 好了，这样
[14:44.030] 黄主席客户评估接待完毕。
