[00:00.160] 接触
[00:02.000] 场
[00:03.440] 周五。
[00:12.800] 走看一下您车去吧。
[00:25.720] 那边对面的。
[00:28.000] 那边是吗？
[00:29.330] 对，这里房间您把车开这边来，您在那边没往那边。
[00:35.200] 这在开着晚上也行。
[00:40.960] 严重吗？
[00:42.200] 还凑合，感觉反正也就底气都漏了，该客气的。
[00:48.120] 但是没有什么太大变形，应该往期，
[00:52.970] 但咱们这周五差不多就能记住，今天周三周四周五35，我看一下损失不行，因为主要我可能也是周五下午再过来，下班点过来行，差不多这个斑点待会
[01:05.620] 待会那什么待会
[01:07.500] 不行在家给您送过去，我们5:30就下班了，待会在家里面送过去，要不行先看看时间没问题，到时咱们电话沟通也行，我他自己过来也行，您待会看一下。
[01:31.280] 这车挺宽的，凯迪拉克。
[01:33.410] 喝上干净三级。
[01:36.270] 可是小区载的都特别不好，倒车了，
[01:41.030] 经常看飞机，7月也是西郊这边有个机场城市，
[01:45.820] 这还是国家领导人的机场那边是吧？这边没有不对外开放的对不对？咱们市政府
[01:52.070] 机关没有
[02:03.910] 后来
[02:25.080] 那边出去
[02:26.510] 了。
[02:28.950] 从那边出去，
[02:31.190] 这边出不去，从那边出去。
[02:33.280] 对您修车您随便停一点，你要不我看错车牌号了，不好意思。
[02:43.870] 其实这里边就行。
[02:52.240] 是336。
[02:54.050] 不在这边。
[02:55.080] 买的。
[03:19.630] 两天开始热了。
[03:21.480] 这太快了，就前几天挺舒服，对，前两天下点雨。
[03:26.350] 平面不。
[03:28.250] 对，然后凭这一点你可以开进来开庭，这不是这个。
[03:46.260] 就是这一片。
[03:47.340] 这个就算了。
[03:48.630] 就算。
[03:52.950] 因为整天分数的分子他可能需要饭店
[03:56.000] 说着先让带我报价给您看一下。
[04:15.200] 当时报价。
[04:28.520] 说来这修过吗？
[04:29.920] 没来过。
[04:52.590] 报价已经开门查。
[05:10.690] 又错了。
[05:25.870] 在会议室1660
[05:27.600] 6。
[05:58.200] 让你给我那个钥匙，
[06:00.320] 把车里边贵重东西拿走没有？
[07:35.280] 怎么是全责还是无责？
[07:38.000] 我是要无责这样的，他撞的它装到您。
[08:57.270] 走先生去里边。
[08:58.800] 还有
[09:47.690] 先生拿一下您的身份证。
[09:49.710] 身份证我可能没带。
[09:50.950] 驾驶证带着就行。
[09:52.540] 20正带着吗？驾驶证对我对一下您的信息。
[09:58.490] 数据、
[10:11.640] 慢点别着急，把拉锁拉上那里，东西别掉了。
[10:17.590] 假。
[10:30.400] 往前坐。
[10:31.600] 没事。
[10:52.400] 说您电话。
[10:53.940] 1370108011。
[10:58.360] 13701085811是吧？
[11:02.970] 108是吧？
[11:04.780] 对，137010858111101061081960
[11:10.580] 011。
[11:14.160] 行，您收一下说好了。
[11:22.160] 咱们杠目前看这是在
[11:25.600] 修复于幻的空间，就是说让车间师傅给判定一下，然后我们报价给保险公司。
[11:31.980] 如果说要是修复的话，就是说三四天就能修能修好，
[11:37.340] 如果说要是更换的话，时间有可能会长一点，就是说到时候具体的我再给您回电话好吧？
[11:47.110] 行业，
[12:11.950] 比如说换他得等。
[12:18.600] 来，您帮我签个字。
[12:20.280] 好的好吗？
[13:21.530] 最新的先生给您，这是一张取得单。
[13:24.220] 这是我电话，有什么事您给我打电话就行了，然后车身有点脏，外观的上课也给您拍了一下，其他没什么事。
[13:30.330] 好的，对，然后后续的定损完了他给你回电话好吧？行，您慢点手续又办完了，如果到时取出了不方便来，我给您代驾送过去也行，店里面付费的好吧？行您慢点。
