[00:01.660] 您车号京qs3，P63T5，
[00:07.440] 就出现全场的第一排。
[00:11.760] 然后收电费，原先等我电话。
[00:15.960] 行，我想这里面也少不了。
[00:18.420] 您的行驶本驾照我用一下。
[00:20.550] 在你那直接把在车上去，没事我出设计一下。
[00:25.940] 你驾照或身份证我用一下。
[00:28.440] 行。
[00:30.520] 那个朋友就直接答我的电话，你推荐给我们拍的，行明白好勒。
[00:35.050] 好，刚才我看登记的。
[00:36.840] 咱俩
[00:37.880] 3点。
[00:39.060] 对最近打电话全打的，没事我就给改改了，但是这几年我都应该。
[00:44.590] 基本都来了好多次，应该不知道该没赶过来明白。
[00:48.480] 可能
[01:01.240] 数据
[01:02.890] 三
[01:06.350] 五
[01:42.100] 数据
[01:48.760] 场、
[01:53.350] 五
[01:59.420] 万。
[02:05.170] 133150
[02:09.240] 007。
[02:10.790] 数据。
[02:13.680] 你坏数据
[02:32.500] 一
[02:37.200] 数据
[02:39.830] 场。
[02:47.130] 不知道
[02:50.040] 应该不休。
[02:53.010] 开了没事正好给您洗车了。
[02:58.680] 这次是保养，还有一个召回，这时间长您的车给放着几天
[03:05.310] 的？
[03:07.270] 上次
[03:10.520] 这次还预存着一个基础A保养换机油机滤，这次不用您花钱，
[03:16.230] 其他的您车用着有什么问题没有？
[03:18.990] 也没什么都正常，上头有增量商机，黄灯不上朝没啥事，我看开什么洞察完了，有的时候我觉得挺逗的，
[03:31.170] 一直都
[03:33.020] 有一次我远远这两三回就是去门头沟山里捡完了去趟家得回来两三天就不再亮了。
[03:42.750] 有可能是哪个传感器，我不知道我们这儿给您检查过没有，当时好像是说调网速空气流量计是这个吧？
[03:54.580] 其实它是侧进气量的，他跟这有可能关系不大，为什么基本没什么影响，所以我也没着急已经换掉了，
[04:02.290] 但是他跟验车有关系，我不知道您这车验
[04:08.260] 在去年的时候验收已经这样了，也过也过去了，反正花点钱可能好你好。
[04:14.780] 现在可能花钱有可能他当时给您消了，消了又咽得
[04:21.050] 上次保养是19年的8月份。
[04:25.170] 您这车验车是几月份？9月份9月份是吧？又快该验车了。
[04:30.910] 咱到时候您看，现在是他测一个obd，到时您看换传感器是几千，反正
[04:38.470] 也得5000多块钱。
[04:41.230] 空气流量器就连工带料都5000多块钱，
[04:44.540] 如果要是样实在是咽不过可能就得换了，当然行。
[04:51.050] 上次是做了一个B换的机油机滤空气滤芯，
[04:57.810] 再之前是18年9月份正好
[05:02.200] 保养是坐在A宝是什么？
[05:05.980] 变速箱油和火花塞都换过了，是17年8月份的，对都换过了。
[05:11.220] 这次是做A保您空调滤芯，还有一刹车油，
[05:16.230] 等我给您看着车。
[05:18.250] 其他的我再给您看一下，使用上等于现在就是一个故障灯是吗？
[05:22.970] 小珍。
[05:26.360] 过去看一看人家车间看看，
[05:31.390] 看看。
[05:33.480] 我6月10已经到了没
[05:38.430] 就一直停了，对。
[05:40.220] 其实我有什么问题，
[05:43.100] 再看看那个孩子
[05:58.690] 把钥匙给我。
[06:00.920] 反正我上午有两个月开我买。
[06:03.470] 您就这会能一点就着，也没什么。
