[00:01.080] 7月16号上午11:30接待
[00:04.060] 朋友推荐的客户过来试驾一下S
[00:16.630] 郑先生吗？
[00:18.160] 你好，让您久等了，没事，您吃饭了吗？没了需要在那吃饭吗？
[00:24.050] 你是先接待，后来没到介绍了，先试一下可以了，我
[00:29.890] 驾照里边。
[00:31.080] 但是我现在站着13年。
[00:33.550] 原来买开放在附近翻车是吧？对，其实我们家门口就有个奔驰，我觉得服务不是特别好过来。
[00:41.260] 好，您稍等一下，我给您登记一下，需要三五分钟，好先喝点水。
[00:47.640] 你不用管了，你们就登录就好了，你等于说你卖了自然
[00:54.000] 你说我觉得你就按平时的内容了，能谈多少钱多少，完了以后最后再补充百分之。
[01:02.610] 谁知
[01:06.900] 比如磨灭的干什么呢？
[01:11.550] 都是客户，我跟他说我说了，
[01:30.130] 二
[01:31.850] 一
[01:34.820] 水
[01:41.690] 花
[01:43.040] 的
[01:44.310] 的
[01:48.140] 了
[01:48.920] 号。
[01:57.760] 3A
[02:00.440] 罗安排好了吗？没安排好了，但是还没弄完是吧？可以楼上休息，可以在这吃饭在吃饭吗？
[02:07.990] 不要把它12点就结束了，知道我们下午3:00再来找你。
[02:12.340] 3点是因为手机回来，您要不方便你回去等着我给你邮寄回去，就别在这等了。
[02:19.780] 他三年以后他手续回来，你车不12点出来，你就先回家去，你给我发个地址，我回头一我就行了，那也行，你看到一个快丢了，
[02:29.180] 怎么可能掉了，我就担心你不得等三小时没白等，我等三小时我们弄完就回家，回家以后你下午等来了以后给打个电话，他说老师又过来了十几分钟，
[02:41.770] 我这都是前天录，我心怀没问题，手机到了我给你打电话让他反抗一些可以没问题，用这个时候扫码组织扫码，因为咱们这手机拍车，扫雷马体现的是一个无牌的一个查看无牌车辆去尼玛给我了。
[02:58.920] 那就行，好您休息祝阿姨。
[03:04.560] 二。
[03:05.810] 因为休息对您说您的手机号133113910810821366。
[03:13.940] 7月2
[03:15.800] 或者2
[03:17.790] 晚上。
[03:21.810] 咱们是这样的，是S320它的长宽高都是一样的，
[03:26.470] 20是低配是以往的dk，但是它的一个价值感跟现在比他稍微的在三里，现在是350了，像老车是吧？对它的一个大小都是一样的，
[03:39.090] 您能似的对
[03:42.440] 动力的话是比新款的比这个车还要好。
[03:48.640] 价值感动力会比较好，对，然后它内饰他的视觉都是操控感都是一样的。
[03:55.820] 上次跟我说整个办下来好吧，10多号。
[03:59.020] 80
[03:59.760] 80多万办不下来，就是算了购车税什么的也算90万，就是83350是吧？对，350指导价是85万多的，不是优惠有
[04:10.500] 五六万块钱。
[04:11.740] 对，约会有五六万的话，你还加上购置税，还加上保险也差不多是吗？
[04:16.870] 我们不强制你需要做你就可以做就可以。
[04:25.320] 7月6日
[04:27.610] 的
[04:33.160] 稍等一下，还有一个
[04:35.700] 号。
[04:48.790] 卡，
[04:52.310] 卡手册，
[04:58.330] 的，
[05:02.560] 他就真闲着，我们是少了。
[05:07.480] 这不有350的是这样吗？
[05:11.320] 350今天献血对不对？还是陷阱见证了都是吗？
[05:15.910] 这都是。
[05:17.680] 是新卡的350这个吗？对。
[05:20.070] 三个人不都给二哥吗？谁更有320黑？
[05:24.500] 我还按照30元刚进来的。
[05:40.560] 说
[05:41.760] 现在了。
[05:43.190] 350有本吗现在？
[05:55.600] 我还以为还是
[06:03.430] 的
[06:05.310] 的
[06:35.350] S350
[06:40.670] 二
[06:44.130] 二
[06:45.590] 的。
[07:09.310] 书都没人理我。
[07:12.920] 你们阳他接着了。
[07:15.630] 不是，我也不管不说面临残废的，
[07:21.840] 这是初次
