[00:00.600] 数据、
[00:03.650] 远。
[00:09.160] 场
[00:14.890] 的
[00:15.950] 的
[00:20.250] 远。
[00:26.160] 场
[00:33.630] 你好。
[00:35.150] 谁知店的
[00:41.000] 看到您之前在本店购买过一辆沃尔沃的车辆，然后想给咱们这边做一个用车的沟通，大概耽误您两分钟的时间，您看方便吗？
[00:50.810] 快点，是这样的，就想问一下咱们这边现在车辆使用情况怎么样了？
[00:56.870] 今天这么一停睡得特别少，
[01:00.400] 也不能
[01:01.880] 车辆使用就是使用上没什么问题对吧？
[01:05.290] 用着没什么问题，现在有时候
[01:09.600] 现在有一个问题，
[01:12.730] 安全主动安全，
[01:15.430] 有时候到时候后边什么都没有，他咯噔一下就给杀了。
[01:20.480] 我下去我看我那个石子都没有，他就得
[01:24.210] 我了。
[01:25.320] 咱们这车的话，您之前有收到过有一个召回的问题吗？就是自动
[01:32.560] 进口回说是主动安全升级，没说是召回。
[01:38.090] 他那个的话您有做过那个升级吗？
[01:41.950] 没有了。
[01:43.400] 咱们车辆的话我看属不属于范围之内的，
[01:48.980] 因为他
[01:50.490] 就说是一个主动安全的系统升级，没跟我说是别有一个是自动紧急制动系统是跟您说的，当时
[02:00.320] 好像是，然后他那个软件的话它属于一个召回的项目了，然后主要就是因为他在行驶过程中，前方如果录到行人的话，它才会有自动刹车的，
[02:13.150] 自动刹车会有出现，我碰见过几回都是倒车的时候，
[02:18.140] 倒车倒没收到过这种问题，后边有人你要没反应过来，他刹一下车，
[02:27.110] 后边什么都没有，
[02:28.980] 然后就碰到预警，再就一直想，
[02:32.360] 我下来看什么都没有，被空放在这儿，他就想
[02:36.220] 是吧？我看咱们这部车这车是有一个，但是他那个的话照您说的升级的问题，他升级的事，
[02:46.390] 前方路。
[02:47.270] 造型。
[02:47.600] 人没有说话。
[02:48.360] 后边。
[02:50.310] 每天保养回去，我在哪里我看看。
[02:54.480] 您现在跑了有多少了？穷。
[02:58.400] 一千五六。
[02:59.810] 五。
[03:00.770] 还挺少的。
[03:02.320] 现在车辆是在
[03:04.220] 一买完就在家搁着，一停不怎么动，孩子也不上学。
[03:09.560] 现在在北京使用吗？
[03:13.110] 现在搁老家了，就河北的。
[03:16.440] 行，这样，如果您要是后期有时间的话，可以过来帮您检查一下车辆，然后因为咱们保养的话还得一段时间能做，现在才买车半年，
[03:26.890] 然后等到您买车10个月左右的时候再做就行，还有四五个月，如果车辆要开回北京的话，近期有时间可以帮您做一个车辆的检查，
[03:36.090] 然后因为您是在本店购的车，所以这检查。
[03:38.850] 是给您免费做的，然后到。
[03:40.850] 应变可以把。
[03:41.600] 们、
[03:41.850] 一个软件给您升级一下，然后看看是不是这个的问题。
[03:46.510] 这手机号是您微信吗？稍后我这边添加一下，您如果后期有什么用车问题可以随时联系我这边。
[03:54.440] 好没问题，手机号尾号是6788的，就是您的对吧？
[04:00.410] 对。
[04:01.200] 行，我稍后添加一下您，然后您通过一下我的微信名字叫北京百得利沃尔沃客户经理101，麻烦您通过一下。
[04:10.180] 我记得之前有个叫食物尾，字旁一个尾巴的尾是那个吧，那个是我们店的一个
[04:20.640] 就是客服专员，
[04:25.160] 行。
[04:26.070] 行，我加您了，如果您要是方便的话可以通过一下。
[04:31.130] 好，有什么用车问题，到时候您都可以随时微信咨询我，然后也可以给我发，有的时候太晚的话，您可以直接发语音聊天，我这边就能接到。
[04:40.590] 好，您先忙。
[04:43.730] 好勒，再见。
[04:46.950] 再见
[04:47.830] 了。
[05:01.860] 您好。
[05:02.850] 你好。
[05:03.570] 你好我百得利的。
[05:05.630] 对。
[05:07.160] 懂。
[05:07.430] 我是沃尔沃产品90的。
[05:10.720] 车主，
[05:11.740] 然后我是12月份不是买的车。
[05:16.050] 当时买车的时候，
[05:18.290] 买的叉C60就是长期90T6治治那叫智雅还是致意来着？
[05:26.450] 我忘了版就不在全车影像的那款。
[05:33.930] 然后当时买车的时候是这样的，首先买车如果不安360影像的话。
