[00:01.100] 接待首次赋予女士。
[00:03.790] 于女士是哪位？
[00:05.430] 于女士吗？
[00:09.770] 还有印象吗？
[00:12.420] 王昌龄。
[00:13.510] 反正都没有意见。
[00:16.570] 你说这应该是吧？
[00:19.280] 同时他也真的长得很像，
[00:21.490] 你这一天没点准备。
[00:25.420] 您好于女士吗？对你好，小虎哥我跟你说来接待您，这我名片你听到咱们
[00:31.690] 对象
[00:33.970] 而且是我们的
[00:35.760] 现在还没有明确的。
[00:37.820] 我今天先听听你的意见，但是你们还是感觉来你先参考一下，我就坐下来，我们大概了解一下，您看电视一边看一边说这个商量一下。
[00:49.160] 咱们前后百二十多辆车成功监管，不是
[00:54.400] 都看了。
[00:56.100] 其他留了就是要这样，大概什么时间
[01:00.470] 的？
[01:12.890] 万
[01:14.280] 谁知
[01:15.630] 老公
[01:21.290] 以前但是在退休，他用一系列的一个较好，
[01:29.470] 它的最大优势它是两门的，
[01:31.860] 你是有4门有2枚版，它是预计两类的。
[01:37.320] 对，所以说我先跟你说特别好，绝大多数也没有门，他就只有两格，然后加上后备箱
[01:44.030] 和这三本受尽这两不行，这种不合适。
[01:49.210] 这是4枚版，然后待会后边有140枚版，我再看看对吧？在忙着你不接
[01:55.100] 去哪做什么他是轿跑系列重要。
[02:00.510] 在空头的泡酒吧咖啡渣成都有，但是先喝点
[02:05.950] 的。
[02:08.000] 认购后排的使用率高，好的后排的使用率高吗？高高的没法。
[02:16.270] 你不是国宝，你打钱，
[02:18.400] 我很大的。
[02:21.470] 他们怎么
[02:23.720] 咱们只要你有点
[02:26.070] 眼前的
[02:27.500] 后面反正他这种的话就是包裹性好，它整个的多的高，所以说显得咱
[02:36.280] 的。
[02:38.040] 不能
[02:39.470] 这样窄，对跟吃的话都是这种设计。
[02:45.740] 您现在是使用。
[02:46.920] 什么车型也是轿车吗？还是越野车？
[02:49.580] 轿车再坏的话还是想优点，先换个就觉得我还用SUV，应该为什么SUV现在好多女士就选择SUV的情况。
[02:59.270] 特别多，坐姿高，视野宽阔。
[03:01.590] 所以说还是有它的优势，这款车
[03:04.850] 那个车现在的
[03:07.420] 价格
[03:08.440] 他全办齐的话大概32吨，
[03:11.730] 他的指导价是346,800，就是说用户的话在66,000，
[03:15.960] 咱就先不提什么指导价值，大概全办齐大概是35,000。
[03:19.960] 谁知
[03:25.050] 对家用并运动状态。
[03:31.230] 谁知
[03:37.830] 说的卖的最多的，
[03:42.580] 就这个价位，现在咱们整个汽车市场里边
[03:46.250] 30万套的价格是现在最多，
[03:49.790] 他算你带着ng的产品，
[03:52.750] 也不算低档，还有比它便宜的十几万20万。
[03:59.490] 有这样。
[04:00.820] 月光十分。
[04:05.810] 您介绍的对飞机
[04:08.850] 上车之前咱必须有的，今天我先简单两个分享一下，在单位公司跟谢谢大家，对，然后说明飞机将在腾讯经营合法的语言，马六大工商部门都在提到宣传，
[04:19.590] 由于情报销售行业都会提前排队去看看这个价钱，给你公司电话，0881大家有他们沟通，
[04:26.550] 奔驰现在还是行业内第一个承诺，不收取金融服务费的品牌。
[04:30.630] 200动感咱就不看了，没有这个车200的时尚型跟他大小差不多，比它的动力要小，
[04:38.470] 然后大概全办齐29万左右。
[04:41.130] 260运动就是这个车型2001对这个车型四驱它的四驱比它又贵不了3万多，基本上四驱的很少卖，没来过300 300定价48万多。
[04:52.800] 没来过车我也没见过，所以说实际上C系列常卖的这两款是最明显的。
[04:59.800] 这两款一个叫200，一个叫260 200就比它要低了，不是对要D他29万左右，他32万左右，他俩差3万块钱。
[05:08.440] 1.5T这个是1.5T+48伏电机。
[05:12.790] 所以说如果您注重动力，对动力方面要求高，那就是260系列。
[05:17.040] 如果动力无所谓，说都不用，那就200系列，当然除了在城市开的多够用。
[05:23.370] 在北京行业里卖的都很好。
[05:26.900] 对卖的都很好，相对260多。
[05:29.950] 因为毕竟差了3万多，动力更好一些，配置就更高一些。
[05:34.520] 除了北京的话，肯定相对还是确实是受欢迎的。
[05:37.820] 对，这是车型。
[05:40.730] 然后有什么毛病？
[05:42.950] 你的问题是什么？比如说您觉得他不足的地方。
[05:47.090] 不足，这车型是现在这个级别里卖得最好的。
[05:49.950] 主要这车还真A4。
[05:52.170] 三系
[05:53.450] 凯迪拉克的ATS大概都是这个价位的，30万上下卖的是最好的。
[05:59.230] 咱们奔驰系列里边卖的是最多的。
[06:02.290] 这个的数据对。
[06:11.250] 然后A系列的A180
[06:14.990] 这个太小了，
[06:18.000] 比。
[06:19.440] 比它再大的，
[06:20.560] 或者说比C再大的。
[06:22.790] 一。
[06:25.680] Cos先说一，
[06:28.010] 一的话是刚才在门口咱们看的大数据，说那两门的。
[06:32.270] 他的4门版。
[06:34.330] 对。
[06:35.530] 刚才咱看两门的也是叫忆忆苦配一的，2门版它是4门，
[06:40.640] 这个车的话定位是
[06:43.110] 是在C级的一个家用运动型轿车，比C级又整个高一档次，
[06:48.640] 大概的话差个10万块钱。
[06:50.680] 这个算是运动档次，对，不是运动当成家用也是加盟商吗？
