[00:00.250] 因为我踩的并没有脱离对
[00:03.590] 这个概念。
[00:09.000] 对。
[00:09.820] 现在都不行了，前天跑or后天还能将就，但是前面还有多少大概前边
[00:16.620] 建议
[00:17.690] 前面是建议换了，后天要可也可没事再让客户自己决定一下，咱们看一下还有多厚，等下我再给你看一下。
[00:28.070] Cn 1 DU96是吧？
[00:30.630] 京
[00:32.360] 1
[00:41.800] 7180。
[00:46.310] 王欣女士是。
[00:47.620] 就你本人。
[00:51.850] 本不用了，这系统里边咱们都有记录了型号了。
[00:59.220] 行
[01:03.230] 3万多公里了，R35699现在。
[01:05.640] 对，我上回保养是3万。
[01:07.640] 我给你查一下好像是3万。
[01:13.430] 然后不
[01:14.240] 因为我跑的少，
[01:15.790] 和平常用的不多，
[01:28.680] 外观有点
[01:29.900] 等等，我再去看一眼车了。
[01:34.680] 真的他能修吗外边？
[01:37.290] 而保险谁知二上。
[01:41.240] 能不能让他一块，您说走一次险一会给您看一下，我看杨都能修完，那天也有都。
[01:49.050] 你说这一次都修了，现在都行，宁可应该一会给您看一下了，后面走，现在正好针对出现有个活动，一会跟您说一下，我们
[01:58.260] 你看跟保险那边您可以参照一下，反正上保险就是为了方便点。
[02:04.590] 因为现在是啥意思？您出保险不是您修车不用您花钱就正常走那保险吗？
[02:10.730] 现在是什么？现在是得报保险肯定要报的现在。
[02:14.650] 你做保险不仅不需要您花钱，而且还给。
[02:17.460] 给您现金，
[02:18.760] 给您钱，出一次给你2500，出两次给您5。
[02:22.780] 就现金直接打你个人卡里。
[02:24.600] 为什么对他是。
[02:26.520] 等你检查出来先看一下您这车的伤不起了。
[02:29.530] 行，您帮我看看他，你就说我倒车撞哪了就行。
[02:33.450] 其实是一摩托车给我撞的主要是。
[02:36.100] 爱粘别人了，因为要是如果是
[02:38.060] 单纯的一块伤比较简单的案子，不管谁撞的，他就是一块商，然后保险公司也不会纠结你了。
[02:44.920] 咱就修一块先修一块，然后他在那车伤痕累累，谁知
[02:51.710] 很快。
[02:53.320] 咱们路您看哪块好？
[03:07.920] 开过来，好谢谢。
[03:13.150] 这边
[03:16.400] 咱们有小孩了。
