[00:00.000] 等会。
[00:01.740] 这是驾照。
[00:08.220] 这可以吗？
[00:09.610] 行，先把在名册上了，行驶本你只要
[00:13.680] 对行驶证。
[00:15.640] 没事我先。
[00:16.600] 咋对？
[00:20.450] 除了带来
[00:21.790] 带驾驶本不是在家本还不行吗？
[00:24.310] 没在家照的身份证或者身份证照片都行。
[00:28.360] 深圳了。
[00:29.400] 没事有这个就可以。
[00:33.540] 现在本没在城里。
[00:39.030] 大家都是李平女士等名谁？
[00:42.960] 他约的。
[00:53.600] 您这来早，但是车间上班是9点知道。
[00:56.880] 9点能吗？这零今天出不来，您
[01:02.610] 您什么时候要车您再过来，我没事，我又在爬山的美丽园应该照下来了。
[01:09.110] 美元这应该没事，就这掉一头对没留吗？
[01:15.050] 好多客户每个人都在这边。
[01:33.600] 新生没在您车上吗？
[01:42.790] 没事，我就有个驾照就行。
[02:02.730] 里边班长人多吗？
[02:06.650] 不少。
[02:10.730] 但是您这来得早，您应该有两个小时就能做完。
[02:37.380] 您是夏先生是吧？
[02:39.700] 186
[02:41.970] 186007638153。
[02:45.130] 什么样您电话？
[02:46.930] 要是夏英杰先生吗？这是您的吗？这个电话不是我没事，我扫一下你的家长。
[02:55.310] 我信息是吗？
[02:57.340] 信息是我信息是。
[03:00.290] 好行没事，您拿着这个
[03:04.740] 修改我电话不对。
[03:08.890] 您电话您告诉你158235223528966，
[03:14.390] 久了。
[03:18.680] 我原来吗？
[03:20.880] 行。
[03:23.520] 要是您给
[03:25.160] 车上说用着没什么问题吧？
[03:36.240] 通报，
[03:41.320] 我就做一全车检查，完了再给您
[03:47.320] 看一下就记住。
[03:52.010] 我治疗
[03:54.070] 哪个着车？
[03:55.650] 保修三年。
[03:59.840] 三年
[04:01.240] 您
[04:02.160] 买车是办了延保的吗？
[04:04.650] 不做简报延长保修。
[04:07.080] 我不知道。
[04:08.340] 买车您不是您过来的是吗？好，一会跟您说一下。
[04:14.820] 新车现在还是千千万万，
[04:21.540] 这时平时也都是您家里用的。
[04:31.440] 正好1万公里。
[05:25.370] 这边蹭了一下。
[05:28.200] 前面上面
[06:12.040] 做完之后再给您洗下车。
[06:16.680] 行，您到前台。
[06:18.340] 听到。
[06:20.610] 您吃早点了吗？
[06:22.400] 没了。
[06:23.350] 一会您办完可以到后边。
[06:26.110] 那个词餐厅
[06:42.990] 到我这。
[06:50.990] 您来我
[06:51.900] 找您做，我在这边住。
[06:53.990] 这儿
[06:55.520] 是不是第一个栏第一个来试试，刚才回来给我，
[07:01.160] 正好着预约单在我
[07:03.670] 给您接了再吃饭。
[07:11.090] 保养。
[07:15.200] 您等会是在这等吗？
[07:17.430] 我在这等。
[07:18.620] 没事。
[07:19.380] 行。
[07:35.600] 这次主要是做一个首保，换一下机油机滤，
[07:39.180] 再给您把乘车做一个检查。
[07:57.670] 您的车是19年11月份买的车，
[08:00.990] 11月1号开的发票。
[08:13.720] 就算跑的多吗？
[08:14.920] 算是稍微多一点了，在北京用的车
[08:19.860] 一般都是一年左右1万公里，
[08:24.280] 也算正常。
[08:26.150] 私家车。
[08:49.970] 您这当时买车的时候，他这有没有赠送的保养什么的？
[08:56.820] 我不知道您不知道买的您过没过来是吧？
[09:03.710] 应该这边。
[09:05.730] 记录没有？
[09:08.830] 记录上我。
[09:09.660] 不到。
[09:21.350] 我回去我问一下。
[10:25.460] 跟您说一下，这次是给您做一个A保
[10:28.370] A宝就是正常是收费的，它有一个套餐是
[10:31.920] A宝是933，
[10:34.620] 现在奔驰是AB宝可以做成合的套餐，
[10:40.750] 一个A一个B和一个空调滤芯，就是这次保养和下次的基础保养是2894，这是建议的，您说我先不做我就先做一个A宝我就收您一个
[10:52.400] 933，还有这车刚磨合完有一个油路清洗355，就这次事需要做的，
[10:58.810] 你要办，因为这个价格也是在套餐基础上又做了优惠的，
[11:05.590] 是2894，这是最便宜的。
[11:08.100] 这是保养的，还有刚才跟您说了一下，
[11:11.070] 保修像您这车用的也算是稍微多一点的，如果您这车要考虑，我就用三年左右您就不用考虑。
[11:19.350] 要说我打算再开五六年六七年，您就可以考虑上一个延保，有整车的，还有
[11:26.310] 上核心部件的比较多，核心部件的就是保的发动机变速箱，
[11:31.860] 前后差速器主见
[11:35.370] 主要是后桥。
[11:38.320] 如果要是整车的话，
[11:41.970] 整车您那车现在是
[11:45.100] 延长一年是4400，延长两年是8700，但是您车上什么的多保发动机，变速箱像和其他整车部件，它就包括电器，
[11:57.640] 也包括
[12:00.240] 包括核心部件，
[12:02.850] 但是奔驰的维修费用高的就是在发动机变速箱还有儒雅真是出问题，
[12:09.340] 可能哪怕一个节温器都得挤七八千，
[12:12.490] 所以一般客户都办一个，您也可以考虑，比如说我就用到4年或者5年就办一个，
[12:19.890] 延长一年一年的2425，这是现在是最低的
[12:24.240] 一个保修的，这是延长两年是4678。
[12:27.620] 这是现在我想问一下第一次保修这边还收钱是吧？保养也是保养是收钱的，对，保养是最基础的，保养是933。
[12:40.330] 对。
[12:42.310] 让我们对原来在大众，然后第一他手宝是赠送的，但是奔驰不是厂家没有厂家的增速。
[12:50.900] 所以刚才我又查了一下，您如果要是有的话，他会在我这张表上它会
[12:58.380] 如果要是
[13:00.330] 有它那种是不是送的，它有一个保养覆盖，你看他这点了点着您这是空的。
[13:08.990] 是有时候买车的时候客户买一个班，刚才我跟您说保险套餐，但是您这车我没有看到这厂家在系统上查不到。
[13:18.250] 您再问一下。
[13:22.010] 当时有没有给您赠送，因为系统上我现在。
[13:24.430] 产不到我听到没有？
[13:25.620] 对，您问一下销售。
[13:32.830] 对，您让他问一下这车有没有？
[13:35.770] 他应该是或者问一下您什么
