[00:19.530] 你好是刘先生是吧？
[00:21.100] 我这边是奔驰4S店的，您是从网站关注在
[00:26.160] 我们打过电话了是吗？
[00:30.160] 不是我打的，我们是海淀5路居展厅，不好意思，下午1点，我们在海淀5路居离您近吗先生的位置？
[00:37.240] 03。
[00:39.340] 牛远了，您大概住北京。
[00:42.040] 我在。
[00:43.120] 好还行，我们还有密云的客户了，下午1点打算什么时候买车，
[00:52.590] 看什么车，只要C。
[00:55.090] 12. 
[00:57.040] 290动感是吧？北京牌吗那是。
[01:01.260] 260，对260动感，您上哪的牌北京牌照吗？
[01:05.440] 明天拍照。
[01:06.620] 北京牌照，我这边只能给您看看现金，因为我是网站做回访的，差不多48,000起。
[01:13.940] 万8~5万的现金，纯现金就
[01:17.160] 不包含什么购置税、保险优惠，其他的什么保养保险这种装饰的赠送，那些都得到展厅单算，肯定是算8起谈
[01:25.730] 起谈价格。
[01:29.090] 说。
[01:30.080] 48,000的现金。
[01:33.910] 对优惠。
[01:35.150] 还有8038。
[01:37.270] 这是纯现金的，至于像保险保养给您送多少钱，送几个保养得到展厅上销售给您算了，这我们不太清楚。
[01:46.120] 但是最低肯定是48,000起谈的现金优惠，还有谈的地方。
[01:52.410] 4800. 
[01:53.110] 看出来胖了。
[01:55.330] 3948. 
[01:57.560] 感觉
[01:58.130] 有点不想对。
[02:05.100] 又打35，现在减5万差不多30左右。
[02:10.570] 百万。
[02:12.560] 394,800，您就打35万减去5万块钱优惠，那不就是30万。
[02:19.440] 2万。
[02:21.320] 不是，现在这是现金优惠，还有其他的优惠呢。
[02:28.330] 优惠完了30出点头，上个购置税保险两三万块钱，
[02:33.390] 80万。
[02:34.550] 三对差不多。
[02:37.070] 好好吧。
[02:38.400] 了。
[02:39.180] 您不是说DSE260动感吗？
[02:42.330] 不知道。
[02:43.520] 您是觉得我报的高了，还是我报的低了？
[02:46.850] 嗜好。
[02:49.920] 让我。
[02:52.700] 他们给您报多少钱，我没明白您这高是价格高还是优惠价格高？
[02:58.560] 高。
[03:01.720] 不是，您是觉得我
[03:03.430] 您是觉得我们这便宜还是觉得我们这贵？我没明白。
[03:12.730] 裸车他不是394,800，
[03:16.680] 稍微差一点，
[03:20.040] 然后394,800or裸车是34，对裸车是34。
[03:24.750] 4. 
[03:25.330] 演武对裸车是34，然后34下来购置税保险的话差不多不到39应该。
[03:35.250] 不是，他车价是35，减完了之后不他是3534 35左右。
[03:44.620] 天您都给我弄乱了，我大概给您捋一下，这车是3948对吧？咱优惠5万块钱就打34对吧？就优惠完了差不多35对吧？
[03:54.150] 就说车架这块什么都不算，车价就35，这可以理解吧？这是现金方面的，就是车架，对，然后购置税保险您得交，
[04:03.240] 然后保险这块我们可以赠送的形式给您，这就是优惠，具体所以说您交完购置税之后，具体还能给您再优惠优惠到多少钱，这得销售顾问来帮您算算了，限购是11.7。
[04:20.880] 远远。
[04:23.570] 数据。
[04:24.390] 数据
[04:25.180] 车。
[04:27.420] 的。
[04:28.820] 没事，我把我电话发给您，您什么时候回北京这块您随时跟我联系好吗刘先生？
[04:34.000] 车号。
[04:35.650] 行没问题，期待那光明。
[04:38.280] 有车现在有现车你大概什么时候回来？
[04:42.080] 海淀西四环四季青桥这边。
[04:44.450] 20天是吧？行。
[04:45.430] 天天看，
[04:47.920] 您这样感觉这样。
[04:50.720] 行，您那边收讯不太好了，都是都的，我说我给您发个短信，或者您要方便我就加您个微信，
[04:58.130] 您到时候来之前提前给我发个信息，我帮您做预约，您看行吗？
[05:02.170] 谁知好OK好的感谢。
[05:07.870] 您好，先生能听见吗？
[05:09.470] 我先讲一下流程给我们颁发。
[05:17.280] 好。
