[00:00.000] 你需要的话他就过来换换个单位，
[00:03.500] 荷花好好和和美美说你就只能开维修费，对。
[00:08.880] 1295加上23，一下1595+1500强，
[00:15.660] 再加一个1295，再加一个85折是295。
[00:20.890] 他正常要这个钱就是对这还有这个钱。
[00:25.600] 应该是这个情况，我清单明细两个A
[00:29.560] 两个弟弟看着送给你都不去财务，马上奔驰保养是AB一个A一个B再交，就是从修好或者说是告诉的，
[00:41.190] 不要因为话说低保的，然后那些辅助的看到图片辅助系统到石油，对还得过来解释。
[00:52.250] 然后这里下一步进进一步系统不能了，因为空气少于叫什么保养组跌势过，顶多就过下电脑，他但是没有可能就不会进一步去做检查，他技术也不算其他没什么，还得到无数组去，其他就这些带来做一些保养还是这边没问题。
[01:12.910] 奔驰原厂他过了一下的时候，他有什么隐患，有什么问题，
[01:18.850] 什么
[01:19.680] 我拍的那些辅助功能有什么问题呢？
[01:23.080] 现在有可能怀疑到两个方面，一个是40程序，
[01:27.840] 一个是你比如说可能在程序的概率是比较大的。
[01:32.230] 对，基本因为一旦你平常看的话影响不大，能做一次就是1200平方。
[01:37.360] 你等待会儿
[01:38.660] 拍的话不会微笑，就是腿锯的，对，但是辅助功能的话，它就是这个东西这么不是什么的，这些东西没有的话，他
[01:46.980] 他是不是那些什么倒伏情况什么的，跟他没关系，他就是什么，你比如说可能
[01:53.180] 快咱有一个预防碰撞辅助系统，就什么意思？咱平常开用不着，几乎用不了，就是你之前材料释放撞了。
[02:00.490] 对但是你不知道可能不知道，但有可能它会有一些传播，谁知一个
[02:07.350] 然后另外C还有一个叫什么刊什么之类的，推她突出工作ABS这些等等，它都是一个系统管控的，没有靠一个平台。
[02:15.240] 不是影响不其实你仗着我这单子吗？但这
[02:18.850] 到时候您用完车之后就有时间的话还是得过来检查你们。
[02:23.260] 那个时候他检查完比较放心点。
[02:25.910] 检查到维修检查了是吧？放在这就对现在收费了吗？
[02:31.140] 是这样是吧？
[02:31.850] 对，当然修理话它是
[02:34.950] 单说你要检查完之后问题没什么大的问题，也就几百块钱就解决了，如果说有什么大的问题或啥，大家可能说你这就是检测费也就不收了，那你们保养的时候在这解决不了这个问题解决不了。
[02:48.230] 这两个部门就说白了就什么意思，保养是属于快修得就比较简单，咱班有没有什么
[02:53.870] 特别来的一些技术广泛这些一点的一个书包，然后你这个系统说现在他们给看见
[03:03.350] 到你这开车的话没有什么问题就行，没啥问题，你开车没问题，不影响开车对。
[03:09.190] 对。
[03:10.270] 他就给你我说预约咱景点的保养，现在来了就业一把手宝直接给您报了。
[03:18.300] 没戏是吧？多少钱一个？
[03:20.460] 三明天行33737663766K京mt2798。
[03:29.870] 你给我什么对了，您那车玻璃水报警了，是我不给人家还是自己家。
[03:37.080] 为什么30块钱我记得以前都没有，连家都搁哪儿都有吗？家里要有我们就不管了，手机走了对收款
[03:48.980] 拿出自己的最佳的时候，
[03:52.250] 好了，稍等，少了30块钱咋成了要，有的不用加。
[03:58.020] 干嘛花三没事。
[04:00.880] 好到你零钱里了。
[04:03.740] 然后你结账开发票就行，目前这边这几瓶我的意思没错。
[04:09.620] 跟谁知
[04:12.600] 我还都进了7点，完了就差C了。
[04:15.760] 在这张图上有
[04:22.140] 谁知
[04:24.790] 了
[04:27.060] 谁知
[04:29.300] 摆在这，
[04:37.400] 的
[04:38.430] 说
[04:40.520] 了。
[04:42.880] 这样有什么不好配了？
[04:46.760] 好配，但是配套可能没有单独的，真的你看调配一个
[04:52.790] 你看他什么套子套双面胶都是
[05:00.710] 都的，咱们没有单独的交接，这个方面都差不多一样。
[05:07.360] 能接是吧？明天下雨没问题吧？有差别教他用的就是指标，
[05:12.490] 只不过就是包装不一样而已。
[05:14.290] 陶先生的电话，咱想用圆角原来的上面小米是吧？反驳。
[05:20.190] 老师说
[05:21.200] 您的身份证大或者是形式感价值感，谁知他在这我现在我不行我就不对，他们也行接他电话也行，等等朋友账号。
[05:35.520] 186
[05:36.930] 14023195203195。
[05:42.480] 一是要行驶本的还不用就行了，对就是了，没事了，打
[05:48.400] 打电话这事行好。
[05:51.470] 行了，待会我们完全刚才我去洗了车，我洗完车之后，他说没有什么，我量了一下，
[05:56.760] 量一下之后，然后去拿回来，那期你要去拿，
[06:00.210] 拿什么东西没找我把一个数码拿走。
[06:03.100] 你也管不是车间的事故，一会儿看看那些我给您做一个这点信任感了。
[06:10.310] 我跟您说一下用说吗的掉，然后跟的报酬终结，你要去车里东西吗？
[06:17.260] 他要去拿你钥匙给沟通的。
[06:20.160] 付款和发票下来之后，最后汽车的车洗车的时候再改，最后交钱后将对
[06:27.710] 您先去拿。
[06:29.690] 你先拿去，
[06:32.090] 甚至还在您原来停第二怎么？
[06:34.410] 谁知肯定给你协会方面说说咱们钱结果在
[06:41.550] 你稍等一下什么效果？
[06:45.440] 在。
[06:46.910] 对然后这要是稍等，
[06:49.970] 你把C给贴一下好好。
[06:54.040] 您先拿着。
[06:55.680] 拿钥匙之后，然后等一下露露出京Q2P
[06:59.190] 我这边都没有。
[07:05.200] 京Q02PA6。
[07:07.330] 要是给你现在在那车在那了，把C给贴上，除非他给弄好了，
[07:14.010] 然后有事直接过来找我就行，弄好了你。
[07:17.710] 好，等优点就出门的不好了，垫子的他带你直接去就行，没用了对不对？
[07:24.580] 不是我有一个保养对吧？
[07:28.840] 然后这个是你给我确认的吗？这两个是什么？我给你说。
[07:31.990] 常规的保养到期的领导大程度来说有一个机油机滤，然后有一个机舱限速和伸手到，这是常规到期的，就是说你看一个
[07:40.870] 历史记录就是常规稻鸡的，你没跟我说说话，我之前我就是保养对不对？你这两个东西
[07:49.310] 就到你说我之前跟你说这报警器对吧？然后之后
[07:55.840] 当时你跟我说确认的对吧？
[08:00.330] 我说多少钱1600万对吧？电话确认的，然后说我的保养
[08:04.410] 对吧？
[08:05.430] 当时他写的话关键是你当时写这两个，你没跟我说你写的是什么，不是你写的那东西我也看不清，没事没改变，你说我是这样，我跟你说的就是说
[08:15.370] 我的右边的窗户对吧？对。
[08:19.620] 这两个东西我给你把他免掉行吗？不是您听我说完，
[08:25.880] 您说有可能大家交通沟通的时候有点沟通误差，但是没关系，既然有一位我甚至都可以给你免掉，这都没关系，你是证明咱们做是公司，
[08:36.070] 我没做事儿不是这么做的，然后咱们天窗的时候
[08:39.650] 跟我说验完之后天猫不是说做到双大道还有降价吗？
[08:45.990] 还有像这样的往下降，然后正好去看车的时候，正好这次保养的时候，系统里边也该做一个常规的保养，
[08:53.960] 天窗润滑也到期了，
[08:56.350] 然后
[08:57.340] 正好也需要做，然后保养的时候都项目都包含机油机滤，然后发动机限速和窗口，
[09:03.770] 一共是2000 2000，反正2000多，当时我跟你说的是给你打电话，我说加的就是1620的是吧？
[09:10.870] 你看3000解释你听我说当时这个是吧？我说过来保养是吧？保养的话我说包含什么？我说你给我查一下，
[09:19.770] 我的故乡水的包里边玻璃，然后油箱盖能不能开开对吧？能不能修，然后之后机房你这沟通，这就是说白了沟通中间的一个误差，
[09:32.410] 不说了是吧？行了，沟通误差这就做了。
[09:36.940] 但是就是说说白了咱们给您说的什么意思？2000，因为报价包括那个项目，今天晚上说经营机制什么包含什么项目，其实体检和是常规到期的，这个是需要咱们在选择的，你味道当时你就说常规到期，你跟我说这些
[09:52.350] 也不是这个东西，然后我就一直跟你讨论这个节目的超过上一年了，
[09:57.240] 你机油的东西当时我还问你了对不对？
[10:00.890] 1620是吧？你看我看办空气是吧？
[10:05.250] 这活动直接你们多多都睡着了，拿到单子他都给你写，什么项目什么项目都你就拿那橘子，您说
[10:12.140] 的从探病理解他的意思你也没理解，因为保养的项目是什么，咱们过来做保养的项目就是方向固定的，你导致多少公里到期是什么项目咱们就到了，因为他有的
[10:23.780] 有的一些东西到了的话，
[10:26.550] 但是我这个是保养的教的我来是保养的钱对吧？
[10:30.400] 对，有一些东西的话附加的这个东西你没有告诉我对吧？
[10:34.880] 你说有一个比如说
[10:37.310] 你说的机发动机的发动机对吧？你当时说你发动机要该清洗了，我问你多少钱对吧？
[10:45.730] 你说1620，我说行，我说那激动的吧，对，我说要搞的话，我相信给行行我刚给打电话家了对吧？
[10:56.090] 沟通我问要我不需要那些东西没事了，谁的责任咱就不用了，没有就是说这个东西我觉得有必要的咱就花了，没有工作实际上
[11:09.170] 你应该看出来咱们就沟通到都是老实人那东西，你要是我要不愿意给你，
[11:15.040] 要不说我就先给加进去，我何必告诉你，
[11:17.850] 这些东西是必须得做的，必须到期的东西，咱们正常干燥的项目给你说了什么项目当然可能没听，
[11:25.130] 你可能对保养的理解之后我们理解那么清楚，而且你看看在哪上面有没有，肯定会有，你取得带上证，
[11:31.700] 你有原单，但是我也没看你知道吧？当时我就想的就是这样的事，咱们这个事
[11:38.720] 主要就跟没沟通明白，然后已经说明了咱这是下次好好沟通就行了。
[11:47.530] 这不是研究这是打字的单子，
[11:51.320] 没有原件在您那儿，因为一个取消单我给你写了一个纸袋，原来上面因为这也都有这样
[11:57.380] 的，咱们这上面写的什么我们不专业，我们也不认识您这个上面不都有吗？
[12:02.940] 您看咱们可以有异议，为什么？因为您是走了之后我才给打的这个单子对吧？但是您着那个单子时候拿那个粉联单子
[12:09.810] 是您当时签字确认的，对不对？没有任何意义，所以就说对。
[12:15.550] 没关系，这个东西就是说既然
[12:18.020] 下次咱们好好沟通清楚点，没错。
[12:22.460] 您拿单的时候，
[12:24.160] 当时咱俩签字的时候，你肯定是看到了这个东西是没有任何意义的，对吧？
[12:28.970] 毕竟是签字了。
[12:30.600] 稍等一会上来，我把那个单子案例重新做，我觉得还是有的时候号好
[12:36.510] 重大的举措了。
[12:38.560] 没有在讨论，你经常交流还没洗还得写一下。
[12:43.730] 后面没事，那你报仇一下去掉。
[12:49.810] 放松。
[12:51.550] 让他帮我交
[12:53.700] 完成了。
[12:55.100] 没有钱他没给我开了。
[12:58.140] 没答应。
[13:00.420] 那个能退吗？我这钱都交了才发现了，交钱了。
[13:06.140] 钱都交完了。
[13:08.710] 对哪里当上他们近照。
[13:21.310] 你能开车吗？
[13:25.870] 你开车
[13:29.930] 户口。
[13:34.600] 唱
[13:36.060] 需要
[13:45.180] 远场
[13:52.580] 第
[13:55.560] 场
[13:59.400] 远。
[14:06.950] 的
[14:14.160] 也
[14:32.390] 千块钱我直接带得了。
[14:33.980] 等下格上面我整理完了的东西。
