[00:01.060] 送人有没有？
[00:02.140] 在哪儿有一台黑车黑内。
[00:05.970] 喜欢那客户走不了了。
[00:08.030] 今天中国市场的赶紧行，就在车上，我刚才还没有。
[00:14.670] 我。
[00:17.160] 您可以说。
[00:18.410] 我的功能因为现在都是水，刚刚你刚吃饭了吗？
[00:22.990] 北京哪款？
[00:23.670] 450的动感型的。
[00:25.530] 834,840的没空加多少钱？
[00:28.240] 第二大街二是因为没有没劲。
[00:31.930] 可以。
[00:36.000] 您好赵先生吗？你好，销售顾问韩春晓是我的名片，第一次来我们店没有预约。
[00:40.910] 行，你主要是想看一下45的车吗？
[00:43.930] 是看过这款车型吗？还是没看过这款车型？看到35350450350大小什么都一样的，您坐这边，您这边是摇号还是置换？
[00:53.460] 我有U盘。
[00:55.160] 指标是8450的话，咱们一共有这几款？
[00:57.570] 车84万、83万、4800的、843,800的，还有70，
[01:01.040] 还有一个889,800的，您看您关注的是哪款？
[01:04.020] 三五车现在没有。
[01:05.440] 350现在应该一会我可以都给您查查。
[01:08.080] 行督查，您坐着我给您查一下，你第一次来跟您说一下咱奔驰的服务公约，
[01:13.400] 客户为泽以礼相待。
[01:14.750] 太诚信，经营合法得体，明码标价、公开透明，推荐渠道信息公示，绝不捆绑销售，强制消费，绝不成为甲见乙级称号。
[01:22.130] 然后欢迎广大消费者监督电话4008181188，
[01:26.080] 那边有茶水橙汁咖啡要放在什么水吗？
[01:28.490] 行价格二。
[01:36.320] 50。
[01:37.140] 您是想您是主要更倾向于哪个351还是450元？
[01:42.360] 我不知道你有哪个。
[01:44.600] 想要现车是吗？
[02:20.790] 就一辆现车。
[02:22.280] 是吧？
[02:24.750] 然后
[02:27.580] 还有一辆应该能
[02:34.720] 还有一辆应该近期能到的，但具体哪天跟您确定不了。
[02:38.950] 也不是，是350350时尚738,800那款。
[02:44.230] 黑车棕色内饰，然后现在有一辆现车的话，就是刚才我那同事
[02:49.120] 释放出来的一辆就是黑车黑内。
[02:57.940] 不对，这个车是背定了。
[03:07.030] 谁知。
[03:16.520] 指标是公布名还是名个人？
[03:18.890] 个人的是吧？
[03:24.730] 可以说
[03:27.080] 军儿姐，我看库里有一辆车写着是用车什么6月1号白岩。
[03:34.240] 是这个吗？
[03:35.490] 对。
[03:36.950] 行那好了知道了。
[03:40.260] 行好。
[03:49.750] 有没有不多？
[03:50.930] 没有贷款。
[03:52.970] 行好。
[03:54.520] 拜拜。
[03:56.280] 还得给你担保。
[03:58.890] 担保。
[04:00.120] 现在这边系统不一样，这边它干嘛？
[04:03.870] 会长一点。
[04:07.710] 12.4，
[04:08.960] 就考虑在3600
[04:11.840] 运营这两。
[04:13.210] 行吗？这款450450动感的834,800这款。
[04:16.990] 10. 
[04:20.130] 给你算一下。
[04:20.750] 型号？
[04:22.760] 现在优惠多少？
[04:24.630] 车没有，一会咱们公示价格的话是九十三万四千九十三万八千八。
[04:30.950] 给你看一下。
[04:32.880] 一路
[04:36.380] 欧式价格是九十三万四九十三万四千八，
[04:39.000] 然后现在934,800，
[04:41.360] 能用个5 55,000。
[04:44.300] 六百九十九十三万八千九。
[04:48.650] 534,800. 
[04:49.480] 系统自动计算。
[04:51.010] 他多少钱人家。
[04:52.430] 俺去一个55,000。
[04:54.140] 这车的话最后的价格879,800，
[04:57.400] 500块钱，
[05:12.880] 我给您去拿单子稍等。
[05:22.390] 了。
[05:23.240] 李先生说
[05:36.350] 谁知
[06:01.240] 三
[06:05.610] 也
[07:35.760] 咱们这边现在开的是什么车，使用感受怎么样？
[07:39.360] 奥迪是吧？不是用奥迪斯置换是吧？
[07:48.240] 此次购车考虑全款还是分期付款。
[07:51.150] 分期。
[07:53.010] 一会都给您算一下。
[07:59.560] 供应商。
[08:01.390] 话
[08:04.510] 技术。
[08:14.730] 350优惠多少？
[08:17.080] 350，我给你查一下。
[08:29.020] 350. 
[08:30.710] 的
[08:35.700] 350优惠2万。
[08:38.280] 一会玩那款的话是718,800。
[08:41.250] 有可能。
[08:43.280] 现在分期付款的话我们有一口贷款方式，有做过
[08:47.060] 工商银行的5年这边考虑吗？
[08:49.860] 如果讲5年的话，它的正常的5年的利率是20个点，但是现在店里面贴息给银行4.5个点，也就是说你5年的利率一共是15.5。
[09:00.170] 然后您平均到年化利率是3.1，
[09:03.370] 这是工行的，但是它只有5年的期限，没有其他的，如果说你要是做正常的1年4个点，2年8个点，3年12个点，
[09:10.940] 这种再有的话，另外一种就是奔驰金融的，奔驰金融的利率会比它要略高一些，
[09:16.770] 同样是3年的话跟它差不多，但是你要做5年的奔驰的金融的利率会高。
[09:21.470] 我给您算一下，您看一下。
[09:30.290] 指标就是您本人的名字。
[09:42.870] 数据。
[09:54.490] 场
[10:03.210] 4
[10:04.830] 数据
[10:09.670] 花
[10:11.510] 数据
[10:14.920] 二
[10:18.400] 一
[10:19.760] 二。
[10:25.150] 远
[10:26.480] 数据
[10:31.860] 的。
[10:34.750] 的。
[10:36.920] 先生您是想首付多少呢？
[10:42.810] 咱们最低可以做到30%。
[10:46.920] 行。
[10:50.120] 一
[10:51.500] 三
[10:53.170] 三。
[10:56.850] 35年。
[11:00.070] 年合适是吧？对5年的非常合适。
[11:03.260] 因为您要是说三年的，您核算到银行的利率是3.99，
[11:07.050] 5年的话现在您投票银行的利率4.1，这是工行的3.99的，这个是奔驰金融的。
[11:14.040] 不是你就说总数他利息差多少钱？
[11:16.340] 33年3年和5年的。
[11:18.560] 5年的您的利息，咱们同样按70%贷款70%算，贷款的金额是615,860，
[11:26.480] 您三年的利息的话是73,000
[11:29.920] 693，
[11:31.340] 每个月您需要还的是19,154。
[11:34.520] 这是3年的，然后5年的话每个月您需要还的是11,855，
[11:40.760] 5年的利息是
[11:46.030] 995,458。
[11:50.470] 这5年的
[11:51.840] 5年比3年多还了22,000。
[11:56.950] 了。
[11:58.240] 出现。
[12:00.510] 哪个好批
[12:02.150] 都差不多。
[12:04.180] 您是自己做生意还是。
[12:06.720] 自己做商业都在北京是吧？
[12:08.980] 有过银行有过什么欠款逾期这种不良记录应该都没什么问题。
[12:14.610] 反正你指标不都是个人的法人，就是你本人都是中国。
[12:18.700] 没有营业执照。
[12:20.600] 没有营业执照，您是做什么专业？就是自己做了什么？
[12:25.140] 没有。
[12:27.600] 咱们放开以后，您只能是按自由职业申请吗？
[12:34.040] 对这个职业不好申请是对我给你问自由职业好像不好申请。
[12:39.410] 有点晚。
[12:40.280] 开始我问我。
[12:43.350] 必须要吗？肯定让，您分期肯定要这些东西的。
[12:48.150] 不是说应用银行、保险。
[12:51.040] 在北京这边的话你注册地点在哪？喂张强我这有一个客户，他想了解一下分期付款，但是他
[12:59.500] 没有公司，你也没上班吗？
[13:03.330] 也不上班，他就自己干点干生意的，自己做生意，我在水红卫兵
[13:09.770] 你下来问问客户，我给他算了一下，工厂的也。
[13:13.990] 好勒，拜拜。
[13:16.290] 稍等一下，让我们技术专员下来，他给您详细的说一下，看这边的东西，有人说看征信开流水东西的，
[13:22.960] 征信流水都没问题。
[13:25.350] 流水的话一个月
[13:27.630] 30万，一个月30万，
[13:31.240] 银行的信息的话这种没有预期，
[13:37.960] 指标也是您个人的，您别说您省1万块钱，
[13:42.550] 拿了一个活动。
[13:44.370] 反正现在还是能分期分期合适，真的挺合适的，你这贷款的6061万。
[13:49.740] 5年的利息是9000 95,000，不对你慢慢还就行了，不用着急都。
[13:54.670] 而且年化利率在3.1，
[13:57.490] 奔驰金融可以提前还款，银行不可以，银行也可以，奔驰金融也可以，但是奔驰金融您提前还款有违约金，就是说你个人都。
[14:06.040] 为您的指标。
[14:07.330] 行买什么设备吗？这le450给他算的是。
[14:11.160] 然后算了一个工行的5年算奔驰金融的3年，等于您是名下没有公司并购您社保是可以。
[14:21.500] 实际上也没上手。
[14:24.050] 您自己的指标您现在实际是经营什么业务是吗？但是就没注册公司，他没动，他们都是注册什么行业？
[14:33.910] 商品、钢品、化妆品、化妆品，
[14:37.440] 首付多少？30%算的，还有30化妆品贷款。
[14:43.720] 话您化妆品是有店面，妈
[14:47.520] 有网页。
[14:48.930] 还有什么有网店，但是没有实际的。
[14:53.680] 我建议您就
[14:56.280] 在北京有房产吗您？
[14:58.210] 没有房产在上会也算香，河北边行，我建议您
[15:04.010] 就首付58%，
[15:06.380] 都跟金融银行是有银行，因为人家是要求必须有社保，
[15:12.060] 必须是实际工作单位的给你上的社保社保你体现的单位跟您实际工作必须对得上来，
[15:19.110] 这是一个硬性标准，你这50的就好欺负，您走50万，他是这样，奔驰金融
[15:25.950] 您首付一半以下的话是需要您提供您要上班工作收入证明和银行流水，你要是自己做生意营业执照和银行流水，但是您没注册照的话，
[15:36.280] 等于有一个
[15:37.660] 手机提供不出来，但是首付50%以上，就是这两个手续210了，您提供流水也行，提供营业执照
[15:44.870] 什么也行，对，所以说您首付50%以上，顶多需要您提供一个
[15:50.510] 打印一个银行流水。
[15:52.760] 别的不行，别的就是一些信息，为了您这个是有。
[15:56.030] 房产证的吗？已经有危险还是购房合同？
[15:59.490] 购房合同是吗？
[16:01.650] 其他都是一些信息类，比如说您现在住哪儿，然后您经营的。
[16:06.110] 短信，然后您现在。
[16:07.970] 在哪具体经营多长时间了，您这个行业长期实践中的。
[16:12.620] 还有他们的合作平台，
[16:14.190] 都没办法。
[16:15.890] 基本上作为一个资产行能少过去找也不说
[16:19.940] 就行了，所以我就建议您58%号G30号可能就这样说话。
[16:26.130] 因为疫情原因，各大金融机构审批的尺度说话也都
[16:32.640] 缩紧了，尤其您百万级别的车
[16:37.600] 卡的，他说他比本钱买个30万可能好一些的，百万的话，它确实可能要相对要高一点，对，然后到百分之行给你算50%，50%出来就稍微
[16:50.650] 对吧？对行。
[16:54.560] 好了。
[16:56.150] 首先就算了，你按照三级给您算。
[17:05.480] 坏。
[17:08.190] 三
[17:10.140] 三。
[17:13.090] 三
[17:14.730] 的。
[17:21.770] 这个月
[17:29.330] 环保这样。
[17:30.240] 不是说你行不行，
[17:32.460] 咱们怎么肯定
[17:35.600] 你怎么可以
[17:37.360] 包含了。
[17:46.210] 他这些
[17:47.450] 五
[17:48.450] 给您看一下，这是咱们全国统一模板的话加班，然后这首52时439,900%，贷款439,900，每个月您需要还的就是13,681，三年一共的利息是52,637，
[18:02.830] 有的领导
[18:06.120] 现在
[18:10.240] 完了打当然股票
[18:14.070] 打
[18:16.710] 我买。
[18:22.500] 期望对。
[18:24.430] 以后的话原来以前
[18:32.670] 钱的话一次说起来
[18:35.410] 谁知
[18:37.490] 你像之前还有一点，
[18:40.070] 你过程有我
[18:43.810] 不能在吸氧上，
[18:46.130] 我希望以后
[18:47.630] 价格还行。
[18:49.550] 释放搞清楚。
[18:52.480] 我说这也是一个优惠，我上次看着我。
[18:58.150] 这车公司的价格，咱们这边反正都有故事，公示价格934,800，优惠了55,000，支付完之后是879,800。
[19:06.040] 3000块老哥说我听到说我们采访他们
[19:12.540] 是这样的，
[19:18.270] 的
[19:21.110] 的
[19:23.900] 计算购置税没算，您说合计对您比如这个钱997,00043万多，你首付需要交的大概就是50
[19:34.410] 6万吨，都加上了5万多，对。
[19:43.030] 还是很透明，可以把这事特意
[19:49.980] 说。
[19:54.120] 二
[19:56.510] 然后
[20:00.350] 还有真正
[20:12.950] 还有其他的
[20:15.070] 项目，
[20:16.040] 没有其他什么项目了，没有实现。
[20:19.920] 谁知。
[20:24.690] 咱都给您算上了，把装都给您算上了，购置税这是装饰17,800，验车上牌2500，保险大概是在2万，您实际上的险种为准。
[20:34.400] 精品装修没有高，包括咱们全车的玻璃贴膜、脚垫、后备箱垫，还有隐藏的一个奔驰专用的意思，还是全国记录仪？
[20:42.410] 没有。
[20:44.040] 这必须。
[20:46.400] 可以不选，咱们不捆绑销售，不强制消费的可以。
[20:50.190] 不选的是这架。
[20:52.120] 都签了校园。
[20:54.450] 选的话车价也一样。
[20:55.900] 你要说你要这么谈，咱们就可以不再问你。
[21:00.460] 你要这么咱们为什么在我看说他给
[21:04.440] 车我不知道在哪，你今天考虑定吗？
[21:07.370] 今天怎么定，我回来我得回家回去了。
[21:10.960] 要求也不知道了。
[21:13.200] 因为
[21:15.040] 保险都是都必须上吗开始。
[21:18.930] 您分期肯定要在店里上。
[21:25.180] 数据、
[21:32.810] 的。
[21:34.600] 数据、
[21:40.310] 的
[21:44.960] 您好哥，有一个车是27985这车能看吗？
[21:50.590] 治疗一。
[21:53.870] 对，可以是吗？
[21:59.460] 好的谢谢。
[22:02.560] 您稍等一下。
[22:06.970] 的。
[22:09.570] 谁知
[22:12.120] 要问
[22:15.170] 咱们车友试驾车，您看您。
[22:17.750] 需要续假一下吗？
[22:20.770] 4大元素450对。
[22:23.610] 车型，如果你今天不是电话，到时候可以预约，
[22:27.990] 预约上午10点下午2点都可以。
[25:56.270] 你看一看。
[25:58.860] 远。
[26:01.530] 数据
[26:02.950] 句
[26:04.270] 数据
[26:51.670] 话
[26:52.530] 数据
[26:55.470] 三
[26:58.040] 对。
[26:58.880] 北京350岁到
[27:21.880] 营销的车了，
[29:35.330] 带客户看一下。
[29:37.160] 您稍等我一下，我去拿钥匙。
[29:42.120] 我忘了说转身我就忘了是什么车子什么吃掉好没意思。
[29:46.560] 你的第怎么办？
[29:48.920] 不是有表吗？
[29:52.480] 我看看能不能讲讲，到时您快一点。
[29:55.600] 16号大一的。
[29:58.760] 哥我看一眼刚才跟您说的那车。
[30:04.040] 有logo。
[30:06.400] 就等。
[30:09.750] 在坛子，后来你这里吗行在呵呵。
[30:14.370] 我看他们都是拦截器的。
[30:19.000] 我低头我还
[30:21.360] 在干什么，你登一下那什么。
[30:24.650] 你的
[30:26.140] 摔伤，你现在写事件高潮，
[30:28.950] 协商
[30:30.360] 了。
[30:32.450] 明白。
[30:33.360] 张
[30:34.510] 住院
[30:40.870] 他
[30:41.920] 他在这边走到那边。
[30:43.880] 快。
[31:16.600] 我给您开出来稍等。
[32:43.380] 对，我知道。
[32:45.120] 这就是跟您说的配置，只要1450动感。
[33:32.610] 今天怎么想吗？
[33:34.210] 这点应该是假不了的，太大了。
[33:36.670] 了上班。
[33:41.530] 下次注意。
[33:42.400] 对，就这一台现车。
[33:44.880] 我就停回去。
[33:46.530] 行。
[34:45.820] 是这样的话，
[34:48.050] 您可以预约周一至周五上午10点下午2点都可以。
[34:52.140] 都没问题。
[34:57.210] 你住这附近吗？
[34:58.830] 口
[35:01.030] 谁知过来睡觉，
[35:09.130] 然后带过来
[35:12.360] 我去还钥匙。
[35:14.870] 那个时间太长了。
[35:17.440] 交待。
[35:19.360] 后来换了之后了，
[35:22.030] 都是老板了，市场
[35:24.670] 换专业。
[35:26.960] 黑张总
[35:29.180] 不好看。
[35:31.920] 我现在
[35:37.280] 我知道。
[36:04.640] 行你打电话你。
[36:06.220] 最好提前打个电话。
[36:07.910] 你要确定好的话，你直接给您约一下。
[36:14.830] 信用
[36:16.720] 分机具了。
[36:21.540] 真心没P
[36:29.600] 看您个人征信精品征信要是没什么问题，他一般都会
[36:34.970] 发信用卡中心有问题。
[36:37.220] 也
[36:38.190] 你要是就不欠银行钱，没有什么法律纠纷，一般这种都没什么事。
[36:44.650] 有10%。
[36:45.980] 对，30%，我们金融经理也说了，应该是批不了。
[36:50.500] 因为您提供不了其他的任何人提供的证明。
[36:53.710] 反正错
[36:54.860] 反正不错，你也不是北京的房产对吧？肯定也在考核范围内。
[37:59.310] 你要是确定明天来的话，我今天就给您约上。
[38:05.140] 反正到时候你明天来了又那什么。
[38:10.730] 行好没问题了。
[38:12.360] 你这边车还有什么需要介绍想要了解的吗？
