[00:00.760] 你那车在哪呢？
[00:05.430] 中plc。
[00:07.340] 京N5F5WWM805，
[00:12.780] 这样有点绕口。
[00:22.040] 是登记了个保养还是什么？
[00:29.020] 坐车得说完，正好这房子一直没来修，
[00:34.640] 停在那，然后别人碰。
[00:36.490] 挤了一下吗？
[00:38.850] 还怕什么？先写了一个开头。
[00:51.760] 我发动机路上你知道什么原因？
[00:54.030] 这不太好估计。
[00:56.580] 因为发动机监测的这东西太多了是吧？你比如说有些都是驱动防滑或者什么的，都是说什么，
[01:04.000] 这些东西他可能还会小少一点。
[01:07.620] 你这一说其实发动机好吗？养它氧传感器进气压力什么的，对暴政什么的乱七八糟，我的车比如说特别慢的时候开，然后你转弯话车会走，
[01:20.170] 看的是跟
[01:22.100] 查了查车你肯定是
[01:31.120] 王茜。
[01:34.430] 那就给您确认完了是吧？
[01:36.550] 1313552809016，就是刚才我打I
[01:42.270] 右前边这块。
[01:51.890] 您又负责不？
[01:53.500] 你说检测里边还有别人是吧？对咱们这分两步走，
[02:00.830] 大概可能得需要个四五天的时间。
[02:04.250] 其实第一点来说，他保险这边联保险部里边写的拆检报价，它认为可能您这里边有损失，
[02:11.320] 咱得拆开来给你检查一下，我让你猜就不用拆，就特别
[02:15.590] 特别清澈的，我理解您的意思，既然他们这边就是怀疑我看的第一反应跟您一样，
[02:22.070] 人家都没看我车，对您万一这里头要有事什么事儿，对，最后说不清楚。
[02:28.890] 就给你拆，对整体拆改，因为反正他们干活的时候也得争取拆开
[02:33.840] 说悄悄的检查一下，然后说没有什么问题，或者是说什么，因为你比如这边萌点辅助或者什么东西，
[02:41.610] 很有可能影响你到那边不是发动发动机故障，
[02:46.630] 但是好像是这样的一个逻辑。
[02:48.540] 饭也没法传播，就跟抒发对什么应该是没什么联系是吧？这辆撞开
[02:55.350] 得了，您一说这咱就明白了。
[02:58.680] 就停在那，他也就是倒车的时候。
[03:02.450] 您说的这倒是可能
[03:10.230] 让他俩同时出现了，还有可能是一回事。
[03:15.280] 因为我们遇上过一什么是gl C
[03:17.870] 他那哥们跟您说的跟您这种情况一样，
[03:22.000] 停在那让人撞了一下就撞到骨头了，强古了。
[03:26.000] 哪儿都没事儿。
[03:27.960] 两鸡暴死。
[03:30.920] 他也是什么发动机故障灯亮，张盘打不动，
[03:34.240] 一打开电脑时发动机划转机坏了，
[03:38.020] 我觉得这样这毛病可多了，
[03:40.340] 毛病换过，刹车盘换过，
[03:42.740] 毛病倒不多，就是说他有时候说你赶上这些沙洲韩到现在还小，
[03:47.180] 说特殊情况这边他什么
[03:56.680] 刹车盘小，基本上什么那是冬天想夏天就现在都行。
[04:08.830] 这个东西人说
[04:14.180] 注意
[04:15.770] 钥匙在你那里，
[04:17.360] 车里没什么贵重物品，手头需要用到没有？
[04:20.550] 因为咱一会车就进车间了，
[04:34.950] 但是让登现在又没了，早上还有
[04:39.080] 过上更亮了之后是一直开不了了，还是什么轮胎？
[04:43.250] 到时候晚上就是怕有问题，对，因为他不是发动机故障，所以我就不敢看
[04:48.550] 了。
[04:49.700] 明白吗？
[04:52.540] 正好放着一块给她好好查查。
[04:55.700] 因为它发动机故障灯亮了的话，他肯定电脑里边有记录应该
[05:00.350] 我就不敢开了。
[05:01.990] 然后正好咱们把这是一块朝
[05:04.920] 钣金喷漆这一块反而是这样的，4个多月一直没空，然后
[05:10.060] 终于有时间了就开了这一块弄了恩里
[05:15.690] 赋予咱们给您做个交接。
[05:17.840] 这里没什么东西了，搜索
[08:00.860] 他给您取得证了吗？
[08:02.790] 他给你取出来了吗？没有。
[08:10.890] 车里也没什么东西了吧？
[08:14.480] 我那边什么先拆开来看一眼，没有什么事儿的话，咱们抓紧速度开，
[08:19.140] 开始干应该也就在因为本金分期怎么着也得三天左右，然后再加上这边的查故障的话，对于您来说可能得需要4~4
[08:29.610] 4天左右。
[08:31.740] 比如说故障要拍，比如查到比如说哪个东西是吧？它这东西要快，他也那什么，
[08:37.510] 就要慢的话这东西不好说，因为大夫说了现在他只有一个记录，没准
[08:44.920] 看看她会不会在晾被子。
[08:49.670] 到时让
[08:51.330] 咱们这边的师傅在给您打电话，
[08:58.210] 我负责您钣金喷漆。
[09:05.680] 号。
[09:12.400] 我叫胡勇和18010210193是我的手机号，您在入场那签两个字。
[09:26.760] 条电话的给您，这样您值得的。
[09:29.840] 登记的是就了。
[09:32.040] 您还有什么要嘱咐的吗？
[09:36.680] 刹车你能不能帮我看看？
[09:39.540] 答案不是这个
[09:42.990] 首先一点是这样，我也是上午他不是我这边单纯的工作人员去做，
[09:48.990] 它上面写的刹车没看它这上面就写了一个什么？
[09:55.410] 写检查发动机故障灯亮。
[09:58.430] 他不就是在这边第一个，要不然您跟他说一声。
[10:02.350] 行。
[10:03.460] 对，好歹他知道这是当时我跟他说他也不理解东西，他没写。
[10:08.870] 他说都这样。
[10:13.010] 不过话说回来
[10:14.500] 全
[10:15.570] 确实都这样。
[10:17.350] 就这样C点都这样。
[10:19.240] 现在一也
[10:20.650] 也这样。
[10:22.020] 全是遍材质的问题。
[10:26.280] 这不是说我们能够给你解决的事儿。
[10:30.030] 咱说点4。
