[00:00.000] 等吗？稍等，2020年7月28号张良客户。
[00:04.300] 这是公户是吗？对钢宏兴汽贸有限公司代销您，然后就机车生活寄托，对
[00:10.020] 我性工作性还有个店出去功能介绍，看点说你看没事，我这一会儿骑车走你就电话。
[00:16.490] 我这老提的是C200白车，对车架号753418在7519，
[00:22.150] 两个钥匙收好，功能作用消需要讲解吗？一点不需要，今天咱都是一个行业，我听那个姑娘说me也不用开是吗？那也不用开。
[00:32.930] 行，我就给您叫个面粉，好这着急完了。
[00:36.310] 天好，咱们要是你给了
[00:40.150] 把标注点一下，把那家伙站关了什么乱，这不是欺侮面房吗？
[00:45.200] 吗。
[00:45.950] 753418. 
[00:51.300] 9。
[00:55.240] 看一眼三包行涉及车辆质保，最后是不是底下
[00:59.420] 有一个这台车生产7月15，开票是昨天7月27，
[01:04.030] 质保
[01:05.280] 三年不计里程涂层，昨天开票开始算，保期内这些大件如果出现质量问题全款明白，
[01:11.590] 后边
[01:12.420] 易损件出了对应天数公里数限制OK，然后不再质保，三包原件拿走了，
[01:19.440] 这是一个三方复印件。
[01:21.340] 这儿签一个名字，那包在车上。
[01:25.480] 那里边是。
[01:29.010] 开始那种书，这部千原先一直在走就行了，这个我拿完了，你看这是我的。
[01:35.740] 然后三东西拿走什么你都看一下，
[01:38.710] 然后看看那里加油站不是很有的上面写着经济什么代表，
[01:51.240] 有什么租房外，反正你都看一眼就行了，然后最近的车宏车行，比如车出防卫了，上可能就只能打一电话，主要还是看看头层，
[02:02.490] 没探头一般有主路的。
[02:05.110] 有主路的还是一般都是如果要是咱们都不了。
[02:09.430] 走私车。
[02:10.290] 40迈过去肯定不拍，我们一如果要是特别堵的话，
[02:14.550] 特别堵的话，你就特别是辅助才能。
[02:16.840] 也有哪都有，你都看看这些。
[02:19.920] 熟悉，然后我他妈有时候去哪儿，比如说去董哥家，我先看一眼，
[02:24.740] 这路线我告诉琢磨琢磨，
[02:27.570] 楞走了现在不行了，
[02:30.100] 功夫还行或者是什么，
[02:33.440] 那也买了一块电磁铁，
[02:35.690] 有点虚，不敢纸板上按一下，然后贴片的，
[02:40.100] 怕他们到时候有拍的，这12春犯不上，你用自己开了。
[02:45.980] 开了我他妈刹车没整，
[02:48.900] 我真不倒谁的这么走得了，我忙去了，你忙有事打电话给我走。
[02:57.520] 郭先生。
[02:58.540] 你好，观众好，恭喜的他您好。
[03:02.040] 谁知
[03:03.470] 大家简单点作业，
[03:09.430] 丰富是吧？符号。
[03:11.720] 好，
[03:15.120] 讲了一个多月，
[04:11.200] 我也没有提出。
[04:13.310] 5双喜好。
[04:19.970] 没问题。
[04:20.870] 这个问题。
[04:22.530] 整体销售的话，
[04:24.070] 这个都话说了，我这一行字发表了了，
[04:39.460] 和每次来提车应该车里都有点油，
[04:42.060] 什么车离有点忙。
[04:46.880] 好，谢谢。
[05:00.960] 怎么了？
[05:04.750] 我这交着车等等。
[05:09.610] 初中还有我配合你签字了吗？
[05:11.440] 没有了。
[05:13.840] 错了。
[05:14.670] 你车看一眼好吧？丢去。
[05:18.540] 我说了口袋
[05:25.190] 又忙着一下。
[05:27.110] 车还没弄完。
[05:33.730] 1月3一早上来1月300多台车，你说哪壶？
[05:39.960] 对。
[05:41.600] 在后备箱你打开看一眼，
[05:55.360] 对，结果包并这个班荧光救生衣收什么手册，数据线这里我倒。
[05:59.970] 怎么的？
[06:00.660] 内置的还是C。
[06:02.080] 尔等
[06:05.370] 完了您坐没事他给你输那码吗？
[06:09.090] 出门
[06:10.540] 没有。
[06:11.570] 等两分钟以后再出去，我给你打个电话不行。
[06:17.670] 行。
[06:36.840] 瓶口听书个码，
[06:39.410] 753418。
[06:43.970] 拜拜还绑定过了是吧？
[06:49.620] 显示已绑定，那就是和梁叔过了，行了甭管了，拜拜。
[06:54.940] 了。
