[00:00.000] 彭恰恰。
[00:01.960] 两两位好累，
[00:04.040] 然后下拉刷新一下子。
[00:06.980] 有两个，对，只是点开给他看的时候就扫码，当时有个马
[00:11.540] 客户在。
[00:12.610] 好。
[00:13.790] 把送给
[00:15.700] 在线交下钱出去玩。
[00:24.780] 号码
[00:28.550] 用
[00:30.410] 车现在是4万多公里是吧？对。
[00:34.270] 谁知
[00:37.770] 离你们这跑还差一点点，放心，里程数还不到吗？对。
[00:44.230] 他那还没提醒我去保养吗？
[00:46.190] 上次什么时候做？
[00:48.100] 上次吃饭做的。
[00:49.980] 没整数做一次吗？1987。
[00:58.920] 应该5万错是吧？
[01:01.130] 记得不是他
[01:04.070] 一年或1万，你主要看您
[01:06.760] 咱们上A上次是4万，这就应该中这就是哥哥分
[01:13.040] 来一趟一块弄得得了，这也是反正省得来回在跑，我看你一直在那里，然后下次就再改回6万，这样好记，我们就可以今天就是说您
[01:24.180] 领导我给您发一参加您吃饭去，我给你发一餐券先吃午饭。
[01:28.900] 行。
[01:30.860] 行。
[01:31.740] 您把您微信打开给您发红孔东先生是吧？
[01:37.220] 1860810089255，对没多少。
[01:42.760] 周二能取。
[01:45.150] 等一下。
[01:46.230] 等下我带您去。
[01:49.770] 还有保险的问问保险，那边看看需要多久，主要就是保险不就喷漆看他们那边多久。
[01:57.810] 咱们这边保养好，说快搜一下百科什么三年质保的检测，
[02:04.180] 那一块一块就做。
[02:06.920] 也就第一个。
[02:13.650] 然后输你手机号告诉你手机号码。
[02:21.030] 还高明，上没上他有时间他喜欢
[02:27.900] 这个点了，
[02:32.370] 他愿意跑愿意去
[02:36.670] 能来一趟。
[02:42.170] 远。
[02:45.800] 这个问题
[02:55.050] 手机号1391
[02:58.000] 0910735。
[03:05.620] 44万5万公里不到5万公里保养。
[03:09.940] 这上万33B上A上次做A是吧？
[03:15.840] 上次做的B上次应该是B保养，上次从哪坐？上次就在
[03:21.060] 京P57，谁知
[03:25.740] 对。
[03:30.370] 上次做了一批，然后我有一个保养券，然后给它圈，然后又补了点钱。
[03:34.770] A保险ABAB的工作就可以了，然后万公里保养看看
[03:43.890] 了，那个时候左转不断源头，二头蚴路那边下面是被保险，
[03:51.020] 下班不办证。
[03:54.440] 教官积碳一直没听吗？
[03:56.770] 积碳。
[03:58.480] 不记得了，听清了，没有听过听。
[04:02.310] 不过。
[04:03.170] 他有你这车是1600
[04:07.160] 628好像听讲。
[04:09.980] 1600多，现在我给你简单再说一下保养的活动，
[04:14.480] 保养目前有什么活动，就是22B4次网，
[04:19.060] 然后
[04:20.080] 送一个清洗水箱，咱发动机前面水箱清洗送一个清洗积炭，这两个驾沈阳青旅是600，
[04:28.580] 就500多块钱不到600，然后计算是1620。
[04:31.580] 然后2A2B就是两次保养基础A保养的基础B保养，然后是4038，
[04:38.220] 什么意思？交4038可以得4次保养，这次不是该做A了吗？就可以就两个A两个B
[04:44.290] 这次A就直接给你用，
[04:45.670] 用完之后然后还剩三次，
[04:48.150] 到时候过来做就行了，然后额外水乡憧憬和期盼直接大概2000块钱送给他。
[04:55.170] 就两2000加起来2100多不到2200，
[04:58.120] 直接就做了，都是车上用，
[05:00.120] 全部都是车辆可以用的，是这个意思，目前的活动
[05:03.900] 如果不用的也可以，
[05:05.750] 你要换成
[05:07.670] 直接就用知识，
[05:09.950] 这车可能开不了，开不到6万块就要换了，那就没必要一点用都没有了，对。
[05:17.090] 对好勒，然后保养当然你要像这种情况下，你比如说这次保养就正常的保养的价格，对，你就给我做一个A宝的行为集团，也不用修饰你不用了，我可能是
[05:29.650] 我上次跟你们这儿谈过一次了，然后直接就想把车搁在这了，留在这儿换一个了，
[05:34.520] 然后直接换车了，不到1000块钱差不多行了。
[05:38.720] 稍等一下。
[05:41.070] 对你要长时间开着还行，对那肯定是必须得知道4次你想
[05:46.210] 你就是正常一个A一个B这两次保养就得2300左右了，加强基础的什么都不再有2300。
[05:52.820] 四是4065，
[05:55.080] 这是4038。
[05:56.720] 你
[05:57.990] 基材咱们总得听2000块钱。
[06:11.100] 坏
[06:15.530] 的。
[06:16.710] 下次取车就这样，车子问问这车还能卖多少钱。
[06:24.340] 几年了三年了，一年百分之12%，
[06:28.280] 一年降价12%，我说不会谁知到12%，也就是当时的款还是现在的价格，现在的价格到1.9% 12%，对，然后也就是说三年的话
[06:42.450] 快接近一半
[06:45.050] 的。
[06:47.390] 远
